time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance
2338,2048,-148.33970699999998,0,1,94.23809523809524,,,,,,,,,,
1764,4096,-152.52639058139536,2,2,94.34883720930233,0.026318359375,-1.3828628115355968,0.2,10,413.4488525390625,0.0003,1617.021975517273,0.0066880295,-0.005914576122449944,0.0008388757705688477
1636,6144,-153.67576512698412,3,3,95.73015873015873,0.01083984375,-1.3790499556809663,0.2,20,519.9839477539062,0.0003,1039.400115585327,0.0055784406,-0.0028534365934319793,-0.01583540439605713
1572,8192,-153.04352271764705,5,4,96.36470588235294,0.0666015625,-1.3687379397451878,0.2,30,636.3731689453125,0.0003,831.7600325107575,0.00926136,-0.007250202937575523,-0.0222628116607666
1505,10240,-154.31756412000001,6,5,97.49,0.035888671875,-1.3569260414689779,0.2,40,761.6485595703125,0.0003,987.9269541740417,0.009215091,-0.006890364940772997,-0.02630925178527832
1488,12288,-157.28282628,8,6,101.18,0.0958984375,-1.3414144303649664,0.2,50,254.30787658691406,0.0003,511.9482155799866,0.01296291,-0.007407215976854786,1.4543533325195312e-05
1472,14336,-155.60949479,9,7,106.27,0.0646484375,-1.3163432117551566,0.2,60,176.6891326904297,0.0003,668.5875445842743,0.0085419165,-0.005323441984364763,-0.002279996871948242
1454,16384,-152.11216632000003,11,8,110.33,0.1220703125,-1.2829863585531711,0.2,70,612.279296875,0.0003,612.1591495037079,0.009766893,-0.008143512760580052,-0.023810386657714844
1432,18432,-147.61967427999997,12,9,117.52,0.035205078125,-1.257997789233923,0.2,80,516.3692016601562,0.0003,1005.9039464950562,0.0104156565,-0.006696067939628847,-0.027524948120117188
1421,20480,-145.48394330999997,14,10,122.6,0.07158203125,-1.2458643361926078,0.2,90,158.8720703125,0.0003,506.8758966445923,0.007858172,-0.006853983240580419,-0.009509682655334473
1413,22528,-144.32890704,15,11,129.94,0.12783203125,-1.1840536650270224,0.2,100,206.09011840820312,0.0003,376.9418711423874,0.0107018445,-0.009017447910446208,-0.008929610252380371
1397,24576,-139.01364364,17,12,138.35,0.067333984375,-1.1417514726519584,0.2,110,179.16006469726562,0.0003,495.9671208381653,0.0064590853,-0.004504294456273783,6.878376007080078e-05
1324,26624,-130.47825125,20,13,152.65,0.022412109375,-1.1252116236835719,0.2,120,183.5966033935547,0.0003,540.5849154949188,0.0057274,-0.006173949398362311,0.012376129627227783
1223,28672,-131.29993285999998,23,14,162.56,0.05927734375,-1.2033011987805367,0.2,130,203.42657470703125,0.0003,431.80554857254026,0.0073607946,-0.011014018328569363,0.020642459392547607
1162,30720,-129.04085794,26,15,183.54,0.08740234375,-1.274906100705266,0.2,140,93.73281860351562,0.0003,176.83454341888427,0.01249821,-0.006575323024298996,0.05251717567443848
1137,32768,-127.84146292000001,28,16,196.12,0.08251953125,-1.1882710304111241,0.2,150,27.930450439453125,0.0003,191.4424825191498,0.0131627135,-0.010618581017479301,0.1505996584892273
1116,34816,-122.79388866,31,17,210.39,0.060009765625,-1.151593555510044,0.2,160,52.5587272644043,0.0003,205.4076068162918,0.009713425,-0.008586865655524889,0.11080038547515869
1116,36864,-120.16405581999999,33,18,221.06,0.038916015625,-1.1542497478425502,0.2,170,240.29727172851562,0.0003,469.6616969347,0.004833453,-0.006264869550068397,0.07290089130401611
1107,38912,-118.82427777000001,35,19,235.44,0.036669921875,-1.0641167182475328,0.2,180,171.8440399169922,0.0003,329.64663043022153,0.005625517,-0.007695914349460509,0.24895590543746948
1107,40960,-116.88460939999999,36,20,245.6,0.03056640625,-1.0843907818198204,0.2,190,108.42618560791016,0.0003,258.28342373371123,0.006142804,-0.005216349600959802,0.39079344272613525
1070,43008,-115.82988451,40,21,261.17,0.02431640625,-0.9956266855821013,0.2,200,67.65272521972656,0.0003,242.1991232395172,0.0048020706,-0.005637105198547943,0.31854814291000366
1044,45056,-111.33162511999998,43,22,278.75,0.045947265625,-1.0827606786042452,0.2,210,105.29505920410156,0.0003,218.65912923812866,0.008380206,-0.0046923394031182395,0.5540362596511841
1025,47104,-111.51300493999999,45,23,294.39,0.10224609375,-1.0656673667952419,0.2,220,25.09730339050293,0.0003,70.09075101017952,0.009904021,-0.005621560984582175,0.7686330676078796
1008,49152,-104.91367036,48,24,311.15,0.108642578125,-1.0583906017243863,0.2,230,64.01724243164062,0.0003,139.4117064356804,0.01114298,-0.009374194515112321,0.5036748647689819
986,51200,-104.77870619,51,25,328.82,0.066259765625,-1.079686837643385,0.2,240,25.843454360961914,0.0003,87.29746303558349,0.008906315,-0.005543099863280077,0.7117893397808075
965,53248,-102.97389258999999,55,26,341.7,0.079248046875,-0.9893728392198682,0.2,250,11.760031700134277,0.0003,76.67613217532634,0.008154945,-0.006835595177835785,0.7214237451553345
940,55296,-99.48273839000001,58,27,358.88,0.069873046875,-1.0447691965848207,0.2,260,11.470559120178223,0.0003,65.55562397837639,0.010190513,-0.0070982642107992435,0.6620000898838043
919,57344,-97.23887253,62,28,376.83,0.0556640625,-1.0252637239173055,0.2,270,5.5546770095825195,0.0003,51.130942261219026,0.006741814,-0.0044180220524140165,0.7966137379407883
910,59392,-93.49638943999999,65,29,394.5,0.0525390625,-1.0477179696783423,0.2,280,4.114221572875977,0.0003,54.12017427235842,0.0056524267,-0.0036763573116331827,0.7737280279397964
893,61440,-89.97636994999999,68,30,417.58,0.08603515625,-1.0107871470972896,0.2,290,4.100464344024658,0.0003,30.408313024044038,0.007000344,-0.007648962373787071,0.7181221842765808
884,63488,-87.214165,71,31,434.99,0.145751953125,-0.8488444505259395,0.2,300,5.167085647583008,0.0003,99.99543021917343,0.012982154,-0.006663167147780769,0.39843541383743286
858,65536,-82.97653768,76,32,451.78,0.156689453125,-1.0219289321452378,0.2,310,4.384171962738037,0.0003,21.987427845597267,0.013187656,-0.012730420527077513,0.6699537932872772
841,67584,-79.53674762,80,33,467.98,0.087841796875,-1.019383107870817,0.2,320,3.5912585258483887,0.0003,24.293574585020544,0.0106616095,-0.006342030392988818,0.6394636332988739
835,69632,-78.80431871,83,34,481.61,0.157177734375,-1.0144281093031169,0.2,330,3.0114331245422363,0.0003,34.23119033202529,0.011119163,-0.009466670530673581,0.7170979082584381
817,71680,-76.92215424,87,35,498.38,0.0220703125,-0.9758328247815371,0.2,340,7.257202625274658,0.0003,69.88719708025455,0.0053748083,-0.0016303369957313407,0.37772196531295776
807,73728,-73.96202736000001,91,36,513.61,0.040869140625,-0.9422868479043245,0.2,350,4.452705383300781,0.0003,38.15338538326323,0.0054898984,-0.0005746278351580258,0.8991304412484169
795,75776,-69.29181608,95,37,536.71,0.0673828125,-0.9315506808459759,0.2,360,7.011253356933594,0.0003,114.03569287210703,0.006710709,-0.00350209310563514,0.2667463421821594
791,77824,-66.13498495,98,38,554.82,0.05986328125,-0.8898638205602765,0.2,370,11.61464786529541,0.0003,80.98681161180139,0.006500408,-0.002517882547545014,0.5263396203517914
782,79872,-61.33808927,102,39,572.29,0.0572265625,-0.9049921836704016,0.2,380,3.3588123321533203,0.0003,48.542465700954196,0.009035047,-0.0037979543696565086,0.7874933481216431
778,81920,-60.68825307,105,40,586.31,0.070703125,-0.9756738113239407,0.2,390,7.026885032653809,0.0003,41.04535345211625,0.005370622,-0.0026566361520963255,0.769790530204773
771,83968,-57.59116967999999,108,41,605.2,0.063671875,-0.8276100985705852,0.2,400,84.80078125,0.0003,52.53498522043228,0.0073549533,-0.0022955545886361507,0.6408309042453766
767,86016,-54.157719759999985,112,42,617.61,0.0580078125,-0.8770678834989667,0.2,410,68.93431091308594,0.0003,130.80924501270056,0.0073776683,-0.0034418742834532168,0.4519193172454834
760,88064,-51.23457667999999,115,43,636.15,0.0484375,-0.9154902888461948,0.2,420,378.6576843261719,0.0003,71.50358914807438,0.006562366,-0.002890957362251356,0.5036236047744751
749,90112,-48.95638038999999,120,44,652.48,0.095361328125,-0.9209071798250079,0.2,430,30.93440818786621,0.0003,129.1522069901228,0.009291314,-0.0038902361222426405,0.5372909903526306
750,92160,-44.13287163999998,122,45,665.29,0.0728515625,-0.8928383775055408,0.2,440,2.1481311321258545,0.0003,53.566530481725934,0.0074525257,-0.0013410896564892028,0.7870333194732666
749,94208,-45.78935654,125,46,661.82,0.081298828125,-0.8123497461900115,0.2,450,165.58770751953125,0.0003,145.7412734851241,0.009686247,-0.0023390841863147214,0.6324436962604523
745,96256,-43.91184449,129,47,669.56,0.032861328125,-0.6890630884096026,0.2,460,8.197050094604492,0.0003,55.47351436689496,0.003616624,-0.00177911177452188,0.713523805141449
736,98304,-40.451244259999996,133,48,685.89,0.1111328125,-0.8684418920427561,0.2,470,1.800768494606018,0.0003,41.86815572138876,0.009847698,-0.0031938211643137036,0.8429947048425674
732,100352,-39.0418569,137,49,699.37,0.062451171875,-0.8137799656018615,0.2,480,1.0946924686431885,0.0003,36.5904458399862,0.0072494927,-0.002688655073870905,0.8737950474023819
