time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate
1,97.14285714285714,-169.32642095238094,2048,2369,0,,,,,,,,,,
2,93.4186046511628,-163.09182534883723,4096,1780,2,-0.011920148401986807,1217.89501953125,10,0.2,0.009524854,-0.002742290496826172,0.07255859375,-1.3798190020024776,2117.7876306533813,0.0003
3,94.44615384615385,-161.35748095384616,6144,1646,3,-0.006672511955548544,521.7415771484375,20,0.2,0.007995402,-0.018819451332092285,0.03759765625,-1.37798793874681,1124.1667812347412,0.0003
4,97.75903614457832,-158.9902538313253,8192,1585,5,-0.011578174625174142,377.27734375,30,0.2,0.013699319,-0.017983317375183105,0.107080078125,-1.358873699605465,810.8118349075318,0.0003
5,100.38,-156.43904535999997,10240,1551,6,-0.013680667345761321,193.90927124023438,40,0.2,0.012232767,-0.0020742416381835938,0.110107421875,-1.3399997491389513,850.2915302276612,0.0003
6,102.91,-154.52025027,12288,1526,8,-0.01063270788436057,253.96583557128906,50,0.2,0.010538418,-0.0022449493408203125,0.105517578125,-1.3238114520907402,553.8734600067139,0.0003
7,108.09,-151.23326773,14336,1505,9,-0.00998384034173796,251.29293823242188,60,0.2,0.013255978,-0.00048220157623291016,0.184033203125,-1.2869740352034569,381.73741722106934,0.0003
8,115.23,-152.28042377,16384,1471,11,-0.01036383004829986,169.53857421875,70,0.2,0.011674162,-0.0015654563903808594,0.141015625,-1.2274567626416684,533.6149877071381,0.0003
9,124.56,-149.03116061,18432,1434,12,-0.005472970416303724,126.72647094726562,80,0.2,0.01085864,-0.002169489860534668,0.0736328125,-1.2019515682011843,649.9927796840668,0.0003
10,136.23,-145.96256756,20480,1405,14,-0.004579525516601279,157.7210693359375,90,0.2,0.0064556673,-0.0001112222671508789,0.1015625,-1.1561731591820716,344.3647627353668,0.0003
11,147.08,-141.01834419,22528,1380,16,-0.0059532039580517445,138.92950439453125,100,0.2,0.008935283,-3.814697265625e-06,0.08720703125,-1.1549211729317903,320.9271181583405,0.0003
12,156.26,-142.60031943,24576,1371,17,-0.0059853343031136316,308.9892883300781,110,0.2,0.01009612,-5.638599395751953e-05,0.049658203125,-1.1331202816218138,510.88952150344846,0.0003
13,166.13,-136.31412396999997,26624,1357,19,-0.006042926978989271,352.7675476074219,120,0.2,0.003971907,-0.00011110305786132812,0.014013671875,-1.1163141578435898,851.5536609649658,0.0003
14,175.55,-134.29664162999998,28672,1334,21,-0.008115672826534137,74.08457946777344,130,0.2,0.008978477,-9.846687316894531e-05,0.030224609375,-1.0972401022911071,354.7426523923874,0.0003
15,192.47,-129.46119602000002,30720,1273,24,-0.007065115698787849,88.82596588134766,140,0.2,0.0072964,-9.5367431640625e-07,0.066845703125,-1.0916160553693772,307.2756982803345,0.0003
