time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss
178,48.51237036,803,616.4,70,143360,690,0.2,-0.9408024899661541,49.41905212402344,0.0003,0.037451171875,0.0052894875,-0.005209657301020343,0.6442990303039551,102.78370901495218
181,51.211261840000006,801,613.74,71,145408,700,0.2,-0.9657984517514706,6.383086204528809,0.0003,0.05166015625,0.0052605914,-0.005880343183525838,0.7450574040412903,94.54714239537716
185,51.76963345000001,796,614.43,72,147456,710,0.2,-0.9074385954067111,59.88273620605469,0.0003,0.05361328125,0.004785145,-0.002596499003993813,0.6070962846279144,68.10115655064583
189,55.327764120000005,789,617.13,73,149504,720,0.2,-0.9177423382177949,31.38011932373047,0.0003,0.087841796875,0.008026119,-0.006467713959864341,0.72858726978302,76.37783635854721
192,57.34246804,787,617.75,74,151552,730,0.2,-0.8406917363405227,30.558753967285156,0.0003,0.061279296875,0.0062112855,-0.0034624400585016703,0.7734222114086151,85.19596107453108
195,58.569308710000016,784,622.37,75,153600,740,0.2,-0.8507063008844853,13.784313201904297,0.0003,0.04560546875,0.004293235,-0.0037233991308312396,0.6749565303325653,85.76566472798586
198,56.919394849999996,783,622.74,76,155648,750,0.2,-0.8639425452798605,11.374957084655762,0.0003,0.046630859375,0.0066509875,-0.001910705794216483,0.8143784254789352,62.53866154104471
201,56.448472300000006,783,622.17,77,157696,760,0.2,-0.7806581264361739,8.040709495544434,0.0003,0.03388671875,0.0057729534,-0.0028475432911363894,0.44880837202072144,176.21610095500947
204,56.540818400000006,782,623.94,78,159744,770,0.2,-0.7391663456335664,9.554398536682129,0.0003,0.03408203125,0.00494521,-0.0024598891744972208,0.6161776185035706,53.5016781270504
206,55.017357950000005,783,623.11,79,161792,780,0.2,-0.8301279516890645,5.837025165557861,0.0003,0.04228515625,0.0035666416,-0.0025210619161953217,0.5952748358249664,98.40201596915722
209,54.87283041,781,622.12,80,163840,790,0.2,-0.8777015529572963,4.884496688842773,0.0003,0.044287109375,0.0048038526,-0.0011253792705247178,0.5922747850418091,121.60113806277514
212,55.995853399999994,779,624.15,81,165888,800,0.2,-0.7711645193397999,10.096573829650879,0.0003,0.052294921875,0.005178412,-0.0030301990067528096,0.7878055274486542,73.42300723344087
215,58.75425286000001,780,627.4,82,167936,810,0.2,-0.7644525859504938,20.27097511291504,0.0003,0.043505859375,0.005003092,-0.003224926593247801,0.6494888663291931,100.26936910152435
217,59.01201120999999,782,627.51,83,169984,820,0.2,-0.786362549290061,27.54176139831543,0.0003,0.0498046875,0.00652852,-0.003365053555899067,0.6835285723209381,91.75910958647728
219,58.89313657,781,628.81,84,172032,830,0.2,-0.6908882105723023,27.28169822692871,0.0003,0.031396484375,0.004570452,-0.0029002438524912575,0.6441982984542847,161.44041440784932
222,57.23156027999998,781,635.02,85,174080,840,0.2,-0.6911555141210556,31.56644630432129,0.0003,0.017431640625,0.0036327448,-0.002178139428724535,0.6935991942882538,93.1472547262907
225,57.11522288000001,782,638.81,86,176128,850,0.2,-0.6995771387591958,7.963853359222412,0.0003,0.03271484375,0.005562702,-0.0014461751670751255,0.6592717468738556,60.02911899238825
227,59.88010180000001,783,638.4,87,178176,860,0.2,-0.8198989266529679,9.697540283203125,0.0003,0.04970703125,0.0067369193,-0.000735049643117236,0.6324023008346558,91.6108004540205
230,60.14325463000001,783,637.33,88,180224,870,0.2,-0.745089965313673,37.5346794128418,0.0003,0.031982421875,0.0052668294,-0.0021604582627333,0.6795979738235474,132.88667786717414
232,57.91209718,784,636.5,89,182272,880,0.2,-0.8168812293559313,17.785581588745117,0.0003,0.067578125,0.00884621,-0.0016868259401235264,0.8106949180364609,128.8049864143133
234,55.85263233,784,636.76,90,184320,890,0.2,-0.8388714788481593,286.2184143066406,0.0003,0.06025390625,0.006751196,-0.002463104177149944,0.2845813035964966,216.57570702284573
237,54.479033169999994,785,634.45,91,186368,900,0.2,-0.8236622421070934,80.26831817626953,0.0003,0.05361328125,0.0031009596,-0.0026571189293463247,0.4357895851135254,214.47887568473817
239,59.662575239999995,786,643.62,92,188416,910,0.2,-0.698683948814869,40.49958038330078,0.0003,0.04287109375,0.0056681833,-0.007360313904064242,0.6554437875747681,138.3072529450059
242,54.92611261,786,633.8,93,190464,920,0.2,-0.693944999575615,12.637567520141602,0.0003,0.0779296875,0.009689815,-0.0034856397498515433,0.6274598240852356,81.03237696886063
244,57.64909740000001,787,633.66,94,192512,930,0.2,-0.7071972258388997,12.61366081237793,0.0003,0.023876953125,0.004157832,-0.00551331350725377,0.4229782223701477,174.3954772233963
247,60.17879876,787,627.39,95,194560,940,0.2,-0.7249120488762856,352.4996032714844,0.0003,0.0322265625,0.0037515205,-0.0020075247855857016,0.7618424743413925,111.72372479438782
249,66.923259,787,614.85,96,196608,950,0.2,-0.778222812153399,9.296067237854004,0.0003,0.06484375,0.007194089,-0.005993004849733552,0.49583935737609863,167.56964947283268
251,66.26904277,788,599.17,97,198656,960,0.2,-0.7153593888506293,15.684758186340332,0.0003,0.054736328125,0.007021286,-0.004938558049616404,0.7639609277248383,130.22798071801662
254,69.58701897,789,581.48,98,200704,970,0.2,-0.7687665317207575,15.266291618347168,0.0003,0.032177734375,0.0040223664,-0.002809949403308565,0.7102066874504089,141.51298532634974
256,61.49785481000001,790,558.57,99,202752,980,0.2,-0.7225518638268114,38.12004852294922,0.0003,0.06748046875,0.0064081736,-0.003071097066276707,0.6758675575256348,166.63447989821435
258,59.55223270000002,791,549.82,100,204800,990,0.2,-0.7911646919324994,90.3700942993164,0.0003,0.0337890625,0.0049538817,-0.004306114479550161,0.7149104177951813,243.77149528861045
261,56.91598905000001,789,543.78,101,206848,1000,0.2,-0.7534995129331946,70.14624786376953,0.0003,0.062939453125,0.0063010333,-0.0010997762175975368,0.6821269690990448,116.77630260139703
264,52.42961617000002,790,530.32,102,208896,1010,0.2,-0.7049761613830924,50.70429992675781,0.0003,0.045947265625,0.0050125797,-0.003447238900116645,0.6062568128108978,201.11418179273605
266,51.13173742000001,791,511.86,103,210944,1020,0.2,-0.773908237926662,120.32234191894531,0.0003,0.02587890625,0.0040217815,-0.0028323247883236037,0.6195377111434937,264.9979353308678
268,51.11363065,792,503.15,104,212992,1030,0.2,-0.68054213039577,67.7737808227539,0.0003,0.071630859375,0.009214662,-0.0035719469451578334,0.46425044536590576,211.5522420465946
271,48.380305660000005,792,498.96,105,215040,1040,0.2,-0.7350330954417587,76.0972900390625,0.0003,0.0517578125,0.006593795,-0.0042367118341644526,0.540956437587738,209.32316533923148
274,45.105516429999994,792,499.61,106,217088,1050,0.2,-0.7510682577267289,147.0419464111328,0.0003,0.046826171875,0.0027933107,-0.0015315776028728579,0.5569419860839844,123.84357248842716
276,38.677917699999995,793,496.65,107,219136,1060,0.2,-0.6709810862317681,61.0158805847168,0.0003,0.043505859375,0.0039579766,-0.0036717347415105906,0.6443971693515778,110.9752629905939
278,35.07823775,793,495.1,108,221184,1070,0.2,-0.7625467313453556,70.62755584716797,0.0003,0.04423828125,0.0050912695,-0.006069616757304175,0.5495308637619019,213.43905355334283
280,32.868214570000006,794,484.13,109,223232,1080,0.2,-0.7268803948536515,163.07313537597656,0.0003,0.018310546875,0.0026103868,-0.0009237190934072714,0.5804449915885925,169.5568824350834
282,33.32015758000001,796,475.47,110,225280,1090,0.2,-0.6977213177829981,33.47932434082031,0.0003,0.069921875,0.005898849,-0.003084912612393964,0.7290894985198975,177.48176460266114
284,24.40275568,798,468.72,111,227328,1100,0.2,-0.7018762232735754,395.9564208984375,0.0003,0.098828125,0.010339137,-0.0035889430171664573,0.7048490941524506,123.8774996817112
287,24.9472417,798,468.11,112,229376,1110,0.2,-0.7697323234751821,38.46260452270508,0.0003,0.04609375,0.0023256224,-0.002223921092809178,0.5985299944877625,313.1751856803894
289,20.627386740000002,799,470.29,113,231424,1120,0.2,-0.6564227111637593,24.667728424072266,0.0003,0.057861328125,0.005395135,-0.004265560030762572,0.6639271676540375,159.71148423850536
291,19.670423020000005,800,472.78,114,233472,1130,0.2,-0.7100047955289484,112.99507141113281,0.0003,0.082666015625,0.006762976,-0.0026939833733194973,0.7717848867177963,197.9864160478115
294,14.998802160000004,800,471.38,115,235520,1140,0.2,-0.7153586350381375,29.90239143371582,0.0003,0.06708984375,0.008080138,-0.0029064996684610377,0.8309780210256577,130.12524050176143
296,19.38929333,801,467.26,116,237568,1150,0.2,-0.7811242846772075,42.392784118652344,0.0003,0.095263671875,0.008597525,-0.005740067311853636,0.8515928834676743,130.85253822207451
299,15.359711769999999,801,474.82,117,239616,1160,0.2,-0.666876913048327,173.28900146484375,0.0003,0.067041015625,0.0068229437,-0.003313122936378932,0.7329932153224945,157.865226739645
301,14.24362193,800,471.8,118,241664,1170,0.2,-0.7292158432304859,67.17402648925781,0.0003,0.064404296875,0.0041581327,-0.0007561061916931067,0.9434779398143291,37.24738249108195
304,12.98979683,799,478.0,119,243712,1180,0.2,-0.7663117283955216,73.39839172363281,0.0003,0.048291015625,0.0063830195,-0.0030767066316911952,0.7749226093292236,146.93792885690928
308,13.05340686,796,484.18,120,245760,1190,0.2,-0.769619800709188,16.62093162536621,0.0003,0.030322265625,0.005895017,-0.002642447168182116,0.7159292697906494,128.02737994939088
