time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/policy_gradient_loss
147456,72,0.05487099000000313,797.88,199,740,58.95996120423079,0.6066825687885284,0.2,-0.8240529591217637,0.006708325,0.0003,0.08125,710,75.50408935546875,-0.006505981175723719
149504,73,1.2942681700000014,792.51,202,738,102.02768451273441,0.5824398100376129,0.2,-0.878802252188325,0.0043341033,0.0003,0.065771484375,720,55.17456817626953,-0.0020686249183199832
151552,74,3.5917740400000007,792.4,206,734,80.17885628193616,0.5802644789218903,0.2,-0.9250168906524777,0.0056686215,0.0003,0.078564453125,730,41.70767593383789,-0.0025462681478529703
153600,75,4.025790380000003,782.04,209,734,62.99989051222801,0.5769787430763245,0.2,-0.8542535895481705,0.008568084,0.0003,0.06650390625,740,11.62337875366211,-0.0036448615341214464
155648,76,6.241946470000003,775.17,212,733,90.28634289056063,0.6441538333892822,0.2,-0.8373295232653618,0.005492964,0.0003,0.072607421875,750,28.694194793701172,-0.004506055825186195
157696,77,3.801775540000003,750.74,214,734,88.89293127059936,0.5700381994247437,0.2,-0.8055940063670277,0.0052050757,0.0003,0.07421875,760,33.556819915771484,-0.0030658486757602077
159744,78,4.1829326700000005,749.46,217,734,183.5978103518486,0.4565834403038025,0.2,-0.8740665076300502,0.0024131113,0.0003,0.035791015625,770,97.47109985351562,-0.0022546411641087617
161792,79,7.975848189999999,745.01,220,733,130.98249257802962,0.4899522662162781,0.2,-0.8991825751960277,0.007244607,0.0003,0.081591796875,780,49.320552825927734,-0.002003848104504868
163840,80,10.693025150000004,742.03,223,733,130.00462190806866,0.6099756360054016,0.2,-0.7860410990193486,0.008515453,0.0003,0.0548828125,790,9.735237121582031,-0.0027432002825662494
165888,81,11.430925270000005,738.42,225,734,90.01905885934829,0.5254833698272705,0.2,-0.7158613730221987,0.0067021796,0.0003,0.051806640625,800,40.9820442199707,-0.001935175067774253
167936,82,16.217937600000003,731.04,228,735,180.9526245325804,0.41999614238739014,0.2,-0.7812852358445526,0.0041703247,0.0003,0.041259765625,810,18.66172218322754,-0.0015941745798045304
169984,83,18.36711577,727.5,230,737,230.01460628509523,0.5091112554073334,0.2,-0.711522108502686,0.008158949,0.0003,0.06376953125,820,103.09256744384766,-0.004110135042719776
172032,84,18.81666334,717.29,233,736,201.1836047977209,0.464565634727478,0.2,-0.7703606059774757,0.00402499,0.0003,0.0453125,830,37.183597564697266,-0.002972155394672882
174080,85,20.341157099999997,710.44,236,736,109.82495885193347,0.655083030462265,0.2,-0.7476472502574325,0.009701844,0.0003,0.066162109375,840,20.624521255493164,-0.001862259738118155
176128,86,22.875666190000008,706.76,239,736,179.38772383928298,0.5123423337936401,0.2,-0.7776156343519688,0.006019015,0.0003,0.058837890625,850,28.439462661743164,-0.00388546175963711
178176,87,25.629681610000002,692.33,241,736,111.82460753917694,0.5633929967880249,0.2,-0.7234485628083348,0.0066597043,0.0003,0.089013671875,860,27.80213737487793,-0.004301469767960952
180224,88,32.05403886,690.17,244,737,113.34970798194408,0.6084351241588593,0.2,-0.7502635797485709,0.004910567,0.0003,0.045703125,870,57.530540466308594,-0.004359218926401809
182272,89,33.71648796,686.21,247,737,101.16757923662662,0.5956407487392426,0.2,-0.7732540283352136,0.0041828,0.0003,0.064306640625,880,368.5716857910156,-0.003781676532526035
184320,90,39.685928309999994,682.08,250,737,74.37931036800146,0.42139482498168945,0.2,-0.747402755357325,0.0031247241,0.0003,0.06240234375,890,5.066373348236084,-0.00013267172653286252
186368,91,36.13430928999999,676.83,252,736,96.06159196048975,0.6630980372428894,0.2,-0.7556966688483954,0.0051480364,0.0003,0.04892578125,900,6.970296382904053,-0.003095178985677194
188416,92,33.78407541999999,655.04,255,738,146.1866278961301,0.29328596591949463,0.2,-0.7535985397174955,0.0026851036,0.0003,0.0470703125,910,31.58464813232422,-0.0026629530228092337
190464,93,37.20212541,646.41,257,739,302.7574472516775,0.17618131637573242,0.2,-0.7982410671189427,0.0013521889,0.0003,0.00244140625,920,78.16341400146484,-0.0018201049329945817
192512,94,41.06798478999999,629.7,259,741,203.71564792990685,0.4469173550605774,0.2,-0.7636660585179925,0.006802982,0.0003,0.061669921875,930,25.3551025390625,-0.004374375983024948
194560,95,39.46339809,604.79,261,743,202.68129575550557,0.3139718770980835,0.2,-0.7334231402724981,0.0057183723,0.0003,0.051806640625,940,39.89277648925781,-0.0035527248357539063
196608,96,45.02088199999999,590.52,264,743,201.4951573818922,0.5815134644508362,0.2,-0.7331935489550233,0.009078333,0.0003,0.040087890625,950,76.50091552734375,-0.001431057341687847
198656,97,49.27991877999999,584.11,266,745,116.96984623372555,0.5091134309768677,0.2,-0.7191027572378517,0.004485867,0.0003,0.075341796875,960,16.905481338500977,-0.00526318220217945
200704,98,48.20292815,568.58,268,746,144.4240807890892,0.6323516666889191,0.2,-0.591036781296134,0.0050323457,0.0003,0.0376953125,970,48.777488708496094,-0.0018627884244779124
202752,99,46.238059700000015,557.99,271,746,177.81763017773628,0.6735227406024933,0.2,-0.704902927018702,0.007971474,0.0003,0.042431640625,980,25.625167846679688,-0.004268000183947152
204800,100,40.91921831,534.93,273,748,172.72710266709328,0.5330676138401031,0.2,-0.6227055314928294,0.0043385,0.0003,0.060205078125,990,45.73331832885742,-0.003510951354110148
206848,101,39.31221674000001,527.59,276,749,233.62209636569023,0.7234824597835541,0.2,-0.7626105370000005,0.004226937,0.0003,0.030517578125,1000,152.31338500976562,-0.002812257834011689
208896,102,44.43318346,524.79,278,750,147.34070949852466,0.6889499127864838,0.2,-0.7694978645071388,0.0057145623,0.0003,0.03466796875,1010,32.2901725769043,-0.004093618234037422
210944,103,51.415749510000005,521.22,281,749,161.8317911118269,0.6447536945343018,0.2,-0.7154570469632745,0.005665331,0.0003,0.044677734375,1020,21.51317024230957,-0.0011788056644945755
212992,104,49.011665249999986,512.5,283,750,163.56372469067574,0.37368243932724,0.2,-0.6637082647532224,0.0050606774,0.0003,0.047998046875,1030,35.035430908203125,-0.004405385566496989
215040,105,44.57328571,505.68,286,751,131.63031528592109,0.6220297515392303,0.2,-0.680310277082026,0.0038856876,0.0003,0.041650390625,1040,20.589866638183594,-0.002235298466985114
217088,106,46.111141090000004,501.21,288,752,193.29303169548513,0.5771530866622925,0.2,-0.740264049731195,0.005635878,0.0003,0.04072265625,1050,189.6669921875,-0.002272625434488873
219136,107,50.61413071000001,502.86,291,752,157.894159668684,0.6986709535121918,0.2,-0.719717214629054,0.018446038,0.0003,0.05791015625,1060,20.034770965576172,-0.002706297900294885
221184,108,45.98976207999999,501.63,293,753,147.48279493153095,0.7309646904468536,0.2,-0.7227919572964311,0.0032542595,0.0003,0.064013671875,1070,7.272286415100098,-0.0012066778799635358
223232,109,44.598563479999996,503.91,296,753,192.39137528538703,0.5898180305957794,0.2,-0.7132783530279994,0.0056264866,0.0003,0.03701171875,1080,36.55631637573242,-0.003060917102993699
225280,110,38.803052290000004,496.5,298,755,141.9000479787588,0.5889020562171936,0.2,-0.6400745578110218,0.006742762,0.0003,0.050439453125,1090,59.47183609008789,-0.004700172133743763
227328,111,37.217023700000006,499.64,301,754,277.49472694396974,0.5488921403884888,0.2,-0.7007229994982481,0.0068155234,0.0003,0.074951171875,1100,52.2496452331543,-0.003699192514613969
229376,112,35.108721460000005,505.06,303,754,129.83378814607858,0.648303359746933,0.2,-0.7039296688511968,0.0066472944,0.0003,0.074462890625,1110,12.807779312133789,-0.005279660246742424
231424,113,35.69407899,506.42,306,755,98.70978605598211,0.7426106929779053,0.2,-0.6578460020944477,0.0076792124,0.0003,0.062548828125,1120,10.266072273254395,-0.0027737140837416517
233472,114,36.908067450000004,500.32,308,756,139.76258837878703,0.5698070228099823,0.2,-0.6336460837163032,0.0046863174,0.0003,0.044677734375,1130,74.58108520507812,-0.0022967550801695326
235520,115,35.83527575000001,499.13,311,756,112.48513946533203,0.5416832864284515,0.2,-0.6689431818202138,0.0040438,0.0003,0.049169921875,1140,45.506011962890625,-0.0017171570514619816
237568,116,40.24415149000001,501.99,314,756,163.932264021039,0.5389338731765747,0.2,-0.6878473851829767,0.004686205,0.0003,0.045068359375,1150,78.27861785888672,-0.0021465695543156473
239616,117,41.22519804,511.2,316,757,90.18553328216076,0.727106124162674,0.2,-0.7025682188570499,0.007985966,0.0003,0.08408203125,1160,18.28484344482422,-0.004052994183439296
241664,118,41.77140181,515.01,318,757,149.79785852134228,0.5889420211315155,0.2,-0.724230475910008,0.0066427235,0.0003,0.050048828125,1170,9.829095840454102,-0.008092849799868417
243712,119,43.893514929999995,521.27,321,758,81.88547180294991,0.8242739588022232,0.2,-0.6980629144236445,0.00910514,0.0003,0.0541015625,1180,12.802597999572754,-0.002678860582818743
245760,120,45.836592210000006,528.12,324,757,151.9541640907526,0.6260357797145844,0.2,-0.6782769665122033,0.007439154,0.0003,0.0982421875,1190,66.81694030761719,-0.0037263213238475147
247808,121,48.82980076,538.48,327,757,75.47726939320565,0.7024734020233154,0.2,-0.7811006309464574,0.008308301,0.0003,0.076318359375,1200,8.423968315124512,-0.0009626010149077046
249856,122,46.31448912999999,544.07,329,758,69.07676699906588,0.716381847858429,0.2,-0.7829947395250201,0.0089380285,0.0003,0.078076171875,1210,16.861600875854492,-0.002613436472165631
251904,123,46.81010765,551.24,332,758,95.5507789209485,0.6897934377193451,0.2,-0.7998853843659163,0.007913558,0.0003,0.07685546875,1220,3.336301326751709,-0.005025196401402354
2048,1,-334.29540933333334,547.0,1,1024,67.15334751978517,0.6408409178256989,0.2,-0.672014869377017,0.006477556,0.0003,0.056591796875,1230,1.531701922416687,-0.00043053604604210706
4096,2,-367.15798671428576,571.4285714285714,4,831,170.133618748188,0.6850192844867706,0.2,-0.7096764802932739,0.0061036805,0.0003,0.04130859375,1240,39.63614273071289,-0.001201232355379034
6144,3,-365.0549285454545,554.7272727272727,7,797,168.72906409800052,0.6833460628986359,0.2,-0.6803557045757771,0.0072418335,0.0003,0.05009765625,1250,9.596122741699219,-0.0028138538422354032
8192,4,-366.35557900000003,569.7142857142857,10,802,166.3243639945984,0.7388589382171631,0.2,-0.7248566569760442,0.0053872564,0.0003,0.030615234375,1260,21.27474021911621,-0.0005422223362984369
10240,5,-376.05269799999996,576.3529411764706,12,799,116.61627886593342,0.775922492146492,0.2,-0.684584391862154,0.00519689,0.0003,0.03173828125,1270,22.93292236328125,-0.0020181036728899927
12288,6,-385.11259376190475,579.4761904761905,15,774,149.62814126312733,0.8303302079439163,0.2,-0.6984733385965228,0.0032324689,0.0003,0.040234375,1280,13.72070026397705,-0.0017922197708685416
14336,7,-395.93080441666666,570.1666666666666,18,781,140.82372890114783,0.8479482084512711,0.2,-0.6633291214704513,0.0063704723,0.0003,0.045458984375,1290,74.7193374633789,-0.0028555584351124706
16384,8,-391.7129636296296,591.0370370370371,21,776,173.0624695211649,0.6793254017829895,0.2,-0.715096908248961,0.008328041,0.0003,0.049609375,1300,100.34737396240234,-0.004257832367875381
18432,9,-400.31621673333325,603.1666666666666,23,777,101.5877106577158,0.8905394524335861,0.2,-0.6237709493376314,0.006150566,0.0003,0.07060546875,1310,30.6911563873291,-0.0007480011223378824
20480,10,-396.1125993939394,599.8787878787879,26,762,119.71436968445778,0.8205482661724091,0.2,-0.7360886598005891,0.0025941706,0.0003,0.013525390625,1320,16.881874084472656,-0.002664508558518719
22528,11,-393.96084361111104,610.0555555555555,29,754,86.43351648449898,0.8924413248896599,0.2,-0.7616940293461084,0.007560189,0.0003,0.08671875,1330,10.885594367980957,-0.005814937015384203
24576,12,-386.18177397500006,614.075,32,753,156.52800417542457,0.8772536218166351,0.2,-0.6870137797668576,0.004995413,0.0003,0.077099609375,1340,49.62279510498047,-0.005276356673130067
26624,13,-388.208694744186,608.0,34,760,117.51772454231977,0.9069441854953766,0.2,-0.6270221365615726,0.0039263717,0.0003,0.055908203125,1350,73.88184356689453,-0.0017318576374236727
28672,14,-394.35806004255323,603.4468085106383,37,771,176.52574155628682,0.7386767566204071,0.2,-0.7175251169130206,0.0051735393,0.0003,0.032568359375,1360,34.69509506225586,-0.0014604197789594765
30720,15,-395.0477848627452,599.1764705882352,39,779,195.15583016872407,0.7503452599048615,0.2,-0.6937178764492273,0.0038032432,0.0003,0.039892578125,1370,26.995275497436523,-0.0008681095336214639
32768,16,-389.9204414000001,592.1818181818181,41,782,89.82949080243706,0.8965115025639534,0.2,-0.7312387805432081,0.0072204843,0.0003,0.097900390625,1380,9.654529571533203,-0.0015382545927423053
34816,17,-388.95753132203396,585.8305084745763,44,787,160.99804439395666,0.8175151497125626,0.2,-0.7149466190487146,0.005242478,0.0003,0.031494140625,1390,42.41413497924805,-0.0035527852793165947
36864,18,-385.89029074603184,580.5873015873016,46,786,146.79871128201484,0.8850130587816238,0.2,-0.7502896070480347,0.004020004,0.0003,0.034521484375,1400,333.1158142089844,-0.0033870672814373393
38912,19,-380.7268675588235,572.2205882352941,49,787,125.97052248716355,0.9041892737150192,0.2,-0.7367217658087611,0.0048976247,0.0003,0.067041015625,1410,288.39935302734375,-0.002451338159880834
40960,20,-379.01776343055553,564.1111111111111,51,794,125.08628205358983,0.9184913039207458,0.2,-0.7261004164814949,0.0061377287,0.0003,0.05830078125,1420,18.561546325683594,-0.00377485299250111
43008,21,-371.32940237662336,555.8311688311688,54,796,114.82982188314199,0.8861051648855209,0.2,-0.7632888043299317,0.005625289,0.0003,0.052734375,1430,6.931931495666504,-0.00036604782108042857
45056,22,-367.4050555925926,554.1234567901234,56,800,140.3883554548025,0.9072402790188789,0.2,-0.7190817274153233,0.006661463,0.0003,0.09033203125,1440,16.020463943481445,-0.00557724163227249
47104,23,-360.27842159302327,547.4186046511628,58,799,153.2704243183136,0.8870967328548431,0.2,-0.6264745475724339,0.005258249,0.0003,0.04443359375,1450,51.9966926574707,-0.0019213419094739948
49152,24,-354.7313967333334,543.0888888888888,61,800,109.86344983875752,0.953490287065506,0.2,-0.7129358945414423,0.005487347,0.0003,0.088623046875,1460,8.195019721984863,-0.003460437470857869
51200,25,-350.4522730105263,537.7578947368421,63,804,79.05581854581833,0.946354866027832,0.2,-0.7063929736614227,0.0067180656,0.0003,0.053466796875,1470,6.244252681732178,-0.0006463213765528053
53248,26,-348.090803040404,534.6363636363636,66,805,161.87198588252068,0.9035796076059341,0.2,-0.7049435546621681,0.0061169807,0.0003,0.0431640625,1480,16.32500457763672,-0.00392747964215232
