time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate
961,448.3,41,83968,87,-84.9490069,8.127830505371094,-0.005303855223974097,0.008523476,95.1784935593605,0.092333984375,0.7684615850448608,-1.15092243142426,400,0.2,0.0003
948,457.0,42,86016,90,-83.89867129,153.18788146972656,-0.005314453082974069,0.00413303,149.9823146879673,0.045068359375,0.7088309526443481,-0.9170783650130033,410,0.2,0.0003
939,462.74,43,88064,93,-83.66611308999998,228.8262939453125,-0.0054143646855663976,0.011060363,67.25839289873838,0.1259765625,0.815292164683342,-1.125573417544365,420,0.2,0.0003
926,474.4,44,90112,97,-79.41996379,12.36450481414795,-0.007173146087734494,0.0065314565,100.75095797181129,0.054638671875,0.736522763967514,-1.0286121943965554,430,0.2,0.0003
918,492.7,45,92160,100,-77.19381278,16.703519821166992,-0.004055108137254138,0.008593318,98.99825082719326,0.056298828125,0.686518132686615,-0.9098562896251678,440,0.2,0.0003
914,501.6,46,94208,102,-74.55869433000001,9.719616889953613,-0.005108900642335356,0.0072894655,82.26994532644748,0.084814453125,0.7661194652318954,-0.9790431596338749,450,0.2,0.0003
905,519.19,47,96256,106,-70.20855223000001,28.885032653808594,-0.00792070000388776,0.0064489087,101.28668084442616,0.0435546875,0.7370049357414246,-1.071634130552411,460,0.2,0.0003
896,535.66,48,98304,109,-69.44406633000001,294.4052734375,-0.002594245318323374,0.005892628,109.89834292829036,0.04912109375,0.642443060874939,-0.9859796810895205,470,0.2,0.0003
884,543.47,49,100352,113,-68.39356494,3.6363978385925293,-0.005441236958722584,0.0087599885,49.41501244306564,0.0818359375,0.846658319234848,-0.9357327476143837,480,0.2,0.0003
876,545.18,50,102400,116,-69.5240738,6.134454727172852,-0.009055696377981804,0.014286296,40.89003816545009,0.09658203125,0.8379614651203156,-0.9371896399185061,490,0.2,0.0003
868,561.89,51,104448,120,-64.79051549,80.47450256347656,-0.001971897835028358,0.0043897787,126.84543427824974,0.040234375,0.6419321596622467,-0.9962168600410223,500,0.2,0.0003
863,586.05,52,106496,123,-62.27785425,3.0570616722106934,-0.004693401320400881,0.009243843,44.114015974849465,0.081640625,0.8505055010318756,-1.0240766750648618,510,0.2,0.0003
857,598.28,53,108544,126,-61.70010386,9.842985153198242,-0.0057925651446566915,0.0095841,79.8799081966281,0.146337890625,0.677911639213562,-1.0548862043768168,520,0.2,0.0003
855,606.0,54,110592,129,-60.31591462,8.94088077545166,-0.0046797357535979245,0.011427786,68.34238571077586,0.0921875,0.7100173234939575,-1.034867176786065,530,0.2,0.0003
849,620.95,55,112640,132,-58.24285809999999,3.6817047595977783,-0.0023109688583645037,0.004835153,36.41593606248498,0.041845703125,0.8546314984560013,-0.8609690589830279,540,0.2,0.0003
839,636.21,56,114688,136,-54.430147389999995,2.5631370544433594,-0.005225452953163767,0.008368216,45.905199240148065,0.113134765625,0.8184421360492706,-0.9043493749573827,550,0.2,0.0003
832,649.55,57,116736,140,-51.01182755,38.56675338745117,-0.004076537041692063,0.0068759634,78.61617595255375,0.043994140625,0.7685427963733673,-0.8610733712092042,560,0.2,0.0003
828,664.54,58,118784,143,-49.873130149999994,1.547296404838562,-0.0033734363554685843,0.005007661,34.240843530371784,0.066455078125,0.859623908996582,-0.8964353578165174,570,0.2,0.0003
825,677.36,59,120832,146,-50.06073426999999,5.764344692230225,-0.0025778347633604428,0.005119941,30.477630914002656,0.051220703125,0.8765879198908806,-0.8132114429026842,580,0.2,0.0003
821,694.67,60,122880,149,-42.77031025999999,12.381263732910156,-0.002466638477926608,0.005420612,140.72235882580281,0.037890625,0.6818816065788269,-0.8442334637045861,590,0.2,0.0003
821,698.32,61,124928,152,-46.773477400000004,103.93929290771484,-0.0044954919409065045,0.011211902,78.94384682402014,0.05205078125,0.7115260660648346,-0.8045384073629975,600,0.2,0.0003
816,713.9,62,126976,155,-41.86943625000001,31.986379623413086,-0.0023370745511783753,0.0067451023,76.1468645133078,0.041015625,0.7867957502603531,-0.8872492095455528,610,0.2,0.0003
815,717.89,63,129024,158,-41.43681527999999,3.1966023445129395,-0.005065940084023168,0.0072944397,34.64848445281386,0.077783203125,0.8951347172260284,-0.7957169910892844,620,0.2,0.0003
813,731.21,64,131072,161,-40.40165128,10.559802055358887,-0.003778615795454243,0.0041902317,66.34176069051027,0.0294921875,0.7347627878189087,-0.8363640246912837,630,0.2,0.0003
810,742.43,65,133120,164,-37.00415673,22.058874130249023,-0.003702696161053609,0.0074206074,122.02940136492252,0.055322265625,0.6694029569625854,-0.8094565968960523,640,0.2,0.0003
807,750.25,66,135168,167,-36.49026373,7.238420486450195,-0.0025507044105324895,0.004613343,90.88458210229874,0.030712890625,0.7788577824831009,-0.9290376905351877,650,0.2,0.0003
805,762.33,67,137216,170,-34.727036029999994,366.06060791015625,-0.0023453702335245906,0.0053288406,66.20036677047611,0.051806640625,0.7861225455999374,-0.7104791736230254,660,0.2,0.0003
802,778.13,68,139264,173,-32.380277109999994,69.18716430664062,-0.0025982413644669577,0.0076148007,144.70571464896202,0.063623046875,0.7311069071292877,-0.7580585822463035,670,0.2,0.0003
801,765.28,69,141312,176,-32.84413955,4.074845314025879,-0.00523797548157745,0.013980618,41.53675128221512,0.07255859375,0.858535572886467,-0.9124187126755714,680,0.2,0.0003
801,756.43,70,143360,178,-33.019264590000006,105.41215515136719,-0.0036501168022368803,0.013292489,111.58100150227547,0.095703125,0.7855827808380127,-0.7284984083846211,690,0.2,0.0003
799,745.1,71,145408,181,-30.067493679999995,29.136205673217773,-0.004159695863563684,0.0056971675,182.8487535983324,0.0208984375,0.7236692011356354,-0.8171422647312283,700,0.2,0.0003
797,745.44,72,147456,184,-29.90896029,580.3386840820312,-0.005164677523134742,0.010375595,207.7121023774147,0.036279296875,0.6471255421638489,-0.7869937600567937,710,0.2,0.0003
797,744.83,73,149504,187,-27.5518166,12.085290908813477,-0.00348392457672162,0.003696617,73.27973134815693,0.0419921875,0.8561302870512009,-0.8848015950992704,720,0.2,0.0003
796,732.94,74,151552,190,-27.72063637,197.0439910888672,-0.0024076498157228343,0.0060763904,217.4353770673275,0.030224609375,0.7214033305644989,-0.8103019874542952,730,0.2,0.0003
796,733.66,75,153600,192,-23.570567499999996,26.59452247619629,-0.0009627120536606526,0.005091507,98.14485068917274,0.019873046875,0.7627044469118118,-0.789331846870482,740,0.2,0.0003
