rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/clip_range
92.27272727272727,-182.5795929090909,2378,1,2048,0,,,,,,,,,,
96.30952380952381,-166.93990073809525,1790,2,4096,2,249.37197875976562,0.0052249916,-0.003334641456604004,-1.3842063035815955,0.00751953125,-0.003880579567339737,0.0003,936.0317223548889,10,0.2
97.37096774193549,-165.60797662903227,1618,3,6144,3,336.1313171386719,0.01072251,-0.0003679990768432617,-1.3754260204732418,0.020556640625,-0.004486953644664027,0.0003,886.7907858848572,20,0.2
99.04878048780488,-163.61526028048783,1550,4,8192,5,608.7083740234375,0.010989746,-0.03523874282836914,-1.364626555144787,0.0271484375,-0.006652992208546493,0.0003,1325.7314609527589,30,0.2
101.11,-157.06723978,1512,5,10240,6,204.47711181640625,0.010217944,-0.002251267433166504,-1.3244474671781064,0.126123046875,-0.009126051565544913,0.0003,775.9864653587341,40,0.2
102.6,-152.92289288,1488,6,12288,8,846.9745483398438,0.008817496,-0.01388251781463623,-1.325356036797166,0.033447265625,-0.0029011987164267337,0.0003,1094.207312488556,50,0.2
103.91,-149.12808547,1480,7,14336,9,288.07513427734375,0.010028912,-0.0004787445068359375,-1.3182318951934575,0.120263671875,-0.01240405526914401,0.0003,573.088981628418,60,0.2
107.34,-149.37964196,1448,8,16384,11,223.40548706054688,0.0103612505,-0.0004360675811767578,-1.3053698036819696,0.072607421875,-0.007937188672076444,0.0003,648.3539985656738,70,0.2
110.12,-143.46684142,1439,9,18432,12,316.22900390625,0.012503292,-0.000408172607421875,-1.2605432488024235,0.098095703125,-0.010828299739659996,0.0003,542.6342183589935,80,0.2
115.03,-141.34284662000002,1431,10,20480,14,83.24497985839844,0.0122188,0.011827707290649414,-1.218325423449278,0.062255859375,-0.008130376096232794,0.0003,347.8572543144226,90,0.2
120.78,-142.42163129,1415,11,22528,15,188.57655334472656,0.009352047,0.011297047138214111,-1.17388948276639,0.060791015625,-0.008608458601520397,0.0003,560.3155437469483,100,0.2
131.45,-138.39519479000003,1393,12,24576,17,107.1443099975586,0.0053739306,0.04923248291015625,-1.147873230651021,0.021484375,-0.002687287834851304,0.0003,407.7961146354675,110,0.2
137.41,-133.07186026000002,1369,13,26624,19,225.59434509277344,0.0021119416,0.06658685207366943,-1.1320213500410319,0.00283203125,-0.0028326497864327393,0.0003,523.763448524475,120,0.2
156.99,-130.14310694000002,1280,14,28672,22,133.32627868652344,0.008698573,-0.017828941345214844,-1.1562328226864338,0.047265625,-0.009135246253572404,0.0003,525.9945535182953,130,0.2
162.24,-129.47119517000002,1225,15,30720,25,97.43985748291016,0.006756567,0.2226322889328003,-1.2309755478054285,0.02255859375,-0.005335186501906719,0.0003,248.0018535375595,140,0.2
178.73,-126.46648093,1225,16,32768,26,74.92485809326172,0.007487775,0.3570610284805298,-1.2103537771850825,0.0486328125,-0.007368859852431342,0.0003,194.86273810863494,150,0.2
191.13,-121.20010586999999,1171,17,34816,29,103.80567169189453,0.0054802247,0.29068875312805176,-1.0811255976557732,0.0330078125,-0.0030006133070855866,0.0003,404.7723760128021,160,0.2
207.09,-119.74640133000003,1145,18,36864,32,47.07725143432617,0.006981408,0.5304665565490723,-1.2363525159657,0.04423828125,-0.006713417277205735,0.0003,219.89022703170775,170,0.2
226.16,-116.78379995000002,1086,19,38912,35,105.0652847290039,0.009640679,0.32546377182006836,-1.1339968979358672,0.058984375,-0.006939038763812277,0.0003,300.4457411289215,180,0.2
240.99,-115.34883328000004,1049,20,40960,39,83.8099594116211,0.008148037,0.668432891368866,-1.1943308509886266,0.0888671875,-0.007975822766093188,0.0003,155.18121453523636,190,0.2
247.99,-112.94902665000001,1056,21,43008,40,67.37208557128906,0.007061745,0.5912838578224182,-1.128724367544055,0.047900390625,-0.0062470709766785145,0.0003,219.86343199014664,200,0.2
257.3,-111.01430640999999,1014,22,45056,44,453.30938720703125,0.01355213,0.35372525453567505,-1.013465366140008,0.100927734375,-0.011536730378429639,0.0003,351.69014554023744,210,0.2
272.18,-107.65644895000001,992,23,47104,47,17.52567481994629,0.011196889,0.7941484153270721,-1.2132706318050623,0.096484375,-0.008625065022351918,0.0003,80.28428817987442,220,0.2
294.08,-107.53257501,978,24,49152,50,208.9597930908203,0.009716934,0.762895405292511,-1.0696092803031205,0.056591796875,-0.006293895997805521,0.0003,129.10912560224534,230,0.2
311.41,-104.59967076,959,25,51200,53,13.900205612182617,0.008079598,0.8107833415269852,-1.119238878786564,0.080859375,-0.007686566735355882,0.0003,123.17085428833961,240,0.2
324.73,-103.19940068999999,947,26,53248,56,14.098173141479492,0.010019054,0.838942140340805,-1.0923655081540347,0.101953125,-0.008818520577187882,0.0003,64.16610135436058,250,0.2
344.22,-98.58289532,943,27,55296,58,31.849294662475586,0.004038786,0.7456203997135162,-1.0545842312276363,0.018701171875,-0.004621956661139848,0.0003,128.09629642367364,260,0.2
361.56,-97.76568574999999,925,28,57344,61,67.68019104003906,0.0077264877,0.8080397993326187,-1.0900828681886197,0.08095703125,-0.006991304773691809,0.0003,72.12820453643799,270,0.2
372.0,-96.42091470999999,911,29,59392,65,23.49358558654785,0.0085265,0.8246369361877441,-1.0759438898414373,0.088232421875,-0.006610679561526922,0.0003,61.90841505229473,280,0.2
389.26,-94.17324527999999,898,30,61440,68,12.201655387878418,0.0060791075,0.7856332659721375,-0.9278670722618699,0.0478515625,-0.00456423149589682,0.0003,68.53529797047376,290,0.2
406.18,-91.24247776,887,31,63488,71,4.802952289581299,0.013603443,0.8583759218454361,-1.0043312916532159,0.079931640625,-0.007465283368219389,0.0003,43.96089045032859,300,0.2
431.11,-86.04663179,879,32,65536,74,6.186263084411621,0.00716675,0.8274826556444168,-1.0238814471289515,0.060302734375,-0.0025474796340859028,0.0003,52.00465194433927,310,0.2
448.43,-82.02357145000002,869,33,67584,77,6.808648109436035,0.005509219,0.6105208396911621,-0.9550530575215816,0.050390625,-0.0037904321470705327,0.0003,112.05888838022948,320,0.2
464.63,-79.04430260999999,864,34,69632,80,5.196011066436768,0.004331845,0.8400800824165344,-0.9477897627279163,0.02783203125,-0.00419669088369119,0.0003,50.93299767337739,330,0.2
479.67,-76.21880495,849,35,71680,84,1.5738273859024048,0.008777944,0.8917906954884529,-0.8860678417608142,0.09052734375,-0.006640551772579784,0.0003,29.02920256331563,340,0.2
495.92,-75.94477626,842,36,73728,87,2.2661495208740234,0.006643949,0.8226000070571899,-0.9574466513469815,0.07744140625,-0.006777601692010649,0.0003,45.93250499591231,350,0.2
511.63,-73.82713721,831,37,75776,91,190.10165405273438,0.0072096707,0.8610183447599411,-0.9158787675201893,0.07001953125,-0.006662103322742041,0.0003,38.181434258818626,360,0.2
530.01,-72.39988217,828,38,77824,93,219.5274200439453,0.0076660137,0.8892986327409744,-0.8869910089299082,0.089501953125,-0.006275818275753409,0.0003,36.02134398780763,370,0.2
546.37,-69.49016555,823,39,79872,97,8.679229736328125,0.0041862745,0.6237269341945648,-0.8351701438426972,0.011962890625,-0.003792720763158286,0.0003,149.46694388240576,380,0.2
562.18,-63.70151834,817,40,81920,100,1.0461397171020508,0.012360549,0.8846542239189148,-0.8082052985206246,0.167578125,-0.01059219152739388,0.0003,35.3945384632796,390,0.2
578.84,-63.69361144,817,41,83968,102,1.9343881607055664,0.0045392476,0.86867655813694,-0.8475137146189808,0.031298828125,-0.003097294326289557,0.0003,48.60482603814453,400,0.2
583.56,-62.68085883,819,42,86016,104,2.9495580196380615,0.004349241,0.8632451593875885,-0.8183332515880466,0.03740234375,-0.001872812584042549,0.0003,42.541733188740906,410,0.2
588.39,-61.98886277,822,43,88064,107,47.79181671142578,0.003972834,0.5234586596488953,-0.8703968649730086,0.01943359375,-0.002659963900441653,0.0003,236.99410878121853,420,0.2
601.54,-58.80211047000002,819,44,90112,110,206.0051727294922,0.0025118596,0.7156268954277039,-0.8789113271981478,0.009033203125,-0.002709531506843632,0.0003,186.15506974756718,430,0.2
612.19,-54.846372220000006,817,45,92160,112,24.350576400756836,0.015083082,0.7895663529634476,-0.7656703410670161,0.116748046875,-0.0070986354425258465,0.0003,84.02004703059792,440,0.2
625.23,-43.61563311,816,46,94208,115,7.236046314239502,0.012615239,0.7055427134037018,-0.7534495651721954,0.075390625,-0.006074409047869267,0.0003,147.1108469426632,450,0.2
640.31,-42.43397937,814,47,96256,118,30.467561721801758,0.013214529,0.3648340702056885,-0.8081685526296496,0.021826171875,-0.005595188091683667,0.0003,208.3199436903,460,0.2
646.22,-41.742606110000004,816,48,98304,120,22.70852279663086,0.010465909,0.7714478522539139,-0.890771659091115,0.112646484375,-0.00615298833581619,0.0003,89.02407314181328,470,0.2
656.49,-39.20890632000001,813,49,100352,123,75.2696533203125,0.0042968486,0.7183166742324829,-0.717417398840189,0.04228515625,-0.0025199708143190946,0.0003,211.01032476723194,480,0.2
666.73,-31.964325369999997,810,50,102400,126,26.37999725341797,0.010130668,0.7663338035345078,-0.8452426156029105,0.1677734375,-0.007494450682861498,0.0003,64.99105840399861,490,0.2
672.69,-25.44567618,811,51,104448,128,65.67145538330078,0.00659684,0.508771151304245,-0.7740670287981629,0.025390625,-0.003345433135109488,0.0003,158.0079224526882,500,0.2
674.61,-19.34520933,811,52,106496,131,14.362329483032227,0.011114959,0.5770016014575958,-0.9037164999172091,0.105615234375,-0.008704153256621794,0.0003,137.76420466303824,510,0.2
673.81,-11.320202550000001,812,53,108544,133,111.73249816894531,0.006188387,0.39001786708831787,-0.7314654851332307,0.02216796875,-0.0036844243411906065,0.0003,189.55522245764732,520,0.2
688.33,-2.7003085700000002,814,54,110592,135,267.36883544921875,0.008640443,0.36226457357406616,-0.8567496651783586,0.04755859375,-0.0023540404868981567,0.0003,135.88828306496143,530,0.2
699.84,1.0009432999999972,816,55,112640,137,73.30777740478516,0.00709657,0.37136632204055786,-0.8349645387381315,0.05927734375,-0.007813374595571076,0.0003,222.28285025656223,540,0.2
703.57,7.634664199999998,816,56,114688,140,10.094300270080566,0.0053803977,0.451590895652771,-0.7775144724175334,0.049951171875,-0.004076441854704171,0.0003,153.06438487917185,550,0.2
702.74,9.499304789999995,817,57,116736,142,131.75244140625,0.0032134922,0.44221997261047363,-0.9104699542745948,0.012451171875,-0.0007925572950625792,0.0003,278.2012961626053,560,0.2
696.29,16.638063309999996,818,58,118784,145,25.19371795654297,0.005923421,0.6755207180976868,-0.7482235820963978,0.07646484375,-0.005932511568971677,0.0003,143.71310318410397,570,0.2
680.59,19.7407714,818,59,120832,147,362.8068542480469,0.0041491156,0.4471871852874756,-0.8764047276228666,0.026123046875,-0.0028786181388568365,0.0003,206.80452369749545,580,0.2
663.97,26.284800539999996,819,60,122880,149,27.283498764038086,0.007515705,0.4937114119529724,-0.9039629234001041,0.0970703125,-0.0037251871841363026,0.0003,153.97767691910266,590,0.2
641.76,32.71911565,820,61,124928,152,289.2150573730469,0.0052695423,0.521233081817627,-0.8660339711233973,0.041455078125,-0.002770749335468281,0.0003,136.70145080089569,600,0.2
604.89,33.100176059999995,822,62,126976,154,29.171058654785156,0.0051265876,0.6153179109096527,-0.8702688127756119,0.056494140625,-0.0045004222767602185,0.0003,158.88437175154687,610,0.2
581.8,37.11320153,824,63,129024,156,51.84413146972656,0.0031225001,0.33392566442489624,-0.8162667043507099,0.0318359375,-0.003777828138845507,0.0003,314.704328417778,620,0.2
552.83,42.44886005,826,64,131072,158,27.85654067993164,0.0029665786,0.5444367825984955,-0.711769806034863,0.031201171875,-0.004030943463294534,0.0003,117.09183050990104,630,0.2
513.02,47.64325312,828,65,133120,160,421.5800476074219,0.0054784557,0.5083228051662445,-0.7485112495720386,0.070654296875,-0.0032343250728445127,0.0003,160.77107980251313,640,0.2
496.24,54.84390838999999,831,66,135168,162,41.17695617675781,0.0044236314,0.5039600431919098,-0.7720603043213486,0.04404296875,-0.0031551739077258388,0.0003,224.52553574442862,650,0.2
475.48,63.288518229999994,834,67,137216,164,25.97850227355957,0.0030670445,0.5570683181285858,-0.7011690739542246,0.038330078125,-0.0021937877540040064,0.0003,154.94997151494027,660,0.2
455.56,64.36275799,836,68,139264,166,25.09614372253418,0.0064196615,0.377769410610199,-0.7191709004342556,0.082177734375,-0.0021899494582612532,0.0003,265.3238005042076,670,0.2
439.02,71.58153569,839,69,141312,168,23.915008544921875,0.004305168,0.3361542224884033,-0.703805435821414,0.028564453125,-0.002589501888724044,0.0003,173.61419817507266,680,0.2
411.46,74.19508952,842,70,143360,170,89.64579772949219,0.008186238,0.3346756100654602,-0.7547280451282858,0.070263671875,-0.003357290398707846,0.0003,258.006533074379,690,0.2
407.13,71.92504865,843,71,145408,172,25.42870330810547,0.007327318,0.4190235733985901,-0.6666005592793226,0.038818359375,-0.0038243001530645416,0.0003,186.51822430491447,700,0.2
388.69,63.84253364999999,846,72,147456,174,84.03400421142578,0.008194258,0.5997786521911621,-0.6809778867289424,0.103271484375,-0.0025479505809926197,0.0003,236.19181255698203,710,0.2
373.9,63.377332510000016,849,73,149504,176,116.1710433959961,0.0060850643,0.34132325649261475,-0.772409157641232,0.041455078125,-0.003796866980701452,0.0003,407.7328741967678,720,0.2
379.62,63.962506479999995,850,74,151552,178,23.176151275634766,0.005003688,0.44262462854385376,-0.7713951582089067,0.043701171875,-0.004887593957755598,0.0003,343.11989439725875,730,0.2
361.19,59.419771139999995,853,75,153600,180,110.15109252929688,0.0053976513,0.6802845597267151,-0.5981586293317378,0.105224609375,-0.006230669454089366,0.0003,165.39372816085816,740,0.2
351.38,61.20400837999998,856,76,155648,181,115.275634765625,0.0048167664,0.5646743178367615,-0.7107166949659586,0.04765625,-0.003725477459374815,0.0003,356.6444471120834,750,0.2
341.29,57.788878430000004,858,77,157696,183,113.52465057373047,0.0060744043,0.6205410361289978,-0.6555798131972551,0.05234375,-0.005766634311294183,0.0003,311.8717462539673,760,0.2
341.68,54.68736811000001,861,78,159744,185,499.8347473144531,0.0047872206,0.509249746799469,-0.7300320144742727,0.038623046875,-0.0057457605304080065,0.0003,296.7421065747738,770,0.2
345.96,53.70835967,862,79,161792,187,90.31254577636719,0.010101102,0.7463130950927734,-0.6535093048587441,0.06669921875,-0.0036870425719826017,0.0003,183.1382627159357,780,0.2
341.15,51.80544566999999,864,80,163840,189,10.001914024353027,0.0055942377,0.848707988858223,-0.7160784836858511,0.080322265625,-0.0038629220576694933,0.0003,116.47568270862102,790,0.2
335.39,49.20966544000001,866,81,165888,191,96.3974609375,0.0064448286,0.5917422473430634,-0.7406866544857621,0.04033203125,-0.0034072682257829,0.0003,205.17335070371627,800,0.2
