time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
0,2330,2048,-147.9437442272727,1,93.0,,,,,,,,,,
2,1725,4096,-162.99179330232556,2,94.04651162790698,0.001057267189025879,0.2,567.126708984375,-1.3822786867618562,1728.3063947677613,10,0.007666716,0.0003,0.036474609375,-0.00733740545801993
3,1603,6144,-164.19858172058824,3,90.22058823529412,-0.06567609310150146,0.2,380.0069580078125,-1.3687896810472011,1078.998013973236,20,0.00849574,0.0003,0.0361328125,-0.010271102433034685
5,1504,8192,-164.25040514444444,4,90.52222222222223,-0.043160438537597656,0.2,475.86492919921875,-1.3686928015202284,1042.0577872276306,30,0.009207681,0.0003,0.062548828125,-0.006928503433300648
7,1330,10240,-159.95381408999998,5,100.42,-0.0014007091522216797,0.2,961.6251831054688,-1.3722031526267529,614.456767654419,40,0.00843893,0.0003,0.0736328125,-0.00912952815706376
9,1330,12288,-160.98374348999997,6,102.97,0.026644349098205566,0.2,386.9490051269531,-1.3664782535284759,449.9582657814026,50,0.012221891,0.0003,0.108740234375,-0.010727234392834361
10,1336,14336,-157.37196976000004,7,105.89,-0.1532958745956421,0.2,173.4320526123047,-1.3486918292939662,647.1800734043121,60,0.013702747,0.0003,0.06328125,-0.009755769693583716
12,1321,16384,-151.78786005,8,109.91,-0.06326889991760254,0.2,206.62115478515625,-1.314257526770234,558.9267140388489,70,0.009893838,0.0003,0.12255859375,-0.009021541316178628
14,1309,18432,-142.88561242999998,9,116.53,-0.0003110170364379883,0.2,155.4994354248047,-1.286658577248454,903.9962577819824,80,0.008375056,0.0003,0.129150390625,-0.005672924075042829
15,1296,20480,-146.52950987999998,10,122.7,-0.00041615962982177734,0.2,142.68475341796875,-1.2855879798531533,349.23357501029966,90,0.003805614,0.0003,0.06796875,-0.006133585012867116
17,1282,22528,-147.37214225999998,11,119.63,-0.0032216310501098633,0.2,148.6251983642578,-1.2492724899202585,372.77756826877595,100,0.014919177,0.0003,0.16787109375,-0.011231164680793881
19,1274,24576,-146.07606465,12,122.9,-0.000431060791015625,0.2,307.0202331542969,-1.2482813626527787,658.4245071411133,110,0.005547471,0.0003,0.05634765625,-0.004497970218653791
21,1265,26624,-145.58323776,13,128.78,-0.00017333030700683594,0.2,309.3831481933594,-1.2095355600118638,683.2690082073211,120,0.0089941835,0.0003,0.0564453125,-0.0071354379862896165
22,1256,28672,-145.44945765,14,138.02,-0.0010775327682495117,0.2,191.98509216308594,-1.201633356884122,603.0095359802247,130,0.007484586,0.0003,0.0548828125,-0.006755114745465108
24,1237,30720,-145.22117415000002,15,149.96,4.488229751586914e-05,0.2,287.6855773925781,-1.1867678366601466,723.0562036514282,140,0.008058102,0.0003,0.05361328125,-0.0015125741527299396
26,1233,32768,-144.08559051,16,159.67,0.001330256462097168,0.2,82.97769927978516,-1.1743008926510812,320.3768944263458,150,0.0066092196,0.0003,0.0201171875,-0.0037525374260440002
28,1228,34816,-142.18311508,17,164.67,0.0027608871459960938,0.2,176.68504333496094,-1.1546217240393162,378.52537541389466,160,0.0047697662,0.0003,0.01298828125,-0.0061404743828461505
30,1222,36864,-143.46835361,18,173.3,-0.08592653274536133,0.2,132.54083251953125,-1.1431406039744616,426.18746073246,170,0.0051422874,0.0003,0.00478515625,-0.004168247543566395
