time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
72,45056,618,-84.17107142857142,800.5357142857143,22,0.01943359375,0.0003,1440,53.24268678948283,0.6220262944698334,-0.7757471621036529,0.005750158,0.2,-0.001529550192208262,3.2813894748687744
75,47104,622,-82.21627118644066,789.2203389830509,23,0.013671875,0.0003,1450,45.35279979165644,0.7008304297924042,-0.7950367311015725,0.0057839723,0.2,-0.0002465139601554256,16.07141876220703
79,49152,619,-80.57693548387095,791.2741935483871,24,0.00966796875,0.0003,1460,63.75803164690733,0.8111668527126312,-0.6710845172405243,0.0028755243,0.2,-0.0015740394195745467,56.85595703125
82,51200,621,-79.013125,792.40625,25,0.12841796875,0.0003,1470,29.27849048632197,0.5768802464008331,-0.853119146451354,0.019021729,0.2,-0.005591143821948208,1.038125991821289
84,53248,629,-79.97720588235295,779.5294117647059,26,0.07724609375,0.0003,1480,39.40678375475109,0.6629142463207245,-0.8192858466878533,0.009026391,0.2,-0.0008729323526495136,97.80828094482422
87,55296,630,-80.09428571428572,785.8285714285714,27,0.036669921875,0.0003,1490,128.65374420136214,0.20391809940338135,-0.7598620956763625,0.005590476,0.2,-0.0023700455527432495,15.026407241821289
91,57344,629,-80.16111111111111,791.7777777777778,28,0.152490234375,0.0003,1500,0.16722474857233466,0.9904926754534245,-0.9137226568534971,0.006981964,0.2,-0.00011586063337745144,0.021219544112682343
94,59392,625,-80.58797297297298,797.4054054054054,29,0.08916015625,0.0003,1510,0.3094921140698716,0.9580012559890747,-0.9093185998499393,0.00599672,0.2,-0.005410761025268584,0.054919950664043427
98,61440,622,-80.83565789473684,802.7368421052631,30,0.13095703125,0.0003,1520,0.05166918519535102,0.9971944047138095,-1.0060991371050476,0.008710282,0.2,-0.007786377395677846,0.03150315210223198
101,63488,623,-80.67215189873419,796.2911392405064,31,0.1400390625,0.0003,1530,0.24283072585240006,0.9792774897068739,-0.844404211640358,0.020398736,0.2,-0.004603557445807383,0.020736869424581528
105,65536,623,-81.92451219512196,796.4024390243902,32,0.0306640625,0.0003,1540,36.393628384405744,0.6137886345386505,-0.8636601980775594,0.0036828516,0.2,-0.0011380790851035273,1.2072762250900269
108,67584,625,-80.49845238095239,793.7738095238095,33,0.02490234375,0.0003,1550,12.738500318303704,0.7630878239870071,-0.8249008698388934,0.00540914,0.2,-0.002030089875916019,0.12878718972206116
110,69632,628,-79.40770114942531,794.816091954023,34,0.029248046875,0.0003,1560,17.563841793406755,0.6912692487239838,-0.9298938386142254,0.0059308517,0.2,-0.0009779424879525322,0.3452160060405731
114,71680,626,-79.41044943820225,799.4269662921348,35,0.0689453125,0.0003,1570,40.363876721635464,0.45481568574905396,-0.8506710086017847,0.0024555475,0.2,-0.001476148748770356,11.244523048400879
116,73728,630,-80.35717391304347,798.25,36,0.1099609375,0.0003,1580,0.25668716271175074,0.9849863490089774,-0.9748811263591051,0.0071775923,0.2,-0.0023703140468569472,0.020576931536197662
120,75776,630,-80.35872340425531,802.5425531914893,37,0.0830078125,0.0003,1590,23.29047394329682,0.23032808303833008,-0.8892160328105092,0.016291514,0.2,-0.0010530442123126704,0.02985665202140808
123,77824,632,-80.30177083333332,806.65625,38,0.06640625,0.0003,1600,0.05926198992528953,0.9968910589814186,-0.8169900247827172,0.0048710583,0.2,-0.0019942114668083377,0.015006789937615395
126,79872,630,-80.2165306122449,810.6020408163265,39,0.2369140625,0.0003,1610,0.7437939373368863,0.9170870333909988,-0.9867396948859095,0.011778405,0.2,-0.005149899633761379,0.01989162713289261
130,81920,629,-80.15899999999999,814.39,40,0.145654296875,0.0003,1620,0.07410530386841856,0.9963609129190445,-0.9396610856056213,0.007954619,0.2,-0.004838083960930817,0.03911552578210831
132,83968,631,-77.23200000000001,813.73,41,0.20146484375,0.0003,1630,0.13836804610909895,0.9915709188207984,-0.9518815023824573,0.013888175,0.2,-0.00526234829594614,0.023183777928352356
135,86016,633,-76.3797,813.73,42,0.00849609375,0.0003,1640,23.376520078768955,0.6691925823688507,-0.8832959907129407,0.008618778,0.2,-0.0002698124175367411,5.562984943389893
138,88064,634,-74.06230000000001,813.76,43,0.083935546875,0.0003,1650,0.42429142027394845,0.9789240099489689,-0.9397116892039776,0.007902154,0.2,-0.002001556984032504,0.005625186488032341
141,90112,635,-74.5385,817.7,44,0.008837890625,0.0003,1660,17.45137151707895,0.7509444653987885,-0.7256385650485754,0.001649431,0.2,-0.0007108426492777653,0.36522290110588074
144,92160,637,-73.7168,817.7,45,0.0744140625,0.0003,1670,0.08688815455534496,0.9936444824561477,-0.8434325011447072,0.008531118,0.2,-0.00306237306795083,0.006532043218612671
147,94208,640,-70.3182,813.54,46,0.1720703125,0.0003,1680,0.2461511333938688,0.9808067213743925,-0.7802496695891022,0.013784707,0.2,-0.003776073507469846,0.09790551662445068
150,96256,640,-70.867,817.36,47,0.020703125,0.0003,1690,31.051744559267537,0.6536133587360382,-0.7487868649885059,0.002308417,0.2,-0.0003887547687554616,9.289495468139648
152,98304,643,-69.7003,805.69,48,0.13837890625,0.0003,1700,0.4122744420543313,0.9760117009282112,-0.727157873660326,0.02340471,0.2,-0.003832566100754775,0.10574692487716675
155,100352,644,-69.12639999999999,807.96,49,0.00986328125,0.0003,1710,56.165766581147906,0.5170870125293732,-0.762024101242423,0.002288727,0.2,-0.0014122209156994358,7.036606311798096
