time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
19,26624,1344,-141.14367933,149.75,13,0.056689453125,0.0003,120,360.55053329467773,0.06265521049499512,-1.1502695623785257,0.008374851,0.2,-0.00889746700413525,155.13453674316406
21,28672,1336,-138.49318914,155.9,14,0.09384765625,0.0003,130,380.5472722053528,0.08646070957183838,-1.1138161212205886,0.009228531,0.2,-0.013277112648938782,265.17095947265625
23,30720,1325,-139.42786585,163.98,15,0.02509765625,0.0003,140,347.42548551559446,0.11229002475738525,-1.0802044320851565,0.00654674,0.2,-0.005512337181426119,127.46284484863281
24,32768,1323,-134.11222043000004,165.77,16,0.0662109375,0.0003,150,623.6070200920105,0.09263569116592407,-1.066583112254739,0.008549549,0.2,-0.00844303737176233,213.4503936767578
26,34816,1300,-131.60775419,168.35,17,0.047216796875,0.0003,160,529.6299241065979,0.15942853689193726,-1.0740348674356937,0.0071598627,0.2,-0.008122676095808856,273.0523986816406
28,36864,1282,-130.57928658,179.74,18,0.090869140625,0.0003,170,365.1358184337616,0.09388816356658936,-1.0759666308760643,0.009194888,0.2,-0.012540212654857896,383.5208435058594
30,38912,1259,-132.24235013,191.65,19,0.084619140625,0.0003,180,394.93993945121764,0.12707465887069702,-1.010161274112761,0.009331942,0.2,-0.007859770572395064,167.18492126464844
33,40960,1233,-127.66146452,204.12,20,0.039453125,0.0003,190,196.0508741617203,0.21961772441864014,-1.0443416630849243,0.0067244656,0.2,-0.005375075591291534,95.86791229248047
35,43008,1199,-121.21416903000001,217.22,21,0.113623046875,0.0003,200,165.44654438495635,0.20587652921676636,-1.0090787658467888,0.013349787,0.2,-0.009489895844308194,35.96228790283203
38,45056,1184,-118.8111786,228.84,22,0.083544921875,0.0003,210,186.84200723171233,0.17061519622802734,-1.055818186700344,0.006877348,0.2,-0.005376200833416079,87.41028594970703
