rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,train/entropy_loss,train/explained_variance
-166.25198717391305,0,2048,2178,1,87.56521739130434,,,,,,,,,,
-171.72119100000003,2,4096,1677,2,89.95555555555555,486.211181640625,10,-0.0037506028267671352,0.01005859375,0.0003,1075.07679605484,0.008638721,0.2,-1.3823454696685076,-0.0030188560485839844
-166.099913,3,6144,1567,3,93.41538461538461,921.2990112304688,20,-0.008154845758690498,0.04560546875,0.0003,1321.9244455337525,0.009306731,0.2,-1.3680432450026274,-0.007739424705505371
-166.84135894047617,5,8192,1512,4,97.28571428571429,476.849853515625,30,-0.008142820635112003,0.05615234375,0.0003,1127.330402946472,0.008070577,0.2,-1.3376445807516575,-0.01653420925140381
-162.60553847999998,6,10240,1475,5,101.64,402.0788879394531,40,-0.011923906166339293,0.1283203125,0.0003,1109.644189453125,0.0203287,0.2,-1.3053285520523787,-0.007490754127502441
-154.55525004999998,8,12288,1451,6,107.79,277.89080810546875,50,-0.00807391230482608,0.13173828125,0.0003,762.377222776413,0.0153349135,0.2,-1.221089105308056,-0.04478585720062256
-148.69157855,10,14336,1427,7,115.58,671.5221557617188,60,-0.0033844706798845437,0.006884765625,0.0003,1005.6646358489991,0.005260466,0.2,-1.2363248966634273,-0.0011457204818725586
-143.59610902,11,16384,1411,8,123.78,352.502197265625,70,-0.0077163194720924365,0.13408203125,0.0003,488.04858775138854,0.013180853,0.2,-1.2047139793634414,-0.00010120868682861328
-142.50115112,13,18432,1398,9,131.33,253.92897033691406,80,-0.00391647557989927,0.06484375,0.0003,859.3493854522706,0.009006709,0.2,-1.2012076336890458,-0.003046870231628418
-137.66718731,14,20480,1385,10,137.04,194.34228515625,90,-0.006904678237333428,0.101513671875,0.0003,506.5635353565216,0.009482814,0.2,-1.161443578451872,-4.208087921142578e-05
-135.4682407,16,22528,1374,11,145.53,392.7240295410156,100,-0.003156553365988657,0.019091796875,0.0003,558.4548860549927,0.008628974,0.2,-1.1422869522124528,-0.0001043081283569336
-133.42813857000002,18,24576,1328,12,158.95,186.92279052734375,110,-0.010059787642967421,0.0943359375,0.0003,626.4462170600891,0.009234221,0.2,-1.087626763433218,-2.47955322265625e-05
-132.69372343999999,20,26624,1318,13,166.74,193.68089294433594,120,-0.0049436871806392444,0.038134765625,0.0003,428.89436621665953,0.007863451,0.2,-1.150481717288494,0.0003476738929748535
-133.92521351000002,22,28672,1302,14,177.97,259.11187744140625,130,-0.004574289136508014,0.036279296875,0.0003,785.9076315879822,0.006752386,0.2,-1.0699884384870528,-0.004172563552856445
-128.25674432999998,24,30720,1243,15,186.96,202.2175750732422,140,-0.010102575429482386,0.02685546875,0.0003,527.6950535774231,0.0077023855,0.2,-1.088297364488244,0.07582598924636841
-129.68607740000002,27,32768,1201,16,203.63,39.34590148925781,150,-0.004738804894441273,0.01806640625,0.0003,150.80100647211074,0.0052911816,0.2,-1.2167796075344086,0.19702643156051636
-129.02520829000002,29,34816,1199,17,208.73,376.5587463378906,160,-0.002405565764638595,0.004541015625,0.0003,353.6627685546875,0.0034953696,0.2,-1.1548335488885642,0.21126151084899902
-128.15686036,31,36864,1186,18,223.98,202.8100128173828,170,-0.004852314711024519,0.02763671875,0.0003,301.41003375053407,0.005568005,0.2,-1.13196487352252,0.12595820426940918
-125.39748865,33,38912,1161,19,229.4,143.47879028320312,180,-0.005643161099942518,0.02724609375,0.0003,370.2645426273346,0.0076541826,0.2,-1.1152085829526186,0.19935864210128784
-123.74203395,35,40960,1155,20,244.19,72.60639190673828,190,-0.0040828652381605934,0.020263671875,0.0003,190.61611812114717,0.0041992017,0.2,-1.1204703636467457,0.3859408497810364
-119.36929549,38,43008,1113,21,256.51,52.19520950317383,200,-0.006816789600998163,0.02939453125,0.0003,289.95891258716586,0.0055458895,0.2,-1.0191196059808134,0.3621699810028076
-115.56228110999999,41,45056,1082,22,272.29,36.737831115722656,210,-0.008016205376770813,0.048046875,0.0003,111.97739771604537,0.0066476767,0.2,-1.127204344421625,0.6506671905517578
-112.92861276999999,44,47104,1052,23,282.34,156.57791137695312,220,-0.003927867718448397,0.041943359375,0.0003,195.74559309482575,0.0062367828,0.2,-1.0991032298654317,0.4087144732475281
-108.13676638999999,47,49152,1026,24,300.98,46.258453369140625,230,-0.005330443539787666,0.03876953125,0.0003,131.97700723409653,0.006781438,0.2,-1.0626807359978556,0.4648406505584717
-109.30179331000001,50,51200,1008,25,316.55,53.38912582397461,240,-0.006737972542759962,0.053369140625,0.0003,116.41087299585342,0.0096101705,0.2,-1.1269769206643105,0.7545777410268784
-104.95107368,53,53248,993,26,333.86,33.06972885131836,250,-0.009296385865309276,0.1423828125,0.0003,133.91509605646132,0.015830526,0.2,-1.1195698752999306,0.5093797147274017
