time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance
15,22528,11,-144.64972708000002,1426,125.12,0.02978515625,0.00440599,0.0003,618.9606549263001,100,316.25567626953125,-1.2024482902139426,0.2,-0.004736634776054416,0.14436382055282593
17,24576,12,-139.34985204,1416,135.18,0.055224609375,0.007019839,0.0003,388.57890491485597,110,138.2487030029297,-1.186251511797309,0.2,-0.006646217103116215,0.09418940544128418
19,26624,13,-137.33137453,1368,148.64,0.103515625,0.008754963,0.0003,405.60185260772704,120,202.3241729736328,-1.1418406553566456,0.2,-0.011669759529468138,0.21620213985443115
21,28672,14,-136.47372013999998,1364,155.98,0.053857421875,0.0071212556,0.0003,322.1216145277023,130,222.37852478027344,-1.2264120515435935,0.2,-0.0080114034251892,0.27324432134628296
23,30720,15,-134.96183740000004,1305,166.46,0.076123046875,0.010759948,0.0003,406.7218121528625,140,193.4893341064453,-1.142181583866477,0.2,-0.008842467881913762,0.24174684286117554
25,32768,16,-133.35365206000003,1301,170.84,0.057421875,0.008617388,0.0003,305.58030593395233,150,83.38317108154297,-1.2397246036678553,0.2,-0.008801959944685222,0.2577117085456848
26,34816,17,-127.89415643000004,1300,177.71,0.039697265625,0.0073827906,0.0003,366.8956727027893,160,92.16384887695312,-1.145814261212945,0.2,-0.007336456804478075,0.2334226369857788
28,36864,18,-128.31722251,1291,182.95,0.060888671875,0.011282833,0.0003,289.8682926654816,170,67.59025573730469,-1.0795425809919834,0.2,-0.005840438507584622,0.3355754613876343
30,38912,19,-122.55425585,1284,193.63,0.042822265625,0.006452456,0.0003,345.9851505279541,180,155.8826904296875,-1.13055025562644,0.2,-0.006773948701447807,0.3599313497543335
33,40960,20,-121.77787471999999,1237,203.96,0.0630859375,0.0072854734,0.0003,290.42567093372344,190,88.6635971069336,-1.0593764141201973,0.2,-0.007851419287908357,0.2801995277404785
36,43008,21,-118.13167939999998,1177,221.41,0.065966796875,0.0076789134,0.0003,171.45721311569213,200,44.44247817993164,-1.1432442519813777,0.2,-0.007978512943373062,0.6086927354335785
39,45056,22,-118.55902180999999,1133,231.52,0.087060546875,0.007243731,0.0003,160.7942225575447,210,39.095638275146484,-1.1394783072173595,0.2,-0.007447829526790883,0.5402469336986542
42,47104,23,-114.68073211999997,1098,247.43,0.09248046875,0.00956757,0.0003,157.50610727071762,220,70.6168441772461,-1.1360593508929013,0.2,-0.007660054002917605,0.5727579295635223
45,49152,24,-113.50915739000001,1084,264.3,0.07353515625,0.0085555725,0.0003,104.41229045391083,230,26.095735549926758,-1.1883200962096452,0.2,-0.005371307621680898,0.5460503995418549
47,51200,25,-110.88198117999998,1073,274.63,0.078125,0.00988744,0.0003,290.6437175273895,240,70.01183319091797,-0.9810340274125338,0.2,-0.006586594530017464,0.3389703631401062
49,53248,26,-109.07630377999998,1069,283.87,0.0783203125,0.0095600905,0.0003,345.0120547771454,250,200.48974609375,-1.0760652616620063,0.2,-0.003524416386790108,-0.025395750999450684
53,55296,27,-109.91479225999997,1035,286.84,0.124267578125,0.010317006,0.0003,413.7918662309647,260,112.8888931274414,-0.9822005631402135,0.2,-0.005381748169020284,0.05888497829437256
55,57344,28,-107.20027129,1027,305.02,0.0205078125,0.004265083,0.0003,219.86232073307036,270,102.7000732421875,-1.0824204817414285,0.2,-0.003506902428489411,0.3499935269355774
58,59392,29,-106.25772631999999,1022,319.21,0.046630859375,0.0067467904,0.0003,178.0303696990013,280,33.5006103515625,-1.0514753874391318,0.2,-0.005268682814494241,0.42533260583877563
60,61440,30,-101.28665431999998,1013,331.67,0.131640625,0.010931229,0.0003,182.2733036994934,290,49.499053955078125,-1.0525389235466718,0.2,-0.01277555630367715,0.5568842589855194
63,63488,31,-102.17439444999998,1003,348.65,0.13828125,0.0108932005,0.0003,157.1753554224968,300,53.00314712524414,-0.9989904254674912,0.2,-0.01020365718868561,0.3231571912765503
65,65536,32,-101.06133257999998,994,353.61,0.06083984375,0.0066887625,0.0003,266.0021959543228,310,209.73321533203125,-0.9834065075963736,0.2,-0.004374743139487691,0.3362264633178711
69,67584,33,-98.19124852,974,364.31,0.139892578125,0.009958493,0.0003,205.75030075311662,320,62.864044189453125,-0.99323860835284,0.2,-0.0038433769390394446,0.0004054903984069824
71,69632,34,-97.86272612,972,384.18,0.072900390625,0.008602243,0.0003,86.52891207337379,330,38.41824722290039,-1.0049889214336871,0.2,-0.007176096407783916,0.23851478099822998
74,71680,35,-93.55848663,961,400.31,0.039111328125,0.00451559,0.0003,132.17012726068498,340,22.980594635009766,-0.9670816823840142,0.2,-0.004313203172932845,0.4210438132286072
78,73728,36,-93.32561728,937,415.57,0.02001953125,0.0048654256,0.0003,52.8600403636694,350,9.830500602722168,-1.0587233943864702,0.2,-0.004491692106967093,0.43748074769973755
81,75776,37,-90.19529886999999,929,432.71,0.12265625,0.010359932,0.0003,24.63326639533043,360,11.720599174499512,-1.0468836739659308,0.2,-0.009605821302102413,0.5754448175430298
84,77824,38,-87.54903281000001,918,449.73,0.049609375,0.0055313413,0.0003,38.98851005733013,370,8.62064266204834,-1.0183006133884192,0.2,-0.004544638874358497,0.5026810169219971
88,79872,39,-85.01503033000003,903,466.07,0.092333984375,0.0074636145,0.0003,52.91100727617741,380,12.049446105957031,-0.968433171696961,0.2,-0.004329720999521669,0.10678786039352417
91,81920,40,-82.39419741000002,896,482.17,0.06943359375,0.0074573136,0.0003,47.296678468585014,390,12.289209365844727,-0.9638097800314427,0.2,-0.001958770579949487,0.02521038055419922
93,83968,41,-79.59001808000001,894,498.75,0.070556640625,0.00806628,0.0003,25.81243319362402,400,4.7666802406311035,-0.9566527860239148,0.2,-0.005931082541064825,0.5719491839408875
97,86016,42,-78.46001365000001,883,515.77,0.06865234375,0.008924158,0.0003,25.098037189245225,410,4.272387981414795,-0.9049167804419994,0.2,-0.00308595483074896,0.7641129642724991
101,88064,43,-75.83872196000002,869,532.44,0.089892578125,0.0064217774,0.0003,16.121478928625585,420,4.276769638061523,-0.9397181717678904,0.2,-0.0033236486728128512,0.4098626971244812
105,90112,44,-72.39572890000001,856,549.57,0.0916015625,0.007233308,0.0003,16.96002853512764,430,3.498943328857422,-0.9648587081581355,0.2,-0.007397989895252977,0.37838560342788696
109,92160,45,-70.56349134000001,844,566.5,0.0611328125,0.0061666355,0.0003,26.028141428530216,440,2.5951056480407715,-1.0021019913256168,0.2,-0.003122948716918472,0.6537262499332428
113,94208,46,-67.73301664,832,582.95,0.028515625,0.003744283,0.0003,24.992961733043195,450,94.0179672241211,-0.9059557730332017,0.2,-0.0022933754153200425,0.2735316753387451
117,96256,47,-64.7501818,821,607.91,0.094970703125,0.006669285,0.0003,15.157904647290707,460,3.3933215141296387,-0.9479129627346993,0.2,-0.006218927739246283,0.3553457260131836
121,98304,48,-61.975113119999996,808,624.71,0.10869140625,0.0077091716,0.0003,25.98945383131504,470,1.7363362312316895,-0.9551846388727426,0.2,-0.006433568683860358,0.3203561305999756
125,100352,49,-60.261937360000005,802,640.15,0.0607421875,0.0059309825,0.0003,26.812279321998357,480,2.242809534072876,-0.929758719727397,0.2,-0.0019043660024181009,0.4046465754508972
128,102400,50,-57.18024880000001,798,650.55,0.0517578125,0.0042996984,0.0003,21.99439932703972,490,4.246443748474121,-0.9001463470980525,0.2,-0.0025162184821965637,0.4198352098464966
