rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
796.5,777,74,194,151552,-12.272560649999997,39.955265714228155,730,17.96992301940918,0.014401844,-0.8403549591079355,-0.006478419581981143,0.8861688077449799,0.2,0.113037109375,0.0003
800.05,774,75,198,153600,-13.342940980000002,22.549790110439062,740,3.532400608062744,0.007372909,-0.9507155848667026,-0.0025000745081342757,0.7873832732439041,0.2,0.0876953125,0.0003
807.49,771,76,201,155648,-12.01410864,33.097190192341806,750,3.075526237487793,0.0077447207,-0.9278312550857664,-0.007447668259555939,0.866521030664444,0.2,0.06845703125,0.0003
803.66,766,77,205,157696,-12.742669860000003,50.593097157776356,760,25.46709632873535,0.01085538,-0.9069487188011408,-0.004520820308971452,0.8372832983732224,0.2,0.108837890625,0.0003
803.66,766,78,208,159744,-12.322574610000002,48.34492674618959,770,4.198453903198242,0.008495426,-0.9319318639114499,-0.0028727486678690184,0.778412327170372,0.2,0.073388671875,0.0003
798.04,763,79,211,161792,-12.743666340000003,36.46794991567731,780,2.6823298931121826,0.0066704345,-0.853371649980545,-0.00330162684986135,0.7121977508068085,0.2,0.058447265625,0.0003
801.95,760,80,215,163840,-11.620256199999998,24.334807455539703,790,2.4590702056884766,0.006168988,-0.9061213079839945,-0.00035207997570978477,0.9192627891898155,0.2,0.06787109375,0.0003
807.53,756,81,219,165888,-10.8949264,28.828706508874895,800,2.7571468353271484,0.004251292,-0.944989825412631,-0.001203960829298012,0.7607513964176178,0.2,0.055517578125,0.0003
807.83,755,82,222,167936,-9.56116121,91.80522448718548,810,28.45293617248535,0.0061011203,-0.940790432319045,-0.0015175654807535466,0.45194005966186523,0.2,0.059912109375,0.0003
807.83,753,83,225,169984,-10.550614489999997,22.919287680089475,820,2.4858243465423584,0.0063970955,-0.9093920778483152,-0.0031820058393350337,0.5145919024944305,0.2,0.0826171875,0.0003
799.04,752,84,228,172032,-11.84127814,19.781306399405004,830,3.1942648887634277,0.005996745,-0.9171924466267228,-0.0011237346174311825,0.6064125001430511,0.2,0.105859375,0.0003
804.3,752,85,231,174080,-10.580814209999998,97.35127928406,840,11.45857048034668,0.0025611117,-0.9017206896096468,-0.0017345525760902093,0.6540069878101349,0.2,0.030712890625,0.0003
804.3,750,86,234,176128,-10.44953116,25.307483638823033,850,192.64385986328125,0.007916093,-0.8978678554296493,-0.0022202342457603662,0.6634770035743713,0.2,0.094921875,0.0003
805.56,747,87,238,178176,-11.242489830000002,24.276781937479974,860,3.466860055923462,0.00409117,-0.8773562099784613,-0.0030857814512273763,0.7118482291698456,0.2,0.046630859375,0.0003
815.06,747,88,240,180224,-13.509574930000003,23.810678946226837,870,1.8399463891983032,0.0052938014,-0.8504179012030363,-0.0018540702578320634,0.7139808833599091,0.2,0.057080078125,0.0003
815.06,744,89,244,182272,-12.889798970000001,19.527805843949317,880,3.552011728286743,0.005558248,-0.9033264527097344,-0.002819894677668344,0.9494064934551716,0.2,0.044384765625,0.0003
819.71,744,90,247,184320,-12.29216292,29.748709086328745,890,3.901867628097534,0.0074254135,-0.8846745498478412,-0.0020175976140308196,0.24604129791259766,0.2,0.08271484375,0.0003
