rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_fraction
669.22,177,66,135168,761,17.820881700000008,0.2,0.0003,0.008625099,650,171.15590427219868,0.511223167181015,-0.8801284825429321,26.542644500732422,-0.004129407111031469,0.055615234375
660.35,181,67,137216,756,20.895058470000002,0.2,0.0003,0.0056774784,660,156.77574582248926,0.4914301633834839,-0.9433829547837377,90.54344940185547,-0.003102585262240609,0.03798828125
655.42,184,68,139264,755,24.71172024000001,0.2,0.0003,0.010998851,670,112.24115074425936,0.41832154989242554,-0.7408376011997462,28.513076782226562,-0.006371428319835104,0.04443359375
649.91,188,69,141312,750,27.505315790000004,0.2,0.0003,0.0049780877,680,135.69761178195478,0.5150796473026276,-0.8648996626958251,39.98834228515625,-0.002717192054115003,0.04501953125
641.24,191,70,143360,749,30.013628330000003,0.2,0.0003,0.0027238773,690,91.26105686426163,0.4647236466407776,-0.7939263436943292,34.45701599121094,-0.0007907565493951551,0.01279296875
634.53,193,71,145408,751,29.15624103,0.2,0.0003,0.009574149,700,87.35429786890745,0.48325884342193604,-0.813813715428114,47.977027893066406,-0.00647925243829377,0.12998046875
632.06,196,72,147456,749,30.28477141000001,0.2,0.0003,0.004656003,710,170.15483380407096,0.4591618776321411,-0.8438046753406525,7.41176176071167,-0.004716877684404608,0.09560546875
633.46,199,73,149504,748,30.020821580000003,0.2,0.0003,0.004011795,720,99.05135237276554,0.5648348033428192,-0.8731934441253543,26.603185653686523,-0.0005850815337907989,0.04482421875
634.89,202,74,151552,747,28.63937354,0.2,0.0003,0.00584045,730,223.20338212549686,0.6508730947971344,-0.8385095234960318,17.481229782104492,-0.0009822844062000514,0.050634765625
629.33,204,75,153600,749,27.00591911,0.2,0.0003,0.008490465,740,161.03665117919445,0.5813494026660919,-0.7130826782435179,25.324371337890625,-0.004751233957358636,0.07216796875
629.11,207,76,155648,750,20.953640039999996,0.2,0.0003,0.0066854325,750,247.07806553542613,0.5524721145629883,-0.865051512233913,120.11096954345703,-0.0070786448484795985,0.0798828125
635.85,209,77,157696,751,29.83793154,0.2,0.0003,0.00614041,760,220.76925680339338,0.5401831567287445,-0.7736870227381587,85.04509735107422,-0.005278890307818074,0.065478515625
637.52,212,78,159744,751,25.83645354,0.2,0.0003,0.0021983457,770,135.1538049340248,0.38345247507095337,-0.8390978569164872,15.515501022338867,-0.0020071339793503286,0.028369140625
640.9,215,79,161792,752,24.779985870000004,0.2,0.0003,0.004149869,780,132.1653870433569,0.6484094560146332,-0.7603318087756634,25.87750244140625,-0.0007821753708412871,0.0443359375
631.32,217,80,163840,754,20.994607419999998,0.2,0.0003,0.008127746,790,97.17891516387462,0.6267641186714172,-0.7914025843143463,36.458648681640625,-0.0023480443298467433,0.074365234375
620.48,219,81,165888,755,21.59941119,0.2,0.0003,0.005038402,800,238.30518476963044,0.7153471112251282,-0.8391501892358064,31.87833595275879,-0.003824031609474332,0.041015625
619.63,222,82,167936,755,23.161330399999997,0.2,0.0003,0.010226345,810,124.70521757602691,0.7862211912870407,-0.8605910351499915,63.15681076049805,-0.00551722085037909,0.089599609375
617.27,224,83,169984,756,26.15359473,0.2,0.0003,0.0042365044,820,201.61105036735535,0.5110475122928619,-0.8224002603441477,17.762020111083984,-0.002054242381564109,0.04208984375
616.59,226,84,172032,758,27.131557289999996,0.2,0.0003,0.006145454,830,93.49208587259054,0.7900291681289673,-0.8101986428722739,2.668344259262085,-0.0020337605608801825,0.103369140625
621.01,229,85,174080,757,31.99654802,0.2,0.0003,0.008399928,840,194.24676249623298,0.40751469135284424,-0.7726477483287454,343.9687805175781,-0.0034254334510478656,0.049951171875
620.57,232,86,176128,758,33.37240711,0.2,0.0003,0.006363745,850,169.76714070141315,0.6364503800868988,-0.8743927597999572,6.632768630981445,-0.0028341989585896955,0.05224609375
620.09,234,87,178176,758,32.28891889,0.2,0.0003,0.00768778,860,144.2968070730567,0.6277833580970764,-0.8555750027298927,31.12066650390625,-0.001461132235272089,0.06064453125
619.71,237,88,180224,758,32.941928170000004,0.2,0.0003,0.006549366,870,214.15557491779327,0.7123246490955353,-0.9191183602437377,35.82045364379883,-0.00587526891977177,0.04755859375
611.74,239,89,182272,760,33.96399439,0.2,0.0003,0.006624344,880,154.06768437027932,0.7340464890003204,-0.8618763953447341,43.87034606933594,-0.0034057528700941475,0.068798828125
611.45,242,90,184320,760,33.4091168,0.2,0.0003,0.0033745295,890,225.64541303515435,0.7013642489910126,-0.7671170875430107,62.136287689208984,-0.0008815406534267822,0.0224609375
605.04,244,91,186368,761,35.663386079999995,0.2,0.0003,0.004749122,900,216.61053722500802,0.456606388092041,-0.7650920145213604,60.66034698486328,-0.004992041453078855,0.030517578125
589.51,246,92,188416,763,37.74973648,0.2,0.0003,0.0052449633,910,204.1040951371193,0.6495600938796997,-0.7821595024317503,104.23763275146484,-0.001529638596184668,0.05302734375
574.67,248,93,190464,765,38.24390957,0.2,0.0003,0.0049145813,920,203.41502373218538,0.6371490657329559,-0.7874785766005516,35.549278259277344,-0.002068644278915599,0.0400390625
567.87,251,94,192512,766,38.47911615,0.2,0.0003,0.008073791,930,203.2362993836403,0.3431713581085205,-0.7766930220648647,65.80536651611328,-0.001752297195889696,0.066015625
554.92,253,95,194560,766,38.562173259999994,0.2,0.0003,0.0023663675,940,266.8255160331726,0.5023985505104065,-0.7206746324896812,266.30938720703125,-0.0005176996666705236,0.007568359375
550.44,256,96,196608,767,36.656688399999986,0.2,0.0003,0.0040725945,950,188.85665878653526,0.6528553664684296,-0.7773237377405167,83.77588653564453,-0.0023275473235116807,0.04482421875
551.79,258,97,198656,768,34.9584171,0.2,0.0003,0.006314271,960,210.68844670653343,0.5396232306957245,-0.633995405677706,274.8740234375,-0.003032309810078004,0.067041015625
548.58,260,98,200704,769,42.32161521999999,0.2,0.0003,0.00975683,970,108.03951063156128,0.7459605634212494,-0.7968250865116715,66.94432830810547,-0.0030256763166107703,0.062451171875
550.34,263,99,202752,770,41.24910628999999,0.2,0.0003,0.0025358326,980,190.248517203331,0.5411521196365356,-0.6865964442491531,60.792354583740234,-0.0009856331715127453,0.021337890625
542.79,265,100,204800,770,42.26093566,0.2,0.0003,0.0049924683,990,90.48372312933206,0.8049958795309067,-0.7824712175875902,180.48846435546875,-0.0012360049011476803,0.076416015625
544.9,268,101,206848,771,40.81641013,0.2,0.0003,0.008845307,1000,218.7329466998577,0.693230390548706,-0.7650556027889251,42.29936218261719,-0.0037407562147564024,0.071533203125
550.51,270,102,208896,772,36.88355794000001,0.2,0.0003,0.009891298,1010,131.05807161927223,0.760982483625412,-0.8911639120429754,76.21276092529297,-0.0026528462956775913,0.099462890625
544.95,272,103,210944,773,45.500852460000004,0.2,0.0003,0.0062177414,1020,186.20684403181076,0.6755893528461456,-0.7530502764508128,22.670024871826172,-0.004349192823428894,0.052880859375
528.77,274,104,212992,775,39.38168957,0.2,0.0003,0.005071277,1030,148.6162981271744,0.4054585099220276,-0.7800962792709469,76.70298767089844,-0.0015919522957119625,0.072314453125
524.8,276,105,215040,776,39.65675264000001,0.2,0.0003,0.0043862895,1040,304.5677108168602,0.7217550873756409,-0.8225515734404325,384.05792236328125,-0.0018093517210218124,0.0203125
520.0,279,106,217088,777,48.726938600000004,0.2,0.0003,0.0067510167,1050,127.05694135427476,0.7183114290237427,-0.7814637687057256,54.340538024902344,-0.003915962239261717,0.059228515625
502.39,281,107,219136,778,50.33312428,0.2,0.0003,0.006649743,1060,188.45714743137358,0.5680065155029297,-0.7961378660053015,311.74761962890625,-0.0012036580930725905,0.048046875
506.5,284,108,221184,778,52.12101772999999,0.2,0.0003,0.0048460835,1070,124.86434232890606,0.7602954804897308,-0.7756381265819072,12.650379180908203,-0.0015522697336564305,0.043017578125
505.9,286,109,223232,778,51.41983902,0.2,0.0003,0.0034506936,1080,163.50002421736718,0.6004111170768738,-0.6572898980230093,22.606523513793945,-0.0020757680802489633,0.0591796875
502.73,288,110,225280,780,48.2880087,0.2,0.0003,0.003587706,1090,128.0699508726597,0.4512956738471985,-0.5546686843037605,74.92399597167969,-0.002442247943690745,0.030908203125
499.25,290,111,227328,781,52.496061739999995,0.2,0.0003,0.004598466,1100,267.8689165592194,0.6309596598148346,-0.7205748276785016,141.29676818847656,-0.0029808386090735437,0.039599609375
491.1,293,112,229376,782,58.40110457,0.2,0.0003,0.0029786576,1110,164.30179781913756,0.6304894089698792,-0.6818329021334648,195.78778076171875,-0.0020132239238591864,0.0197265625
485.67,295,113,231424,784,52.55824439999999,0.2,0.0003,0.003760159,1120,152.77390902638436,0.4961356520652771,-0.7040827374905347,278.39501953125,-0.0027526870580913965,0.042431640625
474.77,296,114,233472,786,53.39215347999999,0.2,0.0003,0.006026595,1130,215.62589787244798,0.65855273604393,-0.7133466832339763,30.767271041870117,-0.0037916257340839367,0.048388671875
480.68,299,115,235520,787,53.09990357999998,0.2,0.0003,0.0033077968,1140,280.2970697849989,0.5593811571598053,-0.7233877087011933,16.138216018676758,-0.004992281132581411,0.05185546875
483.65,301,116,237568,787,52.79570875,0.2,0.0003,0.008931845,1150,141.6244387745857,0.684971421957016,-0.6998803336173296,56.251243591308594,-0.004837802390102297,0.074853515625
484.48,303,117,239616,788,50.378092259999995,0.2,0.0003,0.0037487042,1160,162.00376148223876,0.6401036381721497,-0.7012768875807524,33.875938415527344,-0.0042876690429693555,0.057373046875
