rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/entropy_loss
84.625,2048,2272,-149.35329370833333,1,0,,,,,,,,,,
88.04347826086956,4096,1731,-158.63928369565218,2,2,0.2,0.0003,-0.007033079091343097,0.006097325,-0.0022051334381103516,10,3034.334035873413,0.0302734375,2176.126708984375,-1.3830879632383586
93.43076923076923,6144,1567,-155.90470364615385,3,3,0.2,0.0003,-0.009815571318904403,0.009926155,-0.005419254302978516,20,1490.2987406730651,0.07880859375,479.6338195800781,-1.376875627040863
95.87058823529412,8192,1530,-160.68912728235293,4,5,0.2,0.0003,-0.002956817529775435,0.0061619533,-0.2170119285583496,30,1196.6975467205048,0.022802734375,422.88763427734375,-1.3745367325842381
97.93,10240,1494,-155.68499126999998,5,6,0.2,0.0003,-0.00747380189714022,0.011064477,-0.0018715858459472656,40,914.562798690796,0.066064453125,441.6311340332031,-1.363658145070076
102.23,12288,1479,-160.92184640000002,6,8,0.2,0.0003,-0.010329459379136097,0.0058287913,-0.0006837844848632812,50,795.0561271190643,0.07333984375,565.9345092773438,-1.353917521238327
106.2,14336,1471,-157.48337554999998,7,9,0.2,0.0003,-0.006201643071835861,0.008179936,-0.001633286476135254,60,650.2228909492493,0.059521484375,303.7391357421875,-1.3471681606024504
107.85,16384,1460,-156.73031118,8,11,0.2,0.0003,-0.009477277823316399,0.008003294,-0.0004680156707763672,70,364.14785447120664,0.0857421875,112.85574340820312,-1.3298975382000209
110.17,18432,1453,-149.60763977,9,12,0.2,0.0003,-0.008497787248779786,0.010852963,-0.0021715164184570312,80,499.07176795005796,0.11552734375,239.34661865234375,-1.2876661531627178
116.43,20480,1444,-148.84042438000003,10,14,0.2,0.0003,-0.004329663178941701,0.010029069,3.0040740966796875e-05,90,431.80099115371706,0.038916015625,358.27764892578125,-1.225142328813672
122.63,22528,1437,-145.76938963999999,11,15,0.2,0.0003,-0.004386713658459484,0.006164845,-0.0013623237609863281,100,377.547039937973,0.0564453125,98.20294189453125,-1.2367398723959924
126.7,24576,1432,-144.25050896000002,12,17,0.2,0.0003,-0.004660685732960701,0.0070164353,-0.0005307197570800781,110,525.3486211776733,0.06630859375,534.6366577148438,-1.179134389013052
137.67,26624,1418,-142.37558501,13,18,0.2,0.0003,-0.006790712225483731,0.012340226,-0.0002015829086303711,120,447.95427985191344,0.105908203125,315.4712829589844,-1.1537042461335658
141.11,28672,1372,-136.28365881000002,14,20,0.2,0.0003,-0.00979497712396551,0.006981534,-3.349781036376953e-05,130,1185.7343328952788,0.066357421875,233.25303649902344,-1.1689048316329718
160.95,30720,1316,-131.82273235,15,23,0.2,0.0003,-0.0029353281744988633,0.0051022423,0.00026226043701171875,140,382.6979283809662,0.01142578125,133.1980438232422,-1.2070091400295495
172.74,32768,1309,-130.14252823,16,25,0.2,0.0003,-0.0014084867332712747,0.0012784416,-0.0015174150466918945,150,352.43298110961916,0.0,255.9684295654297,-1.239627393707633
184.56,34816,1287,-125.45444733999999,17,27,0.2,0.0003,-0.0033547843515407292,0.0047278674,0.024432718753814697,160,331.4450623512268,0.003759765625,104.60020446777344,-1.1490775808691978
198.42,36864,1252,-123.63212098999999,18,29,0.2,0.0003,-0.002285010853302083,0.0021366845,0.15965473651885986,170,281.80361955165864,0.000830078125,133.14434814453125,-1.2001727502793074
206.81,38912,1250,-122.46596555000002,19,31,0.2,0.0003,-0.004298428309266455,0.0029501882,0.24625688791275024,180,208.51128463745118,0.008056640625,91.61139678955078,-1.179195686802268
223.69,40960,1224,-121.17414298,20,33,0.2,0.0003,-0.008722695814503823,0.01644792,0.2234620451927185,190,305.37024238109586,0.110546875,86.57551574707031,-1.0889814771711825
229.94,43008,1196,-118.32254235000002,21,35,0.2,0.0003,-0.008000807223288576,0.008290559,0.4215908646583557,200,139.89931012392043,0.056982421875,40.09034729003906,-1.1913068041205406
252.71,45056,1168,-116.63000173,22,38,0.2,0.0003,-0.007816945891681826,0.011935596,0.4458698034286499,210,149.86640454530715,0.062744140625,40.567420959472656,-1.1089576523751021
266.63,47104,1127,-114.75103845,23,41,0.2,0.0003,-0.005603268182130705,0.006149368,0.3368831276893616,220,193.24688962697982,0.029052734375,81.62384796142578,-1.1113888628780841
281.5,49152,1097,-113.37158115999999,24,44,0.2,0.0003,-0.003971056289447006,0.0073126145,0.09367942810058594,230,141.2420765399933,0.06220703125,34.149696350097656,-1.173219009488821
294.52,51200,1058,-112.09173744,25,48,0.2,0.0003,-0.005146911685005762,0.005953538,0.519189327955246,240,157.0792072057724,0.03134765625,67.9164047241211,-1.17028688788414
317.33,53248,1041,-107.14116962999998,26,51,0.2,0.0003,-0.002338255101494724,0.003124681,0.6704620122909546,250,63.005246663093565,0.0125,63.019508361816406,-1.168023629486561
332.43,55296,1024,-106.58107255,27,53,0.2,0.0003,-0.005404884317249526,0.01144461,0.6339049637317657,260,114.7842033803463,0.090771484375,333.8556213378906,-1.1215433701872826
346.26,57344,1010,-103.82677694,28,56,0.2,0.0003,-0.008644842242210871,0.009190293,0.5578264892101288,270,155.74946308135986,0.072265625,38.568016052246094,-1.0676826681941747
360.06,59392,998,-102.49214435999998,29,59,0.2,0.0003,-0.005600188227253966,0.00480478,0.6288825571537018,280,117.16293740272522,0.0333984375,27.734338760375977,-1.0762879230082034
380.27,61440,987,-99.38473393999999,30,62,0.2,0.0003,-0.004298111680691363,0.0103478525,0.5161879062652588,290,84.9377048432827,0.074462890625,29.99931526184082,-1.025323979742825
400.27,63488,972,-92.04346874999997,31,65,0.2,0.0003,-0.006589646432985319,0.007123327,0.7772906720638275,300,106.22483885884284,0.077783203125,25.317787170410156,-0.9785500347614289
413.98,65536,957,-92.04266406999999,32,68,0.2,0.0003,-0.0047030695648572875,0.0077457665,0.5378874242305756,310,238.1504945874214,0.037255859375,61.50994873046875,-0.9263695318251848
431.94,67584,935,-89.02330321,33,72,0.2,0.0003,-0.0069280429797800025,0.008745884,0.5682605803012848,320,113.92669397592545,0.0779296875,15.391396522521973,-1.058104588650167
445.55,69632,910,-86.48466183,34,76,0.2,0.0003,-0.00521892176620895,0.007424249,0.8798782750964165,330,50.51111063659191,0.049755859375,8.606475830078125,-0.9147076439112425
462.83,71680,894,-83.99552151,35,80,0.2,0.0003,-0.006034911722963443,0.010236613,0.7286348640918732,340,97.67222799062729,0.087451171875,25.927467346191406,-1.0382902204990387
478.83,73728,885,-78.36840863,36,83,0.2,0.0003,-0.0095474853500491,0.008692494,0.82087542116642,350,39.23914825618267,0.1205078125,120.4096908569336,-1.095196495205164
