time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/loss,train/approx_kl,train/std,train/clip_fraction,train/clip_range
1,-129.016832375,122.375,1908,1,2048,,,,,,,,,,,
2,-127.74387649999998,120.26470588235294,1453,2,4096,0.006795525550842285,0.0003,-2.8372896522283555,-0.002978278390946798,1754.6407562255858,10,1017.9476318359375,0.0036480632,0.9998061656951904,0.014501953125,0.2
4,-125.24884284615383,117.6923076923077,1333,3,6144,-0.011969566345214844,0.0003,-2.836556950211525,-0.003841080946585862,1858.9671785354615,20,331.67657470703125,0.004165187,1.000719666481018,0.021923828125,0.2
1,-160.83098922222223,113.77777777777777,1745,1,2048,-0.0009868144989013672,0.0003,-2.824578821659088,-0.0024400537098699716,1404.137559223175,30,506.21240234375,0.0027323747,0.98790043592453,0.010595703125,0.2
3,-164.42328484375,127.34375,1327,2,4096,0.0007494688034057617,0.0003,-2.8163874931633472,-0.00396821123213158,1304.2411299705504,40,759.5236206054688,0.0035087392,0.989564061164856,0.030126953125,0.2
4,-156.37372918367348,124.57142857142857,1285,3,6144,-0.0384141206741333,0.0003,-2.817833574861288,-0.010552133338933345,579.1561081886291,50,406.5756530761719,0.007036661,0.993376612663269,0.087060546875,0.2
