rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/loss,train/explained_variance,train/clip_range,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
18.86375614,278,880.51,515,70,143360,1.1650991439819336,0.7180761396884918,0.2,0.7360464930534363,0.07705078125,0.0003,690,0.005790512,-2.237594190239906,-0.00229924268060131,35.07338095009327
16.34341175,281,868.89,515,71,145408,28.282169342041016,0.38071101903915405,0.2,0.7278202772140503,0.04609375,0.0003,700,0.005280266,-2.2128857389092444,-0.0048935236627585255,118.16405725181103
20.98839549,286,866.88,513,72,147456,58.214351654052734,0.3747937083244324,0.2,0.724494457244873,0.035107421875,0.0003,710,0.003214526,-2.1960397236049176,-0.00039568539505125956,191.2519905269146
23.065224089999997,290,858.55,514,73,149504,10.944698333740234,0.4746606945991516,0.2,0.7130355834960938,0.045166015625,0.0003,720,0.0037186588,-2.1752565786242486,-0.005204569871420972,86.25540821999311
23.452071179999997,296,858.55,510,74,151552,29.218984603881836,0.5636294782161713,0.2,0.7112336158752441,0.07265625,0.0003,730,0.0073402715,-2.1543148033320905,-0.005798935395432636,103.38096104562283
24.629135210000005,301,854.29,509,75,153600,3.707512378692627,0.6370798051357269,0.2,0.6992064714431763,0.086865234375,0.0003,740,0.01386284,-2.13626106902957,-0.0015724472657893784,43.938581123203036
26.304399600000007,305,850.76,510,76,155648,7.545051574707031,0.5296351909637451,0.2,0.6950469017028809,0.10654296875,0.0003,750,0.0067054383,-2.113743871450424,-0.006395596505899448,54.48916349187493
26.749415329999998,311,850.76,506,77,157696,128.2316131591797,0.5332426428794861,0.2,0.6892198324203491,0.06318359375,0.0003,760,0.007005215,-2.0990459866821767,-0.005917460782075068,92.53610771000385
29.326313179999996,314,841.66,507,78,159744,0.9326990246772766,0.5560528934001923,0.2,0.6886025667190552,0.092578125,0.0003,770,0.0122009665,-2.0899777829647066,-0.0022349206934450193,41.06913447491824
31.77883016,319,837.97,506,79,161792,19.545734405517578,0.4549587368965149,0.2,0.6855189204216003,0.063818359375,0.0003,780,0.0052584177,-2.081291572004557,-0.002987638288323069,109.40230143815279
28.50028361,324,835.76,504,80,163840,19.1630802154541,0.5718002021312714,0.2,0.6778549551963806,0.072607421875,0.0003,790,0.0097111035,-2.0653323091566564,-0.003954594338574679,67.0585137359798
29.54038217,329,841.0,503,81,165888,14.015568733215332,0.5569101274013519,0.2,0.6877104043960571,0.06806640625,0.0003,800,0.0030589374,-2.0670529559254645,-0.00039352054009214046,106.85782893449068
28.605469820000003,333,829.6,503,82,167936,6.733766555786133,0.49924689531326294,0.2,0.6737028360366821,0.071728515625,0.0003,810,0.005960481,-2.06568288654089,-0.0005202384672884364,32.073292166739705
26.706177580000002,336,832.05,505,83,169984,23.862722396850586,0.4880381226539612,0.2,0.6722038388252258,0.065283203125,0.0003,820,0.0057688486,-2.0413024328649043,-0.0024699789646547288,100.7425177320838
25.04729617,339,820.5,506,84,172032,6.948244571685791,0.6136093437671661,0.2,0.6753150224685669,0.067724609375,0.0003,830,0.0077803726,-2.0443234995007513,0.0008729006651265081,133.47364597916604
21.26930267,343,814.5,507,85,174080,39.451026916503906,0.6327415704727173,0.2,0.6748055815696716,0.066015625,0.0003,840,0.007249778,-2.049304689466953,-0.0017619434001971968,84.2030079677701
18.46504072,347,804.6,507,86,176128,51.69034194946289,0.7800033688545227,0.2,0.6674059629440308,0.05498046875,0.0003,850,0.005956945,-2.0362245567142963,-0.0016016208617656957,87.44162945449352
18.246790830000005,350,783.58,508,87,178176,66.66238403320312,0.6161240041255951,0.2,0.6677603721618652,0.09951171875,0.0003,860,0.008461406,-2.027633198350668,-0.0038136847149871757,156.1821798861027
16.520491979999996,354,775.4,508,88,180224,3.7159533500671387,0.6628878116607666,0.2,0.6632149815559387,0.051611328125,0.0003,870,0.008246254,-2.021459908038378,-0.001651552937255474,129.349656355381
16.736778409999996,358,763.53,507,89,182272,128.16708374023438,0.6728587746620178,0.2,0.6639907360076904,0.07138671875,0.0003,880,0.0074635823,-2.0161237843334674,0.0002752159460214898,83.8035940259695
18.828666969999997,363,758.89,507,90,184320,335.6893310546875,0.6080098748207092,0.2,0.6580095291137695,0.077001953125,0.0003,890,0.0070896894,-2.003849694505334,-0.00501459972729208,84.2429692529142
15.61076535,366,744.83,507,91,186368,15.622907638549805,0.5216307938098907,0.2,0.6592129468917847,0.08046875,0.0003,900,0.009980265,-2.001633918657899,-3.772371856030077e-05,64.18120109327137
12.356533620000002,371,745.3,507,92,188416,6.300616264343262,0.6664388477802277,0.2,0.6599210500717163,0.064697265625,0.0003,910,0.008252369,-2.003294885903597,-0.001637195475632325,92.3928245306015
12.78370344,375,746.35,507,93,190464,26.9010009765625,0.4754979610443115,0.2,0.6559888124465942,0.058203125,0.0003,920,0.006790242,-2.000199196487665,0.0006139592856925447,94.1348235744983
12.61968696,380,749.77,505,94,192512,40.75344467163086,0.7337954044342041,0.2,0.6580421924591064,0.09677734375,0.0003,930,0.009682641,-1.993803894892335,-0.001036408802610822,42.5522070415318
9.01558235,384,749.34,505,95,194560,2.8679039478302,0.6331221163272858,0.2,0.6575123071670532,0.098486328125,0.0003,940,0.007836059,-1.9961099918931722,-0.001457158695848193,31.845102957077323
3.331705529999997,387,722.9,507,96,196608,52.02507019042969,0.5135883092880249,0.2,0.6576973795890808,0.09765625,0.0003,950,0.0041449317,-1.9997112762182951,-0.0035769663882092573,95.10262596160173
4.5116957200000005,391,707.48,506,97,198656,93.82786560058594,0.6168799698352814,0.2,0.6597374677658081,0.045751953125,0.0003,960,0.0042427434,-2.001393824070692,-0.004559087324741995,243.48994029164314
3.9837650199999994,397,713.17,504,98,200704,77.56062316894531,0.642955869436264,0.2,0.6613142490386963,0.07236328125,0.0003,970,0.007831617,-2.006716388463974,-0.003886508040886838,121.32969825267791
-0.02680014999999969,401,706.51,505,99,202752,1.4313286542892456,0.5878481566905975,0.2,0.6471139788627625,0.086474609375,0.0003,980,0.005741013,-1.9882011082023383,-0.0022869465828989632,41.517900763824585
