time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
57344,28,347.73,-100.26569301,970,59,0.6015043258666992,270,0.2,-0.003488771562842885,20.808216094970703,0.0003,-1.1592202890664338,111.64890579581261,0.006386121,0.03876953125
59392,29,364.74,-98.37866538000002,948,62,0.7058936059474945,280,0.2,-0.0059312343757483175,33.678810119628906,0.0003,-1.1289237707853317,100.4687362253666,0.0098890215,0.075146484375
61440,30,376.67,-96.32189268,931,65,0.5994357168674469,290,0.2,-0.008309800779534271,21.226512908935547,0.0003,-1.1021524399518967,87.69811205267906,0.005650903,0.05712890625
63488,31,396.54,-95.33665810999999,917,69,0.7510346621274948,300,0.2,-0.009366392047377303,14.181827545166016,0.0003,-1.0557628931477665,96.03494588136672,0.009254875,0.070361328125
65536,32,413.78,-90.44487312,909,72,0.6727227866649628,310,0.2,-0.006822517118416726,58.22014617919922,0.0003,-1.058434370905161,136.3027849674225,0.009021954,0.067236328125
67584,33,431.67,-87.41948061,901,74,0.7439286410808563,320,0.2,-0.008133418843499385,17.596210479736328,0.0003,-1.0081705341115594,61.135113859176634,0.007452268,0.07783203125
69632,34,448.03,-87.55057792999996,878,79,0.8508253991603851,330,0.2,-0.006138949125306681,9.181681632995605,0.0003,-1.0171933127567172,43.24837996661663,0.0086761955,0.055078125
71680,35,463.66,-84.22136567999998,870,82,0.8388087600469589,340,0.2,-0.008755514150834642,8.828125,0.0003,-0.9722427606582642,25.80998983979225,0.008041186,0.10615234375
73728,36,480.44,-80.06857423,861,85,0.8044914901256561,350,0.2,-0.007331578584125964,5.24830961227417,0.0003,-1.0189421601593494,53.54854496717453,0.008863513,0.087353515625
75776,37,497.52,-77.01364628,853,88,0.835259735584259,360,0.2,-0.006533764371852158,5.92973518371582,0.0003,-0.9983479762449861,35.12848057448864,0.008694017,0.1
77824,38,513.73,-74.63290783000001,845,92,0.8324870765209198,370,0.2,-0.007637729104317259,1.8551431894302368,0.0003,-0.9610182844102383,33.74950636550784,0.005633644,0.068798828125
79872,39,529.27,-73.15136529,829,96,0.6370715200901031,380,0.2,-0.004693869393668138,4.906255722045898,0.0003,-1.00633964240551,49.02573844268918,0.0071956725,0.06015625
81920,40,544.34,-72.94781864999999,810,101,0.6604143679141998,390,0.2,-0.006374054923071526,2.4086129665374756,0.0003,-1.0041165169328452,36.006100312620404,0.010796493,0.0962890625
83968,41,565.65,-68.29761002000001,806,104,0.6889189183712006,400,0.2,-0.010494043031940237,3.574246644973755,0.0003,-0.9856873800978064,30.728910164535044,0.011633556,0.116796875
86016,42,582.16,-64.07660722,803,107,0.5495924949645996,410,0.2,-0.0019236382111557759,328.6876525878906,0.0003,-0.9403126619756221,107.54337972700596,0.006672303,0.02568359375
88064,43,593.96,-62.96056144,795,110,0.5440357029438019,420,0.2,-0.0037731414908193984,42.436439514160156,0.0003,-0.7617158932611346,170.08433280289174,0.012416265,0.084033203125
90112,44,607.49,-60.951660839999995,787,114,0.6674825847148895,430,0.2,-0.004181534161034506,19.683801651000977,0.0003,-0.9749814802780747,56.36793155297637,0.0047807833,0.04013671875
92160,45,633.15,-59.958077110000005,781,117,0.6846240758895874,440,0.2,-0.002990834655065555,4.581241130828857,0.0003,-0.9558435885235668,74.25446545109153,0.0077502755,0.0552734375
94208,46,649.67,-58.33652359999999,763,123,0.7414987981319427,450,0.2,-0.006732123639449128,1.9005026817321777,0.0003,-0.8986344557255507,49.20668667778373,0.01151403,0.12412109375
96256,47,661.18,-56.197408880000005,754,127,0.848665863275528,460,0.2,-0.004665323266453925,0.8845042586326599,0.0003,-0.8745974624529481,30.533855244144796,0.01037466,0.0833984375
98304,48,678.14,-52.61162798000001,748,131,0.6731318533420563,470,0.2,-0.003501298721675994,46.03823471069336,0.0003,-0.9322865476831794,79.30749669671059,0.0074613225,0.048388671875
100352,49,694.28,-46.09092767999999,744,134,0.6427817642688751,480,0.2,-0.007282021346327383,2.7213642597198486,0.0003,-0.8224981060251594,95.21271804571151,0.02799429,0.042431640625
102400,50,711.82,-39.376763229999995,743,137,0.36998307704925537,490,0.2,-0.004321714967954904,305.0540466308594,0.0003,-0.8620820684358478,156.73077235221862,0.010500437,0.073583984375
104448,51,718.57,-34.25797334,743,140,0.4116052985191345,500,0.2,-0.002826917816491914,67.96441650390625,0.0003,-0.8500342776998877,130.93093145638704,0.006404405,0.042333984375
106496,52,729.84,-25.32471303,744,142,0.20782434940338135,510,0.2,-0.0014546597478329204,13.159339904785156,0.0003,-0.9158706914633512,188.43772600591183,0.0065637943,0.04296875
108544,53,742.6,-18.62018845,744,145,0.3587697744369507,520,0.2,-0.0022178812701895366,24.648738861083984,0.0003,-0.8641023268923164,161.97622316032647,0.01004998,0.057958984375
110592,54,753.84,-9.521399670000001,745,148,0.6110476553440094,530,0.2,-0.006460418021015357,61.67721939086914,0.0003,-0.742599798552692,124.55089402496814,0.005094501,0.057275390625
112640,55,746.7,-6.883746120000005,745,151,0.5510011315345764,540,0.2,-0.00331725758187531,16.325611114501953,0.0003,-0.8328061357140542,116.4973775446415,0.0030772688,0.047265625
114688,56,754.4,-1.9265896100000037,746,153,0.6692757308483124,550,0.2,-0.0036879288287309463,28.990745544433594,0.0003,-0.8930901853367686,103.19908493161202,0.0036740622,0.041796875
116736,57,748.74,2.7118292299999975,749,155,0.48973309993743896,560,0.2,-0.001333702843840001,199.1550750732422,0.0003,-0.8713754413649439,202.17930778265,0.003239831,0.012158203125
118784,58,748.18,7.991198159999999,751,158,0.4076917767524719,570,0.2,-0.0011609416651481297,372.115966796875,0.0003,-0.8034082742407918,230.66079149246215,0.0039192135,0.035595703125
120832,59,739.3,15.624958459999995,753,160,0.3735547661781311,580,0.2,-0.0021393771225120873,6.675301551818848,0.0003,-0.8793720602989197,173.3772023946047,0.002886633,0.02509765625
122880,60,725.09,16.55313290999999,755,162,0.5740954577922821,590,0.2,-0.004617962955671828,37.61623001098633,0.0003,-0.7537974482402205,209.74222727417947,0.0054586297,0.031982421875
124928,61,724.78,25.22591873,757,164,0.5108154118061066,600,0.2,-0.005320655562536558,170.50741577148438,0.0003,-0.7978372540324926,261.13390136361124,0.008278823,0.042138671875
