time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
192512,94,813.53,712,270,-22.593968890000006,61.89699172973633,147.20763462930918,930,-0.9080150399357081,-0.0019554229598725214,0.5820810794830322,0.2,0.0003,0.071435546875,0.004479653
194560,95,817.71,711,273,-19.817891340000003,182.43707275390625,54.411698296293615,940,-0.911542396619916,-0.002015589411894325,0.7943689227104187,0.2,0.0003,0.048046875,0.0046414156
196608,96,815.85,710,276,-22.128993060000003,2.2684249877929688,29.715347439050674,950,-0.8882746109738946,-0.0017158186921733432,0.8899486735463142,0.2,0.0003,0.04853515625,0.006484499
198656,97,818.05,710,279,-22.03204456,35.2482795715332,55.89411397948861,960,-0.784188543818891,-0.0036978266325604636,0.8449977487325668,0.2,0.0003,0.04482421875,0.0042178696
200704,98,824.63,707,283,-21.503830169999997,21.91360092163086,42.75024146363139,970,-0.8986974796280265,-0.0032930318273429295,0.8593122363090515,0.2,0.0003,0.0578125,0.005888098
202752,99,827.46,706,287,-24.94505397,9.938124656677246,51.39357659332454,980,-0.8557506168261171,-0.0022944751370232554,0.8241068869829178,0.2,0.0003,0.05458984375,0.0055574207
204800,100,833.82,705,290,-23.01842079,9.782683372497559,68.45641813576222,990,-0.8837953368201852,-0.004534092966059689,0.8448440730571747,0.2,0.0003,0.05458984375,0.003513078
206848,101,837.52,704,293,-23.512140770000002,12.870550155639648,91.62945463582874,1000,-0.838859974220395,-0.000730377795844106,0.5370514690876007,0.2,0.0003,0.035791015625,0.0041417433
208896,102,837.31,702,297,-28.05149855,35.95533752441406,141.11365160048007,1010,-0.8388441352173686,-0.005560408607925638,0.6902207732200623,0.2,0.0003,0.029248046875,0.0060912417
210944,103,844.4,702,300,-25.38516433,4.124312877655029,37.47632542103529,1020,-0.8647737523540855,-0.004150639735598816,0.8548168390989304,0.2,0.0003,0.08720703125,0.010580214
