time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/value_loss,train/approx_kl
34,-76.00546537999999,469.02,81,69632,857,0.0003,-1.0149367697536946,0.36218613386154175,330,-0.004837339158984833,0.051318359375,0.2,45.620792388916016,99.35237857103348,0.0096918745
35,-74.07590972000001,486.78,83,71680,855,0.0003,-0.9442993612959981,0.3014175295829773,340,-0.0051453354422847045,0.05361328125,0.2,105.41021728515625,124.46528788805009,0.005305902
36,-70.77959112999999,503.17,86,73728,851,0.0003,-0.832327744178474,0.6380532085895538,350,-0.004138005401182454,0.0537109375,0.2,9.004074096679688,40.76944683194161,0.0053649833
37,-68.73693467,520.41,89,75776,845,0.0003,-1.033151976019144,0.5355875194072723,360,-0.004498471346596489,0.06806640625,0.2,9.235323905944824,64.209866553545,0.007522352
38,-63.98431765,536.39,93,77824,831,0.0003,-0.9820979310199618,0.8165702819824219,370,-0.004917471826047404,0.087646484375,0.2,8.49972915649414,27.38199210613966,0.007238136
39,-62.07235284,556.41,97,79872,819,0.0003,-0.9340060161426663,0.6389338374137878,380,-0.0028247476620890666,0.028173828125,0.2,6.319431781768799,47.921070617437366,0.0038422416
40,-61.08966756000002,563.81,100,81920,817,0.0003,-0.9897270411252975,0.3333911895751953,390,-0.004135528131155297,0.082861328125,0.2,63.37942886352539,108.33417103588582,0.0086610485
41,-54.189140150000014,586.39,104,83968,804,0.0003,-0.8927751787006855,0.43911606073379517,400,-0.004725085280369967,0.093603515625,0.2,51.35499572753906,119.8535927683115,0.006236444
42,-51.89250134000001,603.22,108,86016,794,0.0003,-0.9765150653198361,0.3923618793487549,410,-0.0029166493317461573,0.050439453125,0.2,9.261397361755371,71.11550993323326,0.004975952
43,-50.864295600000005,620.31,112,88064,785,0.0003,-1.0002788165584207,0.6929095089435577,420,-0.0028974633118195926,0.095703125,0.2,5.24075984954834,35.18296984434128,0.0069727777
44,-47.98062209,634.25,115,90112,781,0.0003,-0.974935889057815,0.4406822919845581,430,-0.005646646319655701,0.07216796875,0.2,4.679759502410889,38.718713296949865,0.017998155
45,-45.551399669999995,655.52,118,92160,778,0.0003,-0.9482504248619079,0.49063336849212646,440,-0.002957209099258762,0.090576171875,0.2,28.585798263549805,89.94072493314744,0.009078069
46,-45.18233774999999,669.08,120,94208,778,0.0003,-0.9771962787955999,0.3234094977378845,450,-0.0032960475989966655,0.061328125,0.2,6.638978958129883,117.6915699467063,0.008916516
47,-41.698952520000006,685.13,125,96256,769,0.0003,-0.8839579321444034,0.4859546422958374,460,-0.002906751451519085,0.046728515625,0.2,74.778564453125,110.76401157528161,0.006398471
48,-38.98355752,703.82,128,98304,762,0.0003,-0.850704412162304,0.5784902572631836,470,-0.001380079673253931,0.03701171875,0.2,5.4220476150512695,52.07984893471003,0.0059763426
49,-33.90249465,718.2,131,100352,764,0.0003,-0.9669024048373103,0.35396814346313477,480,-0.0030033760998776416,0.04609375,0.2,73.36421203613281,141.20001432299614,0.0055183345
50,-31.145555230000003,736.34,134,102400,761,0.0003,-0.9376732829958201,0.5778862833976746,490,-0.0029666753158380742,0.082421875,0.2,4.4326348304748535,66.57976969629526,0.00919552
51,-31.458787800000003,739.54,137,104448,759,0.0003,-0.8616956198588014,0.5892904996871948,500,-0.003888394983550825,0.076513671875,0.2,48.316226959228516,118.67158332169056,0.0074772476
52,-27.843253200000007,748.65,140,106496,755,0.0003,-0.9048210285604,0.5194099843502045,510,-0.0014928014017641545,0.01845703125,0.2,42.43058776855469,161.9028062582016,0.0029747065
53,-24.143190450000006,764.58,144,108544,750,0.0003,-0.9146423758938909,0.7193901538848877,520,-0.006689017716416857,0.085546875,0.2,29.994707107543945,74.00226250886917,0.011183065
54,-20.846570170000003,779.13,147,110592,748,0.0003,-0.8490766106173396,0.5858280956745148,530,-0.005543490940181073,0.08330078125,0.2,24.430177688598633,70.0124317780137,0.008060632
55,-18.709847990000004,792.05,151,112640,744,0.0003,-0.8488988390192389,0.35442978143692017,540,-0.0012084101639629808,0.027880859375,0.2,7.248697757720947,98.89853712916374,0.0038599828
56,-19.07222125,792.68,154,114688,741,0.0003,-0.9175332585349679,0.5209564864635468,550,-0.0018480135142453947,0.04677734375,0.2,181.79071044921875,107.79124220460653,0.0062383376
57,-15.961477709999999,802.02,157,116736,741,0.0003,-0.9101341096684337,0.6803795695304871,560,-0.0036968432847061194,0.135791015625,0.2,10.249242782592773,94.96445495039225,0.010371847
58,-12.14817302,806.7,160,118784,738,0.0003,-0.8902867527678608,0.6691804230213165,570,-0.0007137641390727367,0.05322265625,0.2,31.145633697509766,72.18214144259692,0.0058241202
59,-14.243447739999999,812.89,163,120832,737,0.0003,-0.9905465137213468,0.8054507374763489,580,-0.006310427316930145,0.126416015625,0.2,10.669791221618652,77.15409399569035,0.0096975975
60,-14.7094445,809.44,166,122880,738,0.0003,-0.8555999340489506,0.6895799040794373,590,-0.005675434260047041,0.0453125,0.2,84.52495574951172,121.22149544656277,0.008643469
61,-12.445988009999999,813.62,170,124928,734,0.0003,-0.9290219884365797,0.7581823319196701,600,-0.003375001764652552,0.043505859375,0.2,18.96869468688965,91.28366572111845,0.005135496
62,-10.105525149999998,811.4,174,126976,729,0.0003,-0.8857900882139802,0.7751943618059158,610,-0.001410942352595157,0.060009765625,0.2,31.991687774658203,43.11292140632868,0.0056396867
63,-8.34229245,816.33,178,129024,723,0.0003,-0.801483141258359,0.4805765151977539,620,-0.0018935184183646926,0.025,0.2,104.48487854003906,155.70193744301795,0.0054456787
64,-11.64686649,809.86,181,131072,721,0.0003,-0.868917278572917,0.629487931728363,630,-0.00250575700920308,0.095361328125,0.2,6.9239606857299805,63.34476338028908,0.012229273
65,-13.331150270000002,804.02,183,133120,723,0.0003,-0.9390827566385269,0.8041658401489258,640,-0.003392577221529791,0.0818359375,0.2,25.087610244750977,52.11074909567833,0.008638861
66,-13.222671010000001,811.51,186,135168,723,0.0003,-0.86287801284343,0.6373225450515747,650,-0.0012475399271352217,0.04375,0.2,82.71574401855469,236.75714190006255,0.0039929477
67,-13.064123740000005,807.0,190,137216,721,0.0003,-0.8933387696743011,0.868592381477356,660,-0.004881087283865782,0.09716796875,0.2,43.86524963378906,76.92890132963657,0.0059118657
68,-12.244449540000003,806.32,193,139264,719,0.0003,-0.8404831463471055,0.7665817588567734,670,-0.00609422786765208,0.1173828125,0.2,3.9977738857269287,111.58852587342263,0.015943905
69,-13.65686243,801.48,196,141312,720,0.0003,-0.897968789190054,0.4969063401222229,680,-0.0003427174888201989,0.049609375,0.2,11.545369148254395,58.94308967068791,0.0042997436
70,-16.39862901,793.05,199,143360,720,0.0003,-0.9177284734323621,0.6140466928482056,690,-0.004222989875415806,0.133642578125,0.2,118.25440216064453,126.07929970920085,0.011036789
71,-17.2107658,794.45,202,145408,718,0.0003,-0.8997063096612692,0.8804978579282761,700,-0.002212040487211198,0.068505859375,0.2,38.07468795776367,69.82782159596681,0.009031093
72,-21.039094710000004,791.44,205,147456,718,0.0003,-0.9126436736434698,0.7619823962450027,710,-0.0030462170761893503,0.096142578125,0.2,7.8937296867370605,26.65519864410162,0.008528395
73,-19.797903500000004,797.18,207,149504,718,0.0003,-0.8900209764018655,0.9065719395875931,720,-0.004483597030048259,0.057568359375,0.2,53.563072204589844,50.77547527998686,0.0072465325
74,-22.68445368,784.84,211,151552,717,0.0003,-0.9736530581489206,0.816436231136322,730,-0.00427989246090874,0.085595703125,0.2,1.6187340021133423,24.286263908445836,0.007379036
75,-22.02393862,783.05,215,153600,713,0.0003,-0.8959284929558635,0.8439031541347504,740,-0.0006861342008050997,0.042138671875,0.2,7.897263526916504,55.53676590621471,0.0027310573
76,-27.815671920000003,772.75,218,155648,712,0.0003,-0.8563975470140577,0.9232157468795776,750,-0.0016901946895814036,0.046142578125,0.2,2.2168378829956055,24.116910269856454,0.008418943
77,-24.981557660000004,777.43,220,157696,713,0.0003,-0.8985982090234756,0.7493758797645569,760,-0.0019813691920717246,0.043017578125,0.2,14.803332328796387,103.27425021529197,0.0050237384
78,-25.725375610000004,779.83,224,159744,710,0.0003,-0.8924827745184303,0.9162665754556656,770,-0.0030721894596354104,0.05927734375,0.2,62.07230758666992,24.975938180834056,0.0052331425
79,-28.95466994,779.75,228,161792,708,0.0003,-0.944338520243764,0.6268275678157806,780,-0.0023831395326851636,0.07568359375,0.2,7.070454120635986,50.46877015605569,0.0066041704
80,-28.901299220000006,779.75,232,163840,705,0.0003,-0.9179981578141451,0.7034454643726349,790,-0.0053910532224108465,0.082080078125,0.2,5.811480522155762,97.14519928693771,0.0077518634
81,-29.254719610000006,779.75,235,165888,704,0.0003,-0.8999994756653905,0.868962287902832,800,-0.0012353490412351676,0.083154296875,0.2,2.4221789836883545,19.89231701567769,0.008221902
82,-29.737469150000003,774.22,238,167936,703,0.0003,-0.9182672580704093,0.8342034369707108,810,-0.0013242094908491708,0.051025390625,0.2,3.7187771797180176,26.36883029490709,0.0029186253
83,-27.625570709999998,778.43,242,169984,700,0.0003,-0.8915015699341893,0.799460843205452,820,-0.0020178863167529927,0.027587890625,0.2,3.4412436485290527,72.9498756915331,0.0036267368
84,-27.368255249999997,781.92,245,172032,701,0.0003,-0.8907944081351161,0.824804037809372,830,-0.003598291033995338,0.045947265625,0.2,1.9030574560165405,22.778410174697637,0.0058000907
85,-30.08051524,776.8,249,174080,698,0.0003,-0.919589396379888,0.7655378133058548,840,-0.0023883581161499023,0.050390625,0.2,2.1450576782226562,24.489353680610655,0.0058565494
86,-30.209903590000003,780.22,252,176128,697,0.0003,-0.9080875480547548,0.7238854169845581,850,-0.004509300786594395,0.047216796875,0.2,2.5829946994781494,47.633476719260216,0.006032475
87,-33.25785266,781.83,255,178176,698,0.0003,-0.8934987436980009,0.7025163173675537,860,-0.002188878404558636,0.048193359375,0.2,23.304725646972656,66.80206775814295,0.0036068382
88,-31.224409600000005,785.7,259,180224,694,0.0003,-0.8563401669263839,0.8848439306020737,870,-0.0006140048870292957,0.038037109375,0.2,5.331461429595947,33.18789075165987,0.0049558636
89,-31.170844109999997,790.48,263,182272,691,0.0003,-0.9247566355392337,0.8484890162944794,880,-0.0010013255377998576,0.050732421875,0.2,2.0161261558532715,19.432017563283445,0.006086598
90,-30.255432839999997,795.5,267,184320,689,0.0003,-0.9106793578714132,0.8714066594839096,890,-0.0017801280882849824,0.043798828125,0.2,5.095827102661133,26.955093221366404,0.004148887
91,-31.410545559999996,802.48,271,186368,685,0.0003,-0.9160195276141166,0.893133707344532,900,2.8055832808604463e-05,0.044189453125,0.2,2.7521114349365234,12.415626396238803,0.0035880925
92,-31.679242040000005,803.56,275,188416,683,0.0003,-0.9281402865424753,0.7811997085809708,910,0.0010600951747619547,0.059375,0.2,1.8332154750823975,19.44325206130743,0.0043269517
93,-34.20720875,805.67,278,190464,684,0.0003,-0.8718684026971459,0.6684329211711884,920,-0.001859536615666002,0.07431640625,0.2,1.483085036277771,26.807464599236845,0.006090031
94,-31.1458299,806.16,281,192512,683,0.0003,-0.9276317488402128,0.9187595695257187,930,-0.002173189115273999,0.068212890625,0.2,4.186774730682373,14.417784534394741,0.0034637807
95,-33.551293060000006,808.1,284,194560,683,0.0003,-0.865384740382433,0.6624481976032257,940,-0.0026469490951058104,0.091455078125,0.2,3.3464767932891846,61.62649062126875,0.01029581
96,-33.33711172000001,813.77,287,196608,683,0.0003,-0.9162104448303581,0.8505254089832306,950,-0.004142156764282845,0.08017578125,0.2,1.7143752574920654,22.278239526599645,0.00800876
97,-34.53825243000001,812.33,290,198656,683,0.0003,-0.8550622718408704,0.8074119538068771,960,-0.0006355724581226241,0.0578125,0.2,8.160719871520996,67.36286073625088,0.004110442
98,-33.443725140000005,822.27,294,200704,681,0.0003,-0.9185365596786141,0.6662854552268982,970,-0.0022791088791564106,0.07470703125,0.2,32.33877182006836,35.584323742985724,0.009686987
99,-32.12206409,825.59,297,202752,681,0.0003,-0.9159316811710596,0.7284083068370819,980,-0.0038973514892859384,0.087548828125,0.2,1.2901372909545898,30.57885245196521,0.0072339657
100,-32.34470712,829.58,300,204800,680,0.0003,-0.9319122403860092,0.8062808215618134,990,-0.004001399809203577,0.09462890625,0.2,1.6553913354873657,22.24483389630914,0.006461498
101,-31.41594922,830.92,303,206848,681,0.0003,-0.9032503630965948,0.8954538702964783,1000,-0.0039008604719128924,0.095947265625,0.2,12.987444877624512,29.165216170996427,0.008657283
102,-35.51848214,832.68,306,208896,681,0.0003,-0.7863957608118654,0.885171614587307,1010,-0.0017482254464994186,0.030908203125,0.2,19.472808837890625,57.95258600264788,0.0027993661
103,-33.86141439,835.85,309,210944,682,0.0003,-0.9168543837964535,0.8776712194085121,1020,-0.004090535884097335,0.0572265625,0.2,33.55611801147461,43.223019717633726,0.0045239795
104,-37.97703594,831.47,313,212992,679,0.0003,-0.8285001078620553,0.7053171992301941,1030,-0.000636859532824019,0.041796875,0.2,7.937094211578369,98.96268295943737,0.007233653
105,-34.92373184,837.94,316,215040,678,0.0003,-0.8287683883681893,0.8568878769874573,1040,-0.0007076066933223047,0.021728515625,0.2,34.409706115722656,66.55569537878037,0.0034803562
106,-33.96911906999999,844.5,320,217088,678,0.0003,-0.8781293177977204,0.8967669829726219,1050,0.0001169342860521283,0.066162109375,0.2,1.1320765018463135,25.59064546190202,0.006559583
107,-31.994053459999996,856.2,323,219136,677,0.0003,-0.870009638927877,0.8252611309289932,1060,-0.0007601709578011651,0.079638671875,0.2,1.739632248878479,38.17347116842866,0.010017024
108,-29.694403239999996,865.27,326,221184,678,0.0003,-0.8440887657925487,0.7280741930007935,1070,-0.003605235374197946,0.058349609375,0.2,51.562992095947266,48.32159113809466,0.004833658
109,-31.43365728,868.83,330,223232,676,0.0003,-0.8300671473145484,0.8442108631134033,1080,-0.0036076594944461247,0.0921875,0.2,1.0794833898544312,31.929925222694873,0.0173106
110,-36.421495959999994,858.86,332,225280,678,0.0003,-0.8188260918483138,0.7438119649887085,1090,-0.0023515660715929696,0.032177734375,0.2,25.519824981689453,85.21041644364595,0.0046873316
111,-33.38407235,868.33,335,227328,678,0.0003,-0.8794532444328069,0.8704665303230286,1100,-0.0032849073810211848,0.035888671875,0.2,40.987300872802734,82.49677355587482,0.005457556
112,-33.0962065,856.71,337,229376,679,0.0003,-0.8733472064137459,0.8508554548025131,1110,-0.001093318631319562,0.08955078125,0.2,0.8970828056335449,21.30165746100247,0.010602281
113,-34.34316564000001,855.58,340,231424,679,0.0003,-0.7801515445113182,0.6033158302307129,1120,-0.004265718753595138,0.062109375,0.2,92.39649963378906,119.3707263469696,0.004265247
114,-33.226444550000004,857.72,344,233472,678,0.0003,-0.8255224203690886,0.7575316578149796,1130,-0.0024651003353937996,0.039306640625,0.2,17.605451583862305,43.889362289756534,0.0054236436
115,-32.31343382,851.23,346,235520,678,0.0003,-0.8171153701841831,0.8288196623325348,1140,-0.0010577341687167062,0.064111328125,0.2,1.009469985961914,44.43201153874397,0.0068586897
116,-31.04723218,854.89,349,237568,679,0.0003,-0.781393576040864,0.6545194685459137,1150,-0.0016261794826277765,0.0314453125,0.2,124.4005126953125,192.50247591733932,0.0040421737
117,-31.27882635,851.43,352,239616,679,0.0003,-0.8652474882081151,0.9394590780138969,1160,0.0008935636746173259,0.04228515625,0.2,36.64674377441406,33.93061340898275,0.0024697287
118,-29.37011405,856.18,355,241664,680,0.0003,-0.766906713321805,0.8863490521907806,1170,-0.0009753060065122554,0.01201171875,0.2,10.766144752502441,81.65260957479477,0.0019329576
119,-31.98132505,854.05,357,243712,681,0.0003,-0.8592394798994064,0.6840769946575165,1180,-0.0014513471200189088,0.114697265625,0.2,12.636555671691895,54.57566213160753,0.007217834
120,-33.507565850000006,847.41,360,245760,681,0.0003,-0.8122767496854066,0.9219682738184929,1190,-0.0006592468344024383,0.033251953125,0.2,15.300471305847168,44.822820380330086,0.0029593487
121,-32.36264575,845.85,363,247808,681,0.0003,-0.8070769619196654,0.7644624561071396,1200,-0.005774442823894788,0.076025390625,0.2,3.638029098510742,104.75558192282915,0.015444588
122,-31.24651955,843.99,367,249856,679,0.0003,-0.8219983821734786,0.5786397457122803,1210,-0.0005787931517261313,0.0884765625,0.2,100.68913269042969,72.39339017793536,0.005542781
123,-26.382211379999998,849.63,370,251904,679,0.0003,-0.7694714384153485,0.5686779618263245,1220,-0.00045042994497634936,0.0802734375,0.2,51.8076171875,64.73619842939078,0.0052263066
1,-489.6714896666667,664.3333333333334,2,2048,883,0.0003,-0.7898172799497842,0.4751036763191223,1230,-0.0009742820759129245,0.050634765625,0.2,9.04645824432373,121.4858957156539,0.005828567
2,-636.4753826,755.8,5,4096,809,0.0003,-0.7450992539525032,0.4859437942504883,1240,-0.0009941312982846284,0.033837890625,0.2,25.92264175415039,178.75278862118722,0.0058969026
3,-693.8111442857142,807.4285714285714,8,6144,723,0.0003,-0.8249810535460711,0.4630259871482849,1250,-0.0005998602809995646,0.030078125,0.2,2.2508955001831055,116.95024457722903,0.006355735
4,-733.6684492222222,850.2222222222222,11,8192,704,0.0003,-0.8029080152511596,0.5345544815063477,1260,-0.0021101348982483616,0.054248046875,0.2,14.888029098510742,75.14135681092739,0.009930348
5,-747.4491267499999,830.1666666666666,14,10240,713,0.0003,-0.8450476869940757,0.652852475643158,1270,-0.00245054631086532,0.0751953125,0.2,2.3757240772247314,39.36919469982386,0.0077823894
6,-717.6935208666666,815.2,17,12288,700,0.0003,-0.8556519992649555,0.7046589553356171,1280,-0.003292706013598945,0.091748046875,0.2,3.5995359420776367,57.91997609436512,0.013360143
7,-721.5758518823529,814.1764705882352,20,14336,715,0.0003,-0.7683812441304326,0.3636837601661682,1290,-0.0013954291309346445,0.050927734375,0.2,7.985431671142578,139.13568027466536,0.004647378
8,-722.4367161052631,825.1578947368421,23,16384,703,0.0003,-0.8068146400153637,0.7404700815677643,1300,-0.0004888486022537108,0.04541015625,0.2,6.950417518615723,33.299628518521786,0.004154546
9,-736.5021896190477,834.9047619047619,27,18432,675,0.0003,-0.8260829573497176,0.5540575683116913,1310,-0.0020096934989851435,0.06435546875,0.2,4.776472568511963,106.00710332393646,0.0055223075
10,-747.7154021666666,847.0,30,20480,671,0.0003,-0.8018683973699808,0.45950770378112793,1320,-0.00041807583111221904,0.085400390625,0.2,14.987438201904297,80.52814762592315,0.006820602
11,-739.7285841923077,851.6153846153846,34,22528,650,0.0003,-0.8189083062112331,0.5657124519348145,1330,-0.0017557000181113835,0.080224609375,0.2,216.17483520507812,62.458239781856534,0.010473007
12,-742.8395380714286,853.8214285714286,37,24576,647,0.0003,-0.7936188081279397,-0.10504329204559326,1340,-0.0009824434418987948,0.029248046875,0.2,163.9338836669922,206.45593300312757,0.0022344834
13,-737.7966294193548,850.2903225806451,42,26624,624,0.0003,-0.8044877838343382,0.7332441210746765,1350,-0.00020439448344404808,0.049267578125,0.2,3.52667236328125,35.24606700763106,0.0029213112
