rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range
-143.17446555,26624,13,1390,19,143.89,-1.1035560358315706,0.07548828125,0.0118432455,-0.006580844885320403,120,480.99928121566774,0.0037570595741271973,113.47122192382812,0.0003,0.2
-142.33912235,28672,14,1378,20,153.94,-1.0759830016642808,0.0271484375,0.004141475,-0.005319994993624277,130,877.6072209358215,0.02962040901184082,392.67413330078125,0.0003,0.2
-139.99774898,30720,15,1371,22,162.94,-1.1049189891666173,0.07431640625,0.007852856,-0.0060156296342029235,140,662.0310928344727,0.05755358934402466,522.9491577148438,0.0003,0.2
-139.16248309,32768,16,1360,24,169.64,-1.088920956850052,0.04482421875,0.00692719,-0.006028297523153014,150,380.889107465744,0.09197944402694702,176.14710998535156,0.0003,0.2
-134.88721336,34816,17,1353,25,179.04,-1.058405435271561,0.0345703125,0.0048555927,-0.00479012826399412,160,618.4186537742614,0.11431235074996948,367.9633483886719,0.0003,0.2
-136.05567392,36864,18,1336,27,184.21,-1.0963331054896117,0.076025390625,0.00879636,-0.008484872776898555,170,461.0968141555786,0.012491405010223389,194.0654754638672,0.0003,0.2
-132.75287009000002,38912,19,1312,29,196.72,-1.150270576775074,0.058544921875,0.010959027,-0.007333239732543006,180,254.8250374317169,0.04830259084701538,73.6355209350586,0.0003,0.2
-129.97759297000002,40960,20,1271,32,212.67,-1.1367662478238345,0.072314453125,0.0080947755,-0.00896604530935292,190,238.00157268047332,0.24922341108322144,158.99229431152344,0.0003,0.2
-128.98657501,43008,21,1262,34,221.56,-1.070866547524929,0.062939453125,0.0078639295,-0.008592964267882053,200,233.60128161907195,0.16482490301132202,159.86326599121094,0.0003,0.2
-125.95889052000001,45056,22,1225,36,233.9,-1.0161641027778388,0.057861328125,0.012702825,-0.005507893768663052,210,210.63959774971008,0.2151479721069336,137.43801879882812,0.0003,0.2
-124.77980910000002,47104,23,1186,39,255.09,-1.080916316434741,0.0416015625,0.0056682155,-0.002912544492573943,220,182.78294985294343,0.32276296615600586,95.58384704589844,0.0003,0.2
-118.44164201,49152,24,1148,42,266.97,-1.0373297095298768,0.069677734375,0.008277456,-0.008887061432324117,230,139.60400614738464,0.35016828775405884,55.620025634765625,0.0003,0.2
-115.03482278,51200,25,1106,46,283.35,-0.9723049497231842,0.036328125,0.0065149097,-0.005893509525049012,240,129.1401842355728,0.24201077222824097,45.82352066040039,0.0003,0.2
