time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,train/policy_gradient_loss
1,2048,113.23529411764706,1862,1,-132.04888188235293,,,,,,,,,,,
2,4096,109.29729729729729,1468,2,-135.74046475675678,10,2312.1374866485594,1.0027132034301758,0.00419921875,0.2,-2.8392550073564053,0.0024985182,0.0003,0.0019968152046203613,905.7785034179688,-0.0008175820432370529
4,6144,118.52941176470588,1328,3,-142.0339877647059,20,1762.8353715896606,0.9975008368492126,0.03408203125,0.2,-2.8387646533548834,0.0064231516,0.0003,0.002622067928314209,493.5301513671875,-0.0038282567184069194
6,8192,119.63235294117646,1281,4,-137.9575811911765,30,1725.3137300491333,0.9892426133155823,0.024951171875,0.2,-2.8229363851249216,0.0037783547,0.0003,-0.059169650077819824,624.0890502929688,-0.0039365024727885615
8,10240,119.03488372093024,1236,5,-135.36887072093023,40,931.050344657898,0.9870412945747375,0.044873046875,0.2,-2.813448194414377,0.005291382,0.0003,-0.006555080413818359,430.5420227050781,-0.005444621382048353
10,12288,120.92,1225,6,-136.91724376,50,460.44004368782043,0.997854471206665,0.118505859375,0.2,-2.81746671050787,0.013127716,0.0003,-0.001813650131225586,255.76028442382812,-0.011516657885658787
13,14336,130.72,1042,7,-136.89406352,60,506.88109240531924,0.9786736965179443,0.088232421875,0.2,-2.8202957585453987,0.012017251,0.0003,-0.0007212162017822266,154.4459686279297,-0.006419521063799038
15,16384,136.67,1043,8,-139.41294965999998,70,412.0885155916214,0.9804435968399048,0.021435546875,0.2,-2.796210137009621,0.004584871,0.0003,0.010145425796508789,238.3163604736328,-0.005443594043026678
17,18432,143.17,1046,9,-136.90402318,80,517.417806148529,0.9763014316558838,0.02626953125,0.2,-2.7934843435883523,0.004995563,0.0003,-0.03499460220336914,261.32940673828125,-0.002868185871921014
19,20480,149.38,1045,10,-133.72002819000002,90,399.4175470352173,0.9718493223190308,0.0501953125,0.2,-2.786119119077921,0.006586639,0.0003,0.009682178497314453,118.5461654663086,-0.005471463839057833
22,22528,156.94,983,11,-136.66265242,100,763.8251015663147,0.9776507616043091,0.0384765625,0.2,-2.7849260747432707,0.005544727,0.0003,-0.011716485023498535,169.2138671875,-0.007542449416359886
27,24576,167.38,900,12,-134.01190566,110,548.7739799499511,0.9687362909317017,0.02763671875,0.2,-2.7836656644940376,0.0056964657,0.0003,0.060562968254089355,160.56141662597656,-0.004292984690982849
29,26624,183.55,899,13,-130.76935707,120,316.4658073425293,0.9702147245407104,0.038818359375,0.2,-2.774226589500904,0.0064771883,0.0003,0.09155577421188354,234.205078125,-0.004507100743649062
32,28672,198.13,880,14,-128.57165642,130,449.8446839809418,0.9720162153244019,0.0376953125,0.2,-2.774877867847681,0.0051309853,0.0003,0.09433716535568237,431.772216796875,-0.005332415839075111
36,30720,212.68,831,15,-129.09333293,140,264.00162491798403,0.9695152044296265,0.07568359375,0.2,-2.775891786068678,0.009092002,0.0003,0.25095540285110474,83.0399398803711,-0.0079160427871102
40,32768,226.41,811,16,-127.82923313999999,150,307.6853683948517,0.9654817581176758,0.075048828125,0.2,-2.77025875300169,0.0077903685,0.0003,0.010246455669403076,121.74146270751953,-0.009963263144891243
44,34816,245.09,774,17,-125.07295223999998,160,316.9260452032089,0.9418231248855591,0.037060546875,0.2,-2.739453534036875,0.0071449904,0.0003,0.14492416381835938,193.8576202392578,-0.0036202904870151543
47,36864,254.07,771,18,-123.49333853,170,197.98775644302367,0.9287581443786621,0.031884765625,0.2,-2.70382290109992,0.004870317,0.0003,0.19361692667007446,108.75736999511719,-0.005796257646579761
52,38912,274.62,740,19,-120.82624389,180,185.37414511442185,0.9284730553627014,0.041357421875,0.2,-2.6881589375436308,0.006280578,0.0003,0.3879552483558655,70.5738296508789,-0.006192476909200195
56,40960,287.55,724,20,-118.15206796000001,190,139.5878137588501,0.9316012859344482,0.091748046875,0.2,-2.692178273946047,0.00977024,0.0003,0.4497280716896057,118.43254089355469,-0.007854039971425664
60,43008,310.81,712,21,-117.44741026,200,162.44295024871826,0.9201568365097046,0.108251953125,0.2,-2.682006746530533,0.008112659,0.0003,0.2833520174026489,95.72648620605469,-0.008183977067528759
63,45056,321.4,705,22,-115.31740097999999,210,122.52482609152794,0.916063129901886,0.13330078125,0.2,-2.663300334662199,0.008963859,0.0003,0.2559371590614319,45.251502990722656,-0.008612138162425254
68,47104,336.91,688,23,-111.90088485999999,220,91.41723504066468,0.9189193248748779,0.08681640625,0.2,-2.6611231103539468,0.007940043,0.0003,0.43456459045410156,33.527671813964844,-0.011059261728951242
73,49152,354.15,672,24,-111.4784263,230,66.40242469906806,0.905858039855957,0.063916015625,0.2,-2.6493742160499094,0.0075800912,0.0003,0.6329495906829834,27.199010848999023,-0.004794315351318801
77,51200,371.7,660,25,-108.03360707000002,240,71.14166058599949,0.8903725147247314,0.048828125,0.2,-2.6165468469262123,0.0043460415,0.0003,0.5771722793579102,8.336504936218262,-0.0024841853402904233
82,53248,389.96,649,26,-105.96894280999999,250,49.383089643716815,0.8828338980674744,0.0609375,0.2,-2.595246905833483,0.0073748557,0.0003,0.6897243559360504,6.761753559112549,-0.007290051360905636
86,55296,407.14,637,27,-101.88402142999999,260,26.65446988940239,0.8767585754394531,0.149267578125,0.2,-2.5779520705342294,0.011855745,0.0003,0.572868138551712,6.074871063232422,-0.009481119306292385
90,57344,423.8,633,28,-100.58072270999999,270,55.016170313954355,0.8638820648193359,0.071044921875,0.2,-2.551722925901413,0.008693014,0.0003,0.47724562883377075,8.557564735412598,-0.005807011200522539
96,59392,441.94,616,29,-96.68874644999998,280,34.42858453840017,0.8576993942260742,0.103955078125,0.2,-2.5346596255898475,0.0070329974,0.0003,0.8256608694791794,8.287657737731934,-0.010777353995945305
101,61440,458.56,607,30,-93.04074566999998,290,58.05661289840937,0.843944251537323,0.093994140625,0.2,-2.508236890286207,0.007948497,0.0003,0.6192950308322906,6.429844856262207,-0.008618716565979411
106,63488,474.97,594,31,-87.92088401999999,300,29.235099922120572,0.8351229429244995,0.112939453125,0.2,-2.4808386668562887,0.011276434,0.0003,0.453141450881958,5.821244239807129,-0.009860385849606246
112,65536,491.91,582,32,-87.79995960000001,310,48.398624032735825,0.831116259098053,0.0841796875,0.2,-2.4658268600702287,0.0075291665,0.0003,0.6478469371795654,3.069833755493164,-0.005198255268624052
116,67584,509.42,577,33,-84.76075880999998,320,36.75915839523077,0.8190528154373169,0.09404296875,0.2,-2.443739782273769,0.007484603,0.0003,0.8208430856466293,3.2788846492767334,-0.005632186318689491
121,69632,523.36,574,34,-81.66614264,330,52.42889709919691,0.8088913559913635,0.055908203125,0.2,-2.420991974323988,0.0078669125,0.0003,0.7641823440790176,4.579517841339111,-0.003010457695927471
127,71680,547.76,563,35,-76.03392037,340,70.84351154565812,0.80467289686203,0.050048828125,0.2,-2.4049386024475097,0.0068512773,0.0003,0.675102561712265,11.09267807006836,-0.0026326879116822964
131,73728,561.54,561,36,-74.99175613999999,350,50.901166311651465,0.8008590936660767,0.05048828125,0.2,-2.3939325086772443,0.0076501467,0.0003,0.7566731870174408,2.3051600456237793,0.0003395382191229146
136,75776,577.98,553,37,-73.16467843,360,71.6036940291524,0.7983980178833008,0.049560546875,0.2,-2.3864779867231847,0.008145564,0.0003,0.7081213295459747,11.075740814208984,-0.00350162235845346
141,77824,593.07,549,38,-67.93500411,370,29.804696671292184,0.7890834808349609,0.105029296875,0.2,-2.3717749141156674,0.008787198,0.0003,0.8422577530145645,3.522454261779785,-0.007090411808167119
146,79872,609.31,546,39,-64.89981692,380,71.32507443577052,0.7843877077102661,0.036962890625,0.2,-2.356117280572653,0.0039477954,0.0003,0.5564508736133575,75.32028198242188,-0.0009223176690284163
149,81920,625.89,548,40,-62.131493960000014,390,34.04409230276942,0.7790640592575073,0.079052734375,0.2,-2.343352307379246,0.006273076,0.0003,0.7855047136545181,2.353764533996582,-0.005970631669333671
152,83968,641.8,548,41,-52.15225486,400,117.25706201791763,0.7774691581726074,0.044384765625,0.2,-2.334629234671593,0.0051797545,0.0003,0.6320777237415314,16.727258682250977,-0.004397049653925933
156,86016,650.52,549,42,-54.94918183,410,113.71084704846143,0.7753036022186279,0.107080078125,0.2,-2.329518570005894,0.010202741,0.0003,0.6717692911624908,5.362176895141602,-0.005834216056246078
159,88064,666.16,551,43,-50.55111253,420,102.26969416290521,0.7733315825462341,0.05888671875,0.2,-2.3230606734752657,0.0053766184,0.0003,0.6604492962360382,21.331628799438477,-0.0034386499875836305
164,90112,677.53,549,44,-48.06062999000001,430,159.31375268399717,0.7718372344970703,0.058837890625,0.2,-2.3181834012269973,0.0048110588,0.0003,0.6048921942710876,92.07118225097656,-0.004961770876252558
168,92160,695.16,545,45,-46.04745126999999,440,52.30870974361896,0.7745035886764526,0.052490234375,0.2,-2.321159069985151,0.00540115,0.0003,0.6598596572875977,5.02054500579834,-0.004341435011883732
