time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss
1,2352,89.04347826086956,0,-149.82548926086955,2048,,,,,,,,,,
2,1779,91.54545454545455,2,-161.7962898863636,4096,0.00475063,10,0.0020630359649658203,0.018359375,-0.006681805598782375,872.8685913085938,0.0003,0.2,1739.5239986419679,-1.3836511313915252
3,1652,93.8,3,-166.00858570769233,6144,0.007875541,20,0.008220493793487549,0.05439453125,-0.008284569904208183,232.95611572265625,0.0003,0.2,1162.6288840293885,-1.376070073246956
4,1566,92.14285714285714,5,-168.96611020238092,8192,0.011142562,30,-0.0016990900039672852,0.097900390625,-0.01338187468209071,269.02728271484375,0.0003,0.2,658.0072328567505,-1.3725771125406028
5,1453,102.06,7,-163.44664125999998,10240,0.008478936,40,0.025696158409118652,0.0486328125,-0.005954174596990924,201.7002716064453,0.0003,0.2,633.0584292411804,-1.366996903344989
6,1452,102.46,8,-166.7877923,12288,0.009008957,50,0.14764833450317383,0.052001953125,-0.009487695699499454,420.2903747558594,0.0003,0.2,695.6640143871307,-1.3505867529660462
7,1450,103.3,9,-164.74483372000003,14336,0.006129008,60,-0.0037811994552612305,0.1197265625,-0.008269086375366896,218.53355407714844,0.0003,0.2,357.2925813674927,-1.319981436431408
8,1450,104.79,11,-159.79607386,16384,0.015954245,70,-0.04867064952850342,0.10576171875,-0.005179021788353566,191.297607421875,0.0003,0.2,428.74637441635133,-1.3112748317420482
9,1449,108.95,12,-156.60994553,18432,0.009557623,80,-0.005459785461425781,0.059375,-0.008612353540956973,551.3544311523438,0.0003,0.2,688.8784801959991,-1.2946448456496
10,1446,103.0,14,-155.88499948999998,20480,0.015628524,90,-0.0004354715347290039,0.177294921875,-0.011325330921681597,209.12327575683594,0.0003,0.2,398.8153075695038,-1.2782583326101302
11,1444,108.63,15,-153.23162108999998,22528,0.006584096,100,0.002749025821685791,0.035595703125,-0.0053340366270276714,126.2548828125,0.0003,0.2,356.5449074745178,-1.2643377114087344
12,1438,115.28,17,-146.85077367,24576,0.012159888,110,-0.00037872791290283203,0.165966796875,-0.01152402634761529,343.9932556152344,0.0003,0.2,388.3348984718323,-1.18619121350348
13,1433,124.62,18,-141.86405465,26624,0.012274602,120,-0.15852952003479004,0.022509765625,-0.0046617126921773885,295.61456298828125,0.0003,0.2,494.4932090759277,-1.1754404481500387
14,1416,133.45,20,-137.45520309000003,28672,0.0055197105,130,-8.7738037109375e-05,0.0611328125,-0.009838217691867612,333.2184143066406,0.0003,0.2,437.91484375,-1.1541667263954878
15,1351,144.81,22,-135.43509719999997,30720,0.011032435,140,0.0005695819854736328,0.051513671875,-0.0056345824152231215,269.7522277832031,0.0003,0.2,517.4577561378479,-1.1674770046025515
16,1238,154.74,26,-129.71760139999998,32768,0.010282682,150,0.012690186500549316,0.030517578125,-0.006005658673529979,100.26044464111328,0.0003,0.2,260.9551745176315,-1.2242122992873192
17,1179,175.74,29,-126.52824589000002,34816,0.005709841,160,0.047847092151641846,0.0265625,-0.00280834171717288,33.57514190673828,0.0003,0.2,185.4689882040024,-1.2857064720243216
18,1144,188.28,32,-122.42256131999997,36864,0.0045976937,170,0.1359093189239502,0.023388671875,-0.004178150474035647,51.06542205810547,0.0003,0.2,211.46249301433562,-1.2106352712959052
19,1074,206.03,36,-119.51325136999998,38912,0.0051727355,180,0.06872802972793579,0.026171875,-0.006230979556130478,67.59668731689453,0.0003,0.2,304.9504266500473,-1.1650342591106893
20,1067,212.56,38,-116.97781049000001,40960,0.008612007,190,0.5840831100940704,0.046630859375,-0.004403169374563731,35.83666229248047,0.0003,0.2,80.18655267953872,-1.2836400549858809
21,1048,233.26,41,-113.91964561,43008,0.0056334427,200,0.22885411977767944,0.0212890625,-0.006713196951022837,166.8135528564453,0.0003,0.2,303.24214684963226,-1.1760431408882142
22,1025,250.44,43,-109.01067404999998,45056,0.0075389384,210,0.3937222957611084,0.03515625,-0.005663012653531041,79.16717529296875,0.0003,0.2,182.34767837524413,-1.1988181583583355
23,1004,264.63,46,-106.89269223000001,47104,0.0058259354,220,0.4587281346321106,0.074560546875,-0.00556944862328237,7.5146026611328125,0.0003,0.2,75.33472625017166,-1.2353509448468685
24,976,280.5,50,-102.76604583,49152,0.006377757,230,0.43534523248672485,0.01767578125,-0.0061502417389419865,63.66120147705078,0.0003,0.2,157.25417366027833,-1.1317994941025973
25,975,292.15,52,-102.51229987,51200,0.010819775,240,0.47734397649765015,0.072412109375,-0.011236091458704323,149.19171142578125,0.0003,0.2,195.93642134666442,-1.1295686431229115
26,965,307.85,55,-98.80435907,53248,0.0034701482,250,0.012577950954437256,0.015283203125,-0.003419521340401843,312.8789978027344,0.0003,0.2,498.0605780124664,-1.0126176862046123
27,962,322.19,57,-99.25046973999999,55296,0.0057306774,260,0.1879727840423584,0.035595703125,-0.005478060398309026,230.18124389648438,0.0003,0.2,434.57928545475005,-1.0772118931636214
28,958,336.3,59,-98.15855520000001,57344,0.008005664,270,0.29522156715393066,0.06611328125,-0.008852327038766816,72.772705078125,0.0003,0.2,233.83210184574128,-1.0517624836415052
29,941,354.52,63,-95.10859368999999,59392,0.005861922,280,0.2815033197402954,0.043408203125,-0.005362738374242326,96.81783294677734,0.0003,0.2,194.3444086790085,-1.0803924314677715
30,923,365.21,66,-90.81329114,61440,0.0062062265,290,0.5176824033260345,0.064501953125,-0.005175846480415203,10.93975830078125,0.0003,0.2,120.69301517605781,-1.163981033116579
31,912,384.18,69,-89.58756422000002,63488,0.0067702956,300,0.5114150643348694,0.034228515625,-0.004893091828853358,60.18400192260742,0.0003,0.2,144.94164180755615,-1.100240273028612
32,897,401.44,72,-84.82849047000002,65536,0.01020677,310,0.3396064043045044,0.103759765625,-0.006296011408994673,135.3567352294922,0.0003,0.2,183.7636674284935,-1.080165744945407
33,892,415.3,75,-84.93453798,67584,0.008690183,320,0.6135761141777039,0.0896484375,-0.005605200322315795,359.59100341796875,0.0003,0.2,95.99308893084526,-1.0385675249621271
34,887,431.8,78,-83.4610323,69632,0.0072100474,330,0.364862322807312,0.0849609375,-0.008379933556716424,403.0575256347656,0.0003,0.2,212.85265865325928,-0.9982071613892913
