time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
2350,1,87.0,0,-167.1819503043478,2048,,,,,,,,,,
1757,2,86.63829787234043,2,-159.86209027659578,4096,-0.007480121898697689,667.0042724609375,-0.0012962818145751953,-1.3808442063629627,0.06123046875,1991.239884185791,0.2,0.0003,0.010078691,10
1626,3,86.11267605633803,3,-175.51682380281687,6144,-0.007987075949495192,660.8168334960938,-0.016864538192749023,-1.3623518772423266,0.089453125,1420.0871772766113,0.2,0.0003,0.0098627815,20
1564,4,87.66666666666667,5,-168.27785859139783,8192,-0.008020044246222824,536.1604614257812,-0.0002808570861816406,-1.3519106943160295,0.058447265625,1423.432192993164,0.2,0.0003,0.007883209,30
1530,5,88.58,6,-172.47280304999995,10240,-0.006145096245018067,441.3602600097656,-0.004397034645080566,-1.3625181458890439,0.03994140625,1031.1315692901612,0.2,0.0003,0.009460561,40
1504,6,89.61,8,-171.42618705,12288,-0.005572109820786863,291.72802734375,0.012363672256469727,-1.3326652478426695,0.105224609375,814.9132871627808,0.2,0.0003,0.009451098,50
1490,7,91.16,9,-168.52284143000006,14336,-0.0054226633728831075,891.6400146484375,-0.00038874149322509766,-1.328217600658536,0.017578125,1657.2390314102172,0.2,0.0003,0.00676251,60
1483,8,90.68,11,-177.2291448,16384,-0.010133023286471143,214.3154754638672,0.00024688243865966797,-1.3602149739861489,0.090185546875,526.6690190315246,0.2,0.0003,0.008437613,70
1476,9,89.06,12,-181.28164722000002,18432,-0.010420640288793947,145.5045928955078,-2.396106719970703e-05,-1.3543598931282759,0.115576171875,367.70228309631347,0.2,0.0003,0.009423276,80
1414,10,101.07,14,-176.44357260999996,20480,-0.01159563137771329,329.1159362792969,-0.004725456237792969,-1.3413296289741994,0.10830078125,733.9993270397187,0.2,0.0003,0.012591798,90
1413,11,101.47,15,-173.93388997,22528,-0.00486662079274538,96.52904510498047,0.04018145799636841,-1.331936363875866,0.0169921875,525.5835490942002,0.2,0.0003,0.0045767957,100
1409,12,105.99,17,-173.2372578,24576,-0.005029091713367961,493.1531066894531,-0.09973883628845215,-1.3313728589564562,0.027001953125,617.6910173892975,0.2,0.0003,0.007192552,110
1407,13,110.92,18,-164.24232279000003,26624,-0.009265892655093921,294.65093994140625,-0.025836825370788574,-1.2938277758657932,0.086181640625,496.8676612377167,0.2,0.0003,0.012306344,120
1402,14,119.38,20,-163.27404862,28672,-0.010903517660335638,205.34365844726562,-0.016240835189819336,-1.2881111174821853,0.123779296875,455.1171714782715,0.2,0.0003,0.01216102,130
1398,15,126.65,21,-155.48007629000003,30720,-0.01110502368901507,178.64027404785156,-0.0412064790725708,-1.2618351515382529,0.095361328125,417.2238421916962,0.2,0.0003,0.011991461,140
1395,16,122.56,23,-153.55512715999998,32768,-0.007137757445161696,275.0273742675781,-0.009263157844543457,-1.2312287885695696,0.04970703125,480.4917311668396,0.2,0.0003,0.00793265,150
1383,17,133.4,25,-150.55785913,34816,-0.006844720769731793,360.0441589355469,0.012722015380859375,-1.1646270718425513,0.08232421875,531.1622702121734,0.2,0.0003,0.014119854,160
1374,18,141.98,26,-149.66035731,36864,-0.006448609654034954,173.1388702392578,0.020942747592926025,-1.1613710541278124,0.059716796875,391.245636844635,0.2,0.0003,0.0069515957,170
1357,19,152.9,28,-144.2745618,38912,-0.007594262780912686,174.69247436523438,0.07296097278594971,-1.1106263540685177,0.10986328125,433.09264359474184,0.2,0.0003,0.013055613,180
1340,20,164.13,30,-140.38519017000002,40960,-0.005087158489186549,114.43907928466797,0.09584885835647583,-1.110925866663456,0.01494140625,323.8318074703217,0.2,0.0003,0.0050336234,190
1291,21,180.17,33,-137.52800012,43008,-0.00931328756341827,91.5673828125,0.09143215417861938,-1.0410973399877548,0.081494140625,262.1676112174988,0.2,0.0003,0.009260297,200
1265,22,195.72,35,-135.02623626000002,45056,-0.007685609207692323,121.78334045410156,0.10103124380111694,-1.0504296125844121,0.084912109375,290.50393054485323,0.2,0.0003,0.009612305,210
1225,23,207.33,38,-132.08002204000002,47104,-0.0047828733971982725,75.49652862548828,0.1717919111251831,-1.0202675627544522,0.042724609375,172.50762529373168,0.2,0.0003,0.0061334632,220
1216,24,223.27,40,-129.43126156,49152,-0.007022923822660232,100.75543212890625,0.24530112743377686,-0.9320441020652652,0.034619140625,230.62259155511856,0.2,0.0003,0.007530614,230
1197,25,238.47,42,-126.58198858999998,51200,-0.007180833295933553,96.3725814819336,0.20579540729522705,-1.0159947331994772,0.06435546875,226.06229814291,0.2,0.0003,0.0063524917,240
1182,26,251.21,45,-124.91767671000001,53248,-0.006697543383052107,62.34843826293945,0.3815210461616516,-0.9942991849035024,0.068798828125,195.12518374919892,0.2,0.0003,0.0073992047,250
1169,27,260.54,47,-121.69163899000002,55296,-0.008701220486545935,89.1464614868164,0.3123267889022827,-1.0616682967171074,0.05673828125,242.49403285980225,0.2,0.0003,0.006422347,260
1150,28,276.59,49,-116.77015716,57344,-0.00910651656013215,173.7399139404297,0.36906516551971436,-1.0387740947306157,0.06982421875,275.6599539041519,0.2,0.0003,0.006666078,270
1136,29,296.09,52,-112.47734021999999,59392,-0.006564592646827805,54.8676643371582,0.385966420173645,-0.9817361649125814,0.060400390625,194.5037347316742,0.2,0.0003,0.0114132045,280
1104,30,312.48,55,-109.61549942999999,61440,-0.007236119591107126,57.40911102294922,0.29352015256881714,-1.0301925929263234,0.067138671875,254.65002267360688,0.2,0.0003,0.0058548376,290
1058,31,330.01,60,-106.19653732,63488,-0.008876180856896098,41.35407257080078,0.6810394823551178,-0.9848934449255466,0.073193359375,75.27532601356506,0.2,0.0003,0.008722173,300
1025,32,345.65,63,-107.81574397,65536,-0.006413970413996139,15.657511711120605,0.5793455839157104,-0.9844267476350069,0.0595703125,88.61972998976708,0.2,0.0003,0.0074504353,310
