time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction
67584,33,70,-96.36064447000001,364.18,963,0.007578647,0.0003,-1.0069156369194388,40.39680480957031,116.38800866603852,320,-0.009703250566963107,0.5715742111206055,0.2,0.056640625
69632,34,73,-93.46719406,383.44,944,0.020584578,0.0003,-0.8051315134391188,23.09873390197754,106.33260177671909,330,-0.003754654786462197,0.4897273778915405,0.2,0.050927734375
71680,35,76,-87.63997372,396.59,937,0.0070446823,0.0003,-0.9569331521168352,16.10569953918457,154.37096872627734,340,-0.005532339461569791,0.3325480818748474,0.2,0.0740234375
73728,36,79,-83.78311017999998,413.73,925,0.009317981,0.0003,-0.9556532930582762,15.625208854675293,93.1484589099884,350,-0.005206856926088221,0.4010842442512512,0.2,0.07978515625
75776,37,82,-83.43571774999998,430.26,916,0.007178598,0.0003,-0.8336720708757639,123.58623504638672,218.3223138988018,360,-0.004500182162155397,0.16191065311431885,0.2,0.042236328125
77824,38,85,-76.35090167,447.88,911,0.01386399,0.0003,-0.9448080400004983,69.69776916503906,101.22589440643787,370,-0.006702800739003578,0.3799840211868286,0.2,0.070068359375
79872,39,88,-76.29786763000001,460.63,905,0.0038096302,0.0003,-0.8577700469642877,159.22926330566406,210.9931236565113,380,-0.0014476716634817422,0.22971123456954956,0.2,0.03115234375
81920,40,92,-71.2831388,476.87,887,0.0070466446,0.0003,-0.9699520327150821,108.29313659667969,55.191451066732405,390,-0.005961271234264131,0.6996075510978699,0.2,0.07939453125
83968,41,96,-71.31430695999998,492.52,873,0.009292776,0.0003,-0.944404910504818,284.3343811035156,50.950714111328125,400,-0.004103216947987676,0.5617958009243011,0.2,0.08681640625
86016,42,99,-70.70950869999999,514.53,862,0.0068468614,0.0003,-0.9347492426633834,6.365527629852295,52.520001181960104,410,-0.005446554960508365,0.5268044173717499,0.2,0.064599609375
88064,43,104,-68.00703584,525.2,845,0.0076385187,0.0003,-0.9745962450280785,86.26227569580078,115.62435989379883,420,-0.003324808694742387,0.46036380529403687,0.2,0.04267578125
90112,44,107,-63.677236599999986,540.24,841,0.0055516916,0.0003,-0.9890434490516782,16.785303115844727,75.76709427535533,430,-0.003266037986759329,0.6072356402873993,0.2,0.062158203125
92160,45,110,-59.95464921,561.51,833,0.011116431,0.0003,-0.8672378754243255,16.788421630859375,108.34532831013203,440,-0.008122655418992509,0.612251341342926,0.2,0.083056640625
94208,46,114,-59.29801282,570.1,821,0.00799194,0.0003,-0.893375388905406,24.076566696166992,95.11543122380972,450,-0.0025701699712953998,0.5228033363819122,0.2,0.060986328125
96256,47,118,-58.56471272999999,583.01,813,0.009389361,0.0003,-0.9310321381315589,4.951958179473877,47.73741996437311,460,-0.0028101679679821247,0.6122496724128723,0.2,0.094189453125
98304,48,121,-57.20324679,596.27,806,0.008381089,0.0003,-0.9732079798355698,10.924833297729492,59.369065433740616,470,-0.0020238167369825534,0.5184629559516907,0.2,0.056103515625
100352,49,126,-54.733738360000004,613.19,792,0.0066830395,0.0003,-0.9466538216918707,7.704802989959717,96.98940039873123,480,-0.001962945391278481,0.6196993589401245,0.2,0.0392578125
102400,50,130,-50.56001645000001,637.58,784,0.013122239,0.0003,-0.9531866353005171,3.1952943801879883,28.712565406411887,490,-0.00781751456015627,0.825623020529747,0.2,0.15185546875
104448,51,133,-49.850436179999996,639.37,781,0.008536903,0.0003,-0.9206177106127142,2.609772205352783,56.6040500536561,500,-0.0068048266199184585,0.6861037313938141,0.2,0.08291015625
106496,52,136,-47.517568729999994,655.01,777,0.005241501,0.0003,-0.9290763286873698,66.02606201171875,124.8652368426323,510,-0.002940241020041867,0.44540733098983765,0.2,0.0302734375
108544,53,140,-44.52001858,671.2,771,0.007359067,0.0003,-0.9006434479728341,1.3464635610580444,32.402512239664794,520,-0.004634811412688578,0.8113887757062912,0.2,0.099658203125
110592,54,143,-38.66853783,691.89,772,0.0024648225,0.0003,-0.8655218128114939,2.1505186557769775,34.44836986362934,530,-0.0006065009627491235,0.8188737630844116,0.2,0.04140625
112640,55,146,-40.890188929999994,694.51,768,0.0030644578,0.0003,-0.8486568074673414,67.33674621582031,198.83399066925048,540,-0.0017342036102490966,0.3295021653175354,0.2,0.0185546875
114688,56,150,-37.007728619999995,711.18,761,0.006166999,0.0003,-0.8677266189828515,4.440291881561279,65.75962371826172,550,-0.00257667571931961,0.657816082239151,0.2,0.06806640625
116736,57,154,-36.745921110000005,716.42,755,0.009405195,0.0003,-0.9042681161314249,4.983455657958984,48.78392924964428,560,-0.006046556532237446,0.8311026990413666,0.2,0.1677734375
118784,58,158,-31.64721644,733.31,751,0.0050336076,0.0003,-0.881799329444766,3.999474048614502,105.4613827869296,570,0.00034352201328147203,0.58082714676857,0.2,0.042236328125
120832,59,161,-27.578281130000004,745.9,747,0.0050092805,0.0003,-0.8748074170202017,10.020866394042969,108.8324167072773,580,-0.0015143602766329422,0.5387780964374542,0.2,0.02353515625
122880,60,165,-26.27223501,760.81,744,0.00460206,0.0003,-0.7469100080430507,39.42656707763672,72.28904302641749,590,-0.0006623819834203459,0.662975549697876,0.2,0.036181640625
124928,61,168,-23.949856169999997,780.97,743,0.006099504,0.0003,-0.8794315995648503,4.845327377319336,34.28495251778513,600,-0.0009941502787114587,0.821731761097908,0.2,0.05673828125
126976,62,171,-22.983568759999994,779.72,739,0.00569892,0.0003,-0.9181839432567358,74.13888549804688,80.48654004111886,610,-0.0008975321907200851,0.663161426782608,0.2,0.04755859375
129024,63,176,-18.960067869999992,794.55,731,0.007189987,0.0003,-0.8604987306520343,36.10211944580078,115.27943352758885,620,-0.00258752143708989,0.5403879582881927,0.2,0.053515625
131072,64,179,-16.10492217,801.95,731,0.0068281484,0.0003,-0.8785340566188097,1.637915849685669,34.902150590717795,630,-0.0019206227254471742,0.8639612346887589,0.2,0.0673828125
133120,65,182,-11.708337259999999,817.4,728,0.007123581,0.0003,-0.785630053654313,73.9334716796875,172.1056720227003,640,-0.0015186368844297248,0.4043842554092407,0.2,0.051708984375
135168,66,186,-7.709555929999999,829.71,724,0.01144244,0.0003,-0.7787036722525954,17.13311004638672,125.58583524078131,650,-0.0031460647187486757,0.47400927543640137,0.2,0.08212890625
137216,67,190,-7.425022749999998,831.16,721,0.0065414226,0.0003,-0.8550731113180519,2.1323962211608887,66.76573048308492,660,0.0009747453237650916,0.5759046077728271,0.2,0.05576171875
139264,68,194,-4.538926399999999,836.65,717,0.00591055,0.0003,-0.8561532394960523,32.357574462890625,68.6879280552268,670,-0.0021760560124675977,0.58505579829216,0.2,0.05498046875
141312,69,197,-4.050013039999999,844.23,714,0.004933293,0.0003,-0.8424773020669818,0.6868961453437805,32.72492139004171,680,-0.0009991779341362416,0.7457166910171509,0.2,0.054931640625
143360,70,201,0.360695940000002,853.32,710,0.0022315248,0.0003,-0.8777519566938281,3.1957874298095703,87.02829355373979,690,-0.0036522021026030417,0.5666962265968323,0.2,0.017822265625
145408,71,204,0.7181128900000016,857.39,709,0.011292893,0.0003,-0.8170835336670279,25.04198455810547,75.41469182670116,700,-0.0026432376456796193,0.6883150041103363,0.2,0.079833984375
147456,72,208,4.25883246,857.24,708,0.005155123,0.0003,-0.8487467508763075,54.17715072631836,140.84790404289961,710,-0.0041335897221870255,0.36133909225463867,0.2,0.04765625
149504,73,211,4.87399548,860.55,706,0.009213416,0.0003,-0.8350153302773833,9.463276863098145,51.93077249452472,720,-0.0031934050006384497,0.6506877839565277,0.2,0.066796875
151552,74,215,4.46690013,860.55,704,0.008585131,0.0003,-0.8799208322539925,1.6675844192504883,36.52671496346593,730,-0.0021083023340906946,0.7775421142578125,0.2,0.09794921875
153600,75,218,4.01735222,864.15,704,0.010789491,0.0003,-0.8518166167661547,150.04989624023438,41.90088942945003,740,-0.0038161923206644134,0.733818918466568,0.2,0.175146484375
155648,76,221,1.80717984,862.32,702,0.006620718,0.0003,-0.8977925790473819,2.9230780601501465,87.63787295073271,750,-0.002421181494719349,0.637418270111084,0.2,0.064794921875
157696,77,224,1.3932893,860.64,702,0.0059827054,0.0003,-0.833174055442214,53.224952697753906,72.32847362980246,760,-0.0021022763874498198,0.7237444818019867,0.2,0.046923828125
159744,78,227,-1.44237036,860.71,701,0.0042814924,0.0003,-0.8280896719545126,162.9953155517578,120.96155396699905,770,-0.0011029867018805817,0.48836028575897217,0.2,0.045654296875
161792,79,230,-1.6160218899999998,854.83,701,0.0256902,0.0003,-0.8080351592972874,56.76493835449219,124.47613487243652,780,-0.0071945036546821935,0.5373577177524567,0.2,0.058154296875
163840,80,234,-2.278100329999999,863.18,697,0.0023104856,0.0003,-0.8159835454076528,47.02842330932617,123.75604640096427,790,-0.0014010893821250648,0.614826887845993,0.2,0.02587890625
165888,81,237,-2.6001623400000007,862.45,697,0.008290922,0.0003,-0.8220834048464895,2.1306819915771484,38.54740648232401,800,0.0004433784488355741,0.810322716832161,0.2,0.093896484375
167936,82,240,-5.854339070000001,861.28,697,0.005920495,0.0003,-0.8823059873655439,35.20316696166992,82.8557710006833,810,-0.003223887087369803,0.7184081971645355,0.2,0.05107421875
169984,83,245,-4.1022614100000006,859.78,692,0.010816363,0.0003,-0.8823811730369926,1.987622857093811,61.15982025191188,820,-0.0024473481811583043,0.842587873339653,0.2,0.05341796875
172032,84,249,-2.269000579999999,860.84,689,0.004856607,0.0003,-0.7680990861728787,115.74803161621094,68.12254727035761,830,-0.0022009704749507363,0.8112777769565582,0.2,0.050439453125
174080,85,252,-2.1913341299999978,864.75,688,0.005177194,0.0003,-0.791774857416749,1.6474356651306152,36.493024960905316,840,-0.0007018111326033249,0.857319787144661,0.2,0.06025390625
176128,86,255,-1.624539239999999,855.99,688,0.004632554,0.0003,-0.7948643654584885,8.392621994018555,78.3258843705058,850,-0.0014708876369695645,0.6464386284351349,0.2,0.052197265625
178176,87,259,-4.3042758,853.91,687,0.004776004,0.0003,-0.779032407514751,7.928094863891602,127.97932207286358,860,-0.0014290938535850728,0.5602661967277527,0.2,0.032080078125
180224,88,262,-2.488528249999998,850.05,687,0.0051069744,0.0003,-0.8080105436965823,59.504730224609375,56.85728896409273,870,-0.0025492551423667463,0.7819245010614395,0.2,0.046875
182272,89,265,0.008471630000002187,856.26,685,0.0076248995,0.0003,-0.8058002483099699,94.35990142822266,73.31896673068404,880,-0.002501878808470792,0.69952791929245,0.2,0.084521484375
184320,90,269,-0.08942442999999747,856.26,683,0.008641098,0.0003,-0.8500794453546405,8.865537643432617,32.7840467505157,890,-0.006100549065740779,0.8562300503253937,0.2,0.11083984375
