rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/loss,train/policy_gradient_loss
-102.00078186,965,61440,30,372.93,63,0.0003,0.107373046875,0.2,290,0.7759790271520615,-1.0541519194841384,72.95468502044677,0.010818325,14.217714309692383,-0.00816126563877333
-99.59679337,943,63488,31,386.44,67,0.0003,0.062158203125,0.2,300,0.6225492060184479,-0.9492707403376699,121.64236142039299,0.0053888345,17.731992721557617,-0.007436167764535639
-96.87406517000001,931,65536,32,403.87,70,0.0003,0.119873046875,0.2,310,0.6408004462718964,-1.0957402773201466,106.26824427843094,0.009579357,10.271682739257812,-0.005152721895137801
-94.82809178000001,920,67584,33,422.91,73,0.0003,0.069970703125,0.2,320,0.7081257104873657,-1.0464443169534206,112.05676755309105,0.007603048,15.787930488586426,-0.0032273794502543753
-93.89173115000001,909,69632,34,433.06,76,0.0003,0.165869140625,0.2,330,0.7737546414136887,-1.0331550410017372,76.44491221010685,0.017053772,8.106478691101074,-0.009077567572239787
-89.53916611999999,899,71680,35,453.55,79,0.0003,0.05595703125,0.2,340,0.7382796108722687,-0.8994949435815215,94.91715698242187,0.009005148,16.709861755371094,-0.004952425216470146
-89.87249236,884,73728,36,466.04,83,0.0003,0.048974609375,0.2,350,0.7628422230482101,-0.8917228823527694,96.33111203610898,0.009620415,18.516284942626953,-0.003762329652090557
-86.42422111000002,873,75776,37,481.62,86,0.0003,0.1052734375,0.2,360,0.8241600543260574,-0.9712779361754655,53.0401335299015,0.0097795315,11.667373657226562,-0.006140759748814162
-84.36783338000001,859,77824,38,489.71,90,0.0003,0.06484375,0.2,370,0.707819014787674,-0.9758420243859292,102.11884515583515,0.009646752,120.41960144042969,-0.0032798834894492757
-83.69778821,849,79872,39,501.07,94,0.0003,0.077685546875,0.2,380,0.7675395011901855,-0.9928131816908717,42.634095495939256,0.015032192,6.910428047180176,-0.006624297762391507
-79.5578859,838,81920,40,516.54,97,0.0003,0.1265625,0.2,390,0.581174224615097,-1.013262535072863,93.84979391545058,0.009012155,13.323809623718262,-0.003869344618578907
-77.61997346999999,827,83968,41,533.02,101,0.0003,0.07548828125,0.2,400,0.769128605723381,-0.9545395977795124,45.55821429342031,0.0074291523,5.01401948928833,-0.002781154218973825
-74.55345430999999,817,86016,42,547.89,105,0.0003,0.124462890625,0.2,410,0.8165466487407684,-0.9298296172171832,47.23569999784231,0.016294736,6.9322052001953125,-0.005219897716597188
-68.87245704,816,88064,43,567.93,107,0.0003,0.10673828125,0.2,420,0.8248191475868225,-0.9856433853507042,48.28622532710433,0.011053228,4.48468017578125,-0.0043926323327468705
-68.62739622,807,90112,44,583.78,111,0.0003,0.07802734375,0.2,430,0.6911714971065521,-1.0253269759938122,91.02039082348347,0.008381886,54.056434631347656,-0.006005415948311566
-65.60975763999998,799,92160,45,594.61,115,0.0003,0.1142578125,0.2,440,0.8369522541761398,-1.0363009279593824,50.56702512353659,0.009706022,4.72054386138916,-0.0024290554829349276
-62.46046399000001,797,94208,46,612.77,118,0.0003,0.10478515625,0.2,450,0.7592354565858841,-0.8513717766851187,64.72443187236786,0.010432221,5.080275535583496,-0.005397309268300887
