time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss
16,1116,32768,-119.28034697999999,29,227.85,0.013050854,-0.00759965712641133,0.2,0.0003,0.104052734375,65.77989613115787,-1.2020807161927223,150,0.5227707326412201,12.155640602111816
17,1085,34816,-116.76035515,32,246.95,0.006565362,-0.0030672490045617453,0.2,0.0003,0.03193359375,193.18686879873275,-1.1513069331645966,160,0.20612883567810059,61.54817581176758
18,1067,36864,-115.70270955999999,34,260.24,0.0078644715,-0.00669720101141138,0.2,0.0003,0.0552734375,165.8380941092968,-1.1019146621227265,170,0.45596086978912354,43.41548538208008
19,1045,38912,-112.32808500000003,37,266.93,0.006712597,-0.0035793266099062747,0.2,0.0003,0.049365234375,142.8135304093361,-1.1293793022632599,180,0.43280190229415894,26.223369598388672
20,1050,40960,-111.05957626000001,39,275.26,0.008957647,-0.008785272068053018,0.2,0.0003,0.068310546875,240.1604919195175,-1.0597835568711163,190,0.6163697838783264,71.91856384277344
21,1038,43008,-105.88022226,41,291.85,0.006230795,-0.004904863565025152,0.2,0.0003,0.03564453125,312.4739110469818,-1.003807300888002,200,0.332599401473999,96.42118072509766
22,1033,45056,-106.74720852,43,307.22,0.006182208,-0.002883218165516155,0.2,0.0003,0.02392578125,52.829564878344534,-1.1208433974534273,210,0.870164766907692,10.76418685913086
23,1008,47104,-101.37527895000002,46,323.92,0.008756996,-0.0076519759706570765,0.2,0.0003,0.067333984375,229.53907152414322,-0.9922391651198268,220,0.6774303019046783,63.45976638793945
24,995,49152,-98.47183880000003,49,338.73,0.00941696,-0.004425127655122196,0.2,0.0003,0.067822265625,78.28894439935684,-0.9769585387781262,230,0.8308596014976501,13.3128080368042
25,988,51200,-98.30996126,51,342.53,0.003794806,-0.005528769161901437,0.2,0.0003,0.017724609375,155.8022177696228,-1.029391740448773,240,0.7152765691280365,16.984668731689453
26,982,53248,-94.52299796999999,54,352.83,0.0036386307,-0.00327174402482342,0.2,0.0003,0.018359375,245.8540907025337,-0.9272253464907407,250,0.6209953129291534,60.924224853515625
27,969,55296,-91.41934155999999,57,373.18,0.013606727,-0.010812186391558499,0.2,0.0003,0.10263671875,89.96481577754021,-0.9325003182515502,260,0.7694990932941437,392.5472717285156
28,966,57344,-90.98232814,59,383.07,0.004875453,-0.006902404582069721,0.2,0.0003,0.035546875,181.85418947935105,-0.9689694175496697,270,0.5503156781196594,48.43760681152344
29,964,59392,-89.16399220000002,61,397.56,0.009092696,-0.006552566099708201,0.2,0.0003,0.080078125,86.37877373695373,-0.8327260879799724,280,0.7389510869979858,33.08646011352539
30,951,61440,-85.37662691999999,64,410.71,0.0032232061,-0.003242518022307195,0.2,0.0003,0.00986328125,307.09941771030424,-0.8466416085138917,290,0.5615279972553253,72.59888458251953
31,937,63488,-83.83213606999999,67,430.38,0.009260332,-0.00440745688683819,0.2,0.0003,0.081005859375,159.34757341146468,-0.8396826338022947,300,0.6523476541042328,143.90869140625
32,927,65536,-82.29016092,70,446.57,0.006067502,-0.004635520339070354,0.2,0.0003,0.059912109375,183.74313274621963,-0.8191816980019212,310,0.5035438239574432,36.81465148925781
