time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates
30720,26,-130.82336353,1171,15,189.07,0.03828125,-1.1231058917939662,0.2,224.51255704164504,133.7982940673828,-0.005600356380455196,0.2912355661392212,0.007050463,0.0003,140
32768,29,-126.80831365,1121,16,208.88,0.10439453125,-1.059243760444224,0.2,515.8568166255951,307.4737243652344,-0.006621358809934463,0.24160444736480713,0.010036919,0.0003,150
34816,31,-126.51456647,1097,17,224.59,0.080908203125,-1.2470317721366881,0.2,115.92754021286964,31.361690521240234,-0.010630923973803875,0.43309980630874634,0.008673197,0.0003,160
36864,33,-119.86701049,1097,18,235.63,0.04365234375,-1.1530291050672532,0.2,247.9630048274994,100.81647491455078,-0.004766806476982311,0.3182324171066284,0.006991918,0.0003,170
38912,35,-119.43924928999999,1085,19,250.58,0.0595703125,-0.9840151365846396,0.2,408.99746584892273,107.90546417236328,-0.009009830760624027,-0.02157425880432129,0.007551081,0.0003,180
40960,39,-115.46533911000002,1048,20,268.38,0.054443359375,-1.032019615545869,0.2,368.8967983961105,95.6731185913086,-0.006097324870643206,0.34087955951690674,0.008711353,0.0003,190
43008,42,-112.63699631,1018,21,284.13,0.0689453125,-0.9203195232897997,0.2,75.95709981918336,30.693239212036133,-0.006899857433018042,0.4923892021179199,0.008066717,0.0003,200
45056,45,-112.13080195,998,22,301.03,0.048291015625,-1.0249246949329973,0.2,168.58416492938994,33.256202697753906,-0.006074420857476071,0.3212853670120239,0.0070763174,0.0003,210
47104,47,-108.38689980999999,988,23,314.04,0.1138671875,-1.043272778019309,0.2,132.960770714283,39.39506149291992,-0.009454468173498754,0.43622881174087524,0.009190246,0.0003,220
49152,50,-107.11980244,973,24,331.85,0.146240234375,-1.0726408045738935,0.2,111.95366188883781,49.8197021484375,-0.0117151044352795,0.5633601248264313,0.013357913,0.0003,230
51200,54,-103.17647116,941,25,349.38,0.07900390625,-1.0260722042992712,0.2,32.761345359683034,10.125726699829102,-0.008332223947218154,0.5794994831085205,0.008676462,0.0003,240
53248,57,-99.92137192000001,930,26,368.09,0.079736328125,-1.0678103119134903,0.2,51.019385078549384,14.949219703674316,-0.00365732419595588,0.5598636269569397,0.0066895764,0.0003,250
55296,60,-95.40268466000002,911,27,385.74,0.023681640625,-0.977568594366312,0.2,211.42709795832633,134.25582885742188,-0.004692467820132151,0.2019134759902954,0.0075978884,0.0003,260
57344,65,-94.31819397000001,881,28,401.38,0.042529296875,-0.8997626097872853,0.2,74.65806927084923,25.047271728515625,-0.006305269009317271,0.6418920159339905,0.0049901977,0.0003,270
59392,68,-91.74851399000003,871,29,419.07,0.06494140625,-0.9782393490895629,0.2,83.51613662838936,16.298057556152344,-0.006708941658871481,0.43230271339416504,0.008589724,0.0003,280
61440,71,-88.40225680000002,853,30,433.91,0.0609375,-1.0099090211093427,0.2,29.149059399962425,6.51015043258667,-0.004189657288952731,0.5248870849609375,0.008976223,0.0003,290
63488,76,-85.05074416,831,31,449.54,0.15146484375,-1.0775922391563655,0.2,23.05372324734926,7.635612964630127,-0.008408398009487427,0.5244706273078918,0.010326074,0.0003,300
65536,79,-85.23110058,826,32,466.81,0.058740234375,-1.030892632342875,0.2,34.63697157949209,3.4207639694213867,-0.004687603004276753,0.5752146542072296,0.0052535804,0.0003,310
67584,83,-82.23504144,809,33,483.41,0.103515625,-0.9914974199607969,0.2,35.0952603071928,351.66680908203125,-0.006070723904122133,0.6796072423458099,0.008407334,0.0003,320
69632,87,-76.97732429,794,34,499.45,0.054052734375,-1.0013379350304603,0.2,43.040420438349244,2.807089328765869,-0.00374468293011887,0.4653943181037903,0.0068320693,0.0003,330
71680,90,-73.40577802000001,790,35,517.78,0.10927734375,-1.0393112417310477,0.2,28.04860122203827,3.0841827392578125,-0.009361229859496233,0.7414567470550537,0.008881217,0.0003,340
73728,93,-68.13683367,788,36,534.77,0.033447265625,-0.9277691124007106,0.2,108.34599891901016,37.730770111083984,-0.0019719842632184735,0.49702417850494385,0.004762852,0.0003,350
75776,97,-66.39271993,780,37,551.14,0.1296875,-0.8345367455855012,0.2,27.182346151210368,2.1553120613098145,-0.006487996811483754,0.8313021957874298,0.007408755,0.0003,360
77824,100,-64.38704958,771,38,565.09,0.0125,-0.9722387766465544,0.2,178.55228648483754,53.07933044433594,-0.0044494499426946275,0.3206721544265747,0.004246446,0.0003,370
79872,103,-61.11478730000001,768,39,582.4,0.08427734375,-0.9104485070332885,0.2,53.95288153663277,3.6452362537384033,-0.007726317162450869,0.5358590483665466,0.009962137,0.0003,380
81920,107,-60.472991040000004,758,40,591.11,0.036181640625,-0.9054733043536544,0.2,136.07529291212558,16.038801193237305,-0.0037764389566291357,0.22470247745513916,0.004360062,0.0003,390
83968,111,-58.05522956,752,41,607.92,0.1,-0.9588304549455643,0.2,21.641560300439597,1.381151795387268,-0.0029726930188189726,0.8128113299608231,0.008996226,0.0003,400
86016,115,-53.01647889,742,42,624.56,0.067724609375,-0.8759267743676901,0.2,49.04759766086936,3.6386165618896484,-0.0040614988305605945,0.5627123415470123,0.006914776,0.0003,410
88064,118,-51.66145109,740,43,639.67,0.066455078125,-0.8051479710265994,0.2,32.66812935620546,2.7675602436065674,-0.00495629264623858,0.6187501847743988,0.0056888955,0.0003,420
90112,123,-48.43854865,731,44,654.45,0.04072265625,-0.8513541320338845,0.2,64.28716497793793,52.2777099609375,-0.0031790033819561357,0.5414202213287354,0.0063310713,0.0003,430
92160,126,-41.189051,728,45,676.49,0.03779296875,-0.712306359037757,0.2,55.65565383210778,5.810051918029785,-0.0029094563145918074,0.5079804956912994,0.003707477,0.0003,440
94208,130,-40.591681740000006,723,46,693.81,0.06806640625,-0.9192206554114819,0.2,71.02597494721412,9.449688911437988,-0.0031814621921512297,0.5218071639537811,0.006346971,0.0003,450
