time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss
1053,49152,298.32,-118.18764935000003,24,46,15.008792877197266,0.010292156,0.10673828125,230,0.0003,-0.006088753259246005,0.8111828863620758,0.2,-1.116470032930374,53.84665929377079
1041,51200,318.41,-114.83950113,25,49,38.10576248168945,0.009254602,0.084228515625,240,0.0003,-0.003897620813222602,0.6867476999759674,0.2,-1.1311948969960213,162.98239364027978
1023,53248,336.14,-113.66668354,26,52,7.863742828369141,0.010716213,0.095751953125,250,0.0003,-0.0049069313008658355,0.7724438011646271,0.2,-1.0159860912710428,88.17324037849903
1015,55296,347.34,-106.69624519000001,27,54,4.213801860809326,0.013241271,0.119287109375,260,0.0003,-0.01020076141867321,0.8671877235174179,0.2,-1.1337348781526089,43.65445747226477
1013,57344,363.25,-104.82675234,28,56,77.97197723388672,0.008886436,0.06826171875,270,0.0003,-0.00654739258607151,0.549694299697876,0.2,-0.9626742400228977,155.28061057031155
1010,59392,369.25,-105.33633289000001,29,58,56.495262145996094,0.011857897,0.119921875,280,0.0003,-0.009815035756037104,0.7039969861507416,0.2,-0.9793451458215714,168.8848167359829
976,61440,386.18,-100.59183996000002,30,62,41.026268005371094,0.0062228637,0.02333984375,290,0.0003,-0.001846336041489849,0.759254589676857,0.2,-0.9469073917716742,132.45472027659417
964,63488,403.16,-98.54766405999999,31,65,11.712898254394531,0.007822831,0.0642578125,300,0.0003,-0.007006080861174269,0.8150095343589783,0.2,-1.0560781128704548,60.20948898792267
945,65536,419.7,-95.94531633999999,32,69,7.575514316558838,0.008662649,0.112255859375,310,0.0003,-0.003860086964414222,0.8564965575933456,0.2,-1.080310631543398,57.19826848208904
922,67584,435.73,-91.68012557,33,73,6.971181869506836,0.0075753657,0.074951171875,320,0.0003,-0.005459112484459183,0.8543162047863007,0.2,-0.969031498208642,48.927693858742714
914,69632,456.92,-89.85408575000001,34,76,1.8870501518249512,0.012889513,0.18134765625,330,0.0003,-0.007448472249961924,0.8974335789680481,0.2,-1.0533055284991861,33.09068796783686
907,71680,474.76,-83.87493641,35,78,20.519187927246094,0.0060415682,0.04453125,340,0.0003,-0.0010180849414609839,0.7969208359718323,0.2,-1.0751705829054117,79.05791841968895
889,73728,491.96,-80.74555629000001,36,82,43.848331451416016,0.012384532,0.096435546875,350,0.0003,-0.004488938062422676,0.6482181251049042,0.2,-0.6810564652085305,147.83078913092612
880,75776,502.11,-78.81289088,37,86,3.8245882987976074,0.010438797,0.1279296875,360,0.0003,-0.0033253733119636307,0.9070164859294891,0.2,-1.037849119491875,32.82983446493745
868,77824,518.56,-77.32011299999999,38,89,154.39105224609375,0.007110035,0.0740234375,370,0.0003,-0.00321110913719167,0.7878223359584808,0.2,-1.028047719039023,68.66649001538754
865,79872,536.06,-72.37128839999998,39,92,1.8076754808425903,0.009882803,0.0849609375,380,0.0003,-0.00641673708014423,0.8943331390619278,0.2,-0.8301111649721861,35.26516434364021
857,81920,552.53,-67.64949225,40,95,18.694307327270508,0.006603217,0.0279296875,390,0.0003,-0.004021013410965679,0.7195369899272919,0.2,-1.0186650125309824,125.74045588001609
851,83968,570.1,-66.57694482,41,98,1.2210639715194702,0.008426512,0.08505859375,400,0.0003,-0.005072017357451841,0.8986277133226395,0.2,-1.0334631090983748,41.52738273777068
850,86016,591.03,-60.76943778,42,101,2.229074478149414,0.009889543,0.08701171875,410,0.0003,-0.0051927071443060415,0.9170724377036095,0.2,-0.9609405694529414,34.609299135580656
844,88064,606.91,-57.52964743,43,104,114.43858337402344,0.00870142,0.015625,420,0.0003,-0.0013030508096562698,0.8061215877532959,0.2,-0.924929627403617,86.36338640451432
840,90112,618.85,-53.77360181,44,107,0.9695029854774475,0.006284127,0.07880859375,430,0.0003,-0.0038760508883569854,0.9003059417009354,0.2,-0.900570822507143,42.03208851031959
835,92160,633.71,-50.82524898999999,45,110,96.19862365722656,0.0051257093,0.050732421875,440,0.0003,-0.0024563729097280885,0.7104528844356537,0.2,-0.7844692878425121,140.67579470723868
836,94208,650.15,-48.2288111,46,112,2.161555051803589,0.045178756,0.11083984375,450,0.0003,-0.0082343733869493,0.8207579106092453,0.2,-0.9361515056341887,62.88362786695361
838,96256,667.62,-45.87745299,47,114,0.6980892419815063,0.010979471,0.07705078125,460,0.0003,-0.0009904405669658445,0.9136121198534966,0.2,-0.9415949881076813,31.06186180766672
835,98304,683.44,-42.08433095,48,117,310.0665588378906,0.0073572216,0.044287109375,470,0.0003,-0.0032089536638522987,0.8402135074138641,0.2,-0.7438294252380728,65.51120587661862
836,100352,702.98,-39.51089233,49,119,2.9162447452545166,0.011045499,0.09677734375,480,0.0003,-0.0028251560688659083,0.934747539460659,0.2,-0.8363692902028561,29.92652685493231
834,102400,707.45,-36.80214312,50,122,31.662385940551758,0.006340216,0.02802734375,490,0.0003,-0.0014700703919515944,0.8784001991152763,0.2,-0.8175584528595209,81.67089847922325
833,104448,702.55,-33.303685449999996,51,125,36.294158935546875,0.003118051,0.00244140625,500,0.0003,-0.002146108856686624,0.7336995601654053,0.2,-0.8112519511952996,245.2669955343008
827,106496,717.4,-32.74298736,52,128,11.470263481140137,0.0023697228,0.006640625,510,0.0003,-0.0010844788499525747,0.7575292438268661,0.2,-0.8696457624435425,150.96910826563834
827,108544,729.83,-30.33748756,53,131,3.3882877826690674,0.0126945,0.1025390625,520,0.0003,-0.004536091725822189,0.9031907767057419,0.2,-0.9242393970489502,33.758145100064574
825,110592,742.1,-27.08253984,54,133,20.500009536743164,0.009994364,0.047314453125,530,0.0003,-0.001702451493110857,0.8078576475381851,0.2,-0.8576939769089222,118.76980493068694
827,112640,734.84,-29.035196980000006,55,136,2.475926637649536,0.0044039134,0.0408203125,540,0.0003,-0.0023356892663286997,0.8487535119056702,0.2,-0.8094250924885273,69.10177150405943
828,114688,720.99,-27.944928249999993,56,138,110.35184478759766,0.0067880237,0.0474609375,550,0.0003,-0.002865682967239991,0.8374030888080597,0.2,-0.8414638528600336,178.69490846693515
831,116736,708.02,-28.144430579999998,57,140,82.57660675048828,0.0025225822,0.005029296875,560,0.0003,-0.001993303099152399,0.7809845805168152,0.2,-0.8112539334222675,224.23804092407227
832,118784,710.08,-24.993201400000004,58,142,189.75738525390625,0.0077106636,0.035791015625,570,0.0003,-0.002560337477916619,0.7938121855258942,0.2,-0.7861208321526647,246.44525807499886
829,120832,716.25,-23.199596550000006,59,145,35.77195358276367,0.005944317,0.052099609375,580,0.0003,-0.0033074742983444593,0.8034781217575073,0.2,-0.7921989154070616,163.18696628212928
