rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/clip_range,train/value_loss,train/policy_gradient_loss
-164.7635121304348,2048,0,1,2369,87.43478260869566,,,,,,,,,,
-167.00912343181818,4096,2,2,1787,90.43181818181819,10,481.35943603515625,0.0003,0.03564453125,-1.382944979891181,0.0002764463424682617,0.005441526,0.2,1754.2262466430664,-0.006060732451442163
-170.78041464179108,6144,3,3,1660,91.44776119402985,20,298.4814758300781,0.0003,0.0544921875,-1.377823917195201,-0.015170097351074219,0.009582454,0.2,1057.0833872795106,-0.0074381875325343575
-169.00200398876405,8192,5,4,1601,91.41573033707866,30,453.4327392578125,0.0003,0.0533203125,-1.3667871419340372,-0.013619303703308105,0.008067692,0.2,1177.4246961593628,-0.00832575500025996
-168.2719052,10240,6,5,1568,90.57,40,418.341552734375,0.0003,0.05068359375,-1.3653489414602518,-0.004457235336303711,0.008031191,0.2,975.4644811630249,-0.006937022870260989
-167.25359697,12288,7,6,1544,92.49,50,432.2693176269531,0.0003,0.0703125,-1.3551842220127583,-0.0008398294448852539,0.011849606,0.2,932.5932297706604,-0.0073984788425150326
-169.2770262,14336,9,7,1526,94.66,60,753.9703369140625,0.0003,0.15458984375,-1.3326987758278848,-0.0005344152450561523,0.0127002215,0.2,585.7204937934875,-0.009087080323661212
-167.68040036,16384,10,8,1512,98.18,70,413.4625244140625,0.0003,0.0896484375,-1.3125523172318936,-0.00599515438079834,0.013040677,0.2,803.6829555034637,-0.004511541153624421
-163.65274997,18432,12,9,1497,101.73,80,144.36439514160156,0.0003,0.108740234375,-1.2982233107089995,-0.00026094913482666016,0.008325582,0.2,482.1996955394745,-0.009802765160566195
-161.96771342,20480,13,10,1486,108.56,90,215.2944793701172,0.0003,0.063330078125,-1.2831146590411664,-2.6941299438476562e-05,0.008275719,0.2,552.6492136478424,-0.00829725549556315
-160.86979252,22528,15,11,1476,113.73,100,362.9152526855469,0.0003,0.105615234375,-1.2447375755757093,-2.2172927856445312e-05,0.010703301,0.2,390.6892788887024,-0.008049314045638311
-156.44992462,24576,16,12,1466,121.44,110,178.0552978515625,0.0003,0.062353515625,-1.1717993687838315,-3.6835670471191406e-05,0.0064675016,0.2,584.1049847126008,-0.004224993362731766
-152.21077416000003,26624,18,13,1454,130.43,120,397.1080322265625,0.0003,0.09404296875,-1.148510430008173,-0.00020015239715576172,0.0073319077,0.2,635.1754168510437,-0.010519185381417629
-149.97993607,28672,20,14,1389,142.73,130,271.5980224609375,0.0003,0.05810546875,-1.1483013726770879,-1.2993812561035156e-05,0.01178897,0.2,587.2735821723938,-0.006553937123680953
-145.78929866000001,30720,22,15,1382,149.14,140,301.96539306640625,0.0003,0.00625,-1.2121672686189413,0.0023731589317321777,0.003918021,0.2,487.6411563873291,-0.0036738497983606067
-142.8119211,32768,25,16,1309,155.75,150,157.02719116210938,0.0003,0.028857421875,-1.129792981222272,-0.015191197395324707,0.006070488,0.2,472.62362399101255,-0.005084877301123924
-138.44864061,34816,26,17,1301,173.83,160,229.0775604248047,0.0003,0.027734375,-1.1769341334700585,0.0012823939323425293,0.004316775,0.2,383.0707721710205,-0.008656281386902265
-136.159427,36864,28,18,1298,183.08,170,109.69442749023438,0.0003,0.009033203125,-1.1091236658394337,-0.035889625549316406,0.005859526,0.2,455.65397439002993,-0.002994182085240027
-128.05571870999998,38912,29,19,1299,188.96,180,230.06056213378906,0.0003,9.765625e-05,-1.0898286778479815,0.015232205390930176,0.0020534683,0.2,531.2161323547364,-0.0018823840997356455
-125.87315535000002,40960,32,20,1273,205.55,190,160.23849487304688,0.0003,0.02392578125,-1.0717086542397738,0.19016015529632568,0.0068558957,0.2,407.4349009990692,-0.0029694689499592643
-123.58330166,43008,33,21,1266,212.7,200,79.48772430419922,0.0003,0.035498046875,-1.1931050904095173,0.42555540800094604,0.0063091028,0.2,155.61735844612122,-0.006707542610456585
-118.80535400000002,45056,37,22,1215,223.08,210,164.98182678222656,0.0003,0.00947265625,-1.091163619607687,0.20807015895843506,0.0044383164,0.2,378.994908285141,-0.00434252193372231
-115.50203282999999,47104,39,23,1183,241.7,220,66.70262145996094,0.0003,0.085498046875,-1.1774848453700542,0.4287709593772888,0.009192426,0.2,171.8573417186737,-0.004094458297186065
-117.13888803,49152,41,24,1187,246.56,230,105.71212768554688,0.0003,0.0212890625,-1.0744950074702502,0.36061447858810425,0.005172208,0.2,282.94929828643797,-0.004285889673337806
-114.48709798,51200,44,25,1153,256.0,240,154.04385375976562,0.0003,0.028173828125,-1.030431716144085,0.3601810932159424,0.007250755,0.2,318.97125537395476,-0.004736275769391796
-114.48249492999999,53248,46,26,1143,269.86,250,57.467559814453125,0.0003,0.051416015625,-1.1496377862989902,0.7004988789558411,0.0078005195,0.2,128.45309894084932,-0.009555855940561742
-111.13489979,55296,49,27,1127,271.93,260,103.03244018554688,0.0003,0.01083984375,-1.025473751872778,0.39124733209609985,0.004771509,0.2,307.9965677022934,-0.003998197181499563
-108.99248088,57344,51,28,1121,278.7,270,66.67823028564453,0.0003,0.09423828125,-1.061293100193143,0.5317068099975586,0.0079611745,0.2,200.01115250587463,-0.0090101484223851
-107.30339189,59392,53,29,1115,290.8,280,118.08434295654297,0.0003,0.0341796875,-0.9475578917190433,0.477535605430603,0.007761954,0.2,300.062539935112,-0.005675462954241084
-102.90165874,61440,55,30,1100,300.35,290,133.35894775390625,0.0003,0.050341796875,-0.9612986162304878,0.605615645647049,0.0042112796,0.2,235.56280859708787,-0.005593053542543203
-103.56780512000002,63488,58,31,1084,309.7,300,69.89488220214844,0.0003,0.020458984375,-0.9134102169424295,0.6621139049530029,0.0054621003,0.2,188.81516333818436,-0.0055143691915873205
-97.14543531999999,65536,61,32,1063,319.42,310,55.806739807128906,0.0003,0.03779296875,-0.9643276939168572,0.4717061519622803,0.0065644262,0.2,230.84364100694657,-0.005280059874348808
-92.72189678,67584,64,33,1047,327.39,320,217.53759765625,0.0003,0.075390625,-0.959063171595335,0.37446749210357666,0.0077080387,0.2,279.6393992424011,-0.007150892025674693
-89.83178821,69632,67,34,1030,346.86,330,56.61029052734375,0.0003,0.099072265625,-0.8881683241575956,0.5196504592895508,0.013523426,0.2,145.48886060714722,-0.010968459124705987
-88.41867561999999,71680,70,35,1015,356.53,340,23.707204818725586,0.0003,0.04150390625,-0.8769562620669603,0.4820125699043274,0.004638417,0.2,181.6720541834831,-0.003922236578364391
-85.01176876000001,73728,75,36,972,372.49,350,72.90545654296875,0.0003,0.044091796875,-0.9801245322450995,0.5531553030014038,0.004169589,0.2,85.69025239348412,-0.004041904299810994
-81.23636063,75776,78,37,959,394.52,360,10.022355079650879,0.0003,0.103271484375,-1.006771262176335,0.7352374792098999,0.009040337,0.2,45.502933382987976,-0.009193097804381978
-74.96489872000001,77824,82,38,948,406.81,370,9.274303436279297,0.0003,0.07333984375,-0.9752346647903323,0.6274042427539825,0.006548685,0.2,100.98176486492157,-0.0073585571451985745
-76.24463462,79872,85,39,928,422.19,380,16.57554054260254,0.0003,0.02900390625,-0.7780563492327929,0.5806072354316711,0.0041580214,0.2,109.65774438083172,-0.0031039289067848587
-73.25054079,81920,88,40,920,438.45,390,22.47919273376465,0.0003,0.085791015625,-0.866822931356728,0.766056701540947,0.0072749476,0.2,45.482595255970956,-0.007712213913328015
-69.32616886000001,83968,92,41,909,452.92,400,8.933880805969238,0.0003,0.112744140625,-1.0047333877533675,0.8560196310281754,0.007607771,0.2,34.945780265331265,-0.009758538689493435
-63.93650084000001,86016,95,42,904,475.19,410,26.109060287475586,0.0003,0.1119140625,-0.984527594037354,0.6889789700508118,0.008700617,0.2,100.43498986363412,-0.006443846683396259
-57.904166570000015,88064,98,43,893,493.21,420,5.223189353942871,0.0003,0.06171875,-0.9790051082149148,0.7435729801654816,0.0055991155,0.2,78.39464953392743,-0.004648121238278691
-52.532969300000005,90112,101,44,891,500.04,430,27.740535736083984,0.0003,0.0568359375,-0.8064460342749953,0.4499132037162781,0.0076866313,0.2,202.8844845354557,-0.0038439925920101814
-50.54934916,92160,104,45,885,510.44,440,28.49707794189453,0.0003,0.104150390625,-0.9081137029454112,0.6688201129436493,0.008541795,0.2,121.21749137043953,-0.005991520918541937
-47.29904245000001,94208,107,46,879,520.78,450,55.322696685791016,0.0003,0.0607421875,-0.8162563720718026,0.7018924057483673,0.009002879,0.2,79.88528515994548,-0.0054124976508319374
-44.22901466000001,96256,110,47,869,535.46,460,5.171293258666992,0.0003,0.113818359375,-0.8775176240131259,0.7756446450948715,0.0087164035,0.2,85.42699383497238,-0.006823675514897332
-41.88373527000001,98304,113,48,864,550.68,470,7.433488845825195,0.0003,0.108251953125,-0.9246757557615638,0.755138099193573,0.010826888,0.2,77.230955940485,-0.005430046390392818
-41.89687390000001,100352,117,49,857,558.61,480,5.6250104904174805,0.0003,0.156884765625,-1.000008070655167,0.8568241596221924,0.012763042,0.2,43.61764914691448,-0.00947994627567823
-38.319018250000006,102400,119,50,859,565.96,490,1.9449682235717773,0.0003,0.19404296875,-0.9393207401037216,0.897084653377533,0.011254588,0.2,35.26139806732535,-0.008727200450812234
-36.41571529,104448,121,51,857,570.4,500,109.20785522460938,0.0003,0.00625,-0.8797008994966745,0.44642770290374756,0.004996584,0.2,360.5026916384697,-0.0013862340652849524
-34.624074330000006,106496,125,52,850,581.23,510,23.958824157714844,0.0003,0.016943359375,-0.9808522460982203,0.6856943666934967,0.0047932602,0.2,192.09545266628265,-0.003207030055637006
-33.64293894,108544,127,53,848,597.6,520,11.658528327941895,0.0003,0.177490234375,-1.0035967089235782,0.7935546487569809,0.01936036,0.2,80.42949825674296,-0.00782384473568527
-30.151039899999997,110592,131,54,841,613.56,530,313.2828369140625,0.0003,0.0484375,-0.7362329242751002,0.8825268521904945,0.0061037103,0.2,69.34455958157778,-0.003260352626966778
-29.57357382,112640,134,55,840,621.9,540,5.072061061859131,0.0003,0.080908203125,-0.9888702306896449,0.8756213784217834,0.0068173474,0.2,43.09437428191304,-0.004875112014633487
-28.195208339999994,114688,137,56,835,626.38,550,289.1382141113281,0.0003,0.01826171875,-0.8340289499610662,0.6703828871250153,0.0035031072,0.2,254.70755473971366,-0.002587511270394316
-25.125823589999996,116736,140,57,832,638.57,560,12.26513957977295,0.0003,0.03671875,-0.7070524908602238,0.8313801884651184,0.006672842,0.2,85.93643694221973,-0.0036073090799618513
-19.090888940000003,118784,143,58,827,655.2,570,143.84091186523438,0.0003,0.06494140625,-0.9820270461961627,0.7693931460380554,0.0074141333,0.2,117.82188632190227,-0.002249423793546157
-16.44815831,120832,146,59,827,666.72,580,227.774169921875,0.0003,0.08486328125,-0.8589263930916786,0.7433784902095795,0.025245052,0.2,143.7093804061413,-0.009715940257592592
-14.16163095,122880,148,60,825,664.63,590,28.29267692565918,0.0003,0.0533203125,-0.8225970724597573,0.7852772772312164,0.008980796,0.2,170.83993242681026,-0.0035171877789252903
-13.482210209999998,124928,152,61,818,677.49,600,15.81953239440918,0.0003,0.037548828125,-0.7924722919240594,0.7144756615161896,0.0056902193,0.2,155.1952522456646,-0.003486359235103009
-12.924611550000002,126976,155,62,814,686.22,610,11.211052894592285,0.0003,0.098046875,-0.8827404813840986,0.8385453522205353,0.010877396,0.2,71.44066443890333,-0.0038630270340945573
-12.33482184,129024,159,63,808,698.63,620,22.856027603149414,0.0003,0.085400390625,-0.9296986546367407,0.7835060954093933,0.0102179395,0.2,76.25598529875279,-0.004374862971599214
-8.764341740000003,131072,162,64,807,712.24,630,3.037656545639038,0.0003,0.137890625,-0.9054094178602099,0.8178258389234543,0.011169238,0.2,66.54030735343694,-0.003383717330143554
-5.944807160000003,133120,166,65,801,727.6,640,123.25504302978516,0.0003,0.054931640625,-0.8743861937895417,0.7186741828918457,0.0047971476,0.2,125.15479012727738,-0.004154414345975965
-4.484826840000002,135168,169,66,796,730.74,650,3.6499640941619873,0.0003,0.135693359375,-0.9613258998841048,0.8716893494129181,0.008309509,0.2,27.445508334040642,-0.0029019044210144783
-0.17279025000000103,137216,172,67,795,743.06,660,53.0225830078125,0.0003,0.04716796875,-0.8783953687176108,0.671642005443573,0.0071103247,0.2,78.6191719084978,-0.002365772565099178
1.4943807499999995,139264,175,68,791,748.33,670,41.54113006591797,0.0003,0.01669921875,-0.8199831487610936,0.6220649182796478,0.0036789319,0.2,174.3398564785719,-0.002116080046835123
-2.692012630000001,141312,178,69,792,752.07,680,2.9275333881378174,0.0003,0.08720703125,-0.9467804610729218,0.7707434445619583,0.007922259,0.2,49.33800484538078,-0.002404304705851246
-0.25613171000000134,143360,181,70,788,755.0,690,5.2053022384643555,0.0003,0.12099609375,-0.812958624586463,0.8122871965169907,0.011620706,0.2,70.60062231719493,-0.0038433525030995954
-0.9512734100000011,145408,184,71,786,767.54,700,13.009831428527832,0.0003,0.056982421875,-0.8502198966220021,0.6682952046394348,0.007447374,0.2,137.72568416893483,-0.004039451809148886
