rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/loss
-173.50407500000003,1,0,2048,89.4090909090909,2151,,,,,,,,,,
-163.5917591162791,2,2,4096,93.06976744186046,1606,-1.3817445013672114,0.008819563,0.0003,10,1695.4173482894898,-0.005936026573181152,0.052001953125,0.2,-0.010363887285348029,537.5111083984375
-161.9781198387097,3,4,6144,97.53225806451613,1514,-1.3741021368652582,0.009682981,0.0003,20,1160.7306652069092,-0.03574800491333008,0.033642578125,0.2,-0.006510173890274018,664.97705078125
-158.28304509638556,4,5,8192,97.90361445783132,1479,-1.3583726331591606,0.01326707,0.0003,30,939.5667673110962,-0.0026407241821289062,0.071142578125,0.2,-0.006406915786647005,174.27256774902344
-158.32248761999998,5,7,10240,98.85,1460,-1.35043625831604,0.00660976,0.0003,40,913.0514718055725,-0.0009243488311767578,0.0244140625,0.2,-0.004922298675228376,399.0664367675781
-153.42468705000002,6,8,12288,101.19,1439,-1.352643583342433,0.007021237,0.0003,50,897.1123842716217,-0.0008463859558105469,0.02333984375,0.2,-0.0031942416026140563,449.151611328125
-151.35299475,7,10,14336,101.76,1420,-1.353007710725069,0.009170808,0.0003,60,493.00226612091063,-0.023455500602722168,0.060400390625,0.2,-0.0053006795362307456,138.42410278320312
-148.54584803,8,11,16384,103.75,1411,-1.3326676063239575,0.008388138,0.0003,70,587.4497816085816,-8.118152618408203e-05,0.035791015625,0.2,-0.004582472349284217,193.18096923828125
-154.03867674999998,9,13,18432,104.67,1409,-1.31415981836617,0.005819259,0.0003,80,915.0424028396607,0.0003827810287475586,0.013427734375,0.2,-0.002837530987744685,466.6138916015625
-148.90263172999997,10,14,20480,107.01,1405,-1.3027621768414974,0.009441905,0.0003,90,876.7203853130341,-0.007540106773376465,0.028271484375,0.2,-0.006508668167225551,819.3201904296875
-147.41969183,11,16,22528,112.66,1395,-1.2446199655532837,0.011196886,0.0003,100,755.5004037857055,0.026086270809173584,0.08828125,0.2,-0.009423205125131062,538.5391235351562
-145.76546050000002,12,17,24576,118.34,1390,-1.20185743868351,0.010835616,0.0003,110,463.82821264266965,0.040823280811309814,0.053369140625,0.2,-0.008133508496393915,153.14195251464844
-141.06175231,13,19,26624,122.01,1388,-1.2354213923215867,0.008016994,0.0003,120,539.1857166290283,0.09872996807098389,0.046728515625,0.2,-0.005045701254857704,313.58935546875
-140.32719992999998,14,20,28672,125.71,1380,-1.182164043933153,0.013149593,0.0003,130,378.2080602169037,0.02661234140396118,0.163525390625,0.2,-0.009656998603895772,220.76393127441406
-139.21189056,15,22,30720,134.98,1372,-1.1757242616266013,0.0067262063,0.0003,140,340.23841700553896,0.2093651294708252,0.03486328125,0.2,-0.006550015127868391,182.52218627929688
-136.33190320000003,16,24,32768,144.65,1358,-1.1367048773914576,0.008710329,0.0003,150,578.1715242862701,0.062191545963287354,0.05263671875,0.2,-0.004180053096206393,271.9389343261719
-133.69785528,17,27,34816,157.52,1276,-1.1277776457369328,0.006913025,0.0003,160,441.4436812877655,0.16394323110580444,0.039501953125,0.2,-0.006567911279853433,190.9063262939453
-132.54292346999998,18,30,36864,172.7,1226,-1.159277531504631,0.004707048,0.0003,170,273.03481459617615,0.14378660917282104,0.023779296875,0.2,-0.005920466066163499,69.749755859375
-127.76252410000002,19,32,38912,188.67,1197,-1.165876666083932,0.008144673,0.0003,180,320.582745885849,0.12937772274017334,0.0447265625,0.2,-0.005187624811514979,350.970947265625
-127.10000751000001,20,34,40960,202.59,1173,-1.187112333998084,0.013828818,0.0003,190,430.6271100521088,0.10021227598190308,0.15849609375,0.2,-0.009706462260510307,255.4237518310547
-124.05091750000003,21,37,43008,216.32,1153,-1.1393236774951219,0.008778251,0.0003,200,435.9307855129242,0.12045043706893921,0.104150390625,0.2,-0.007575953056220897,248.29730224609375
-121.95251758,22,39,45056,229.0,1133,-1.1499104171991348,0.0076452703,0.0003,210,257.92303774356844,0.0723760724067688,0.040673828125,0.2,-0.006562330971064512,48.9067497253418
-116.35340693999997,23,41,47104,237.62,1131,-1.023309382237494,0.009271022,0.0003,220,177.7033893942833,0.3005640506744385,0.05185546875,0.2,-0.005342923933494603,70.60543060302734
-117.70912347999997,24,44,49152,251.17,1116,-0.9842190818861127,0.005769566,0.0003,230,489.7487549304962,0.30261820554733276,0.0373046875,0.2,-0.007981942809419707,243.4673614501953
-115.63573190999998,25,46,51200,267.48,1095,-1.0924250092357397,0.013565699,0.0003,240,256.64790472984316,0.12338918447494507,0.153271484375,0.2,-0.008480514369148295,181.26499938964844
-113.30784444000001,26,49,53248,279.44,1067,-1.0307502221316098,0.007254781,0.0003,250,279.82391891479494,0.22157949209213257,0.0544921875,0.2,-0.004053681034565671,174.59019470214844
-109.19471241,27,53,55296,294.67,1040,-0.9822427866980433,0.009987861,0.0003,260,130.5124194741249,0.20879226922988892,0.06943359375,0.2,-0.007235543726710603,50.50613784790039
-106.72002252,28,56,57344,311.86,1021,-1.10014282874763,0.011055881,0.0003,270,165.8923412322998,0.19441461563110352,0.075341796875,0.2,-0.008914657021523453,63.73403549194336
-103.88572775,29,59,59392,332.72,995,-1.0344754621386527,0.01129265,0.0003,280,174.6512130379677,0.22725772857666016,0.137841796875,0.2,-0.0074205966346198695,63.481101989746094
-102.38249921,30,63,61440,346.21,975,-1.0315964909270405,0.00950544,0.0003,290,96.01939104795456,0.392672598361969,0.06650390625,0.2,-0.004668918492825469,17.02910804748535
-99.34082243,31,65,63488,362.02,967,-1.026369358599186,0.0072109983,0.0003,300,123.3707466840744,0.4432859420776367,0.043359375,0.2,-0.006080913104233332,43.45241928100586
-97.45202684000002,32,68,65536,378.34,954,-0.9847235603258013,0.0053040553,0.0003,310,222.4374394416809,0.46357035636901855,0.031884765625,0.2,-0.005894199782051146,58.52955627441406
-98.58305353999998,33,71,67584,395.46,944,-0.8869584435597062,0.017601512,0.0003,320,52.28611219227314,0.7824318110942841,0.186669921875,0.2,-0.017050891420512925,19.27058219909668
-94.39969900999999,34,74,69632,412.14,929,-1.0326935078948736,0.01577289,0.0003,330,165.70191379189492,0.270419180393219,0.234912109375,0.2,-0.00841500424721744,45.683441162109375
-92.13607908,35,78,71680,429.26,907,-1.0205742433667182,0.009680216,0.0003,340,37.1425037920475,0.0006324648857116699,0.144384765625,0.2,-0.007598199894709978,15.101746559143066
-90.78110059000001,36,82,73728,443.5,896,-1.0076638815924526,0.0122246975,0.0003,350,41.38793796896935,-0.00023412704467773438,0.2041015625,0.2,-0.014988971131970175,80.57454681396484
