time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl
158,749,-24.775388189999997,118784,58,814.1,0.2,166.66207639276982,0.522009551525116,222.84335327148438,-0.9111052501946688,0.035693359375,-0.0038068024048698136,570,0.0003,0.0072561437
161,747,-26.210383840000006,120832,59,822.14,0.2,103.16117837280035,0.24358874559402466,8.055490493774414,-0.8147560032084584,0.038818359375,-0.004806973382801516,580,0.0003,0.008834454
164,745,-26.190053850000005,122880,60,826.02,0.2,152.51262260079383,0.6406916379928589,59.723445892333984,-0.934091923572123,0.02421875,-0.0031632459045795257,590,0.0003,0.0037848973
167,746,-26.26388181,124928,61,830.19,0.2,94.60437393784522,0.5633998215198517,97.56622314453125,-0.906531473994255,0.0435546875,-0.001988109508238267,600,0.0003,0.006672958
170,743,-25.522483320000006,126976,62,842.84,0.2,105.94578255414963,0.5729952752590179,7.598247051239014,-0.9563159370794893,0.050732421875,-0.001264173226081766,610,0.0003,0.004358068
174,740,-21.984993800000005,129024,63,857.14,0.2,81.2173552468419,0.764376774430275,73.74313354492188,-0.9490076279267669,0.053369140625,-0.00031135920362430626,620,0.0003,0.006384834
177,737,-20.214132030000002,131072,64,865.31,0.2,41.315352116525176,0.7522909492254257,4.77376651763916,-0.9489263584837317,0.090478515625,-0.000969406002695905,630,0.0003,0.0041614715
180,736,-18.16344278,133120,65,887.29,0.2,38.13217734396458,0.7566450089216232,1.8974783420562744,-0.9409055896103382,0.118701171875,-0.0024388937810726928,640,0.0003,0.010158175
182,739,-18.627744840000002,135168,66,898.51,0.2,92.63666817396879,0.6804996430873871,12.315350532531738,-0.9234961347654462,0.035888671875,-0.002743996494973544,650,0.0003,0.004238814
186,734,-16.35140293,137216,67,907.68,0.2,119.47605623453856,0.6660839915275574,3.952533483505249,-0.9047630036249756,0.039697265625,-0.001814974926310242,660,0.0003,0.0044714087
190,732,-16.64006205,139264,68,909.31,0.2,63.99164134934544,0.6537392139434814,2.797079086303711,-0.9070826366543769,0.05595703125,-0.0008265948243206366,670,0.0003,0.0056828167
193,729,-14.757470450000001,141312,69,913.94,0.2,123.10029640495777,0.4737326502799988,7.325989246368408,-0.8422250432893634,0.04638671875,-0.005036874559300486,680,0.0003,0.008104466
197,727,-11.123888239999996,143360,70,914.94,0.2,40.37731609791517,0.6398921608924866,4.894870758056641,-0.897923132777214,0.07060546875,-0.0034917456257971937,690,0.0003,0.007344533
201,721,-11.49846551,145408,71,914.94,0.2,56.692028811573984,0.47780150175094604,2.643948793411255,-0.87639129050076,0.0662109375,-0.0030252337506681214,700,0.0003,0.0064130095
204,721,-13.25182277,147456,72,911.04,0.2,21.15020145177841,0.7893709540367126,1.9765855073928833,-0.8582754582166672,0.1171875,-0.0028498843377747106,710,0.0003,0.007224085
208,718,-11.41279114,149504,73,908.85,0.2,123.47361155748368,0.3732660412788391,6.841858863830566,-0.8507630184292794,0.1056640625,-0.0036027281850692814,720,0.0003,0.008075933
212,714,-10.463436549999999,151552,74,908.85,0.2,91.78305223286152,0.1979767084121704,64.35478210449219,-0.7565886225551367,0.0470703125,-0.0035980816533992765,730,0.0003,0.0061666896
215,712,-9.925215049999997,153600,75,908.6,0.2,34.04401586800814,0.7226512432098389,4.077917098999023,-0.8643031340092421,0.085107421875,-0.0026837446581339463,740,0.0003,0.006429328
219,710,-9.825176769999999,155648,76,911.92,0.2,44.893470506370065,0.6609967947006226,13.738743782043457,-0.7577777113765478,0.030126953125,-0.0010762239420728293,750,0.0003,0.0028723853
222,710,-9.772937839999999,157696,77,911.92,0.2,37.63569903671741,0.7870613038539886,4.086895942687988,-0.859573832154274,0.0712890625,-0.0010201304030488245,760,0.0003,0.0058559137
226,706,-8.66738938,159744,78,911.92,0.2,17.960897974669933,0.8684220612049103,2.55678391456604,-0.8723694548010826,0.07041015625,-0.0022072022897191347,770,0.0003,0.004668074
229,703,-10.610899949999999,161792,79,910.38,0.2,30.593267976492644,0.378587007522583,4.074382781982422,-0.8713543474674225,0.0822265625,-0.003030581308121327,780,0.0003,0.00807472
233,702,-11.499331690000002,163840,80,910.3,0.2,60.655800472199914,0.7452680766582489,2.392831802368164,-0.8411557488143444,0.056884765625,-0.0005093734471302014,790,0.0003,0.0064798873
236,700,-12.043986489999998,165888,81,908.36,0.2,33.02639862820506,0.9010033383965492,8.687854766845703,-0.8215360712260008,0.058935546875,-0.0021613105447613632,800,0.0003,0.0055521363
239,700,-14.12035465,167936,82,901.72,0.2,37.850827901810405,0.7777495235204697,1.9011882543563843,-0.8105448350310326,0.07470703125,-0.004812407025019639,810,0.0003,0.006150665
242,702,-13.606610549999997,169984,83,898.78,0.2,99.82529916167259,0.17637324333190918,63.787940979003906,-0.8096901455894112,0.085302734375,0.0013879194273613393,820,0.0003,0.004493204
245,700,-13.39404824,172032,84,898.78,0.2,79.09454437494279,0.6983061730861664,109.938232421875,-0.7742072444409132,0.06904296875,-0.0011899759578227532,830,0.0003,0.005140418
248,701,-15.026914329999997,174080,85,891.73,0.2,37.60874108746648,0.5499207973480225,1.862514615058899,-0.818150164373219,0.0744140625,-0.00042942711734212936,840,0.0003,0.0049182135
251,699,-12.51649469,176128,86,894.97,0.2,106.6776788264513,0.6627570986747742,47.900150299072266,-0.7812291281297803,0.05068359375,-0.003171333438513102,850,0.0003,0.003467761
255,697,-12.569082959999996,178176,87,894.97,0.2,14.049962051957845,0.8032232969999313,2.531315565109253,-0.7855733646079898,0.12431640625,-0.0021070845978101715,860,0.0003,0.0112233665
258,697,-12.474781679999996,180224,88,893.81,0.2,27.537006924301387,0.7806970924139023,2.731167793273926,-0.8234469596296549,0.058447265625,-0.001011595760792261,870,0.0003,0.0028837316
261,697,-14.7487589,182272,89,893.68,0.2,45.78034115433693,0.5873485803604126,36.90629577636719,-0.8207819646224379,0.0310546875,-0.0033764168692869134,880,0.0003,0.005418121
264,697,-14.14142411,184320,90,893.68,0.2,88.98917235806584,-0.061243414878845215,2.1747965812683105,-0.7788015393540263,0.065869140625,-0.0014702704444061964,890,0.0003,0.004440101
268,695,-12.763697100000002,186368,91,898.55,0.2,22.697506766021252,0.7072794139385223,2.14929461479187,-0.8165809081867337,0.059716796875,-0.0009635413109208458,900,0.0003,0.003472336
271,695,-16.243631899999997,188416,92,901.61,0.2,23.18352455571294,0.9035549014806747,3.935377836227417,-0.8186330137774348,0.048193359375,3.157853134325705e-05,910,0.0003,0.0054119676
275,690,-16.47958401,190464,93,901.61,0.2,91.473324868083,0.47169166803359985,130.77676391601562,-0.7780665868893266,0.0376953125,-0.0010205865793977865,920,0.0003,0.0048643798
279,689,-15.53938751,192512,94,906.62,0.2,16.343285062909125,0.6608029901981354,104.27432250976562,-0.7680826073512435,0.073486328125,-0.0015739276073873042,930,0.0003,0.005173256
282,689,-18.075287319999997,194560,95,907.98,0.2,17.941953729093076,0.7410832047462463,1.709575891494751,-0.8234466915950179,0.126171875,-0.005142267767223529,940,0.0003,0.012419295
285,688,-19.10200141,196608,96,908.15,0.2,24.60747499167919,0.8714709579944611,3.2147302627563477,-0.8241279438138008,0.0615234375,-0.0020034916888107546,950,0.0003,0.0056361044
289,687,-18.535202080000005,198656,97,909.51,0.2,24.065674735978245,0.7875992059707642,1.3360832929611206,-0.7616692489013076,0.10654296875,-0.003132898558760644,960,0.0003,0.007960724
293,684,-18.493209559999997,200704,98,909.51,0.2,31.872254167497157,0.7266140580177307,2.145777940750122,-0.7702987633645535,0.075439453125,-0.0017085198596760165,970,0.0003,0.0063574146
296,684,-20.8120986,202752,99,895.16,0.2,10.768376472592355,0.9194564670324326,2.4279463291168213,-0.7845694309100508,0.0607421875,-0.00014418002028833144,980,0.0003,0.007514625
299,683,-20.5740117,204800,100,891.72,0.2,201.60588268339635,0.3487667441368103,169.07522583007812,-0.7555721780285239,0.025390625,-0.0015001865911472123,990,0.0003,0.0047152257
302,683,-21.706741070000003,206848,101,893.02,0.2,84.07591710984707,0.7742026448249817,82.0428466796875,-0.7411104338243604,0.022509765625,-8.090300907497295e-05,1000,0.0003,0.0031259155
305,683,-24.200537109999996,208896,102,873.58,0.2,50.71475982815027,0.794564500451088,3.4133174419403076,-0.7566399941220879,0.05068359375,-0.002734435041929828,1010,0.0003,0.0044003874
309,681,-23.65713068,210944,103,876.78,0.2,124.16971858739853,0.5929239094257355,124.387939453125,-0.7523229084908962,0.0232421875,-0.001588978485960979,1020,0.0003,0.0022490998
312,681,-21.589448429999997,212992,104,877.88,0.2,25.522339064627886,0.9133492186665535,3.126197099685669,-0.7420571472495794,0.04580078125,-0.0012306043514399788,1030,0.0003,0.0043837465
315,681,-22.86685645,215040,105,876.77,0.2,96.15117926895618,0.6537481546401978,24.614267349243164,-0.6978293910622597,0.027392578125,-0.001823995590530103,1040,0.0003,0.0039451905
319,679,-24.08842945,217088,106,868.83,0.2,82.48997603952884,0.6919354498386383,28.18197250366211,-0.7492178650572896,0.018115234375,-0.001582932548626559,1050,0.0003,0.003408575
322,679,-25.833496489999998,219136,107,853.13,0.2,38.00435079336167,0.8565682917833328,4.761683464050293,-0.7643222762271762,0.080029296875,-0.0015192522841971368,1060,0.0003,0.00699439
325,679,-23.04157773,221184,108,852.31,0.2,107.54952625334263,0.6867931187152863,6.0277180671691895,-0.764232262969017,0.095263671875,-0.0008377814301638864,1070,0.0003,0.0105626155
328,679,-26.260976490000004,223232,109,845.93,0.2,25.941493336111307,0.895643562078476,3.8212051391601562,-0.7820281570777297,0.0984375,-4.224425792926922e-05,1080,0.0003,0.0057230582
332,677,-23.685073620000004,225280,110,847.01,0.2,36.37575304508209,0.9152466431260109,23.821746826171875,-0.7767972951754928,0.08720703125,-0.0005584035425272305,1090,0.0003,0.007447233
335,677,-27.730248949999996,227328,111,838.56,0.2,32.712713710218665,0.9048001393675804,4.1996588706970215,-0.7443812316283583,0.1056640625,-0.002434554643696174,1100,0.0003,0.0074746357
338,678,-32.02167971,229376,112,826.94,0.2,98.33996514976025,0.7452095150947571,2.8135528564453125,-0.7542665276676417,0.071240234375,-0.0026638454637577524,1110,0.0003,0.0070810504
341,677,-28.976074709999992,231424,113,825.33,0.2,90.29867103844882,0.8023807406425476,47.39544677734375,-0.7254772458225489,0.073193359375,-0.002597264081850881,1120,0.0003,0.015068811
344,678,-29.984305620000004,233472,114,816.59,0.2,127.95084273070097,0.29240041971206665,25.912275314331055,-0.6103663703426718,0.0775390625,-0.004390037980920169,1130,0.0003,0.01103987
347,677,-31.16895682,235520,115,816.84,0.2,126.19707681089639,0.22206461429595947,228.2674102783203,-0.7569946020841598,0.0939453125,-0.0007826271779777016,1140,0.0003,0.006509155
