time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss
47104,-119.99094934,44,23,1053,289.08,0.0068359375,0.0003,0.0032559861,0.024082839488983154,220,0.2,54.96171188354492,213.84370656013488,-0.0028986603138037026,-0.7734210439026356
49152,-115.63306479999997,47,24,1037,297.88,0.012744140625,0.0003,0.003916651,-0.031745195388793945,230,0.2,110.98712158203125,264.1340655684471,-0.003567786257190164,-0.923948567174375
51200,-109.48774691999998,50,25,1012,318.44,0.015673828125,0.0003,0.0052913204,0.0322040319442749,240,0.2,110.36634063720703,257.4487713098526,-0.00434870663084439,-0.9396393522620201
53248,-102.30971129999998,52,26,1006,331.53,0.04228515625,0.0003,0.005205592,0.04898101091384888,250,0.2,82.1364974975586,182.91287033557893,-0.005042495987436268,-0.9525608273223043
55296,-101.62074466,55,27,998,348.33,0.071484375,0.0003,0.010498842,0.2255535125732422,260,0.2,102.30906677246094,239.603577375412,-0.005863520412822254,-0.8302721958607435
57344,-102.26500073,57,28,990,359.68,0.027197265625,0.0003,0.0030019567,-0.06226813793182373,270,0.2,80.31513214111328,235.63462277650834,-0.00235475577210309,-1.0392693532630801
59392,-97.82698293,61,29,971,375.86,0.10302734375,0.0003,0.008072633,0.016004323959350586,280,0.2,118.15877532958984,274.67436649799345,-0.009565173290320672,-1.0766625180840492
61440,-96.618857,63,30,965,387.14,0.0419921875,0.0003,0.0045329295,0.10505098104476929,290,0.2,112.06513214111328,193.30943113565445,-0.003729436376306694,-1.0427335139364005
63488,-91.81186917,67,31,947,402.3,0.0375,0.0003,0.0039825216,-0.06022024154663086,300,0.2,107.6925048828125,154.74008724093437,-0.004513680434320122,-1.0511718021705747
65536,-87.13217625000001,70,32,935,417.59,0.089404296875,0.0003,0.0054849857,0.008820414543151855,310,0.2,110.41287994384766,210.33834770917892,-0.0064055158174596725,-0.9887370927259326
67584,-84.53748968000002,74,33,912,429.71,0.0419921875,0.0003,0.0049106646,0.3013884425163269,320,0.2,66.79376220703125,139.92196568250657,-0.005107367221353343,-0.9108141116797924
69632,-77.30001397000001,79,34,880,445.79,0.042626953125,0.0003,0.008026343,0.1763269305229187,330,0.2,36.32695770263672,99.06187417507172,-0.0045124586920792355,-0.9061929991468787
71680,-78.42182926000001,82,35,870,462.1,0.09658203125,0.0003,0.0070728986,0.33780205249786377,340,0.2,210.26443481445312,41.08337098062039,-0.007259299891302362,-1.0300296867266296
73728,-76.46302941,85,36,858,478.14,0.11796875,0.0003,0.009822335,0.3244054913520813,350,0.2,12.77287483215332,44.99251897037029,-0.007399232540046796,-1.0487349696457386
