time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
147,-41.100008509999995,747.03,114688,56,777,0.0003,0.7333344221115112,0.2,129.9384002685547,0.005456516,160.76952097713948,550,-0.8241949306800962,0.046337890625,-0.0015932965659885667
150,-40.093083310000004,754.62,116736,57,777,0.0003,0.8918703719973564,0.2,5.146159648895264,0.011264672,34.00584962219,560,-0.8968526985496282,0.130126953125,-0.006955955190642271
153,-39.15289568000001,763.84,118784,58,775,0.0003,0.9207295700907707,0.2,3.5400843620300293,0.010239368,19.565263411402704,570,-0.7915564831346273,0.143896484375,-0.004235023777437163
155,-37.41891354,762.04,120832,59,777,0.0003,0.8308196365833282,0.2,23.29694366455078,0.008027657,69.64162914380431,580,-0.7919515088200569,0.06630859375,-0.002033651691453997
158,-35.22899156,771.12,122880,60,775,0.0003,0.6856932640075684,0.2,107.79095458984375,0.002623009,187.81458540856838,590,-0.8842146063223482,0.006884765625,-0.0012574218337249477
161,-30.121227000000005,788.28,124928,61,775,0.0003,0.6995044648647308,0.2,2.922497510910034,0.010496233,79.70968016535043,600,-0.8236285071820021,0.11142578125,-0.005404179454490077
163,-25.48586186,795.51,126976,62,774,0.0003,0.5383260250091553,0.2,302.6927795410156,0.011226374,167.8515977203846,610,-0.7234427655115724,0.0439453125,-0.00597701678489102
166,-21.497213349999996,801.04,129024,63,775,0.0003,0.6433349549770355,0.2,53.856693267822266,0.0047712987,130.28896213173866,620,-0.6968235559761524,0.037939453125,-0.0026377939382655315
169,-23.809484170000005,800.69,131072,64,774,0.0003,0.5462289452552795,0.2,71.92523193359375,0.0052866563,150.68928573727607,630,-0.8404584839940071,0.047509765625,-0.003590394258208107
172,-22.47532251,806.76,133120,65,771,0.0003,0.7577936053276062,0.2,8.048611640930176,0.010052562,88.40905016958713,640,-0.8979929864406586,0.09453125,-0.0074752010856173005
175,-21.24407275,806.51,135168,66,770,0.0003,0.9029307141900063,0.2,1.4889031648635864,0.0058206674,30.064158093184233,650,-0.7429308515042067,0.059716796875,-0.0042304819260607475
178,-19.80856107,820.98,137216,67,770,0.0003,0.776585191488266,0.2,20.628814697265625,0.04685684,89.7183325767517,660,-0.7257257146760822,0.0861328125,-0.004842229226778727
180,-16.981922729999997,821.08,139264,68,771,0.0003,0.9006291180849075,0.2,2.3786327838897705,0.0043436773,28.305005821585656,670,-0.7855418471619486,0.051611328125,-0.00123427720827749
184,-12.81552545,833.4,141312,69,767,0.0003,0.8100374937057495,0.2,8.505985260009766,0.009916854,131.8425756663084,680,-0.8466390531510115,0.068408203125,-0.0017630359310714994
186,-12.260107049999998,828.85,143360,70,768,0.0003,0.7711279690265656,0.2,10.703940391540527,0.006682343,122.79467997550964,690,-0.6985093869268895,0.044287109375,-0.0035112868514261208
