time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/explained_variance
810,-56.463261669999994,113,92160,45,599.47,0.0591796875,440,-0.005013250787305879,0.0003,-0.9748310482129454,0.007930752,0.2,163.23372421264648,223.42208862304688,0.6602817177772522
800,-54.727407240000005,117,94208,46,615.25,0.034130859375,450,-0.0021847270436410327,0.0003,-1.043683136627078,0.0063134795,0.2,88.34790621250868,24.24813461303711,0.8014904409646988
796,-53.0106265,120,96256,47,633.47,0.11787109375,460,-0.002278610408393433,0.0003,-1.0485537126660347,0.01192683,0.2,35.62252305932343,0.8721153140068054,0.9089408665895462
795,-47.16011709,123,98304,48,649.89,0.05166015625,470,-0.003006614078185521,0.0003,-0.994538988173008,0.006906735,0.2,67.45362109690905,6.279736518859863,0.8617667555809021
793,-43.98037011,126,100352,49,665.36,0.095703125,480,-0.004341722482058686,0.0003,-0.8471594849601388,0.013729467,0.2,184.97124505639076,45.255332946777344,0.7316198647022247
787,-39.04290417,129,102400,50,682.11,0.077197265625,490,-0.0027099515245936345,0.0003,-0.7580684954300523,0.008696697,0.2,146.10523439347745,308.7945861816406,0.752459928393364
783,-38.390018839999996,133,104448,51,693.23,0.037353515625,500,-0.00120391742020729,0.0003,-1.0220367837697268,0.0072530718,0.2,40.22317174747586,9.3186674118042,0.8995850011706352
782,-35.01014617,136,106496,52,707.27,0.015771484375,510,-0.001778145571006462,0.0003,-0.9262144424021244,0.0040937825,0.2,81.85929692834615,11.158058166503906,0.7509663552045822
778,-33.552048459999995,139,108544,53,714.67,0.026318359375,520,-0.002755126912961714,0.0003,-0.9459256295114755,0.0060047563,0.2,202.13854237794877,36.516170501708984,0.560516744852066
777,-33.952952290000006,142,110592,54,718.74,0.08388671875,530,-0.005429291894688504,0.0003,-1.0371899323537945,0.006475395,0.2,46.36920254603028,2.8581864833831787,0.8601351678371429
772,-28.911241969999995,145,112640,55,728.8,0.039599609375,540,-0.0034596874218550512,0.0003,-0.9883164105936885,0.0045273467,0.2,129.89008561074735,71.26286315917969,0.7585176825523376
772,-28.797296899999996,148,114688,56,735.81,0.07412109375,550,-0.005864848253986565,0.0003,-0.8672055987641215,0.009609796,0.2,88.7932547815144,13.667901992797852,0.7675081640481949
763,-25.920390439999995,152,116736,57,749.42,0.078076171875,560,-0.0032853445314685813,0.0003,-0.9316694945096969,0.007338227,0.2,41.24491840451956,1.9402177333831787,0.8633804768323898
761,-25.664895460000004,156,118784,58,752.67,0.058447265625,570,-0.003398867099895142,0.0003,-0.9788147691637278,0.0057866927,0.2,37.04239000529051,2.990043878555298,0.8861276730895042
753,-24.579242899999993,160,120832,59,752.67,0.029931640625,580,-0.002382936688081827,0.0003,-0.8977569555863738,0.0035220631,0.2,88.65011606663465,13.884245872497559,0.7592359632253647
753,-19.576978199999996,163,122880,60,759.67,0.080615234375,590,-0.003349258835805813,0.0003,-0.9346530947834253,0.006539019,0.2,46.2508336186409,3.0600321292877197,0.8258882611989975
750,-22.016369479999998,166,124928,61,757.92,0.038623046875,600,-0.004193320346530527,0.0003,-0.8162597496062517,0.01333219,0.2,111.45616966187954,36.98558044433594,0.6267041563987732
747,-19.1080287,169,126976,62,770.96,0.04404296875,610,-0.003647162263223436,0.0003,-0.929161928780377,0.0064072013,0.2,137.30962188839914,24.456632614135742,0.675414502620697
747,-16.180325340000003,172,129024,63,773.59,0.076123046875,620,-0.0037089351899339817,0.0003,-0.8118734071031213,0.008154425,0.2,44.92521842494607,1.9968080520629883,0.830773800611496
745,-15.773864699999999,175,131072,64,778.5,0.047216796875,630,-0.0024304098362335934,0.0003,-0.8779551688581705,0.0068990155,0.2,61.96703528612852,52.83768844604492,0.7756031453609467
746,-17.007732410000003,178,133120,65,783.82,0.02763671875,640,-0.0020118875137995927,0.0003,-0.9760460758581757,0.0037857285,0.2,136.1994817689061,100.68734741210938,0.6976574659347534
740,-14.459178950000002,182,135168,66,787.55,0.047802734375,650,-0.002625550177617697,0.0003,-0.8808108806610108,0.0050030956,0.2,123.51368442177773,7.622223377227783,0.7198290824890137
732,-14.36654434,187,137216,67,792.42,0.03203125,660,-0.0026532660129305443,0.0003,-0.910508930310607,0.005028656,0.2,85.19434633553028,19.70024299621582,0.7157360017299652
729,-13.24642565,190,139264,68,788.48,0.064892578125,670,-0.002161843298563326,0.0003,-0.8326850205659866,0.00922108,0.2,110.19838082939387,17.14291000366211,0.8131910860538483
726,-12.249794220000002,194,141312,69,785.37,0.084228515625,680,-0.00389377853134647,0.0003,-0.948475638218224,0.0051897625,0.2,70.46836076304317,10.376264572143555,0.7762657552957535
726,-11.05059388,197,143360,70,786.13,0.08017578125,690,-0.0036351489365188173,0.0003,-0.9122578855603933,0.008606899,0.2,72.04627973884344,3.5137462615966797,0.7834925800561905
723,-9.314341489999999,200,145408,71,782.08,0.0912109375,700,-0.001482356991255074,0.0003,-0.8757385108619928,0.012637,0.2,114.69822430014611,9.639020919799805,0.7952052056789398
723,-9.90015417,203,147456,72,783.75,0.13427734375,710,-0.003898905993628432,0.0003,-0.9507033111527562,0.00858893,0.2,60.359085293114184,306.9464416503906,0.6968674957752228
726,-11.48817816,205,149504,73,785.6,0.07421875,720,-0.002388940507808002,0.0003,-0.8793988686054945,0.008233441,0.2,122.24359239786864,15.351947784423828,0.7908290177583694
722,-12.359261709999998,209,151552,74,778.59,0.033056640625,730,-0.0030457243286946324,0.0003,-0.9034168561920524,0.0056291083,0.2,221.93868744373322,58.28877639770508,0.7205449938774109
717,-9.799298429999999,214,153600,75,790.4,0.13046875,740,-0.003992860965809086,0.0003,-0.8839116582646966,0.011019131,0.2,100.97438762560486,52.45033645629883,0.7989743053913116
717,-8.069757509999999,216,155648,76,795.83,0.114599609375,750,-0.0030942437537305524,0.0003,-0.8446435932070017,0.0068277493,0.2,44.88563738614321,7.4832234382629395,0.8973349556326866
715,-7.5160734300000005,220,157696,77,795.24,0.093359375,760,-0.003828973841154948,0.0003,-0.5577879011631012,0.012336528,0.2,76.33144526779651,4.010270118713379,0.817228764295578
713,-6.035507799999998,223,159744,78,802.23,0.048974609375,770,-0.00311468646832509,0.0003,-0.7939528794959188,0.0058045443,0.2,96.54652862548828,158.655517578125,0.812750980257988
713,-5.46567223,226,161792,79,797.6,0.085546875,780,-0.0025860073990770617,0.0003,-0.8332189550623298,0.012225378,0.2,63.872416788712144,50.23894500732422,0.8453238606452942
715,-4.98845937,229,163840,80,785.91,0.055419921875,790,-0.002454129746911349,0.0003,-0.8322164116427302,0.005906799,0.2,144.1695283189416,73.48487854003906,0.7418310344219208
717,-1.9560898200000008,231,165888,81,769.68,0.061376953125,800,-0.0022139795139082706,0.0003,-0.824653941206634,0.007073342,0.2,105.69045977815986,50.25314712524414,0.8210977762937546
716,-2.6961428000000014,234,167936,82,770.76,0.03173828125,810,-0.001279650055039383,0.0003,-0.6856492592021823,0.0032828578,0.2,206.36527733802797,140.7181396484375,0.6960190236568451
717,-3.0145646200000016,236,169984,83,771.45,0.03701171875,820,-0.0014500265235255938,0.0003,-0.8677626142278314,0.0036324828,0.2,131.22223783880472,112.16551971435547,0.7211313843727112
715,-2.4554354800000016,240,172032,84,771.45,0.087353515625,830,-0.0011815287325589452,0.0003,-0.8017187286168337,0.0065841195,0.2,84.43981713205577,5.79599142074585,0.7908923178911209
713,-4.4464722100000005,243,174080,85,765.0,0.07041015625,840,-0.0025746009472641163,0.0003,-0.8288359340280295,0.00858072,0.2,38.169222112372516,2.094979763031006,0.9025480002164841
712,-3.0037382299999966,247,176128,86,773.0,0.09365234375,850,-0.0029242649194202385,0.0003,-0.7428212907165289,0.0071007507,0.2,108.41808038279414,68.77437591552734,0.7604337334632874
711,-2.8447247100000017,250,178176,87,771.5,0.050048828125,860,-0.0010639188443747117,0.0003,-0.7742123456671834,0.005554395,0.2,85.27209662348032,2.432197093963623,0.7823406606912613
711,-3.6391830300000017,253,180224,88,760.86,0.103515625,870,-0.004242372502631042,0.0003,-0.8914591070264578,0.0504974,0.2,102.4288899436593,2.568861246109009,0.7547360211610794
713,-6.5544401500000005,255,182272,89,751.64,0.07861328125,880,-0.0012842049662140198,0.0003,-0.8060575878247619,0.009293444,0.2,138.39663202017545,217.90155029296875,0.7653148323297501
713,-5.577846449999999,258,184320,90,744.65,0.030712890625,890,-0.0025221026302460815,0.0003,-0.8589925633743405,0.002673446,0.2,191.1351774469018,157.7477264404297,0.7132542729377747
714,-3.2745342100000006,260,186368,91,744.13,0.08037109375,900,-0.0014674956728413235,0.0003,-0.8549565132707357,0.005856614,0.2,164.72292042672635,9.539311408996582,0.688825935125351
716,-3.1599633900000015,263,188416,92,727.96,0.04228515625,910,-0.0018535097187850624,0.0003,-0.7899638283997774,0.0051290365,0.2,118.50505191981793,61.61301040649414,0.7885030210018158
716,-1.1586233300000006,265,190464,93,718.41,0.052197265625,920,-0.0022407516233215576,0.0003,-0.7285196777433157,0.0051659313,0.2,116.62982363402844,37.163108825683594,0.8194004595279694
716,-0.5363257299999996,268,192512,94,717.92,0.038427734375,930,-0.000606175421125954,0.0003,-0.758844131231308,0.0047694743,0.2,132.26216481179,84.40753173828125,0.7128196358680725
718,-4.12253436,270,194560,95,704.05,0.09990234375,940,-0.002227291148301447,0.0003,-0.8658842664211989,0.005525124,0.2,95.70963153541088,5.809990882873535,0.7901122272014618
718,-2.3758998800000004,273,196608,96,708.45,0.0556640625,950,-0.002026412737905048,0.0003,-0.753926401399076,0.0059196865,0.2,200.49892759919166,133.9468231201172,0.7111277878284454
718,-5.221619760000002,276,198656,97,707.37,0.102392578125,960,5.7732396089704705e-05,0.0003,-0.8581168944016099,0.008995367,0.2,41.054712112993,1.8403894901275635,0.8588509112596512
716,-2.0858117300000014,280,200704,98,701.29,0.0919921875,970,-0.003587975829213974,0.0003,-0.8703529324382544,0.011654638,0.2,75.4703006401658,14.491804122924805,0.8492738455533981
718,2.2868293999999985,282,202752,99,700.11,0.02421875,980,-0.0016767861372500193,0.0003,-0.7108988704159855,0.0055720545,0.2,104.53852262198924,5.014979839324951,0.7153974175453186
714,2.10201469,286,204800,100,703.97,0.114892578125,990,-0.0045015343766863225,0.0003,-0.702866024710238,0.022617206,0.2,101.17826134264469,18.490434646606445,0.7822753936052322
713,-0.9464792599999998,289,206848,101,703.72,0.1119140625,1000,-0.0020364184078061954,0.0003,-0.8282560521736742,0.011122039,0.2,104.73937994539737,32.51335906982422,0.6591188907623291
713,-2.1171876000000003,292,208896,102,690.51,0.066455078125,1010,-0.0014280679519288243,0.0003,-0.8527393450960516,0.010068785,0.2,98.37676193863153,71.02470397949219,0.8129171431064606
713,-3.1840825599999993,295,210944,103,693.62,0.010400390625,1020,-0.0010438863519084407,0.0003,-0.7882272334769368,0.0028673534,0.2,204.57812682986258,40.71139144897461,0.6938665807247162
714,-4.025272919999998,298,212992,104,686.67,0.144775390625,1030,-0.005928552563273115,0.0003,-0.8844150366261602,0.017168563,0.2,35.53212493807077,2.8185043334960938,0.8854750990867615
710,-3.8562214899999994,302,215040,105,688.02,0.106787109375,1040,-0.0022045602891012095,0.0003,-0.8657628687098622,0.0036214455,0.2,111.21927348077297,2.610881805419922,0.7446205019950867
711,-4.057138540000002,305,217088,106,693.02,0.096240234375,1050,-0.0037441325519466774,0.0003,-0.8710674105212093,0.014062325,0.2,51.23049627095461,43.539371490478516,0.7625986635684967
708,-0.034749010000003154,309,219136,107,700.28,0.107373046875,1060,-0.00453646555688465,0.0003,-0.8659669352695346,0.0069548013,0.2,115.77415100634099,55.50617218017578,0.7555207461118698
707,0.07029515999999973,312,221184,108,707.63,0.112255859375,1070,-0.005184919916791842,0.0003,-0.8923958728089929,0.010826791,0.2,61.85284331217408,26.27923583984375,0.7771638035774231
707,1.137718580000001,315,223232,109,695.43,0.055322265625,1080,-0.0009344026329927146,0.0003,-0.7084499506279827,0.0042346753,0.2,87.7687428690493,19.010135650634766,0.7815767973661423
706,0.946269749999999,319,225280,110,697.11,0.061474609375,1090,-0.0029081058950396256,0.0003,-0.7709056643769145,0.0060852785,0.2,178.39668036401272,80.8771743774414,0.7031811773777008
704,-1.4152726500000024,322,227328,111,688.13,0.097607421875,1100,-0.002094339868926909,0.0003,-0.9231665814295411,0.009466435,0.2,44.46041737124324,2.2793619632720947,0.7892371118068695
704,-3.7154838600000004,325,229376,112,681.36,0.052685546875,1110,-0.003895615416695364,0.0003,-0.8091955935582519,0.0053121233,0.2,120.2053501933813,9.752994537353516,0.6897019445896149
703,-2.9650773700000013,329,231424,113,691.86,0.068212890625,1120,-0.001882987945646164,0.0003,-0.7765785681083799,0.0057825535,0.2,106.55982997864484,29.68672752380371,0.766935795545578
703,-1.8685166500000023,331,233472,114,690.9,0.115771484375,1130,-0.004413403379294323,0.0003,-0.8956323010846973,0.01974671,0.2,53.60962380766868,2.294306516647339,0.8085445910692215
701,-3.4923445300000027,335,235520,115,698.54,0.03818359375,1140,-0.0028826810645114164,0.0003,-0.7196232192218304,0.0034694292,0.2,172.3313194692135,45.86957550048828,0.6507546007633209
701,-3.9107130700000017,338,237568,116,698.36,0.051513671875,1150,-0.0007880193035816774,0.0003,-0.8174171272665263,0.0029762408,0.2,81.03237426280975,22.39031219482422,0.7370962202548981
701,-2.7564943200000016,341,239616,117,705.03,0.044775390625,1160,-0.002224744836712489,0.0003,-0.8234824078157544,0.0044982787,0.2,175.51589389592408,77.13346099853516,0.693461000919342
699,-1.5203878000000015,345,241664,118,699.74,0.14794921875,1170,-0.0026572027018119115,0.0003,-0.8961387254297734,0.014004514,0.2,35.20119074434042,5.554200172424316,0.9113053232431412
697,0.7845859499999983,349,243712,119,706.51,0.101416015625,1180,-0.0013674701564013957,0.0003,-0.9464456623420119,0.0081271585,0.2,78.18013059068471,4.614593029022217,0.7700732946395874
694,0.45029261999999837,353,245760,120,712.8,0.14404296875,1190,-0.003951152598529006,0.0003,-0.9379734221845866,0.011316072,0.2,37.276587527990344,6.507288932800293,0.8621849566698074
695,0.42912382999999765,356,247808,121,715.4,0.18017578125,1200,-0.0040537087217671795,0.0003,-0.9197055641561747,0.017173907,0.2,35.14700558893382,0.9786390066146851,0.8629177808761597
693,0.9060003999999988,360,249856,122,715.4,0.057275390625,1210,-0.0013210641373007093,0.0003,-0.6863483073189854,0.0051380713,0.2,109.18925312161446,9.25701904296875,0.757074311375618
692,-0.316500640000001,363,251904,123,720.69,0.11474609375,1220,-0.0008102031904854811,0.0003,-0.9803841352462769,0.01400587,0.2,43.69072753433138,1.0991078615188599,0.8317352533340454
817,-325.160639,2,2048,1,1000.0,0.064306640625,1230,-0.0011939946547499859,0.0003,-0.8172212606295943,0.003713342,0.2,136.61536700874566,52.33376693725586,0.7268074452877045
888,-293.37941225,4,4096,2,508.25,0.0634765625,1240,-0.0022349006874719636,0.0003,-0.8191794777289033,0.011274555,0.2,49.26951820664108,3.490832567214966,0.7639455199241638
780,-315.4032203,7,6144,3,537.9,0.012060546875,1250,-0.0008850011719914619,0.0003,-0.6959983631968498,0.003923166,0.2,323.0792544960976,108.99006652832031,0.5394278764724731
789,-310.8714564666667,10,8192,4,537.3333333333334,0.036865234375,1260,-0.0018386640353128315,0.0003,-0.8403316032141447,0.0058930526,0.2,87.45946373865009,20.706003189086914,0.7350808382034302
791,-311.5684954444444,12,10240,5,515.6111111111111,0.020556640625,1270,-0.002077199142513564,0.0003,-0.7411564804613591,0.0036123325,0.2,200.94122391343117,28.364883422851562,0.5501355528831482
