time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/policy_gradient_loss
2337,1,0,96.9047619047619,-180.14205504761904,2048,,,,,,,,,,
1769,2,2,94.95238095238095,-165.32412630952382,4096,10,-0.0009713172912597656,750.6729125976562,0.008837890625,-1.3830169588327408,1851.5934944152832,0.006422594,0.0003,0.2,-0.004087219100620132
1630,3,3,98.69354838709677,-160.81722432258073,6144,20,-0.017381668090820312,315.22442626953125,0.10078125,-1.36562766097486,949.6469811439514,0.014348687,0.0003,0.2,-0.010458042283426039
1567,4,5,98.60975609756098,-163.01459323170735,8192,30,-0.016957998275756836,814.9795532226562,0.020068359375,-1.3563239600509405,1003.2123171806336,0.006910692,0.0003,0.2,-0.003331105603865581
1530,5,6,98.87,-161.00916327000002,10240,40,-0.020463109016418457,268.366455078125,0.0552734375,-1.345622408017516,818.0524522781373,0.009550198,0.0003,0.2,-0.006181202668085461
1502,6,8,102.68,-155.36449601,12288,50,-7.56978988647461e-05,235.68707275390625,0.04794921875,-1.3129996858537196,575.474264574051,0.009625986,0.0003,0.2,-0.0069424283239641225
1484,7,9,105.63,-152.98640993,14336,60,-0.0014996528625488281,173.54270935058594,0.15654296875,-1.2661352686583995,391.3746008872986,0.012528464,0.0003,0.2,-0.011638326260435861
1465,8,11,109.3,-151.9056771,16384,70,-0.0003566741943359375,257.5889892578125,0.15234375,-1.2459865998476745,505.18906555175784,0.01561911,0.0003,0.2,-0.012836736749159172
1452,9,12,115.69,-148.06762929,18432,80,-0.0007568597793579102,264.11767578125,0.11396484375,-1.1999968368560077,538.8576104640961,0.009098608,0.0003,0.2,-0.009133055624261033
1439,10,14,124.75,-145.86109607999998,20480,90,-0.000560760498046875,198.5880889892578,0.10322265625,-1.1828383840620518,460.92797937393186,0.01147991,0.0003,0.2,-0.014527189127693418
1430,11,15,132.31,-141.48495907,22528,100,-0.0011930465698242188,315.99615478515625,0.11298828125,-1.0873791631311178,600.2478377342225,0.01092609,0.0003,0.2,-0.008800176952354377
1421,12,17,139.36,-136.51814932,24576,110,-0.0001131296157836914,457.2834167480469,0.0744140625,-1.1159828819334507,574.5386829853057,0.008149827,0.0003,0.2,-0.005771835178165929
1383,13,19,155.46,-134.28182304,26624,120,-5.412101745605469e-05,455.4042053222656,0.073486328125,-1.10100188665092,462.7372944831848,0.010944881,0.0003,0.2,-0.00804216008837102
1364,14,21,166.04,-127.78970602,28672,130,0.00018787384033203125,73.5849380493164,0.03134765625,-1.1082204379141332,236.869893348217,0.007549291,0.0003,0.2,-0.002783949831064092
1341,15,22,178.32,-130.28627620999998,30720,140,9.673833847045898e-05,223.0640106201172,0.06298828125,-1.0567971087992192,350.219509100914,0.0076663173,0.0003,0.2,-0.003495209566608537
1329,16,24,189.37,-129.35855422000003,32768,150,-3.0994415283203125e-05,327.0877990722656,0.063232421875,-1.0381332721561194,569.8953050613403,0.0066677057,0.0003,0.2,-0.004412038002919871
1309,17,26,202.92,-128.77910214,34816,160,-0.0003408193588256836,96.22937774658203,0.008935546875,-0.9676775876432657,481.40761814117434,0.0051969728,0.0003,0.2,-0.004346302026533522
1301,18,28,212.93,-126.81112191,36864,170,0.11184960603713989,98.3982925415039,0.00478515625,-1.0476458698511124,480.1511772632599,0.0067109084,0.0003,0.2,-0.004165941382962046
1284,19,30,222.92,-125.7289477,38912,180,0.16083437204360962,212.36349487304688,0.00146484375,-1.0230453476309775,343.9189003229141,0.003220568,0.0003,0.2,-0.002405637921037851
1270,20,32,235.52,-124.44691465,40960,190,0.2191970944404602,211.2553253173828,0.00810546875,-1.0287204062566162,203.24290864467622,0.0041833576,0.0003,0.2,-0.005490084452321753
1253,21,34,247.97,-121.95566949000003,43008,200,0.25718724727630615,80.84442138671875,0.01015625,-1.0209335140883922,349.7669423818588,0.0057692872,0.0003,0.2,-0.0032423571414256004
1253,22,35,252.6,-120.25469538999998,45056,210,0.5404504537582397,129.8546600341797,0.00126953125,-0.972543222270906,218.23524436950683,0.0026999423,0.0003,0.2,-0.0021573609446932096
1245,23,37,262.18,-119.81914469000002,47104,220,0.3815072774887085,73.62775421142578,0.001171875,-0.9948290029540658,297.455390048027,0.0011226938,0.0003,0.2,-0.002908908933750354
1236,24,39,266.26,-118.68109806999998,49152,230,0.4720660448074341,79.74324798583984,0.02451171875,-1.036386374756694,239.3064332842827,0.0049955556,0.0003,0.2,-0.006278299753466854
