rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates
92.68181818181819,2320,0,1,-159.41767640909092,2048,,,,,,,,,,
94.83720930232558,1709,2,2,-154.07677474418608,4096,0.01396484375,0.0003,0.0049966183,-0.002936840057373047,-1.3836983680725097,851.446533203125,-0.004931326924997847,0.2,1761.1053647994995,10
94.29230769230769,1581,3,3,-157.51877295384614,6144,0.000244140625,0.0003,0.0039385865,-0.030935287475585938,-1.3803027469664813,652.5809326171875,-0.0022633223488810472,0.2,1418.542176246643,20
93.05747126436782,1524,5,4,-159.44465894252875,8192,0.02548828125,0.0003,0.0067052897,-0.03588712215423584,-1.3704079136252403,591.8329467773438,-0.006483548594405875,0.2,965.036554479599,30
94.38,1499,6,5,-160.49751297,10240,0.05771484375,0.0003,0.0054171607,-0.007825493812561035,-1.3632994953542947,266.4604187011719,-0.0058280730103433594,0.2,620.1670868396759,40
96.71,1473,8,6,-159.65723012,12288,0.172607421875,0.0003,0.015619752,0.00010091066360473633,-1.3434659093618393,228.4814910888672,-0.012211082469730173,0.2,493.2450458049774,50
101.41,1440,9,7,-161.30437436,14336,0.067578125,0.0003,0.012099015,-0.013161063194274902,-1.3291423194110394,81.73360443115234,-0.005068113071320113,0.2,479.84665884971616,60
108.65,1420,11,8,-162.47791693000002,16384,0.12080078125,0.0003,0.012988927,-0.0006730556488037109,-1.2807004496455192,386.1896057128906,-0.006895013722532895,0.2,667.8267547607422,70
115.39,1410,13,9,-157.36484337,18432,0.06865234375,0.0003,0.0066926675,-0.0001804828643798828,-1.271863042935729,315.5951232910156,-0.00896363933570683,0.2,506.27980728149413,80
125.94,1391,14,10,-158.36700479,20480,0.093310546875,0.0003,0.014708702,-0.0002815723419189453,-1.2491381637752057,183.84510803222656,-0.0039083767296688166,0.2,347.38047156333926,90
133.73,1356,16,11,-153.43473842,22528,0.070068359375,0.0003,0.010100478,-0.00016999244689941406,-1.2090978004038333,164.68756103515625,-0.011383728007785976,0.2,434.1580538749695,100
147.69,1311,18,12,-145.96081030000002,24576,0.028125,0.0003,0.0061786706,0.0015587210655212402,-1.233239134401083,242.4971466064453,-0.009636203307309188,0.2,317.42305517196655,110
156.19,1267,21,13,-145.46380544,26624,0.010009765625,0.0003,0.004275059,0.04248809814453125,-1.2096019819378854,142.4923095703125,-0.004726112028583885,0.2,365.8626714229584,120
171.66,1245,23,14,-136.99751318999998,28672,0.0,0.0003,0.0017305359,-0.10254859924316406,-1.2434779822826385,274.971435546875,-0.0018281643664522563,0.2,450.5640724182129,130
175.26,1249,24,15,-133.81426205000002,30720,0.005859375,0.0003,0.002845815,0.04051661491394043,-1.2162103679031133,109.83970642089844,-0.001951586760696955,0.2,329.3333685398102,140
187.04,1224,26,16,-133.38995955000001,32768,0.009765625,0.0003,0.0063389475,0.14360696077346802,-1.1385646168142558,144.1774139404297,-0.0048280010647431485,0.2,335.596658539772,150
201.25,1182,29,17,-129.06830724999998,34816,0.00498046875,0.0003,0.0043552406,-0.008153319358825684,-1.157944830879569,194.08392333984375,-0.003489030510172597,0.2,425.59881920814513,160
207.57,1184,31,18,-123.17069473000001,36864,0.048291015625,0.0003,0.006981083,0.10295873880386353,-1.2085047133266926,118.76136779785156,-0.008961332989565562,0.2,222.33215348720552,170
214.54,1187,32,19,-120.91822985,38912,0.040380859375,0.0003,0.0076714973,0.2662311792373657,-1.1298733379691839,71.09176635742188,-0.0047420789793250154,0.2,299.3724744796753,180
222.17,1183,34,20,-118.43815476999998,40960,0.014404296875,0.0003,0.007879235,0.1918519139289856,-1.1013180062174797,366.3089904785156,-0.0034213015605928376,0.2,387.9016143798828,190
234.4,1139,37,21,-115.50413744999997,43008,0.12236328125,0.0003,0.010543149,0.3485991954803467,-1.0976043291389943,76.87840270996094,-0.009916389211139177,0.2,280.7374672651291,200
245.59,1122,40,22,-113.68912877999999,45056,0.0712890625,0.0003,0.008862461,0.3196967840194702,-1.2206023264676333,60.180320739746094,-0.010094907986058388,0.2,160.93042277097703,210
259.88,1094,43,23,-112.29301978999997,47104,0.07236328125,0.0003,0.009193834,0.4907614588737488,-1.0900951351970434,77.67132568359375,-0.008293212215721723,0.2,205.3165248632431,220
270.94,1073,45,24,-108.15479027999999,49152,0.048095703125,0.0003,0.0061320653,0.4411916136741638,-1.1713453941047192,39.015506744384766,-0.005401109669764992,0.2,183.59158741235734,230
279.72,1045,48,25,-105.99091995,51200,0.09267578125,0.0003,0.008826347,0.4683927297592163,-1.1292919762432576,90.66922760009766,-0.010034948485554196,0.2,163.46612672805787,240
291.86,1033,51,26,-108.16286480999999,53248,0.118603515625,0.0003,0.007502841,0.5623817145824432,-1.175651491060853,17.83456802368164,-0.008972381510830019,0.2,84.38176553845406,250
304.14,1017,54,27,-107.13794447000001,55296,0.1767578125,0.0003,0.009096553,-0.000732421875,-1.0868483709171415,161.45925903320312,-0.0039027299339068123,0.2,241.48657982349397,260
