time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/policy_gradient_loss
2048,1,1,-122.5600955263158,1780,107.10526315789474,,,,,,,,,,,
4096,2,2,-123.04834535135136,1366,110.13513513513513,-0.0017380714416503906,2152.3996103286745,0.2,0.01103515625,826.0919189453125,0.0033864542,0.0003,1.0108160972595215,-2.8498548604547977,10,-0.0026004499566624874
6144,3,4,-127.15480417857144,1287,109.33928571428571,-0.008805036544799805,1785.6124151229858,0.2,0.033837890625,660.2672119140625,0.00553142,0.0003,1.0113301277160645,-2.8609766140580177,20,-0.003541523792955559
8192,4,6,-124.7085850416667,1246,113.0,-0.0011394023895263672,2153.2104320526123,0.2,0.032373046875,1493.719482421875,0.004908829,0.0003,1.0075645446777344,-2.8565147809684275,30,-0.0036877129430649804
10240,5,8,-131.15548543820228,1229,113.84269662921348,-0.05119049549102783,1152.0493324279785,0.2,0.0904296875,291.9702453613281,0.0084967185,0.0003,0.998993992805481,-2.8473906621336935,40,-0.006265556966536678
12288,6,10,-129.04149286,1223,115.68,-0.006116747856140137,1025.5081789016724,0.2,0.029296875,352.9023742675781,0.0064465674,0.0003,0.9814164638519287,-2.817631945014,50,-0.0036885500696371308
14336,7,11,-135.82897889000003,1210,116.98,-0.02686905860900879,1033.6496025085448,0.2,0.052392578125,890.392822265625,0.010833155,0.0003,0.9781816005706787,-2.794754623621702,60,-0.002082632124074735
16384,8,13,-135.68632351999997,1203,119.43,-0.0001252889633178711,897.6406398773194,0.2,0.035546875,202.365966796875,0.0047993334,0.0003,0.9815824031829834,-2.7954036675393583,70,-0.004522816500684712
18432,9,15,-137.70941617999998,1199,122.46,-0.0006469488143920898,721.5945007324219,0.2,0.066552734375,408.7282409667969,0.0063924184,0.0003,0.9889754056930542,-2.8021906539797783,80,-0.0035178975995222572
20480,10,18,-139.80453689,1078,131.47,8.821487426757812e-05,549.7896715164185,0.2,0.0509765625,229.6685791015625,0.004325094,0.0003,0.9776833057403564,-2.805820460617542,90,-0.003725394945649896
22528,11,20,-142.19596323,1085,132.91,0.0024756193161010742,335.7435687303543,0.2,0.0060546875,159.65699768066406,0.0027543523,0.0003,0.9762796759605408,-2.7899662904441356,100,-0.003335663428879343
24576,12,22,-135.88602377,1091,135.84,0.014968812465667725,217.00721397399903,0.2,0.074609375,208.37550354003906,0.0072510648,0.0003,0.9786769151687622,-2.79136628434062,110,-0.008299552284006495
26624,13,24,-136.27299606,1094,139.33,0.1374037265777588,277.6565324544907,0.2,0.036083984375,77.95608520507812,0.00624394,0.0003,0.9737823009490967,-2.789869573712349,120,-0.005819507280830294
28672,14,26,-130.89992157,1094,142.83,0.24227333068847656,282.42071595191953,0.2,0.0560546875,93.36174011230469,0.007029597,0.0003,0.9663646817207336,-2.7757405929267405,130,-0.007864435337251053
30720,15,30,-134.3187296,1019,154.57,0.18409276008605957,341.22968516349795,0.2,0.076318359375,364.34014892578125,0.008183544,0.0003,0.9580153822898865,-2.762133453041315,140,-0.0078879291555495
32768,16,32,-126.86683163000002,1016,167.28,-0.04924428462982178,230.49417427778243,0.2,0.01328125,37.16689682006836,0.003713464,0.0003,0.9559175968170166,-2.7489123940467834,150,-0.0015668735031795222
34816,17,34,-125.85797425000001,1003,175.99,0.20169800519943237,386.22612180709837,0.2,0.0671875,211.1939697265625,0.0077799805,0.0003,0.9518123865127563,-2.742953473329544,160,-0.008085475429834333
36864,18,39,-121.84806,923,193.75,0.5263622403144836,215.83728878498079,0.2,0.0345703125,48.474884033203125,0.0052113626,0.0003,0.9510814547538757,-2.7389631867408752,170,-0.005521659036458004
38912,19,43,-122.49425659999999,890,209.76,0.67606520652771,118.83901517391205,0.2,0.0625,234.47572326660156,0.0076470715,0.0003,0.9396302103996277,-2.725384210795164,180,-0.006807006301824003
40960,20,48,-120.06201864999998,842,227.14,0.6370258331298828,136.12226853370666,0.2,0.066064453125,38.586856842041016,0.00669185,0.0003,0.9288676977157593,-2.6978361308574677,190,-0.006349808239610866
43008,21,54,-113.58716361999997,795,247.97,0.6694760620594025,101.70226930379867,0.2,0.044287109375,32.81656265258789,0.006653078,0.0003,0.9184497594833374,-2.678054614365101,200,-0.005765493717626668
45056,22,58,-113.99269219999998,767,261.02,0.6264442801475525,112.7396296441555,0.2,0.09423828125,19.001726150512695,0.009126939,0.0003,0.9081613421440125,-2.6545208916068077,210,-0.007996032104711049
47104,23,64,-112.77416485999998,729,278.47,0.4592440128326416,151.68353947401047,0.2,0.0623046875,25.326223373413086,0.0065154806,0.0003,0.9112157821655273,-2.6459435887634752,220,-0.011684949784830678
49152,24,71,-111.99900009999999,685,287.34,0.4256347417831421,41.73774369955063,0.2,0.114990234375,14.572738647460938,0.008511348,0.0003,0.902248203754425,-2.636987437307835,230,-0.009896964402287267
51200,25,77,-107.94413562,662,305.18,0.8443272411823273,31.60169637799263,0.2,0.06142578125,8.212302207946777,0.0062580393,0.0003,0.8823246955871582,-2.6081402681767942,240,-0.005776612539921189
53248,26,82,-104.70396043,645,323.37,0.7605073750019073,71.70160086452961,0.2,0.09892578125,6.485418796539307,0.009764103,0.0003,0.8805712461471558,-2.5858874201774595,250,-0.008820870261843083
55296,27,88,-101.96033728999998,622,340.0,0.55954509973526,77.52449715733528,0.2,0.08427734375,13.328972816467285,0.007660688,0.0003,0.8678684234619141,-2.5668435759842394,260,-0.008082218332856429
57344,28,93,-99.18446355,611,357.32,0.8179922997951508,29.039087632298468,0.2,0.091650390625,5.08953857421875,0.009873612,0.0003,0.8381638526916504,-2.5154233902692793,270,-0.007026097320704139
59392,29,98,-96.49743215999997,601,374.71,0.716263622045517,48.93964320421219,0.2,0.038134765625,5.11566686630249,0.005355748,0.0003,0.8209728002548218,-2.4627697460353373,280,-0.0048738428165961524
61440,30,103,-93.95609062,594,390.8,0.6387555599212646,57.45293583869934,0.2,0.062646484375,8.250003814697266,0.007267842,0.0003,0.8181142210960388,-2.438521637767553,290,-0.003452768470015144
63488,31,108,-89.54316123000002,585,417.24,0.6312671899795532,29.73216199874878,0.2,0.06923828125,8.702265739440918,0.0054979194,0.0003,0.8148924112319946,-2.431133341789246,300,-0.004044768294261303
65536,32,113,-87.58553318000003,577,434.7,0.47162944078445435,49.77550129294396,0.2,0.05751953125,6.863628387451172,0.0062504928,0.0003,0.8140473365783691,-2.4255069181323052,310,-0.005569169711088761
67584,33,119,-83.82527775,565,451.92,0.2716315984725952,34.57326840162277,0.2,0.057373046875,7.151154518127441,0.007505675,0.0003,0.8164482712745667,-2.426322116702795,320,-0.0005093344538181554
69632,34,124,-82.03016233,558,469.05,0.6587384343147278,45.34509076625109,0.2,0.0572265625,2.895592212677002,0.005918199,0.0003,0.8088196516036987,-2.4167251460254193,330,-0.0025026788454852065
