time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range,train/value_loss
79872,39,97,-63.522155009999985,818,562.82,11.564688682556152,-0.8909497931599617,0.848540723323822,0.064013671875,380,-0.004206453564984258,0.0003,0.0063789575,0.2,41.79878853037953
81920,40,100,-62.52585643999999,814,574.29,5.796502590179443,-0.8929208584129811,0.9099052920937538,0.0560546875,390,-0.005385581670998363,0.0003,0.00835727,0.2,27.727556275576354
83968,41,102,-57.38194777999999,815,593.37,69.90701293945312,-0.8964263340458274,0.6310244798660278,0.023974609375,400,-0.0008608178704889724,0.0003,0.0035695545,0.2,119.17770925760269
86016,42,105,-56.869454649999994,814,604.83,8.65261459350586,-0.949188826419413,0.6922958195209503,0.035107421875,410,-0.0036244335329683962,0.0003,0.005317967,0.2,106.65266924202442
88064,43,108,-54.99438554,813,622.92,30.18549156188965,-0.8994342362508178,0.7988698780536652,0.037255859375,420,-0.003363454634381924,0.0003,0.0078095216,0.2,91.95336232334375
90112,44,111,-50.558389979999994,804,637.3,112.6916275024414,-0.8922759477049113,0.5865941941738129,0.045263671875,430,-0.006234692750149406,0.0003,0.01143953,0.2,263.31023031175135
92160,45,114,-47.191530740000005,803,648.43,2.0429794788360596,-0.7475280778482556,0.8917681649327278,0.072119140625,440,-0.004266865612589754,0.0003,0.006260639,0.2,43.71573279500008
94208,46,117,-45.80086838000001,798,666.42,54.56733322143555,-0.8572144564241171,0.7117652893066406,0.130517578125,450,-0.004302500208723359,0.0003,0.005604124,0.2,112.6052117228508
96256,47,120,-40.49461348000001,796,674.92,270.01507568359375,-0.6564844010397792,0.6576613485813141,0.03369140625,460,-0.003948522848804714,0.0003,0.010600663,0.2,209.0427983134985
98304,48,124,-36.72254456,792,697.24,30.950366973876953,-0.6943857796490193,0.6146368980407715,0.04775390625,470,-0.003996110700245481,0.0003,0.005330448,0.2,127.48096458911895
100352,49,126,-28.119283190000004,791,706.37,64.21841430664062,-0.8407057797536254,0.5922499299049377,0.047900390625,480,-0.002791208148482838,0.0003,0.007520789,0.2,101.16747446656227
102400,50,129,-25.650309349999997,790,715.43,6.084655284881592,-0.8217670658603311,0.5349639654159546,0.04892578125,490,-0.003457250918290811,0.0003,0.0077513,0.2,148.50875280201436
104448,51,132,-19.17453995,790,729.27,4.620887756347656,-0.8550105325877666,0.5167932510375977,0.042919921875,500,-0.0047595500487659596,0.0003,0.0028640153,0.2,131.67107787281276
106496,52,134,-13.341149279999998,791,737.35,56.7417106628418,-0.8654668811708689,0.3102104663848877,0.067578125,510,-0.00417083802385605,0.0003,0.009978815,0.2,193.2052332699299
108544,53,137,-5.597689269999998,791,742.15,38.89308547973633,-0.8940317263826728,0.4882895350456238,0.034619140625,520,-0.003838291339343414,0.0003,0.0048270067,0.2,189.6190318763256
110592,54,139,-1.444306849999998,791,734.65,286.4396667480469,-0.8969572508707643,0.3586190938949585,0.06396484375,530,-0.002561721732854494,0.0003,0.0055174194,0.2,173.81349554359912
112640,55,142,7.123249479999999,791,744.94,48.175254821777344,-0.7803981218487024,0.47745126485824585,0.06142578125,540,-0.0032903851071750976,0.0003,0.0076812953,0.2,113.56396127641202
114688,56,144,11.971599849999997,792,735.87,132.7205810546875,-0.8262481428682804,0.4238378405570984,0.064111328125,550,-0.0032880858379940037,0.0003,0.006717328,0.2,168.2877865433693
116736,57,147,19.22392187,792,742.83,26.33250617980957,-0.8739180894568562,0.5665198564529419,0.114111328125,560,-0.0037759404640382854,0.0003,0.009840334,0.2,132.68599984049797
118784,58,149,23.188623269999997,792,731.6,33.70085906982422,-0.9257122598588466,0.7248517572879791,0.090380859375,570,-0.006199501863738988,0.0003,0.0076156473,0.2,85.43382934629918
120832,59,153,24.27608349,789,721.81,24.79829978942871,-0.788058883138001,0.46845316886901855,0.036767578125,580,-0.0023322714419919065,0.0003,0.004006815,0.2,126.26013959348202
122880,60,156,27.33219125,785,713.75,4.954257011413574,-0.8627415556460619,0.7868177890777588,0.075732421875,590,-0.002784511845311499,0.0003,0.007146212,0.2,76.90316940397024
124928,61,159,30.825314439999996,784,710.36,15.852558135986328,-0.8042056145146489,0.3110809922218323,0.064404296875,600,-0.0023155607232183684,0.0003,0.009809891,0.2,88.4324485272169
126976,62,162,34.51117566,781,708.68,25.19868278503418,-0.8465955682098866,0.5155833959579468,0.0572265625,610,-0.0031423603868461214,0.0003,0.0059484933,0.2,85.46878587305545
129024,63,165,38.23174841,781,706.91,8.591962814331055,-0.8633307939395308,0.5796051025390625,0.037109375,620,-0.0025890365963277874,0.0003,0.0048275418,0.2,100.7804240077734
131072,64,168,39.167495370000005,779,696.77,24.335336685180664,-0.7648372402414679,0.15435343980789185,0.02861328125,630,-0.0005379779453505762,0.0003,0.0025890693,0.2,96.93692378401757
133120,65,170,37.79846266,778,684.44,278.9751892089844,-0.8686258060857653,0.12255948781967163,0.041064453125,640,-0.00364218919276027,0.0003,0.010181561,0.2,182.77930774092675
135168,66,173,43.86446024,779,684.68,19.749500274658203,-0.86125130597502,0.20443999767303467,0.01357421875,650,-0.003013512877805624,0.0003,0.004776692,0.2,212.8348747998476
137216,67,175,49.814196309999986,780,669.83,36.684749603271484,-0.74215337485075,0.44287675619125366,0.0451171875,660,-0.0031748215016705215,0.0003,0.0044259317,0.2,133.6536068558693
139264,68,178,51.99083968,781,657.2,56.58316421508789,-0.8161371015012264,0.4560394883155823,0.054150390625,670,-0.003389700652041938,0.0003,0.0059658308,0.2,145.85605888664722
141312,69,180,55.36838322,780,644.02,14.27915096282959,-0.8555193029344081,0.4331367015838623,0.040283203125,680,-0.0026251212853821925,0.0003,0.004467128,0.2,175.13940748274325
143360,70,183,59.11001244,780,628.76,14.427221298217773,-0.7807716118171811,0.533283144235611,0.07607421875,690,-0.003526563096238533,0.0003,0.0072155828,0.2,79.46936128139495
145408,71,186,61.64334010999999,780,618.12,40.68148422241211,-0.8120853271335363,0.38875502347946167,0.102734375,700,-0.003444377300911583,0.0003,0.009813385,0.2,108.83844530880451
147456,72,188,68.03071463,781,609.31,6.493391990661621,-0.8869361327961087,0.4938655495643616,0.043310546875,710,-0.0036448308193939736,0.0003,0.007726346,0.2,173.9756756812334
149504,73,191,71.76040207,782,600.32,17.459800720214844,-0.860227327607572,0.45913296937942505,0.058251953125,720,-0.002388216582039604,0.0003,0.0067821657,0.2,106.85074030607939
151552,74,193,71.73212694,782,579.95,171.96080017089844,-0.8656327737495303,0.4270048141479492,0.059765625,730,-0.002735497495450545,0.0003,0.00453533,0.2,194.7722650796175
153600,75,195,74.96048321,783,580.6,311.4908142089844,-0.8532183527946472,0.5218513906002045,0.09677734375,740,-0.003186679764621658,0.0003,0.0077600055,0.2,190.63180475085974
155648,76,198,77.00189336,784,565.93,13.68323802947998,-0.7904246399179101,0.568172961473465,0.066845703125,750,-0.0028588194130861667,0.0003,0.008510549,0.2,115.58426126241685
157696,77,200,80.33077967999999,785,556.16,91.90095520019531,-0.8499709313735366,0.5957623422145844,0.06220703125,760,-0.0055634526492212896,0.0003,0.008024313,0.2,121.68442706465721
159744,78,203,79.29910271000001,785,556.64,40.12034606933594,-0.7377316178753972,0.48414820432662964,0.02734375,770,-0.0013970083993626759,0.0003,0.0040815286,0.2,150.61386522054673
161792,79,205,81.54198849000001,786,553.0,3.0763919353485107,-0.7794207125902176,0.6419968008995056,0.106689453125,780,-0.007847983304964145,0.0003,0.0143201705,0.2,51.454624123871326
163840,80,207,81.63840527999999,788,547.68,14.821699142456055,-0.7331030882894993,0.5214918553829193,0.042529296875,790,-0.0021905253859586084,0.0003,0.004620238,0.2,128.88080396354198
165888,81,209,79.08323474999997,790,557.04,305.39898681640625,-0.7955338075757027,0.593102365732193,0.061181640625,800,-0.005309475866670255,0.0003,0.00409261,0.2,126.83505360782146
167936,82,212,78.02256908999999,789,561.48,212.41934204101562,-0.7117995109409094,0.7607778161764145,0.227978515625,810,-0.0052835223948932255,0.0003,0.01860353,0.2,69.55922658219933
169984,83,215,71.96221096,789,563.78,1.2444981336593628,-0.6820476865395904,0.7771691381931305,0.165625,820,-0.006951738458883483,0.0003,0.037713304,0.2,27.16733930595219
172032,84,217,70.49910229,790,558.87,131.39617919921875,-0.7435409061610698,0.4941001534461975,0.01298828125,830,-0.002011547737129149,0.0003,0.0037959642,0.2,203.06297330260276
174080,85,220,71.10665897,790,560.08,131.9392852783203,-0.6902432775124907,0.5988487303256989,0.026513671875,840,-0.003693867882248014,0.0003,0.004276562,0.2,200.1161046385765
176128,86,222,67.12603902,792,551.37,38.62498474121094,-0.7442763620987535,0.4792647957801819,0.05341796875,850,-0.004659304516826524,0.0003,0.007676414,0.2,123.9765439838171
178176,87,224,65.76910797,792,546.75,44.540470123291016,-0.7910738660022616,0.6405376493930817,0.02578125,860,-0.0026524812419665977,0.0003,0.0046413457,0.2,211.4063728630543
180224,88,227,62.552679530000006,793,542.01,6.2653727531433105,-0.7115275710821152,0.6729975044727325,0.030517578125,870,-0.0011241712149058004,0.0003,0.0023785955,0.2,132.82595787644385
182272,89,229,63.63931690000001,795,527.05,25.822507858276367,-0.8199407413601876,0.5938652753829956,0.04990234375,880,-0.001091656313656131,0.0003,0.0067821443,0.2,179.56365979015828
184320,90,231,66.08573077,796,526.78,94.90637969970703,-0.8006957098841667,0.5333268940448761,0.04150390625,890,-0.0022047593629395124,0.0003,0.0026273401,0.2,258.65698157548906
186368,91,233,65.52417864,797,527.89,40.36240005493164,-0.7206526527181267,0.8563128411769867,0.103564453125,900,-0.003910062602517428,0.0003,0.00728397,0.2,88.45709317922592
188416,92,235,63.29543706,798,521.6,50.262088775634766,-0.703128301165998,0.7638282775878906,0.0236328125,910,-0.001725578063269495,0.0003,0.0042232918,0.2,93.97680076658726
190464,93,238,62.66960016999999,799,522.76,55.13803482055664,-0.6679607948288322,0.6673828363418579,0.031640625,920,-0.004384243690583389,0.0003,0.0045166286,0.2,155.39754596352577
192512,94,240,62.36421102000001,800,524.87,25.930578231811523,-0.7666702283546328,0.7555476278066635,0.059423828125,930,-0.0017565392088727094,0.0003,0.008737648,0.2,138.77052711844445
194560,95,243,60.509788500000006,800,527.53,7.62504243850708,-0.738437976501882,0.4488023519515991,0.078759765625,940,-0.0030869648006046193,0.0003,0.0076270336,0.2,75.80015303567052
196608,96,245,56.543570769999995,800,532.41,1.37911856174469,-0.6355977606028318,0.7865046411752701,0.117626953125,950,-0.002090090449928539,0.0003,0.025359876,0.2,45.974408035725354
