rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss
108.83333333333333,1940,1,-136.345251,2048,1,,,,,,,,,,,
108.5945945945946,1529,2,-128.64224797297297,4096,2,0.035400390625,0.0003,758.3264770507812,-0.005905818898463621,0.0045583835,1.0020151138305664,10,0.2,0.0012049078941345215,-2.837760008126497,2166.1012638092043
113.25925925925925,1423,4,-127.73447898148149,6144,3,0.0708984375,0.0003,740.3004760742188,-0.010632474567682949,0.0076031797,1.016432762145996,20,0.2,-0.0091552734375,-2.858180487155914,1866.5843938827516
115.05714285714286,1378,5,-133.59586792857147,8192,4,0.06513671875,0.0003,334.9988098144531,-0.009059407042514067,0.0062878123,1.0271470546722412,30,0.2,-0.01304316520690918,-2.8826882883906366,994.7938527107239
117.54651162790698,1353,7,-133.60674554651166,10240,5,0.0751953125,0.0003,480.87615966796875,-0.00799846209702082,0.009051947,1.0367460250854492,40,0.2,-0.003426194190979004,-2.8978964552283286,821.4431133270264
121.99,1322,9,-133.18442362999997,12288,6,0.0427734375,0.0003,314.0666809082031,-0.004808222332940204,0.0062926114,1.042240858078003,50,0.2,-0.0009379386901855469,-2.908822034299374,738.5065802574157
127.26,1262,11,-137.27618134000002,14336,7,0.0896484375,0.0003,267.39093017578125,-0.006314016801479738,0.005749534,1.0391403436660767,60,0.2,-0.008918166160583496,-2.920243242383003,662.4733395576477
132.22,1257,13,-137.09140372,16384,8,0.025439453125,0.0003,116.5104751586914,-0.0029832245054421946,0.0040241494,1.0339056253433228,70,0.2,-0.0011868476867675781,-2.9099449031054974,435.4441143989563
143.16,1140,16,-138.61120430999998,18432,9,0.03193359375,0.0003,161.424072265625,-0.004738598167023156,0.00529309,1.0307247638702393,80,0.2,0.007296442985534668,-2.902089074254036,627.0167773246765
152.56,1111,18,-134.62190307999998,20480,10,0.01689453125,0.0003,165.2911376953125,-0.006086950369353872,0.004269108,1.032267451286316,90,0.2,0.022368431091308594,-2.899655010551214,306.8743149280548
162.94,1076,20,-131.8397153,22528,11,0.03955078125,0.0003,347.7703857421875,-0.007177376571053174,0.0060790433,1.0295276641845703,100,0.2,0.043722331523895264,-2.899258529394865,512.5319065570832
175.76,1003,24,-130.03894299,24576,12,0.016943359375,0.0003,291.56475830078125,-0.005602499666201766,0.00412117,1.0282142162322998,110,0.2,0.11010605096817017,-2.894618893414736,545.7172966480255
189.95,917,29,-128.43777400000002,26624,13,0.037255859375,0.0003,57.227699279785156,-0.007000918647827347,0.0058665304,1.0308423042297363,120,0.2,0.21179747581481934,-2.8961821503937246,258.224085187912
202.98,855,33,-126.73817669,28672,14,0.086474609375,0.0003,94.24443054199219,-0.00799084186583059,0.010091175,1.0306825637817383,130,0.2,0.17565011978149414,-2.8976954594254494,236.3940893650055
224.49,820,37,-123.69502314000002,30720,15,0.0513671875,0.0003,57.72915267944336,-0.006004804734402569,0.007766058,1.0305516719818115,140,0.2,0.2580597996711731,-2.899646034836769,199.81049239635468
237.99,790,41,-124.17639972,32768,16,0.037939453125,0.0003,159.14706420898438,-0.006272257847012952,0.0051209545,1.023543357849121,150,0.2,0.3966652750968933,-2.8914286896586416,312.91160876750945
251.05,756,46,-119.74895577,34816,17,0.03740234375,0.0003,132.86456298828125,-0.00684723881422542,0.0051745344,1.0158965587615967,160,0.2,0.32648682594299316,-2.8757429234683514,248.8913523197174
271.11,751,49,-117.89809954,36864,18,0.063134765625,0.0003,42.13249206542969,-0.009444331905979198,0.00675432,1.0062925815582275,170,0.2,0.44920283555984497,-2.8607034891843797,179.51250348091125
286.57,744,52,-116.66547671000001,38912,19,0.0708984375,0.0003,86.8826675415039,-0.007300686614325968,0.00876916,1.005552887916565,180,0.2,0.12841880321502686,-2.8497156292200088,330.0255546092987
303.94,712,57,-110.89940050999998,40960,20,0.046826171875,0.0003,53.30524444580078,-0.005755098728695884,0.00593742,1.0049920082092285,190,0.2,0.40487903356552124,-2.8485338278114796,166.18310573101044
321.08,697,61,-110.67721279000001,43008,21,0.096630859375,0.0003,20.288902282714844,-0.009997877127898392,0.008749913,0.9997422695159912,200,0.2,0.7609478980302811,-2.845096591860056,72.95679296255112
338.16,681,66,-106.38801998,45056,22,0.05625,0.0003,14.950352668762207,-0.006644810776924715,0.006304669,0.9841817021369934,210,0.2,0.7162965834140778,-2.824250032752752,56.36874668002129
350.96,668,70,-105.43510022000001,47104,23,0.089697265625,0.0003,20.134721755981445,-0.008097732887836172,0.010004097,0.9775910377502441,220,0.2,0.7517595440149307,-2.7999271988868712,69.96269154548645
368.04,653,75,-103.79319599,49152,24,0.07138671875,0.0003,52.0065803527832,-0.0046424049229244705,0.0067770556,0.9755173921585083,230,0.2,0.760362297296524,-2.789958816021681,62.47185607254505
384.07,642,79,-99.37945540000001,51200,25,0.0779296875,0.0003,7.963382244110107,-0.006314421576098539,0.006679127,0.9735157489776611,240,0.2,0.8384368717670441,-2.7862973995506763,25.601226188242435
401.76,623,85,-96.96780876000003,53248,26,0.09609375,0.0003,8.564237594604492,-0.010607816620904487,0.008596845,0.9632842540740967,250,0.2,0.6698447465896606,-2.773021838068962,43.328245636820796
419.35,608,90,-94.93616963000001,55296,27,0.0841796875,0.0003,7.083796977996826,-0.009118278574896976,0.009266103,0.9461975693702698,260,0.2,0.7730293124914169,-2.7443366132676603,41.42739821523428
436.63,594,96,-89.20541602000002,57344,28,0.084375,0.0003,4.816765785217285,-0.004430064315965865,0.009594745,0.9261336326599121,270,0.2,0.8043142706155777,-2.702194830775261,32.84763819128275
463.49,580,102,-85.47716403,59392,29,0.0908203125,0.0003,319.24554443359375,-0.006525275370222516,0.0071314555,0.9197704792022705,280,0.2,0.6871292889118195,-2.676861618459225,53.6849622130394
474.59,579,106,-85.23382033000001,61440,30,0.071875,0.0003,4.147730827331543,-0.005587158138223458,0.006822166,0.9223347306251526,290,0.2,0.6768436431884766,-2.673929926007986,54.087156760692594
491.96,566,112,-81.13178764,63488,31,0.0533203125,0.0003,49.95111846923828,-0.003626218260615133,0.0072679,0.9184665679931641,300,0.2,0.624028354883194,-2.6733158379793167,65.17826075851917
504.65,565,115,-79.80610751,65536,32,0.111083984375,0.0003,3.924818754196167,-0.00953352993237786,0.015075511,0.9043052792549133,310,0.2,0.8288087993860245,-2.648474792391062,39.3038123562932
522.3,560,120,-77.44828677000001,67584,33,0.072412109375,0.0003,31.549903869628906,-0.005561188895080704,0.0068932287,0.9044610261917114,320,0.2,0.6153662502765656,-2.63529879078269,107.63764771670103
539.94,553,125,-75.44850058000002,69632,34,0.099609375,0.0003,3.923247814178467,-0.006785656776628457,0.009436394,0.901525616645813,330,0.2,0.8289106786251068,-2.631547539681196,43.6325410053134
557.22,547,130,-72.45488057,71680,35,0.089208984375,0.0003,1.4375015497207642,-0.0055252126097911965,0.007869586,0.8880303502082825,340,0.2,0.775742843747139,-2.6110347740352156,26.84529192894697
582.52,539,136,-68.66448546,73728,36,0.06533203125,0.0003,5.464890956878662,-0.005298996740020811,0.0070076445,0.8733447790145874,350,0.2,0.7449754774570465,-2.5826853431761263,65.85467212051154
600.45,536,141,-64.93296908,75776,37,0.12265625,0.0003,288.3517761230469,-0.006602332812326495,0.010762706,0.8560696840286255,360,0.2,0.683803528547287,-2.5430554904043676,68.92540385872125
617.47,530,146,-63.37590290000001,77824,38,0.1103515625,0.0003,2.5680198669433594,-0.006081358944356907,0.00855488,0.851599931716919,370,0.2,0.7397621273994446,-2.5154452472925186,50.66539930477738
634.69,528,151,-60.72492206000001,79872,39,0.078564453125,0.0003,1.8499151468276978,-0.0022738164479960687,0.007715939,0.8403894901275635,380,0.2,0.8458065390586853,-2.502167594432831,38.89353593178093
652.04,528,154,-58.556372030000006,81920,40,0.062744140625,0.0003,2.8764395713806152,-0.005375203855510336,0.0055295774,0.8286089301109314,390,0.2,0.8018202632665634,-2.472772444784641,50.146764899790284
668.68,529,158,-56.3829402,83968,41,0.05458984375,0.0003,5.1992411613464355,-0.003740194725105539,0.0055457875,0.825330376625061,400,0.2,0.6958911716938019,-2.45469955727458,55.98200016319752
685.71,524,164,-53.03134529999999,86016,42,0.05234375,0.0003,1.84076988697052,-0.001248357591975946,0.0072071864,0.8253679871559143,410,0.2,0.8416074365377426,-2.4503415778279303,34.981182391941545
694.33,524,167,-49.53318476,88064,43,0.056591796875,0.0003,1.2821305990219116,-0.0015846821188461035,0.006378141,0.8255614042282104,420,0.2,0.7916546911001205,-2.45179768204689,35.54484358616173
702.54,523,172,-49.89457719999999,90112,44,0.0947265625,0.0003,482.9327697753906,-0.003998467720521148,0.009356301,0.8226054906845093,430,0.2,0.7934529930353165,-2.4411403588950633,52.42623892500997
719.77,520,176,-47.43879061,92160,45,0.0392578125,0.0003,146.89328002929688,-0.0037982310452207456,0.0060273316,0.8235663175582886,440,0.2,0.6340018808841705,-2.441060035675764,88.15936508104205
739.45,521,180,-46.519116449999984,94208,46,0.10068359375,0.0003,2.7105910778045654,-0.00498515930303256,0.009424833,0.822700023651123,450,0.2,0.8274777829647064,-2.44237392693758,38.45978867188096
755.23,518,185,-43.56773949,96256,47,0.041943359375,0.0003,40.26007843017578,-0.004624519067874644,0.0064851437,0.8164829015731812,460,0.2,0.6833339631557465,-2.4313359118998052,92.5545164436102
771.84,515,190,-40.53382745,98304,48,0.081982421875,0.0003,2.575462579727173,-0.004236840824887622,0.010442145,0.8035678863525391,470,0.2,0.8778251260519028,-2.406025668978691,32.39898121319711
790.52,514,195,-35.280197380000004,100352,49,0.060205078125,0.0003,390.1579895019531,-0.0026832405754248613,0.0075163445,0.795164942741394,480,0.2,0.7807072401046753,-2.384234908223152,49.711055007576945
802.96,511,200,-33.689580310000004,102400,50,0.02373046875,0.0003,76.18555450439453,-0.002129621792118996,0.002695685,0.7946996688842773,490,0.2,0.6078923344612122,-2.370971516519785,123.57282800078391
815.99,512,203,-29.903820700000004,104448,51,0.05205078125,0.0003,58.862518310546875,-0.001651228051923681,0.0035049797,0.7951698899269104,500,0.2,0.6574220359325409,-2.3716354563832285,84.0037232272327
832.79,510,208,-26.597518820000005,106496,52,0.0390625,0.0003,1.9705512523651123,-0.0018691965422476641,0.007971302,0.7850768566131592,510,0.2,0.7789529114961624,-2.361660609394312,65.60833940580487
845.96,509,213,-23.410262470000003,108544,53,0.068359375,0.0003,1.829994559288025,-0.003411693254020065,0.008268381,0.7563047409057617,520,0.2,0.8245887607336044,-2.308823465555906,47.95487734116614
854.44,509,216,-23.72133809,110592,54,0.087158203125,0.0003,2.113945484161377,-0.006333733226347249,0.008160632,0.7485387325286865,530,0.2,0.8247962594032288,-2.2619688995182514,45.00472486130893
859.05,506,222,-22.20785369,112640,55,0.057421875,0.0003,2.8382391929626465,-0.003454094564949628,0.006912442,0.7530163526535034,540,0.2,0.8464121967554092,-2.2605531752109527,34.94428879618645
867.31,507,226,-21.35021519,114688,56,0.07744140625,0.0003,2.0340356826782227,-0.0005990852092509158,0.010280747,0.732662558555603,550,0.2,0.8446680456399918,-2.2340625293552874,32.28129296582192
880.77,505,230,-18.499599279999998,116736,57,0.06064453125,0.0003,4.289687156677246,-0.0017805325958761386,0.008074076,0.7288185358047485,560,0.2,0.8567410260438919,-2.200973705947399,43.969283655285835
885.79,502,236,-13.81928733,118784,58,0.138671875,0.0003,0.6620855331420898,-0.004602989788691047,0.011853591,0.7172905206680298,570,0.2,0.9059619754552841,-2.182703111320734,29.789656414836646
893.53,501,240,-14.759035159999998,120832,59,0.07138671875,0.0003,4.000478267669678,-0.0029290412785485387,0.00444102,0.7042860388755798,580,0.2,0.9095041155815125,-2.1470537036657333,29.34479599208571
900.65,501,245,-14.433938699999997,122880,60,0.078076171875,0.0003,3.3064002990722656,-0.003171580997877754,0.0070047723,0.6989877223968506,590,0.2,0.8814351111650467,-2.125322227925062,36.9002937451005
907.59,501,249,-11.167086650000002,124928,61,0.078564453125,0.0003,2.6483371257781982,-0.004525401323917322,0.0072670463,0.6961801052093506,600,0.2,0.8356640487909317,-2.113848586380482,47.20055062770844
915.69,501,253,-10.327991660000002,126976,62,0.060302734375,0.0003,46.84187316894531,-0.004263922195241321,0.0039004856,0.6923913955688477,610,0.2,0.7931487411260605,-2.1051828801631927,80.52618044540286
925.83,501,257,-4.305437610000002,129024,63,0.103857421875,0.0003,0.5053293704986572,-0.0017173392814584076,0.011587106,0.6844645738601685,620,0.2,0.8840107843279839,-2.089651741832495,34.52539738258347
935.41,502,260,-4.80901925,131072,64,0.07275390625,0.0003,3.9791181087493896,-0.002212067762957304,0.005793497,0.6771707534790039,630,0.2,0.8488519042730331,-2.0645409762859344,42.462169176340105
947.75,503,264,-3.405740770000001,133120,65,0.03466796875,0.0003,2.882080554962158,-0.002973707485216437,0.005454274,0.6726859211921692,640,0.2,0.7655493170022964,-2.0477014295756817,67.7368377275765
939.4,504,267,-5.8937816599999975,135168,66,0.071044921875,0.0003,1.2051290273666382,-0.0020919267459248657,0.0072963703,0.6648311614990234,650,0.2,0.8481350094079971,-2.030767576396465,60.28392252177
933.2,504,271,-4.50104463,137216,67,0.042919921875,0.0003,50.889625549316406,-0.004982661562098656,0.005531798,0.6643792390823364,660,0.2,0.731758177280426,-2.014520939439535,126.09584640935063
925.66,506,275,-3.1598155599999984,139264,68,0.048095703125,0.0003,36.21728515625,-0.004341554478014586,0.0058905752,0.6624193787574768,670,0.2,0.8181620091199875,-2.0133094057440757,82.40209337882698
908.63,507,278,-3.2724566799999972,141312,69,0.052001953125,0.0003,71.93236541748047,-0.004781133320648223,0.0059482157,0.6572175025939941,680,0.2,0.8088922053575516,-2.001604800671339,107.51325511336327
898.49,508,281,-0.6528564399999981,143360,70,0.05078125,0.0003,46.74431610107422,-0.003495139295409899,0.009106753,0.6513189077377319,690,0.2,0.7135210037231445,-1.985889882221818,148.7430190950632
894.18,507,286,-0.5378511399999976,145408,71,0.058349609375,0.0003,23.480863571166992,-0.004543215617013629,0.0066094394,0.6438617706298828,700,0.2,0.7212962806224823,-1.96618137024343,99.44390915483237
888.2,508,290,-1.9337787599999998,147456,72,0.03583984375,0.0003,2.402582883834839,-0.0021507887198822574,0.0035204135,0.6389367580413818,710,0.2,0.656014084815979,-1.9468722961843015,70.2599310785532
883.81,506,295,-0.7719188400000008,149504,73,0.090234375,0.0003,6.187798976898193,-0.004125473956810311,0.00975325,0.6351296901702881,720,0.2,0.8141801804304123,-1.9339430171996355,88.87472041249275
883.81,504,300,-0.48878138000000065,151552,74,0.07958984375,0.0003,21.99924087524414,-0.0030959635238104965,0.006337734,0.6340371370315552,730,0.2,0.8283398747444153,-1.9268286980688571,53.38130413033068
884.0,505,304,-1.4599245100000016,153600,75,0.144580078125,0.0003,0.4508677124977112,-0.001038542328751646,0.01824642,0.631622314453125,740,0.2,0.8677312731742859,-1.9172460600733756,32.47228786125779
877.73,505,307,-2.046655310000001,155648,76,0.06904296875,0.0003,90.4853286743164,-0.002035199784222641,0.0032032395,0.6248524188995361,750,0.2,0.7957558333873749,-1.9041695795953273,106.22494776174426
866.11,507,310,-2.8294239100000005,157696,77,0.050048828125,0.0003,0.9288672804832458,-0.003929111366596771,0.004320012,0.6233409643173218,760,0.2,0.7824532985687256,-1.8893526643514633,79.55077614076436
859.38,507,314,-3.4649831100000004,159744,78,0.05341796875,0.0003,38.59403610229492,-0.005178548189724097,0.007504138,0.6253867745399475,770,0.2,0.7295239567756653,-1.8901278004050255,104.35143190026284
859.38,508,318,-3.1946514100000005,161792,79,0.049169921875,0.0003,0.9438586235046387,-0.006312548805726692,0.0046671377,0.6232666969299316,780,0.2,0.8439914435148239,-1.8898708540946245,73.0129168022424
853.22,509,321,-4.46069586,163840,80,0.069140625,0.0003,5.912606239318848,-0.0023376286240818444,0.006701362,0.6249843239784241,790,0.2,0.8841544017195702,-1.8866120629012584,48.75720091462135
835.01,510,324,-7.913805100000002,165888,81,0.0625,0.0003,22.479015350341797,-0.005997008033591556,0.004892723,0.6230126619338989,800,0.2,0.7902271300554276,-1.8860308561474084,111.01804743111134
835.01,509,329,-7.569828890000001,167936,82,0.0267578125,0.0003,50.07957458496094,-0.0032269635834381916,0.004546361,0.6235059499740601,810,0.2,0.7976772785186768,-1.8844971753656865,138.0136844664812
