time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range
1314,170.41666666666666,1,1,2048,-140.27996541666667,,,,,,,,,,
1368,121.93939393939394,2,2,4096,-159.40659369696968,0.01416015625,982.5190321922303,588.8212890625,0.0007661581039428711,0.0043970197,-0.00626219887562911,0.0003,-1.384163086861372,10,0.2
1395,108.58928571428571,3,4,6144,-158.96814330357142,0.01318359375,1102.6402269363402,535.3380737304688,-0.06258511543273926,0.006226148,-0.006083154519728851,0.0003,-1.3773409694433212,20,0.2
1398,105.62337662337663,4,5,8192,-162.38505331168832,0.00859375,1413.2463094711304,2045.624755859375,-0.00032889842987060547,0.0037626156,-0.003384048317820998,0.0003,-1.3653615906834602,30,0.2
1406,104.25510204081633,5,7,10240,-163.6096768979592,0.00224609375,837.0939126968384,308.7481994628906,-0.01756119728088379,0.004449799,-0.0034772754843288567,0.0003,-1.361199551448226,40,0.2
1414,97.66,6,8,12288,-166.58921997,0.082666015625,543.6532506942749,226.5482940673828,-0.0005086660385131836,0.015961986,-0.009191737048968206,0.0003,-1.353365895524621,50,0.2
1417,99.7,7,10,14336,-162.95490059999997,0.109521484375,518.3633541107178,190.8078155517578,-0.0005714893341064453,0.013288118,-0.009818780365458224,0.0003,-1.3318778302520513,60,0.2
1417,103.19,8,11,16384,-160.82972370999997,0.059619140625,499.2368456840515,360.4209899902344,-0.006890654563903809,0.0053371154,-0.004384279139776482,0.0003,-1.3312241956591606,70,0.2
1417,106.17,9,13,18432,-160.01285949,0.096142578125,545.1810238838195,448.9765319824219,-0.00044548511505126953,0.00863043,-0.007046830163744744,0.0003,-1.3006377294659615,80,0.2
1414,111.34,10,14,20480,-158.11267815,0.02705078125,620.0024926185608,183.31553649902344,-0.0008519887924194336,0.004524201,-0.004644512847153237,0.0003,-1.2758340936154127,90,0.2
1412,114.98,11,15,22528,-152.168919,0.061181640625,619.8374731063843,263.1083984375,-0.34132516384124756,0.007535748,-0.0054414670856203886,0.0003,-1.264352023974061,100,0.2
1410,119.36,12,17,24576,-149.14204497,0.0228515625,293.3709250926971,206.74288940429688,-0.00044143199920654297,0.008100269,-0.0044692263363685925,0.0003,-1.2542814753949643,110,0.2
1394,123.03,13,19,26624,-144.42443379,0.025927734375,460.98572459220884,126.22408294677734,-0.00016117095947265625,0.007068633,-0.006016454655036796,0.0003,-1.2415631379932166,120,0.2
1351,136.5,14,21,28672,-141.30122455999998,0.0505859375,373.5773009777069,216.371337890625,0.0009243488311767578,0.010666245,-0.006131648652808508,0.0003,-1.1931911904364825,130,0.2
1329,151.34,15,23,30720,-139.35118844,0.044921875,226.82545306682587,79.57506561279297,0.08472836017608643,0.010154395,-0.007963031677354593,0.0003,-1.2092824008315801,140,0.2
1302,165.83,16,25,32768,-133.91468745,0.00927734375,419.1212742805481,141.2539825439453,0.03628510236740112,0.0052500754,-0.005130269476649118,0.0003,-1.1547890424728393,150,0.2
1295,178.33,17,26,34816,-129.39138589,0.009814453125,252.38850553035735,121.3127212524414,0.10599780082702637,0.0038856477,-0.004013649285479914,0.0003,-1.1650239396840334,160,0.2
1269,184.66,18,29,36864,-127.20413887000001,0.051806640625,347.6593643426895,182.65560913085938,0.12992984056472778,0.005959804,-0.004743580817739712,0.0003,-1.110712805017829,170,0.2
1230,208.09,19,31,38912,-123.39513683999999,0.026513671875,280.82882449626925,115.28360748291016,0.22950589656829834,0.0063964673,-0.005273483866039897,0.0003,-1.1660798080265522,180,0.2
1168,225.46,20,35,40960,-119.63395711000001,0.08818359375,173.41958366632463,283.1002197265625,0.3542044758796692,0.009217471,-0.005516422181244707,0.0003,-1.10854908041656,190,0.2
1152,237.82,21,37,43008,-116.90306243,0.123486328125,86.27081626057625,249.11837768554688,0.5968113839626312,0.01168781,-0.007899037126480834,0.0003,-1.2066171545535327,200,0.2
1133,254.73,22,39,45056,-117.18718405999999,0.075390625,164.41586723327637,115.91999053955078,0.4158231019973755,0.009497318,-0.005901190306030912,0.0003,-1.0758899547159673,210,0.2
1112,268.33,23,42,47104,-116.26557107999999,0.045361328125,342.7574760913849,278.8040771484375,0.19281989336013794,0.006945586,-0.005642457053909311,0.0003,-0.9851097771897912,220,0.2
1068,285.53,24,46,49152,-110.89250295999999,0.20380859375,114.40624288320541,49.33425521850586,0.08688110113143921,0.015052714,-0.01105683440255234,0.0003,-1.0695602428168058,230,0.2
1041,306.0,25,49,51200,-107.37445705999998,0.057080078125,87.70646902918816,42.78481674194336,0.662207841873169,0.0077683646,-0.007985435716909706,0.0003,-1.0590402066707612,240,0.2
1003,323.18,26,53,53248,-107.69094449999997,0.11142578125,81.23154338598252,24.43099594116211,0.5648130178451538,0.0073232404,-0.008043060223280918,0.0003,-1.0898458316922188,250,0.2
973,336.34,27,56,55296,-105.05384293999998,0.129248046875,47.396012264490125,18.795289993286133,0.05858957767486572,0.010211605,-0.012099709424364846,0.0003,-1.0879125632345676,260,0.2
935,360.61,28,61,57344,-101.96869516999998,0.047705078125,65.37402651309966,29.251846313476562,0.17640012502670288,0.0086539835,-0.0036731389656779355,0.0003,-0.9913330344483257,270,0.2
916,378.2,29,64,59392,-98.90938784,0.0853515625,70.87680224180221,22.406797409057617,0.12684684991836548,0.00777106,-0.006759369798237458,0.0003,-1.0653275568038225,280,0.2
