rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss
92.77272727272727,0,2212,-171.4872387272727,1,2048,,,,,,,,,,
98.09756097560975,2,1658,-156.70384848780486,2,4096,0.007366334,1475.7359619140625,10,0.002887129783630371,0.004931640625,0.0003,0.2,-0.004766756667959271,1766.4259767532349,-1.383553944900632
101.16666666666667,4,1524,-161.5484583833333,3,6144,0.006622239,620.9293212890625,20,-0.007527709007263184,0.019580078125,0.0003,0.2,-0.004189278215199011,1860.548532295227,-1.3757052764296531
100.96296296296296,5,1473,-157.33479456790124,4,8192,0.0117519535,379.7340393066406,30,-0.014263629913330078,0.077490234375,0.0003,0.2,-0.007587862391665113,834.4097195625305,-1.3665330167859793
99.19,7,1450,-157.79773366,5,10240,0.0117116505,374.801513671875,40,-0.0031332969665527344,0.05966796875,0.0003,0.2,-0.006010839188093087,658.9887432098388,-1.3497422508895398
100.93,8,1436,-154.08279026999998,6,12288,0.009105828,246.16929626464844,50,0.0003720521926879883,0.080126953125,0.0003,0.2,-0.008052922296337783,581.4911428451538,-1.3218277864158154
103.99,10,1425,-152.26599294,7,14336,0.008990388,371.38751220703125,60,0.005396008491516113,0.03173828125,0.0003,0.2,-0.007265123572142329,811.1273383617402,-1.3057888992130757
106.29,11,1415,-148.35121418,8,16384,0.007680516,112.424072265625,70,0.10526102781295776,0.007470703125,0.0003,0.2,-0.004099873882660176,473.54800057411194,-1.2719003167003393
112.7,13,1406,-145.60453662,9,18432,0.004951326,278.0639953613281,80,0.12607955932617188,0.01279296875,0.0003,0.2,-0.005398425784369465,604.274472284317,-1.2598834678530693
119.94,14,1384,-144.14170759,10,20480,0.011740305,239.5064239501953,90,0.22589093446731567,0.096875,0.0003,0.2,-0.007652027333097067,383.81297340393064,-1.2053261045366526
129.44,16,1377,-140.72821638,11,22528,0.007610754,286.61676025390625,100,0.08636921644210815,0.034912109375,0.0003,0.2,-0.006522388623125153,409.85352926254274,-1.2021609827876092
144.94,18,1296,-138.73769861,12,24576,0.014291459,374.76434326171875,110,0.21946483850479126,0.12841796875,0.0003,0.2,-0.00825337905844208,394.5503015041351,-1.1140639010816813
158.75,20,1268,-133.44415216000002,13,26624,0.0073311767,423.4749450683594,120,0.2346973419189453,0.034521484375,0.0003,0.2,-0.006638213568658102,468.9924729347229,-1.229918287694454
170.21,23,1225,-128.42170954999997,14,28672,0.009174125,103.91077423095703,130,0.13573861122131348,0.0732421875,0.0003,0.2,-0.011303173648775556,324.9895924806595,-1.236141362041235
184.4,25,1213,-125.11479672,15,30720,0.0060122237,57.37646484375,140,0.395169734954834,0.03056640625,0.0003,0.2,-0.0047218409934430385,244.20889970064164,-1.2595437854528426
197.18,27,1170,-123.02566648,16,32768,0.011525983,103.5009994506836,150,0.3175218105316162,0.092138671875,0.0003,0.2,-0.01224488346488215,294.92973442077636,-1.1671649511903524
202.82,29,1162,-120.11677301,17,34816,0.0062158834,64.94539642333984,160,0.4156743884086609,0.0283203125,0.0003,0.2,-0.00754124688464799,213.56969195604324,-1.1811952121555804
222.83,32,1148,-116.78245214999997,18,36864,0.009404551,88.52111053466797,170,0.4430375099182129,0.1001953125,0.0003,0.2,-0.009981610938848463,202.3373055934906,-1.1139612428843975
236.95,34,1127,-114.76596566999999,19,38912,0.014445356,440.4830322265625,180,0.5427762567996979,0.132421875,0.0003,0.2,-0.009769606156623922,144.665511739254,-1.1198238670825957
