rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss
129.43,-142.47845042,1427,24576,12,17,-0.007902285162708722,0.016061913,0.123193359375,0.0003,0.2,-1.1041042141616344,346.56198182106016,110,0.09919136762619019,190.77578735351562
141.17,-136.94334297,1414,26624,13,18,-0.006764190887042787,0.00406161,0.034619140625,0.0003,0.2,-1.1364874299615622,299.55219712257383,120,-0.023550987243652344,114.98571014404297
151.93,-134.12720826000003,1399,28672,14,20,-0.011089225186151453,0.008752327,0.088134765625,0.0003,0.2,-1.1035829525440932,383.79992094039915,130,0.24636858701705933,173.71090698242188
165.86,-132.07683907999998,1377,30720,15,22,-0.008599093514931155,0.0054389243,0.041796875,0.0003,0.2,-1.070179980620742,261.18205282688143,140,0.12059789896011353,81.9349136352539
175.66,-129.05221054,1347,32768,16,24,-0.006847859155823244,0.0045078904,0.04658203125,0.0003,0.2,-1.1299530133605002,261.96374056339266,150,0.45783960819244385,251.26705932617188
193.74,-124.71707072,1261,34816,17,27,-0.00998211402184097,0.01071644,0.09326171875,0.0003,0.2,-1.0621795285493136,191.11199519634246,160,0.5261909365653992,44.36650848388672
215.27,-121.22876961,1182,36864,18,31,-0.006600165433337679,0.006750012,0.05419921875,0.0003,0.2,-1.1148618891835214,101.61713931560516,170,0.5278605818748474,61.90145492553711
223.68,-119.23983788000001,1167,38912,19,33,-0.005285501768958057,0.005677264,0.033642578125,0.0003,0.2,-1.1433834228664637,142.49841238260268,180,0.4366530776023865,177.71144104003906
241.57,-116.52717077,1106,40960,20,37,-0.005291136603409541,0.0066438247,0.0576171875,0.0003,0.2,-1.0650654308497907,163.15438576936722,190,0.4581493139266968,70.1407699584961
261.42,-112.57132426000003,1067,43008,21,40,-0.00660143738714396,0.006193539,0.043408203125,0.0003,0.2,-1.0670447017997504,86.68592544198036,200,0.6679859757423401,28.705148696899414
281.57,-111.57405832,1038,45056,22,43,-0.007113336897236877,0.007178844,0.079052734375,0.0003,0.2,-1.0875809326767922,137.11396400928498,210,0.572385311126709,30.77495574951172
297.33,-106.22796190000001,1018,47104,23,46,-0.0041385031603567764,0.009009698,0.0865234375,0.0003,0.2,-0.9288608873263001,82.19137874245644,220,0.677621603012085,44.16169738769531
315.01,-102.72818008999998,991,49152,24,49,-0.005143251451227115,0.008880124,0.07900390625,0.0003,0.2,-0.9307681864127517,156.3633044242859,230,0.5109763741493225,90.8394775390625
325.65,-100.87838469999998,968,51200,25,52,-0.005835683723853435,0.004501639,0.043212890625,0.0003,0.2,-0.8030054153874516,40.240681333839895,240,0.7309841215610504,154.99937438964844
347.03,-97.82503445,948,53248,26,56,-0.005028243648121133,0.006150758,0.057861328125,0.0003,0.2,-1.0154918426647783,105.50223869085312,250,0.5194366872310638,57.35088348388672
364.59,-95.42436238,932,55296,27,59,-0.009694577557092998,0.011029441,0.1341796875,0.0003,0.2,-1.0966289602220058,83.73294885158539,260,0.4443466067314148,68.76224517822266
384.82,-91.36141554000001,913,57344,28,62,-0.007127067593683023,0.00796785,0.0927734375,0.0003,0.2,-1.0485963048413396,48.34076212644577,270,0.8699995279312134,13.480435371398926
402.07,-90.66488326000001,904,59392,29,65,-0.0050584539370902345,0.009424948,0.033251953125,0.0003,0.2,-0.9244359955191612,143.10009086728095,280,0.6236225664615631,11.118606567382812
416.8,-89.2530774,900,61440,30,68,-0.005411947831817088,0.0041070413,0.02822265625,0.0003,0.2,-1.0194062568247317,143.11024419665335,290,0.6331115663051605,229.27146911621094
433.24,-85.11039294999999,895,63488,31,70,-0.01075414376318804,0.012067552,0.12822265625,0.0003,0.2,-1.0557630337774753,84.81292825937271,300,0.7732436060905457,413.8049011230469
451.08,-84.46073283999998,884,65536,32,74,-0.0024560992809711025,0.0030142735,0.023828125,0.0003,0.2,-0.8957960963249206,41.28914254009724,310,0.8773091733455658,8.984536170959473
467.76,-82.74693380999999,868,67584,33,77,-0.005450852059584577,0.007914277,0.07939453125,0.0003,0.2,-1.0510539120063185,72.08662439882755,320,0.8374437838792801,10.70317554473877
484.9,-78.28465536,857,69632,34,81,-0.011919141788530397,0.010713974,0.162255859375,0.0003,0.2,-1.101234869658947,36.98851133286953,330,0.883930116891861,9.971559524536133
501.93,-75.68030336999999,843,71680,35,84,-0.006111161677108612,0.013585654,0.131591796875,0.0003,0.2,-0.926780023612082,81.69179507195949,340,0.7620819211006165,13.7385892868042
519.65,-72.08837338,836,73728,36,88,-0.00951812889543362,0.012402516,0.196875,0.0003,0.2,-1.0556082399562001,51.54968650117517,350,0.8564559817314148,5.416833877563477
536.43,-69.40878352,829,75776,37,91,-0.0034041328908642754,0.00670282,0.060498046875,0.0003,0.2,-0.9731053235009313,122.87550828307867,360,0.5144840776920319,48.03720474243164
553.4,-63.28294411000002,822,77824,38,94,-0.009893951890990137,0.010475168,0.1349609375,0.0003,0.2,-0.9000025346875191,55.86314916312695,370,0.8181425631046295,433.7227783203125
567.97,-58.53222474000001,814,79872,39,98,-0.004203199248149758,0.010013691,0.1123046875,0.0003,0.2,-0.8354963034391403,130.0808518320322,380,0.5659839808940887,87.65673828125
581.78,-56.51146983,805,81920,40,101,-0.004003115943487501,0.010112867,0.058544921875,0.0003,0.2,-0.9413361629471183,64.32973398789764,390,0.6694978177547455,3.968290328979492
596.79,-53.07203469,792,83968,41,105,-0.0032039877645729576,0.0069333185,0.054052734375,0.0003,0.2,-0.8847926367074251,62.89671558737755,400,0.6325556039810181,3.0234034061431885
614.31,-50.21744428,792,86016,42,108,-0.0071039800808648575,0.013315124,0.180029296875,0.0003,0.2,-1.0251618959009647,29.780562530457974,410,0.8538624048233032,2.042415142059326
628.41,-43.88690138999999,791,88064,43,111,-0.00508026293173316,0.00737317,0.06572265625,0.0003,0.2,-0.9262115063145757,133.09443795382975,420,0.620315670967102,17.278045654296875
643.89,-42.59393992,781,90112,44,115,-0.002830444361461559,0.011432503,0.065234375,0.0003,0.2,-0.8604058675467968,123.28220747411251,430,0.6240326464176178,11.62275505065918
659.44,-41.00547225,770,92160,45,119,-0.00796282744340715,0.014835754,0.189501953125,0.0003,0.2,-0.9963990589603782,39.110544461384414,440,0.7815864235162735,0.7781325578689575
680.15,-39.74954037,767,94208,46,122,-0.004095597074046964,0.01034908,0.103857421875,0.0003,0.2,-0.9720678994432091,46.17657934501767,450,0.8054501116275787,2.203214168548584
690.95,-37.17537419999999,764,96256,47,125,-0.003634839164442383,0.0057786023,0.066796875,0.0003,0.2,-0.8586532386019826,100.33005854710936,460,0.607802152633667,26.476436614990234
711.07,-34.50782579,759,98304,48,129,-0.0017886745739815525,0.0047571273,0.03662109375,0.0003,0.2,-0.9688127789646387,80.06265096366405,470,0.7121183276176453,5.59587287902832
726.11,-30.800145909999998,756,100352,49,132,-0.0020610133971786125,0.005980827,0.035302734375,0.0003,0.2,-0.9476699782535434,109.49603628963231,480,0.7390983402729034,280.1494445800781
741.38,-28.943443540000004,747,102400,50,137,-0.005472308434400474,0.007755871,0.1458984375,0.0003,0.2,-0.9229677209630609,43.63283226117492,490,0.8062880486249924,3.9470911026000977
756.34,-25.964214820000002,742,104448,51,140,-0.0018504739156924189,0.00443757,0.06044921875,0.0003,0.2,-0.8777865840122103,35.26348954625428,500,0.8568872064352036,3.086674213409424
768.81,-24.595563140000003,742,106496,52,143,-0.004032533641293412,0.007267343,0.063720703125,0.0003,0.2,-0.883189152367413,35.6941536931321,510,0.8607175797224045,1.537936806678772
784.15,-23.19981890000001,735,108544,53,147,-0.00414156406186521,0.00890086,0.122314453125,0.0003,0.2,-0.8146679216995836,38.79799400158227,520,0.8271429240703583,2.2027225494384766
799.12,-20.34220724,734,110592,54,150,-0.0011975549852650147,0.0039648977,0.033447265625,0.0003,0.2,-0.8135715112090111,100.43305398747324,530,0.6786593496799469,16.439132690429688
809.38,-20.205172989999998,733,112640,55,153,-0.003142813601880334,0.0047636842,0.056591796875,0.0003,0.2,-0.7829597190022468,32.796080589480695,540,0.8632516413927078,3.5867152214050293
824.88,-17.272864510000005,730,114688,56,157,-0.0007868842189054703,0.003089244,0.00458984375,0.0003,0.2,-0.8333345105871558,161.94320844113827,550,0.607271283864975,106.39212036132812
824.88,-16.79539214,728,116736,57,160,-0.0030408637430809904,0.008565714,0.083642578125,0.0003,0.2,-0.8026976501569152,82.10845920965076,560,0.7327216863632202,3.152043104171753
828.53,-13.61810143,725,118784,58,163,-0.001811884868220659,0.0027299644,0.0255859375,0.0003,0.2,-0.7180557047948242,37.26732516121119,570,0.9031030759215355,1.9775010347366333
830.55,-10.940084860000002,727,120832,59,166,-0.0040811665108776655,0.009251745,0.071435546875,0.0003,0.2,-0.7814589438959956,73.19376914985477,580,0.6961269974708557,1.3413665294647217
845.99,-9.228705920000003,726,122880,60,169,-0.0020060861914316776,0.0045709135,0.034814453125,0.0003,0.2,-0.7305640267208219,136.20617297142743,590,0.6141849458217621,6.854941368103027
853.37,-7.567150620000002,726,124928,61,171,-5.298859905451536e-05,0.005694635,0.04599609375,0.0003,0.2,-0.6855314131826162,22.47793563362211,600,0.9204171076416969,0.947128176689148
843.72,-5.939873580000002,726,126976,62,174,-0.0008729781664442271,0.0035692907,0.023193359375,0.0003,0.2,-0.7256057363003492,140.75285663902758,610,0.6559165120124817,440.8683166503906
848.36,-2.46996285,724,129024,63,178,-0.0011072144377976656,0.0056497427,0.02099609375,0.0003,0.2,-0.7364975398406386,132.56872260272502,620,0.5522973537445068,56.646636962890625
848.28,-0.37988173000000075,725,131072,64,180,-0.004851069327560254,0.0056009516,0.07607421875,0.0003,0.2,-0.6990093624219298,128.37360532097517,630,0.6282124519348145,43.03408432006836
826.59,-3.139157350000001,728,133120,65,182,-0.0009024322433106135,0.003540597,0.018896484375,0.0003,0.2,-0.7338600220158696,97.44408846199512,640,0.6320109665393829,29.917497634887695
824.43,-1.791331410000001,722,135168,66,187,-0.0036720853080623784,0.007155649,0.044921875,0.0003,0.2,-0.8014852182939649,333.84483949542044,650,0.5888736248016357,183.97454833984375
819.47,-0.14479846000000166,721,137216,67,190,-0.0019548312018741855,0.005801684,0.032373046875,0.0003,0.2,-0.7947581140324473,137.40903763920068,660,0.6424736082553864,13.92768669128418
818.43,1.4481146499999977,719,139264,68,193,-0.002957768395572202,0.006358947,0.053369140625,0.0003,0.2,-0.9055357193574309,98.35461030602455,670,0.6098770201206207,37.871856689453125
818.81,3.395798159999998,717,141312,69,197,-0.003893359432549914,0.018072974,0.128076171875,0.0003,0.2,-0.7958525786176324,95.76698133349419,680,0.7058906257152557,59.81047439575195
810.79,7.87917194,717,143360,70,199,-0.001280640307959402,0.006801894,0.036767578125,0.0003,0.2,-0.7904310241341591,139.8209157153964,690,0.54841348528862,18.99645233154297
795.85,11.550302510000002,718,145408,71,202,-0.004170743640861474,0.010607228,0.1462890625,0.0003,0.2,-0.8647810177877545,106.13362377583981,700,0.5774068236351013,35.45234298706055
784.5,14.09504987,718,147456,72,205,-0.00251385745305015,0.004775975,0.043896484375,0.0003,0.2,-0.725155969336629,118.14793455302716,710,0.6511656045913696,43.943817138671875
764.85,16.937096420000003,720,149504,73,207,-0.001768612333398778,0.0051495694,0.040576171875,0.0003,0.2,-0.6804631559178234,124.91975174844265,720,0.5635245442390442,27.80586814880371
742.73,19.92886644,723,151552,74,209,-0.0027115039540149153,0.0050237677,0.082421875,0.0003,0.2,-0.8121494768187404,116.41109027341008,730,0.5308291912078857,15.69980525970459
724.09,19.428600929999998,726,153600,75,211,-0.00120032421691576,0.003991457,0.030517578125,0.0003,0.2,-0.8175849851220847,196.96670834720135,740,0.543042778968811,26.66546630859375
699.61,25.31810172,728,155648,76,213,-0.0014972013097576565,0.0032422128,0.019677734375,0.0003,0.2,-0.6676057450473308,197.4322708785534,750,0.6175632774829865,288.60400390625
