time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/entropy_loss
47104,23,859,234.85,-112.14661952,54,0.20799165964126587,0.0283203125,0.2,0.0052715773,184.45865721702575,-0.005576948539965087,0.0003,0.9387401342391968,220,49.19606399536133,-2.7166329108178617
49152,24,837,252.93,-108.16438493999998,58,0.18925070762634277,0.051904296875,0.2,0.006018713,292.02852246761324,-0.0073404203838435935,0.0003,0.9310259819030762,230,276.041748046875,-2.703708767145872
51200,25,816,264.36,-109.23915455000001,62,0.47945737838745117,0.035546875,0.2,0.005835807,117.28722277879714,-0.004791388647572603,0.0003,0.9178372621536255,240,44.604576110839844,-2.681769759207964
53248,26,790,284.22,-106.53107431000001,67,0.45856356620788574,0.063037109375,0.2,0.0070264013,155.24065680503844,-0.008275102100742514,0.0003,0.915936291217804,250,71.95391845703125,-2.6625143960118294
55296,27,770,296.89,-101.27387861000001,71,0.6599989235401154,0.04267578125,0.2,0.004941684,135.76388858556749,-0.004327511932933703,0.0003,0.9068012237548828,260,36.893733978271484,-2.651697710901499
57344,28,744,317.68,-98.64527645999999,77,0.687204509973526,0.0328125,0.2,0.005458042,136.33042976260185,-0.005519724162149941,0.0003,0.9001389741897583,270,30.301280975341797,-2.6325865246355535
59392,29,723,336.86,-95.86849314,82,0.7484958469867706,0.082470703125,0.2,0.00845683,100.9071815431118,-0.00788298094412312,0.0003,0.8961035013198853,280,24.32733726501465,-2.6218756049871446
61440,30,719,349.51,-96.87208133,85,0.7291100323200226,0.093505859375,0.2,0.0063971225,93.74042023718357,-0.00528832444906584,0.0003,0.8938096761703491,290,11.06603717803955,-2.6140890292823316
63488,31,711,365.73,-96.86166015,89,0.8477016091346741,0.07333984375,0.2,0.0065129157,63.457008934021,-0.004803877274389379,0.0003,0.8895431756973267,300,25.35247230529785,-2.6068514451384543
65536,32,696,383.08,-89.65185140999998,94,0.553655743598938,0.05654296875,0.2,0.006074739,178.1573814034462,-0.0057087966153630985,0.0003,0.8929524421691895,310,43.16514205932617,-2.6048899732530115
67584,33,681,399.71,-90.44042738,99,0.7706092894077301,0.079931640625,0.2,0.008740557,74.50060993432999,-0.005067875716486014,0.0003,0.8787923455238342,320,29.56429100036621,-2.5892845898866654
69632,34,673,417.52,-86.52386332,103,0.5246153473854065,0.112060546875,0.2,0.008384822,88.17687375545502,-0.007930698615382425,0.0003,0.881576657295227,330,28.8394775390625,-2.577343013882637
71680,35,661,436.2,-83.95979218999999,108,0.6007026731967926,0.0716796875,0.2,0.006832989,134.76163316369056,-0.004345171796376235,0.0003,0.875236451625824,340,65.70269012451172,-2.5770088873803614
73728,36,649,452.13,-75.98628688,113,0.585699737071991,0.0693359375,0.2,0.008172694,101.56516846716404,-0.004165771185216727,0.0003,0.8534060120582581,350,13.998997688293457,-2.5417094200849535
75776,37,646,466.55,-82.16945623,117,0.739409476518631,0.073974609375,0.2,0.008490911,45.68359106183052,-0.006514163759129587,0.0003,0.8375693559646606,360,13.07474422454834,-2.4953871741890907
77824,38,638,478.97,-78.78835717,121,0.2373393177986145,0.071484375,0.2,0.008418909,179.1471764087677,-0.003551489650271833,0.0003,0.8375518321990967,370,57.969791412353516,-2.4792378686368464
79872,39,626,495.53,-79.89116870000001,127,0.315581738948822,0.10234375,0.2,0.013498707,106.22622483968735,-0.006900967145338654,0.0003,0.8379098773002625,380,20.97600746154785,-2.4783723525702954
81920,40,621,513.77,-76.38769108999999,131,0.583112895488739,0.070947265625,0.2,0.009017031,62.92890556007624,-0.005500672477501212,0.0003,0.8276011943817139,390,8.581889152526855,-2.4658086262643337
83968,41,619,529.16,-74.3690478,135,0.5850346386432648,0.10263671875,0.2,0.007127741,102.2911477804184,-0.009329775568767218,0.0003,0.832844614982605,400,8.165398597717285,-2.4611714996397493
86016,42,607,545.27,-71.79682962,141,0.40196073055267334,0.188037109375,0.2,0.017941795,32.249332430958745,-0.010617930379521568,0.0003,0.8291933536529541,410,13.196210861206055,-2.4663829788565637
88064,43,599,553.44,-70.83625232,146,0.8451169282197952,0.137646484375,0.2,0.009054571,29.02796724140644,-0.010603960937442026,0.0003,0.8210192918777466,420,4.263123989105225,-2.4488783426582814
90112,44,594,570.38,-65.79420094,151,0.6649981141090393,0.07392578125,0.2,0.0075077238,31.514478848874568,-0.005608755199864391,0.0003,0.8039671778678894,430,6.760036945343018,-2.4173365771770476
92160,45,594,587.44,-64.67624068,155,0.720375120639801,0.0875,0.2,0.0075851064,35.452549654990435,-0.005673734932497609,0.0003,0.7998512387275696,440,3.6000308990478516,-2.3924005173146723
94208,46,587,605.14,-63.03524775000001,160,0.9270735830068588,0.059716796875,0.2,0.0084173,14.36677339449525,-0.0012414995551807805,0.0003,0.7922310829162598,450,2.889840841293335,-2.3812812969088553
96256,47,588,626.62,-59.699773449999995,163,0.634768009185791,0.05810546875,0.2,0.003857648,28.720956100523473,-0.004380574463721132,0.0003,0.787326455116272,460,4.813819408416748,-2.362132692337036
98304,48,585,642.41,-55.80124793000001,167,0.7767770439386368,0.05869140625,0.2,0.0058396477,58.71195313036442,-0.0026194350168225354,0.0003,0.7873809933662415,470,7.540372848510742,-2.3552543014287948
100352,49,585,645.61,-56.03660989000001,171,0.7609413266181946,0.103466796875,0.2,0.009875748,43.278214728087185,-0.008171915358980186,0.0003,0.7778100967407227,480,2.384732961654663,-2.345914325118065
102400,50,583,653.19,-54.2248296,175,0.33222389221191406,0.07099609375,0.2,0.0062308167,121.12436336576938,-0.0034075473060511284,0.0003,0.7793616056442261,490,21.815576553344727,-2.334934188425541
104448,51,581,665.9,-50.258011380000006,179,0.5064328610897064,0.07802734375,0.2,0.006101392,68.19274674654007,-0.0035150760275428185,0.0003,0.7641634345054626,500,21.31696319580078,-2.3172472387552263
106496,52,584,682.33,-50.889377560000014,182,0.5374101400375366,0.08974609375,0.2,0.007846639,66.1619213193655,-0.006110509426798671,0.0003,0.7557938098907471,510,240.83799743652344,-2.2846038289368154
