time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl
38,77824,972,-81.86724198,80,437.03,0.8879505842924118,19.341365814208984,-0.006550391286873491,0.070654296875,0.0003,370,-0.9082719760015607,0.2,55.00744394659996,0.01181072
39,79872,967,-80.96858790000002,82,449.92,0.8773632198572159,10.099821090698242,-0.004910603650205303,0.059423828125,0.0003,380,-0.8929158743470907,0.2,65.19245027452708,0.0074731205
40,81920,958,-75.11071723000002,85,467.55,0.7415092289447784,15.278692245483398,-0.007339473771571648,0.1912109375,0.0003,390,-0.986055132187903,0.2,59.24386340677738,0.013997925
41,83968,940,-68.46590886999999,89,481.23,0.5705438256263733,79.22063446044922,-0.00195622505270876,0.045947265625,0.0003,400,-0.9744643788784743,0.2,134.37280437350273,0.0046438994
42,86016,929,-65.02829526,92,491.27,0.7485741972923279,101.87682342529297,-0.007751063986506779,0.0919921875,0.0003,410,-0.9759168924763799,0.2,94.44435166418552,0.012095495
43,88064,915,-61.33466775999998,96,511.21,0.6733522713184357,57.24998474121094,-0.0034658078500797275,0.07275390625,0.0003,420,-0.9642444685101509,0.2,146.4857817351818,0.006678974
44,90112,906,-57.56039691,99,520.33,0.6887533962726593,5.879316806793213,-0.002549189369165106,0.048095703125,0.0003,430,-0.9476458549499511,0.2,118.45507149994373,0.005338466
45,92160,898,-56.46344566000002,102,543.5,0.7209201455116272,14.801817893981934,-0.0017318910329777281,0.055615234375,0.0003,440,-0.83192621730268,0.2,74.48031184971333,0.005051954
46,94208,885,-52.66090142000001,106,558.95,0.8399184048175812,4.69061279296875,-0.0072565230027976215,0.17109375,0.0003,450,-0.9606824731454253,0.2,46.89261630326509,0.014242099
47,96256,882,-54.089941440000004,109,554.13,0.7703939825296402,3.184108257293701,-0.002042560784320813,0.0919921875,0.0003,460,-0.9406707076355815,0.2,57.44960670247674,0.008448333
48,98304,867,-49.125982969999995,113,570.14,0.3939555287361145,28.99797248840332,-0.003075795999393449,0.023388671875,0.0003,470,-0.8550972709432244,0.2,166.40851325988768,0.0077176625
49,100352,861,-47.662517369999996,116,586.11,0.5933147370815277,1.9368841648101807,-0.007879794394830242,0.120556640625,0.0003,480,-0.9242272097617388,0.2,33.87180640250445,0.024878021
50,102400,859,-46.29422797,119,597.05,0.5417898595333099,18.499446868896484,-0.0032948671614576597,0.05498046875,0.0003,490,-0.8530099753290414,0.2,84.55845123827457,0.005999529
51,104448,859,-42.04109727000001,121,599.52,0.6043300628662109,96.70777130126953,-0.0006288809368925286,0.010986328125,0.0003,500,-0.9621016442775726,0.2,150.8026330113411,0.003342536
52,106496,854,-41.4195669,124,609.14,0.4675520658493042,68.77951049804688,-0.0027752801302995066,0.03388671875,0.0003,510,-0.862481395713985,0.2,174.76927695870398,0.0064438223
53,108544,847,-39.00336014,128,616.67,0.695181667804718,49.65576934814453,-0.001254004916700069,0.031787109375,0.0003,520,-0.9280090333893896,0.2,167.9720727235079,0.0034716104
54,110592,844,-40.45673741999999,131,618.07,0.7875365316867828,6.305014133453369,-0.0034292293566977605,0.08408203125,0.0003,530,-0.8833512233570218,0.2,73.4177296474576,0.007525627
55,112640,843,-34.67665495999999,133,630.3,0.8376360237598419,34.44498825073242,-0.004899988890247187,0.119287109375,0.0003,540,-0.8609733451157808,0.2,72.96445865780115,0.00970022
56,114688,841,-31.32573438,136,646.94,0.6374192535877228,19.85692596435547,-0.005408034040010534,0.048291015625,0.0003,550,-0.8346094489097595,0.2,244.53806449770929,0.01858772
57,116736,840,-29.64865286,138,655.74,0.6830633580684662,39.53451919555664,-0.001065764485974796,0.0359375,0.0003,560,-0.6562874501571059,0.2,65.51442167237401,0.0057530464
58,118784,835,-25.88196942,142,658.84,0.6268489062786102,8.820158004760742,-0.005066423692551325,0.158251953125,0.0003,570,-0.8998016472905874,0.2,126.43316832631827,0.017052915
59,120832,837,-21.399673310000004,144,671.85,0.6175594925880432,9.011565208435059,-0.0024137588177836735,0.064599609375,0.0003,580,-0.8386158240959048,0.2,114.8545893996954,0.011756923
60,122880,834,-21.874654770000006,147,680.73,0.6895003020763397,24.066049575805664,-0.0035012172935239504,0.05322265625,0.0003,590,-0.8814751483500004,0.2,155.49413109123708,0.0076065757
61,124928,825,-17.102603540000004,151,693.69,0.6700097918510437,27.283649444580078,-0.0014158453854179243,0.043798828125,0.0003,600,-0.9219130167737604,0.2,165.95944438874722,0.0048561785
62,126976,822,-15.0315767,154,705.01,0.7161172032356262,6.587094306945801,-0.0030118798618786967,0.080419921875,0.0003,610,-0.8345246002078056,0.2,78.50310204178095,0.010106856
63,129024,822,-18.10703409,156,703.57,0.6607250571250916,5.270983695983887,-0.0013618010209029308,0.0673828125,0.0003,620,-0.9179646007716655,0.2,92.78580844849348,0.0068243677
64,131072,816,-15.894225529999998,160,710.86,0.6478967070579529,70.11580657958984,-0.0013909531684475952,0.018212890625,0.0003,630,-0.9110323790460825,0.2,179.74529291391372,0.003456471
65,133120,808,-15.17312484,164,717.97,0.8814689517021179,1.968182921409607,-0.0021551735546381677,0.09931640625,0.0003,640,-0.9522745052352548,0.2,41.598521179705855,0.005432682
66,135168,808,-16.280018620000003,167,724.5,0.795344740152359,60.64288330078125,-0.004121108533581719,0.059375,0.0003,650,-0.9432545801624656,0.2,77.03885791599751,0.005002992
67,137216,805,-15.98774635,170,717.13,0.7156824767589569,51.66555404663086,-0.003213821325698518,0.05908203125,0.0003,660,-0.9852513259276747,0.2,123.67521837949752,0.008469552
68,139264,804,-13.796572159999998,173,730.44,0.7580881118774414,27.635591506958008,-0.003593484968223493,0.078466796875,0.0003,670,-0.9187999034300447,0.2,89.11476730704308,0.008578493
69,141312,803,-13.69408566,175,733.79,0.8344650268554688,2.987934112548828,-0.003733599755651085,0.094384765625,0.0003,680,-0.9191970964893699,0.2,23.149555864930154,0.006863508
70,143360,797,-13.19723545,179,747.02,0.6982488036155701,15.635716438293457,-0.003123502077869489,0.021044921875,0.0003,690,-0.9211181763559579,0.2,79.37123366445303,0.0032683033
71,145408,796,-16.4941392,182,747.96,0.8524356037378311,43.45124053955078,-0.005432963209750596,0.07470703125,0.0003,700,-0.9047179924324155,0.2,32.06207315176725,0.008102398
72,147456,797,-14.017370629999998,184,754.24,0.7740238457918167,7.910280704498291,-0.005213347318931483,0.13359375,0.0003,710,-0.9413997154682875,0.2,58.786816984415054,0.010361958
73,149504,795,-13.76506292,188,759.42,0.9148313105106354,4.075245380401611,-0.0023597762548888566,0.07666015625,0.0003,720,-0.9464044084772467,0.2,14.87059129178524,0.0095734075
74,151552,793,-15.24372641,191,758.56,0.8490834683179855,27.301410675048828,-0.008743923773727147,0.052880859375,0.0003,730,-0.9181697573512793,0.2,45.90656503587961,0.005267068
75,153600,791,-14.44067336,194,754.55,0.8208427280187607,33.84077072143555,-0.0018578677387267816,0.015771484375,0.0003,740,-0.934727281332016,0.2,46.50598317831755,0.003909853
76,155648,789,-13.803990650000003,197,754.21,0.6616332232952118,19.74717903137207,-0.0019016885522432857,0.02939453125,0.0003,750,-0.8614117866382003,0.2,89.59213994145394,0.0043967087
77,157696,786,-14.744605800000004,200,757.22,0.7316899597644806,83.58322143554688,0.00043559939513215795,0.088623046875,0.0003,760,-0.9272697744891047,0.2,49.4618012547493,0.0051827747
78,159744,780,-17.179835020000002,204,762.03,0.8874558731913567,3.178323745727539,-0.003513928854954429,0.104638671875,0.0003,770,-0.9647300239652395,0.2,21.02744697406888,0.011365682
79,161792,778,-20.393766,207,763.74,0.8713321685791016,47.47585678100586,-0.002732119380380027,0.0568359375,0.0003,780,-0.8905693700537085,0.2,23.034804575145245,0.0042848047
80,163840,773,-20.806993119999998,211,767.59,0.7980448305606842,2.8458404541015625,-0.0036184002427035013,0.083349609375,0.0003,790,-0.9017084432765842,0.2,63.82573719471693,0.0076728403
81,165888,766,-18.646261229999997,216,773.34,0.8187375366687775,11.548704147338867,-0.0024543180770706385,0.03798828125,0.0003,800,-0.8840736221522093,0.2,28.865965431928636,0.0043220776
82,167936,764,-19.99541987,219,773.34,0.8232374042272568,3.2517173290252686,-0.004511489564902149,0.08388671875,0.0003,810,-0.9818017387762665,0.2,25.970472964644433,0.0063231518
83,169984,761,-19.83023419,223,773.34,0.6911142766475677,150.467529296875,-0.003839519870962249,0.098291015625,0.0003,820,-0.9773335758596658,0.2,33.25918378904462,0.012205667
84,172032,758,-18.803116629999998,226,771.33,0.812658965587616,3.8046557903289795,-0.001486590346394223,0.04765625,0.0003,830,-0.9190062172710896,0.2,32.411682550609115,0.0054180133
85,174080,756,-18.1454014,230,783.3,0.43389761447906494,6.54469108581543,-0.0013117448186676483,0.025048828125,0.0003,840,-0.9071946704760194,0.2,60.02244759723544,0.0019848642
86,176128,751,-20.124808770000005,234,784.23,0.8351554423570633,3.616393804550171,-0.002907056333788205,0.053173828125,0.0003,850,-0.9269943170249462,0.2,19.222391397505998,0.0058199493
87,178176,749,-20.28815613,237,782.72,0.8046386539936066,2.2028536796569824,-0.0014185411739163101,0.064892578125,0.0003,860,-0.927588220871985,0.2,30.12927756384015,0.0061214427
88,180224,744,-19.621801800000004,241,789.4,0.6394558250904083,102.4874038696289,-0.0026109795566299,0.03544921875,0.0003,870,-0.9156695934012532,0.2,50.760537347197534,0.0042740996
89,182272,741,-16.95983802,245,801.99,0.753566637635231,18.12316131591797,-0.0031980238913092763,0.049169921875,0.0003,880,-0.9005853960290551,0.2,43.6358421549201,0.0068276078
90,184320,740,-17.891663980000004,248,804.12,0.7882575243711472,2.5628104209899902,-0.004330950227449648,0.060205078125,0.0003,890,-0.919266121648252,0.2,24.103351497650145,0.0075247004
91,186368,738,-18.783748430000006,252,812.33,0.7675879001617432,41.175933837890625,-0.0017062140264897606,0.0365234375,0.0003,900,-0.891475779376924,0.2,57.13069101125002,0.00436827
92,188416,736,-18.747558230000003,255,820.2,0.710810124874115,97.29669189453125,-0.0008986163309600669,0.0517578125,0.0003,910,-0.9123031256720424,0.2,53.29806098341942,0.010574783
93,190464,732,-17.453305439999998,260,827.37,0.8367323875427246,1.8694171905517578,-0.0029571163511718625,0.0892578125,0.0003,920,-0.9113237276673317,0.2,23.957043106108905,0.0071111787
94,192512,729,-16.15529467,264,833.28,0.8265087604522705,1.9981672763824463,-0.00035071351157967,0.048828125,0.0003,930,-0.9089905742555857,0.2,22.410409346967935,0.009564554
95,194560,729,-19.10595438,266,825.44,0.812342181801796,2.7067573070526123,-0.0003270796296419576,0.05126953125,0.0003,940,-0.9328589491546154,0.2,25.857789267599582,0.0042035664
96,196608,727,-18.617579499999998,270,836.91,0.7901390939950943,8.956567764282227,-0.0016908205798245035,0.02666015625,0.0003,950,-0.86374306473881,0.2,70.56838231533766,0.0051618908
97,198656,725,-20.084723859999997,273,837.16,0.8320986479520798,2.831728458404541,-0.0013185689385863952,0.03232421875,0.0003,960,-0.9095378341153264,0.2,21.384929823875428,0.002600504
98,200704,722,-17.615520070000002,277,842.22,0.8886720910668373,1.6298818588256836,-0.0071574301837245,0.115576171875,0.0003,970,-0.938978579081595,0.2,13.017856612801552,0.0118239615
99,202752,722,-20.13321535,280,848.91,0.799374520778656,3.013855457305908,-0.0032119684139615854,0.048876953125,0.0003,980,-0.9060827607288957,0.2,29.8447004199028,0.0037203082
100,204800,723,-20.891142150000004,283,849.92,0.8686440140008926,1.5028234720230103,-0.0020190302122500723,0.0662109375,0.0003,990,-0.9092741575092077,0.2,17.430536817759275,0.005685437
101,206848,721,-21.61018039,286,858.53,0.8404958099126816,4.390115737915039,-0.003785305321071064,0.078955078125,0.0003,1000,-0.8916344018653035,0.2,50.702203100174664,0.0100419745
102,208896,720,-20.01661903,289,868.79,0.8477912396192551,17.594219207763672,-0.0009912320216244551,0.046826171875,0.0003,1010,-0.8947211142629385,0.2,49.09005421251059,0.0038706749
103,210944,721,-22.07634216,292,871.79,0.8708830922842026,190.2381134033203,-0.005037237184296828,0.090869140625,0.0003,1020,-0.9116183249279857,0.2,20.578333224356175,0.008309352
104,212992,719,-23.066294679999995,296,871.38,0.7646310329437256,13.898738861083984,-0.0012655578400881495,0.028173828125,0.0003,1030,-0.8545499043539166,0.2,49.189892682433126,0.0033747987
105,215040,719,-21.417134609999998,298,877.24,0.8882983922958374,3.0143182277679443,-0.0008464139049465302,0.05439453125,0.0003,1040,-0.924490162730217,0.2,33.58180885091424,0.0034186225
106,217088,718,-18.67970101,302,884.07,0.64292311668396,8.34992790222168,-0.0011022140104614663,0.036328125,0.0003,1050,-0.8411236379295588,0.2,82.1902517966926,0.0031020022
107,219136,717,-17.61783793,305,889.37,0.610062450170517,18.201284408569336,-0.002407850345116458,0.048583984375,0.0003,1060,-0.8815432589501142,0.2,49.57355439439416,0.010978317
108,221184,716,-17.71359203,308,888.23,0.6247074902057648,9.565309524536133,-0.0005620370204269421,0.034375,0.0003,1070,-0.7961000068113208,0.2,50.12550360113382,0.0029900465
109,223232,718,-13.28898291,310,891.71,0.7321868538856506,11.633648872375488,-0.0022190534546098206,0.0529296875,0.0003,1080,-0.8227673899382353,0.2,65.07169937044382,0.0050799605
