time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss
44,929,501.12,96,90112,-73.48965526,0.0070382394,93.66368305236101,0.0003,-0.8208645403385162,0.0662109375,50.272735595703125,0.2,0.6835222840309143,430,-0.004519119411270367
45,928,515.14,99,92160,-68.58552695,0.0076253484,84.58926688805222,0.0003,-0.9275504764169454,0.076904296875,26.87136459350586,0.2,0.6908597052097321,440,-0.003745878300105687
46,916,527.91,102,94208,-64.49770518,0.0070029236,208.34418371617795,0.0003,-0.934228896908462,0.06845703125,89.56661224365234,0.2,0.5384543538093567,450,-0.003613325455080485
47,909,543.04,105,96256,-63.31539286000001,0.011382364,79.76678963452578,0.0003,-0.8383709365502,0.094384765625,6.292233467102051,0.2,0.6905044615268707,460,-0.0015571932366583497
48,910,553.9,108,98304,-56.814245249999985,0.011590127,84.35469240695238,0.0003,-0.805989483743906,0.09677734375,6.062841415405273,0.2,0.6113066375255585,470,-0.006780877144046826
49,907,564.59,110,100352,-50.1273115,0.00721743,238.19291034340858,0.0003,-0.7895453117787838,0.056396484375,197.0724334716797,0.2,0.5262381136417389,480,-0.00419016391824698
50,899,575.61,113,102400,-46.811504349999986,0.005049128,244.3126214712858,0.0003,-0.8767581196501851,0.029248046875,44.80759048461914,0.2,0.32317525148391724,490,-0.00423606393596856
51,895,586.2,116,104448,-41.94429993,0.0036500525,142.70469365268946,0.0003,-0.8163129646331072,0.0435546875,53.724185943603516,0.2,0.49927443265914917,500,-0.0034617528624949047
52,894,600.12,119,106496,-37.869170579999995,0.006124789,228.76470430493356,0.0003,-0.8352170525118708,0.040625,52.97734832763672,0.2,0.3881566524505615,510,-0.0020257308591681068
53,889,601.01,122,108544,-35.005291910000004,0.004646616,234.5314249932766,0.0003,-0.8980605784803629,0.0353515625,75.55809020996094,0.2,0.4683610796928406,520,-0.0029617924927151764
54,885,607.54,124,110592,-28.887142129999997,0.005196858,177.64451411068438,0.0003,-0.9265292892232537,0.027001953125,102.58045196533203,0.2,0.441836953163147,530,-0.002633605996015831
55,885,620.09,127,112640,-25.470604380000005,0.004146495,171.36599498391152,0.0003,-0.8522887453436852,0.052099609375,100.44117736816406,0.2,0.5422735810279846,540,-0.0029641129593073858
56,882,634.59,129,114688,-18.678099250000002,0.008999145,153.50516499876977,0.0003,-0.7979278238490224,0.063427734375,143.17063903808594,0.2,0.6345266401767731,550,-0.005692814941721735
57,880,645.51,132,116736,-15.142604030000005,0.0066008456,166.92851866483687,0.0003,-0.8442582979798317,0.10185546875,40.360755920410156,0.2,0.4543500542640686,560,-0.005647336311812978
58,881,647.23,134,118784,-10.54096699,0.006860314,222.09848955273628,0.0003,-0.8892616311088204,0.056591796875,477.9474182128906,0.2,0.5812509655952454,570,-0.0019115158236672869
59,875,652.69,138,120832,-11.523470730000001,0.008732682,208.2912512421608,0.0003,-0.7713025057688355,0.0384765625,55.55284118652344,0.2,0.5669960379600525,580,-0.0037872695058467796
60,872,660.53,140,122880,-8.70831986,0.010674388,143.08187436163425,0.0003,-0.7590845780447125,0.050732421875,33.730995178222656,0.2,0.46193522214889526,590,-0.0034559354069642724
61,868,672.4,143,124928,-1.2874279800000017,0.0051013427,140.96026167273521,0.0003,-0.862832166813314,0.02314453125,53.996910095214844,0.2,0.6636967957019806,600,-0.0034154689739807507
62,867,685.52,146,126976,1.4433881799999981,0.0074781524,138.8700289696455,0.0003,-0.9917229255661368,0.100048828125,8.940507888793945,0.2,0.3400232195854187,610,-0.0037988845360814594
63,867,696.81,148,129024,4.3920096599999985,0.006083371,79.52111167311668,0.0003,-0.8882193202152848,0.06591796875,12.662583351135254,0.2,0.5924266576766968,620,-0.005181990006531123
64,864,697.88,151,131072,4.183296989999999,0.005170809,191.748809838295,0.0003,-0.7791232971474529,0.04990234375,130.25289916992188,0.2,0.517154723405838,630,-0.003234762571810279
65,858,698.2,155,133120,9.625667960000001,0.004189209,130.00461800098418,0.0003,-0.9004436228424311,0.0208984375,64.97840881347656,0.2,0.685767263174057,640,-0.004016198835597606
66,853,705.34,158,135168,15.082391209999999,0.0097992215,139.86814361661672,0.0003,-0.9682705828920006,0.05771484375,80.49540710449219,0.2,0.5342535376548767,650,-0.002356106391380308
67,851,709.76,161,137216,19.002512599999996,0.008598346,172.49892631173134,0.0003,-0.8266728546470403,0.0697265625,124.61266326904297,0.2,0.4270097613334656,660,-0.0041277850952610605
68,852,704.15,163,139264,25.108335240000002,0.0048376494,137.26279650628567,0.0003,-0.8261246021836997,0.03857421875,21.762971878051758,0.2,0.6564323604106903,670,-0.0011648720334051176
69,851,696.47,165,141312,26.90362934,0.00675053,177.68928160071374,0.0003,-0.7077187623828649,0.0296875,40.400543212890625,0.2,0.4269457459449768,680,-0.0031476218035095373
70,852,694.17,168,143360,31.74792675,0.0059748553,190.8333376854658,0.0003,-0.7804299527779222,0.070654296875,39.5291862487793,0.2,0.3489178419113159,690,-0.0034460831710021013
71,852,672.28,170,145408,31.10985564,0.003172636,157.2920278787613,0.0003,-0.6699315374717116,0.0267578125,83.0472640991211,0.2,0.48893797397613525,700,-0.0010615480176056735
72,850,658.42,173,147456,37.834162860000006,0.0015731459,190.38511514663696,0.0003,-0.8431791249662638,0.024462890625,28.9625244140625,0.2,0.5991361439228058,710,-0.001489816841785796
73,852,636.88,175,149504,37.55990792,0.0137623325,142.57246361076832,0.0003,-0.8535392014309764,0.090283203125,14.682757377624512,0.2,0.5148613452911377,720,-0.0032901851920541956
74,852,630.71,177,151552,36.54329066999999,0.0034982378,252.11831071972847,0.0003,-0.8746840858832001,0.02509765625,159.9285430908203,0.2,0.48759275674819946,730,-0.004281728551723063
75,851,633.16,180,153600,38.50698232999999,0.0057386262,147.68248814344406,0.0003,-0.8314974341541529,0.04052734375,27.232101440429688,0.2,0.6444742679595947,740,-0.0036233254526450765
76,850,625.91,182,155648,35.59855407999999,0.007854372,167.5374639928341,0.0003,-0.7538937086239457,0.064404296875,56.398033142089844,0.2,0.3814190626144409,750,-0.0022808602367149432
77,851,606.53,185,157696,35.79954004,0.00586067,175.587279599905,0.0003,-0.828502388484776,0.040283203125,75.49380493164062,0.2,0.6362463533878326,760,-0.00368835129411309
78,852,598.48,187,159744,32.8843071,0.004178523,246.8539848744869,0.0003,-0.7767969481647015,0.02353515625,172.33285522460938,0.2,0.6972298920154572,770,-0.0012564608208776918
79,852,584.48,189,161792,37.01495516000001,0.0034963153,231.76056782007217,0.0003,-0.8146941889077425,0.04150390625,52.63412094116211,0.2,0.7242558598518372,780,-0.0030991551433544374
80,854,574.68,191,163840,41.93853527,0.0032308388,266.8990875482559,0.0003,-0.7833070745691657,0.014599609375,100.60736846923828,0.2,0.6213488578796387,790,-0.0013333433664229233
81,855,558.85,193,165888,38.916491519999994,0.0061121946,219.48529667854308,0.0003,-0.820668089017272,0.03671875,91.36394500732422,0.2,0.6430426836013794,800,-0.0022310986583761404
82,856,541.09,195,167936,37.302269949999996,0.0052161957,238.0046070754528,0.0003,-0.8443013405427336,0.0390625,38.05208206176758,0.2,0.6667686700820923,810,-0.0017634211901167874
83,856,538.69,198,169984,38.70817734,0.005251082,253.48002001047135,0.0003,-0.7650211662054062,0.03896484375,38.95370101928711,0.2,0.6290303766727448,820,-0.004096124733769102
84,857,543.72,200,172032,43.66212286,0.006988352,135.7420780777931,0.0003,-0.5490861067548394,0.03154296875,36.022491455078125,0.2,0.4500143527984619,830,-0.002407593311727396
85,857,528.79,202,174080,43.70479705,0.022198278,151.18891141414642,0.0003,-0.7841519122943282,0.093115234375,52.219200134277344,0.2,0.6274020075798035,840,-0.0054628427911666225
86,857,525.36,205,176128,46.914234560000004,0.005851833,227.18853058218957,0.0003,-0.7429311467334628,0.051708984375,61.019954681396484,0.2,0.5070881843566895,850,-0.0031398262042785065
87,856,524.43,208,178176,46.43955888999999,0.0020363675,134.39136505723,0.0003,-0.7027741339057684,0.06865234375,78.91694641113281,0.2,0.5464099049568176,860,-0.002316835582314525
88,857,503.17,210,180224,45.85097006000001,0.0066660517,93.66919576376677,0.0003,-0.7383000504225492,0.08369140625,130.91461181640625,0.2,0.22811859846115112,870,-0.0014548949955496937
89,858,497.72,212,182272,45.394298199999994,0.006689191,224.81490465402604,0.0003,-0.9223363028839231,0.03994140625,103.14021301269531,0.2,0.5204379856586456,880,-0.003058468511881074
90,859,479.09,214,184320,40.9542091,0.003739235,187.55380623936654,0.0003,-0.7403358137235045,0.033056640625,83.2101821899414,0.2,0.581798642873764,890,-0.0003161988133797422
91,860,470.32,216,186368,36.19917999,0.005155875,174.41753543317319,0.0003,-0.8371573181822896,0.0302734375,20.712934494018555,0.2,0.6489764451980591,900,-0.0030659036805445795
92,862,458.84,218,188416,43.02236392,0.004056276,293.3960442721844,0.0003,-0.8032265957444906,0.039306640625,163.51715087890625,0.2,0.6323833167552948,910,-0.0021897812290262663
93,863,457.76,220,190464,42.05745532,0.007850878,195.8587345659733,0.0003,-0.7588393338024616,0.065869140625,215.96987915039062,0.2,0.6958177387714386,920,-0.002770430928649148
94,864,443.12,222,192512,38.67181145999999,0.003948847,222.15867599248887,0.0003,-0.6812192969024181,0.03876953125,135.74893188476562,0.2,0.682915598154068,930,-0.003949939102312783
95,865,435.52,224,194560,41.98213741000001,0.0054867035,282.6488240540028,0.0003,-0.8271122748032212,0.03974609375,120.13340759277344,0.2,0.6903392374515533,940,-0.003284358808377874
96,865,429.63,227,196608,42.8556005,0.0025537699,291.28661235570905,0.0003,-0.7832004958763719,0.03564453125,16.799697875976562,0.2,0.5911338925361633,950,-0.0030448466539382936
97,867,427.86,228,198656,40.16820050999999,0.007869886,182.46800025701523,0.0003,-0.7199217267334461,0.068212890625,78.07617950439453,0.2,0.38569462299346924,960,-0.0031467073276871815
98,866,424.95,231,200704,40.69096861,0.0071848896,345.19927139282225,0.0003,-0.7875828880816698,0.06435546875,42.30318069458008,0.2,0.5009799599647522,970,-0.00528333794864011
99,867,431.87,233,202752,39.444244330000004,0.00659783,141.47648167014123,0.0003,-0.808789100497961,0.04404296875,26.18043327331543,0.2,0.5846508741378784,980,-0.0033796343333960975
100,865,439.71,236,204800,42.679693379999996,0.004133626,220.2268222630024,0.0003,-0.8370494730770588,0.034521484375,61.2469482421875,0.2,0.6606982946395874,990,-0.0024734411847020963
101,866,447.41,238,206848,38.44009087,0.0072043333,132.1090451747179,0.0003,-0.8727076837792993,0.069384765625,41.74937057495117,0.2,0.718347579240799,1000,-0.0032767248441814443
102,863,454.97,241,208896,38.928171569999996,0.008532349,147.16948786973953,0.0003,-0.7189713666215539,0.088671875,60.40853500366211,0.2,0.6785973012447357,1010,-0.004433730358141474
103,861,462.96,244,210944,41.74967783,0.006164835,144.55506856441497,0.0003,-0.8958100862801075,0.088427734375,283.32867431640625,0.2,0.6315732002258301,1020,-0.003614354316960089
104,860,467.12,247,212992,43.87078812,0.005490537,109.69979650974274,0.0003,-0.7287154130637645,0.02919921875,23.60004234313965,0.2,0.7038784921169281,1030,-0.0019525465737388003
105,860,478.01,249,215040,43.5313913,0.009891,94.15905641019344,0.0003,-0.9106703041121363,0.11826171875,11.908432006835938,0.2,0.6239263713359833,1040,-0.002172306821012171
106,858,484.13,252,217088,43.38017658,0.0063210307,180.35208197236062,0.0003,-0.8217611569911242,0.0359375,50.87508010864258,0.2,0.5617695748806,1050,-0.002497735768702114
107,858,480.23,255,219136,40.61973307,0.0045589493,191.16906049847603,0.0003,-0.8379157988354564,0.046533203125,32.27279281616211,0.2,0.6076013147830963,1060,-0.0028361138989566824
108,858,479.11,257,221184,38.7109533,0.0059758434,128.69095392227172,0.0003,-0.8594494134187698,0.050244140625,23.734020233154297,0.2,0.7008556127548218,1070,-0.003759903930767905
109,859,475.69,259,223232,36.624348729999994,0.0041609546,328.1275772213936,0.0003,-0.8032197531312704,0.039794921875,61.45647048950195,0.2,0.38192296028137207,1080,-0.004117128718007734
110,859,469.76,262,225280,35.592184960000004,0.004929955,185.69862142205238,0.0003,-0.8458957036957144,0.07353515625,83.43533325195312,0.2,0.6616524457931519,1090,-0.001854652532347245
111,860,472.22,264,227328,35.95005299,0.0037972,146.20402893573046,0.0003,-0.7162471354007721,0.04814453125,38.11865234375,0.2,0.5948022603988647,1100,-0.0008039567779633217
112,860,474.01,266,229376,34.52109575,0.0036809728,297.5664704203606,0.0003,-0.8107172897085547,0.029248046875,169.0584259033203,0.2,0.46680009365081787,1110,-0.002263685260186321
113,857,485.99,269,231424,29.99628703999999,0.0043467693,136.96300721466542,0.0003,-0.7707995275035501,0.0640625,59.79803466796875,0.2,0.6921201348304749,1120,-0.002352119095303351
114,855,491.33,273,233472,33.41185943,0.011770902,87.53718903511762,0.0003,-0.9070178406313062,0.136962890625,11.343427658081055,0.2,0.6700049936771393,1130,-0.0009908319290843793
115,852,501.27,276,235520,33.28691783,0.005355702,198.02286301255225,0.0003,-0.7419631004333496,0.01953125,49.354469299316406,0.2,0.5647332966327667,1140,-0.002938269084552303
116,853,512.01,278,237568,36.16815125,0.0110232495,50.99621760621667,0.0003,-0.7033552998676896,0.116552734375,42.82275390625,0.2,0.7132855653762817,1150,-0.0016137473518028854
117,850,518.95,281,239616,33.938555019999995,0.007314702,218.67543059289454,0.0003,-0.7730462158098816,0.029931640625,175.90188598632812,0.2,0.5515486598014832,1160,-0.00128300549913547
118,847,530.68,285,241664,32.187047930000006,0.009345176,40.68001503497362,0.0003,-0.9326767338439822,0.0828125,3.9649839401245117,0.2,0.800632506608963,1170,-0.00367452672944637
119,846,537.78,287,243712,30.590039420000004,0.0050983587,38.898609852790834,0.0003,-0.8119080226868391,0.046240234375,4.084443092346191,0.2,0.7933442741632462,1180,-0.002360057098849211
120,846,542.73,290,245760,29.371146,0.006026243,177.53322488963605,0.0003,-0.893572579883039,0.042431640625,76.92945861816406,0.2,0.7392489910125732,1190,-0.002162279032927472
121,845,555.32,293,247808,33.658255589999996,0.006589912,181.76901098191738,0.0003,-0.7752733942121267,0.05791015625,443.3312683105469,0.2,0.7218693792819977,1200,-0.006168000540492357
122,845,561.24,295,249856,35.622357230000006,0.006184338,42.05449791699648,0.0003,-0.748717667721212,0.046533203125,12.064275741577148,0.2,0.8140843063592911,1210,-0.0015783061637193896
123,845,568.92,297,251904,33.63004815,0.0052000773,205.5005313485861,0.0003,-0.7800070887431503,0.01484375,133.163330078125,0.2,0.6051389873027802,1220,-0.0012556290199427166
1,950,593.3333333333334,2,2048,-260.5897586666667,0.004027076,179.9760425209999,0.0003,-0.7968861548230052,0.02607421875,80.66266632080078,0.2,0.6068601608276367,1230,-0.0021839411681867206
2,687,628.0,5,4096,-435.99935600000003,0.02875621,153.05613088607788,0.0003,-0.6909276542253793,0.115380859375,20.779800415039062,0.2,0.7339665293693542,1240,-0.006747776726115262
3,656,603.2,9,6144,-447.05781310000003,0.004800178,215.51482772231103,0.0003,-0.8370761910453439,0.035986328125,20.817428588867188,0.2,0.6521150767803192,1250,-0.0011261585008469411
4,692,571.4285714285714,11,8192,-425.1278015714286,0.0064113196,214.33044183254242,0.0003,-0.8171829435974359,0.097119140625,32.409393310546875,0.2,0.6429374516010284,1260,-0.0036951805173885076
5,699,574.6470588235294,14,10240,-436.8700681764706,0.0032146194,195.08143876791002,0.0003,-0.7376521307975054,0.017724609375,61.22921371459961,0.2,0.7326295971870422,1270,-0.0030526816422934643
6,694,553.1363636363636,17,12288,-430.6852302272727,0.005867688,151.2506107568741,0.0003,-0.8335629168897867,0.047509765625,201.5338897705078,0.2,0.6646626591682434,1280,-0.004129368852591142
7,723,508.7857142857143,19,14336,-409.8015762142857,0.003940595,298.5393542766571,0.0003,-0.7907886281609535,0.027685546875,120.11408996582031,0.2,0.534705400466919,1290,-0.003290117818687577
8,707,507.6875,23,16384,-416.01458928125,0.0070844362,256.0119451582432,0.0003,-0.7784541625529527,0.065380859375,25.50135612487793,0.2,0.6985742747783661,1300,-0.003981431480497122
9,723,494.94594594594594,25,18432,-407.8273658648649,0.008670208,155.2734192982316,0.0003,-0.8503194727003575,0.079443359375,57.83791732788086,0.2,0.691389262676239,1310,-0.0032075506020191823
10,726,494.55,28,20480,-401.83246455000005,0.0077683013,230.45136076807975,0.0003,-0.8078498978167772,0.0833984375,36.52397918701172,0.2,0.6631468534469604,1320,-0.004688088069451623
11,742,500.35555555555555,30,22528,-399.0057629777779,0.0033727945,177.9663918197155,0.0003,-0.6985220935195684,0.02861328125,99.9773941040039,0.2,0.7759833186864853,1330,-0.003525001072557643
12,748,495.8775510204082,32,24576,-397.6190012244898,0.004222655,280.5368269205093,0.0003,-0.7623996494337917,0.054638671875,124.34900665283203,0.2,0.6968415975570679,1340,-0.0013496751736965962
13,753,502.90384615384613,35,26624,-390.4194935000001,0.008290528,166.7131798028946,0.0003,-0.7874356806278229,0.054931640625,62.947021484375,0.2,0.7549509108066559,1350,-0.0017152154046925715
14,755,514.3454545454546,37,28672,-385.5231662363637,0.008306555,142.94031893610955,0.0003,-0.733151301369071,0.044189453125,22.379575729370117,0.2,0.8662150353193283,1360,-0.000958774724858813
15,766,517.8135593220339,40,30720,-379.6815885423729,0.0034400555,145.84493292570113,0.0003,-0.6167487500235438,0.042041015625,9.294791221618652,0.2,0.8755583837628365,1370,-0.000884146546741249
16,775,519.5555555555555,42,32768,-381.4963934603175,0.011266719,203.06954877972603,0.0003,-0.6642416546121239,0.050439453125,35.78397750854492,0.2,0.7856750786304474,1380,-0.003949007012124639
17,785,514.0597014925373,44,34816,-376.2399469850746,0.008201653,173.24477259516715,0.0003,-0.7245569046586752,0.04345703125,41.415218353271484,0.2,0.7749075442552567,1390,-0.003835285852983361
18,785,511.52777777777777,46,36864,-368.6614168194444,0.008026404,166.74911331236362,0.0003,-0.8370516879484058,0.101611328125,66.2154541015625,0.2,0.8125553876161575,1400,-0.002151035450879135
19,790,513.16,49,38912,-365.80100296,0.003659563,206.10155932307242,0.0003,-0.7358110342174768,0.059814453125,32.23937225341797,0.2,0.8220611661672592,1410,-0.004240670328726992
20,791,517.9113924050633,51,40960,-373.30205096202536,0.006800615,113.07499102950096,0.0003,-0.7761986093595624,0.086669921875,16.399639129638672,0.2,0.9178790897130966,1420,-0.00346586124287569
21,794,513.5421686746988,54,43008,-369.41487391566267,0.006492044,188.29534432291985,0.0003,-0.8199526969343424,0.061376953125,14.255544662475586,0.2,0.7097291350364685,1430,-0.0053077113494509835
22,797,521.7906976744187,56,45056,-369.88957051162794,0.008268381,145.74030255675316,0.0003,-0.8595569459721446,0.121826171875,10.093293190002441,0.2,0.8468270897865295,1440,-0.00858424844482215
23,797,520.5888888888888,59,47104,-365.3685404888889,0.02582779,103.54601871222258,0.0003,-0.6698108276352286,0.1404296875,15.418048858642578,0.2,0.9159666374325752,1450,-0.005148079845821485
24,795,523.6129032258065,61,49152,-361.75938230107533,0.0041795345,160.19492275118827,0.0003,-0.7719611132517457,0.03583984375,109.44750213623047,0.2,0.8747883141040802,1460,-0.00083008970177616
25,797,522.9381443298969,64,51200,-363.7646618762886,0.005016125,77.6483967319131,0.0003,-0.722815154120326,0.088134765625,5.783531188964844,0.2,0.937268890440464,1470,-0.001258561089343857
26,802,522.49,66,53248,-361.51002407,0.004668909,178.15995316505433,0.0003,-0.7568581828847527,0.03427734375,104.0103530883789,0.2,0.8142466396093369,1480,-0.001822543593152659
27,807,514.48,68,55296,-346.07630301999995,0.007597864,143.80298465788366,0.0003,-0.6831049961969257,0.053271484375,9.564984321594238,0.2,0.8835345208644867,1490,-0.0024249721376691014
