rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range
-154.79462636363635,1,0,2367,92.36363636363636,2048,,,,,,,,,,
-154.07791684090907,2,2,1766,90.95454545454545,4096,0.0003,1010.9446411132812,2427.307225227356,-1.382621569558978,-0.008933984921895899,0.0296875,0.0060058096,0.00018483400344848633,10,0.2
-209.251969,1,0,2268,102.15,2048,0.0003,291.7735290527344,961.4233158111572,-1.3747494604438544,-0.00836035076645203,0.047216796875,0.008715499,-0.009359359741210938,20,0.2
-169.1664358461539,1,1,1798,100.46153846153847,2048,0.0003,457.21142578125,815.2670310974121,-1.3663379702717067,-0.004187314074079041,0.036572265625,0.0044238344,-0.004603862762451172,30,0.2
-150.88652566666667,2,2,1454,134.7,4096,0.0003,220.0782470703125,771.905187702179,-1.3663280367851258,-0.007656071289966348,0.055615234375,0.010022981,0.02422022819519043,40,0.2
-147.96309405769233,3,4,1442,116.9423076923077,6144,0.0003,736.9784545898438,1380.51515750885,-1.3590677294880151,-0.004829491616692394,0.012353515625,0.007931554,0.07124090194702148,50,0.2
-151.88991116666665,4,5,1423,112.625,8192,0.0003,617.2129516601562,1040.9350189208985,-1.353234428539872,-0.003620764896913897,0.015673828125,0.0059666866,-0.005452156066894531,60,0.2
-151.0244135714286,5,7,1391,112.34065934065934,10240,0.0003,248.8621063232422,889.9822671890258,-1.3322891663759946,-0.00872330153506482,0.07236328125,0.010552013,-0.10258209705352783,70,0.2
-151.46390862,6,8,1384,116.21,12288,0.0003,182.9703369140625,514.8005621910095,-1.2980099748820066,-0.015599896422645542,0.227294921875,0.0144700445,-0.006527304649353027,80,0.2
-144.39275676999998,7,10,1378,111.78,14336,0.0003,257.0671081542969,432.2712687253952,-1.2466087441891431,-0.004635054316895548,0.16044921875,0.0112956315,-0.0003452301025390625,90,0.2
-145.55174373000003,8,11,1369,115.96,16384,0.0003,354.6803894042969,819.365725326538,-1.2587555915117263,-0.005061506158381235,0.081201171875,0.008941842,-0.006390094757080078,100,0.2
-142.36958941,9,13,1364,122.64,18432,0.0003,352.31768798828125,800.4423033237457,-1.2293779861181975,-0.008343160629738122,0.097509765625,0.0106966235,-0.00021910667419433594,110,0.2
-139.25593147,10,15,1357,128.54,20480,0.0003,154.25912475585938,357.7795018672943,-1.2063799649477005,-0.006036702294659335,0.081640625,0.008910157,-9.262561798095703e-05,120,0.2
-135.20570239,11,16,1336,136.61,22528,0.0003,224.24026489257812,390.176451253891,-1.1309017352759838,-0.009421790989290458,0.099658203125,0.009764507,-0.0005127191543579102,130,0.2
-130.2551165,12,18,1328,145.2,24576,0.0003,344.62530517578125,587.8550669670105,-1.1798083227127791,-0.0037032924221421125,0.018994140625,0.008410723,0.0006031394004821777,140,0.2
-128.21427144,13,20,1314,151.87,26624,0.0003,280.733154296875,523.9049482345581,-1.1290058016777038,-0.005092349342157831,0.062255859375,0.010405237,-0.0003902912139892578,150,0.2
-125.78656218999998,14,22,1285,156.78,28672,0.0003,138.49957275390625,470.5886206626892,-1.0984000239521265,-0.005334251522435806,0.06279296875,0.0054391157,-0.0050209760665893555,160,0.2
-129.72430195999996,15,24,1262,171.62,30720,0.0003,87.99939727783203,313.775915145874,-1.214105873927474,-0.0029729117100941948,0.000439453125,0.0028174936,0.0028835535049438477,170,0.2
-130.30156390000002,16,26,1254,176.78,32768,0.0003,126.5615234375,349.0890537977219,-1.1749933749437331,-0.007923390974610811,0.07451171875,0.009560515,0.0020995140075683594,180,0.2
-124.56999193,17,27,1247,185.46,34816,0.0003,198.63235473632812,373.932412481308,-1.1224443878978492,-0.004675016491819406,0.023583984375,0.0047155544,-0.025241971015930176,190,0.2
-124.73971048,18,30,1197,204.18,36864,0.0003,418.4455261230469,446.1869731426239,-1.119578705355525,-0.0036644048217567616,0.027294921875,0.005469984,-0.29151451587677,200,0.2
-121.88842913,19,32,1194,213.67,38912,0.0003,51.81523895263672,229.7944834470749,-1.2624896623194217,-0.005769384927407373,0.031591796875,0.008511519,0.006073951721191406,210,0.2
-119.46561248,20,34,1186,223.8,40960,0.0003,306.0128479003906,370.3080052375793,-1.0973725486546755,-0.003127481259434717,0.027001953125,0.007087322,-0.01664137840270996,220,0.2
-119.56632409,21,36,1167,236.24,43008,0.0003,201.6874237060547,351.94161434173583,-1.098585905507207,-0.006766637305554468,0.012841796875,0.0045460584,0.1528841257095337,230,0.2
-118.39415798000002,22,39,1131,252.75,45056,0.0003,99.51473236083984,132.83388415575027,-1.04359264485538,-0.004976145114778774,0.031298828125,0.0045371945,0.40318000316619873,240,0.2
-117.18724669000001,23,42,1111,268.41,47104,0.0003,29.96825408935547,115.5068723320961,-1.1061547007411718,-0.013019135247304803,0.187158203125,0.013914434,0.41612672805786133,250,0.2
-115.67656863,24,44,1097,275.5,49152,0.0003,71.43975830078125,217.06249955892562,-1.1351454351097345,-0.00981842097826302,0.116552734375,0.008485371,0.0937110185623169,260,0.2
-112.8792362,25,47,1068,291.19,51200,0.0003,63.79693603515625,212.2367041349411,-1.0508357420563699,-0.009730747052526568,0.16552734375,0.012118485,0.13185334205627441,270,0.2
-109.99576805999999,26,50,1048,312.3,53248,0.0003,40.72693634033203,123.56279282569885,-1.131072610989213,-0.0032102466255309993,0.043896484375,0.008243959,0.381145715713501,280,0.2
