time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss
57344,-96.42847515000001,28,692,388.65,82,142.76248487830162,0.0003,0.2,-2.646998894959688,0.0068405913,0.9041900634765625,0.3588768243789673,0.071484375,270,-0.008990778373117791,68.76371002197266
59392,-94.19127181,29,671,404.99,88,55.758304631710054,0.0003,0.2,-2.626217921823263,0.0074225105,0.896773099899292,0.4211462736129761,0.06279296875,280,-0.006265748434816487,15.628662109375
61440,-91.28017625999999,30,652,421.82,94,60.35345822572708,0.0003,0.2,-2.6086857840418816,0.00792924,0.8899867534637451,0.536414623260498,0.082861328125,290,-0.0071791104695876126,11.535407066345215
63488,-89.01745511999998,31,638,438.53,99,45.50363102555275,0.0003,0.2,-2.5806710928678513,0.006454765,0.8722810745239258,0.31422293186187744,0.047265625,300,-0.0038808002762380058,6.001498699188232
65536,-85.22622587999999,32,619,455.98,105,45.75216397941112,0.0003,0.2,-2.5592251025140285,0.006072376,0.8692771792411804,0.6265034377574921,0.064990234375,310,-0.005947236725478433,8.615716934204102
67584,-83.70745422,33,608,471.85,111,39.94964521229267,0.0003,0.2,-2.553235797584057,0.0071619684,0.8670912981033325,0.4463247060775757,0.0822265625,320,-0.008264285424957052,7.017913341522217
69632,-80.58530263,34,597,489.02,116,35.87374088913202,0.0003,0.2,-2.5270268738269808,0.0073943133,0.8510317206382751,0.3334314227104187,0.06337890625,330,-0.006294115974742454,10.053760528564453
71680,-77.8034943,35,587,505.95,121,40.06807781904936,0.0003,0.2,-2.506271184980869,0.005317543,0.8466113805770874,0.7818439304828644,0.0513671875,340,-0.002215760860417504,4.437441825866699
73728,-76.98846528000001,36,585,523.2,125,48.437954905629155,0.0003,0.2,-2.4803729206323624,0.0077962372,0.8305078744888306,0.625898689031601,0.08359375,350,-0.0043501767358975485,5.3415727615356445
75776,-72.77164361000001,37,576,539.84,131,106.50982638895512,0.0003,0.2,-2.4473781108856203,0.0065779183,0.8180702924728394,0.3575509786605835,0.064697265625,360,-0.0031062777939951046,23.96428108215332
