time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate
1050,47104,23,290.18,44,-107.79863921999998,267.80863082408905,0.069140625,-1.0775245834141969,0.2,0.11991417407989502,220,-0.004808731535013067,0.008118904,133.96414184570312,0.0003
1023,49152,24,308.08,48,-106.74835942999998,120.85779955387116,0.072802734375,-0.9950363591313363,0.2,0.6514713168144226,230,-0.006380315170099493,0.0078881895,44.71592330932617,0.0003
987,51200,25,324.32,51,-105.25660021999998,112.78837022781372,0.039697265625,-1.058169568888843,0.2,0.6653770804405212,240,-0.005030161688046065,0.005462694,41.76459503173828,0.0003
968,53248,26,344.76,54,-100.47946378000002,134.68446468114854,0.039794921875,-1.0404904723167419,0.2,0.564326673746109,250,-0.0036208304882165976,0.0051257955,23.463584899902344,0.0003
934,55296,27,360.7,59,-100.59215789000001,160.44752254486085,0.064599609375,-0.9588541572913527,0.2,0.6197002828121185,260,-0.007288576940482017,0.0067639947,50.2741584777832,0.0003
923,57344,28,378.04,62,-97.68804975,80.84860764741897,0.06494140625,-0.9586544932797552,0.2,0.7220658361911774,270,-0.006341228954261169,0.005783136,24.760244369506836,0.0003
911,59392,29,388.31,65,-97.61517828999999,154.84676045179367,0.090087890625,-1.0707418005913496,0.2,0.19117975234985352,280,-0.005166115982865449,0.006878113,55.89849853515625,0.0003
895,61440,30,408.97,68,-93.30575197999998,153.80031430721283,0.09072265625,-0.9753119727596641,0.2,0.4934316873550415,290,-0.004684066512709251,0.010927199,151.1949005126953,0.0003
883,63488,31,430.73,71,-90.41486757999999,90.10267203450204,0.08701171875,-1.0141479978337884,0.2,0.413493275642395,300,-0.007837529895368789,0.007243964,25.128353118896484,0.0003
876,65536,32,439.06,74,-90.93163691,118.3948098897934,0.102978515625,-0.9749542571604252,0.2,0.040238797664642334,310,-0.004771364152838941,0.010253161,45.86730194091797,0.0003
862,67584,33,456.41,78,-88.26685368999999,40.14315731227398,0.1052734375,-1.0402538741007448,0.2,0.1737900972366333,320,-0.006813684852386359,0.0065963184,13.864485740661621,0.0003
857,69632,34,473.33,81,-85.09121657,22.779763948917388,0.113427734375,-1.0398819778114556,0.2,0.3590863347053528,330,-0.00849114632292185,0.008957046,8.356612205505371,0.0003
839,71680,35,490.09,85,-81.97513339999999,47.21187449991703,0.0482421875,-1.0189403234049679,0.2,0.507727324962616,340,-0.004335127393278526,0.008104354,17.533218383789062,0.0003
819,73728,36,505.23,89,-79.90915241999998,30.340357303619385,0.09873046875,-1.0258750144392252,0.2,0.6623979210853577,350,-0.0067213289101346165,0.0072052786,8.89945125579834,0.0003
805,75776,37,522.7,94,-78.92784913,35.516651728749274,0.08095703125,-0.9898813309147954,0.2,0.6458867192268372,360,-0.00516719841689337,0.005887895,6.212538242340088,0.0003
793,77824,38,539.95,98,-76.6723846,30.918104153871536,0.074072265625,-1.0385930573567748,0.2,0.8128433227539062,370,-0.00812836629920639,0.008708873,2.6272244453430176,0.0003
780,79872,39,556.95,102,-73.66531046,34.75804580897093,0.106982421875,-1.0479959294199943,0.2,0.688772588968277,380,-0.007850288492045365,0.010004181,5.26939058303833,0.0003
774,81920,40,573.28,105,-71.62200148000001,43.221230787038806,0.13369140625,-1.0138844225555659,0.2,0.7225457727909088,390,-0.00904733818024397,0.00972336,7.798183917999268,0.0003
762,83968,41,589.45,110,-67.45433515,41.55144480317831,0.064013671875,-0.8963841810822487,0.2,0.78138567507267,400,-0.003926688531646505,0.0054062083,2.385850429534912,0.0003
749,86016,42,597.5,114,-66.12849684999999,92.31658966988326,0.0087890625,-0.9096007511019707,0.2,0.4872806668281555,410,-0.0015563965342153096,0.003022093,62.18629837036133,0.0003
744,88064,43,616.05,118,-59.661162090000005,55.700146374851464,0.050830078125,-0.9209389807656407,0.2,0.5352407097816467,420,-0.005610835197148845,0.0057321647,3.8401973247528076,0.0003
739,90112,44,627.61,121,-54.948905749999994,175.42350738048555,0.03173828125,-0.8000969540327787,0.2,0.22056204080581665,430,-0.003866701605147682,0.007409744,126.78600311279297,0.0003
736,92160,45,648.16,125,-49.80824552999998,97.4926444977522,0.070458984375,-0.8906989375129342,0.2,0.21585029363632202,440,-0.004441956552182091,0.0077396575,12.3698148727417,0.0003
736,94208,46,655.37,127,-44.062389669999995,111.63697531223298,0.008642578125,-0.8756486920639872,0.2,0.3997493386268616,450,-0.002145085270603886,0.0029551708,53.27242660522461,0.0003
735,96256,47,669.57,130,-36.95344738,130.11134439110756,0.07451171875,-0.922032262198627,0.2,0.2754494547843933,460,-0.0037286696837327328,0.0074344063,63.8149299621582,0.0003
733,98304,48,674.1,134,-30.714343219999993,113.37982340455055,0.024072265625,-0.8952260041609407,0.2,0.41699111461639404,470,-0.0016885193726920988,0.003423006,16.375093460083008,0.0003
731,100352,49,688.64,137,-26.567151589999995,117.65672898888587,0.041357421875,-0.8709749594330788,0.2,0.469893217086792,480,-0.0046313214821566365,0.005504445,37.199974060058594,0.0003
728,102400,50,697.06,140,-23.59697435,105.13825708329678,0.014892578125,-0.7751910991966724,0.2,0.4293515682220459,490,-0.0015591883966408204,0.0031024388,43.47441482543945,0.0003
729,104448,51,708.02,143,-19.560490629999993,104.58091151118279,0.028466796875,-0.6776813860982657,0.2,0.47065699100494385,500,-0.004859318186936435,0.0042855283,244.36376953125,0.0003
730,106496,52,719.58,145,-15.757717039999998,190.66200202703476,0.017578125,-0.8631519496440887,0.2,0.3249013423919678,510,-0.0024630735304526754,0.0037853504,76.22333526611328,0.0003
729,108544,53,733.63,148,-9.83535646,193.95881674587727,0.0734375,-0.833668253198266,0.2,-0.09669876098632812,520,-0.002178202254071948,0.0061345585,98.73316192626953,0.0003
731,110592,54,733.72,151,-4.028628520000001,83.19880060851574,0.05732421875,-0.6403576004318893,0.2,0.4685463309288025,530,-0.002034044305764837,0.0056775487,25.520837783813477,0.0003
730,112640,55,744.18,154,-2.0383471699999998,181.81946403384208,0.05,-0.8809780044481158,0.2,0.2663700580596924,540,-0.004749649247241905,0.0039062102,59.02092742919922,0.0003
730,114688,56,747.94,157,2.6148440399999986,79.53302542567253,0.05439453125,-0.7998937867581845,0.2,0.41384416818618774,550,-0.001303157172515057,0.004441936,16.379878997802734,0.0003
730,116736,57,754.88,159,5.894311939999998,75.0701208025217,0.08701171875,-0.8457253245636821,0.2,0.47522979974746704,560,-0.003072237832748215,0.008920008,12.769615173339844,0.0003
731,118784,58,758.37,162,9.175348919999998,42.330740043520926,0.050830078125,-0.8372052283957601,0.2,0.6075705587863922,570,-0.0017685798477032222,0.008176533,3.5680925846099854,0.0003
729,120832,59,764.29,165,18.396064309999996,108.54316174983978,0.04501953125,-0.7687291022390127,0.2,0.4275299906730652,580,-0.0037345684118918142,0.0054731164,16.392480850219727,0.0003
727,122880,60,768.44,168,22.54165774,100.91290179491043,0.06806640625,-0.9067465387284755,0.2,0.522554874420166,590,-0.00280261989992141,0.0044383495,12.148904800415039,0.0003
729,124928,61,772.04,171,25.03952364,63.27233016490936,0.0669921875,-0.8502864837646484,0.2,0.6024855375289917,600,-0.00424135522916913,0.007279733,24.903411865234375,0.0003
728,126976,62,768.47,174,26.678573899999996,77.40130839645863,0.03603515625,-0.8260318385437131,0.2,0.5761637985706329,610,-0.0030059920842177234,0.0032411322,22.068382263183594,0.0003
727,129024,63,760.09,177,32.48902725,151.41157651543617,0.051025390625,-0.8852078432217241,0.2,0.3997577428817749,620,-0.002562887320527807,0.004170936,16.016672134399414,0.0003
728,131072,64,747.37,179,37.38495572,110.39523553103209,0.081689453125,-0.7812404632568359,0.2,0.4759417772293091,630,-0.005416234210133553,0.017508522,6.778555870056152,0.0003
730,133120,65,749.44,182,46.34978749999999,78.18486605137586,0.050146484375,-0.851833144761622,0.2,0.6749159395694733,640,-0.0007493407691072207,0.005719725,5.658747673034668,0.0003
732,135168,66,739.63,184,48.78965415999999,87.55930817127228,0.055419921875,-0.8060621712356806,0.2,0.7392661273479462,650,-0.0022558538243174554,0.0062814197,14.690816879272461,0.0003
733,137216,67,726.99,187,49.45365751,183.22751920819283,0.03115234375,-0.7613532897084951,0.2,0.4309331178665161,660,-0.0009847269844613037,0.0034007898,73.04064178466797,0.0003
732,139264,68,717.81,190,52.18387318999999,321.34710136055946,0.037451171875,-0.7812222300097347,0.2,0.08036667108535767,670,-0.002476505694357911,0.006528078,98.2859878540039,0.0003
734,141312,69,703.93,192,52.6934994,79.20930001586676,0.079833984375,-0.7486337421461939,0.2,0.5577442049980164,680,-0.00227883532497799,0.0076964423,9.678900718688965,0.0003
734,143360,70,697.4,195,51.95897754,153.82125990092754,0.0578125,-0.8592473147436976,0.2,0.3329664468765259,690,-0.0017123424564488231,0.003569455,128.37045288085938,0.0003
734,145408,71,678.82,197,52.11446389,165.4282629430294,0.039794921875,-0.6703878503292799,0.2,0.4783434271812439,700,-0.0014898564244504088,0.0059453505,82.83488464355469,0.0003
736,147456,72,659.68,200,51.0773505,183.77999837994577,0.021728515625,-0.8428848575800657,0.2,0.5223909914493561,710,-0.0034691982007643675,0.00261619,238.6397705078125,0.0003
736,149504,73,647.82,203,53.63995397000001,153.3103228211403,0.0517578125,-0.8150843907147646,0.2,0.6623921394348145,720,-0.004074015609876369,0.008254154,215.58798217773438,0.0003
