time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/std
38,16,-117.80607478,845,200.77,32768,0.2,72.6386489868164,150,0.0062390296,0.069580078125,-0.00791670790349599,0.11894816160202026,169.69301359653474,0.0003,-2.729366021603346,0.9481371641159058
44,17,-116.34352568,787,218.53,34816,0.2,149.68653869628906,160,0.008719984,0.066845703125,-0.00757436847052304,0.006620287895202637,377.76766562461853,0.0003,-2.7302658148109913,0.9481030702590942
49,18,-113.55131247999999,748,235.84,36864,0.2,45.35731506347656,170,0.0066222795,0.086474609375,-0.00829827616980765,0.4175640940666199,92.56615331172944,0.0003,-2.727008418738842,0.9439616203308105
52,19,-109.19927729,739,253.55,38912,0.2,11.667877197265625,180,0.0044283657,0.03505859375,-0.003206585742009338,0.6963552236557007,55.368000745773315,0.0003,-2.7065356992185117,0.9289087653160095
57,20,-106.82381711,716,271.41,40960,0.2,22.245452880859375,190,0.0063933646,0.0556640625,-0.006452762978733517,0.6617757081985474,113.99523464441299,0.0003,-2.6778394281864166,0.9180452823638916
61,21,-105.32263432999999,699,282.36,43008,0.2,6.805599689483643,200,0.007337031,0.096630859375,-0.005304002811317332,0.81759113073349,55.44796756505966,0.0003,-2.6647731751203536,0.9165304899215698
65,22,-102.15625892999998,687,301.48,45056,0.2,96.55154418945312,210,0.0044425577,0.028125,-0.0024455521212075836,0.6484450995922089,122.5744978427887,0.0003,-2.6656055197119715,0.9185662269592285
68,23,-100.95709696,683,317.93,47104,0.2,19.61082649230957,220,0.006388123,0.0638671875,-0.007640776205516886,0.7057311832904816,162.07239944934844,0.0003,-2.6687652215361597,0.9194861650466919
73,24,-97.76931346,673,335.65,49152,0.2,275.8228759765625,230,0.0052996525,0.03564453125,-0.006095137451484334,0.3983824849128723,292.7028634309769,0.0003,-2.6703498490154742,0.9201316237449646
76,25,-95.12519279000001,672,352.78,51200,0.2,13.681434631347656,240,0.006551197,0.067236328125,-0.005443470815953333,0.8353808224201202,44.944014373421666,0.0003,-2.647538471966982,0.9005867838859558
78,26,-93.25913559,674,371.53,53248,0.2,8.291934967041016,250,0.0042275786,0.04970703125,-0.004208755255967844,0.8350662291049957,60.172191022336484,0.0003,-2.608371710777283,0.8821248412132263
83,27,-90.24562989,661,388.62,55296,0.2,76.43470001220703,260,0.006624716,0.04755859375,-0.004148123034246965,0.6499557495117188,214.17362523078918,0.0003,-2.5821098782122136,0.8776549100875854
87,28,-88.14473156,652,405.83,57344,0.2,9.049147605895996,270,0.008976493,0.089599609375,-0.00619218348438153,0.8798882141709328,53.968009293079376,0.0003,-2.573189926892519,0.874542236328125
93,29,-86.58041138,634,422.79,59392,0.2,10.441681861877441,280,0.0043677054,0.028173828125,-0.0037664031951862853,0.7446956932544708,60.94197280704975,0.0003,-2.558218169212341,0.8651858568191528
