rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/clip_range
244.29,1126,20,36,40960,-115.52246711,0.29506391286849976,0.026025390625,0.0003,190,342.5564937591553,-0.004869151979073649,0.0071413927,-1.0956679057329892,141.02481079101562,0.2
258.06,1093,21,39,43008,-116.43183054,0.33539271354675293,0.033203125,0.0003,200,276.1044120550156,-0.00702535906311823,0.007358247,-1.0835317641496658,136.57931518554688,0.2
277.14,1069,22,42,45056,-111.41035755000001,0.43065768480300903,0.021923828125,0.0003,210,172.786350107193,-0.006313412384042749,0.0051369155,-1.1585850406438112,73.85123443603516,0.2
293.81,1055,23,44,47104,-110.51169248000002,0.6075393259525299,0.086767578125,0.0003,220,108.45233994722366,-0.006199014954472659,0.011379365,-1.178448497503996,51.35487365722656,0.2
313.26,1029,24,47,49152,-107.11846512000004,0.5123483836650848,0.03642578125,0.0003,230,160.60537939071656,-0.00628140012267977,0.0071730614,-1.0614888790994883,55.61450958251953,0.2
330.6,996,25,51,51200,-104.18038002000003,0.6613301038742065,0.079443359375,0.0003,240,71.02283329367637,-0.009154033319282462,0.0114863785,-1.178949897363782,14.59867000579834,0.2
345.59,981,26,54,53248,-105.71281449000001,0.43750643730163574,0.086181640625,0.0003,250,81.56617718935013,-0.006730603681353387,0.0055124215,-1.0951193276792766,26.62483024597168,0.2
365.78,953,27,58,55296,-99.05025607000002,0.2590107321739197,0.1568359375,0.0003,260,106.6929638504982,-0.013099432749731932,0.01225348,-1.125319880247116,29.928266525268555,0.2
382.99,930,28,61,57344,-95.19118509000002,0.7035482227802277,0.046728515625,0.0003,270,107.1269761621952,-0.005016210988105741,0.0071673184,-1.0707863233983517,34.464088439941406,0.2
396.87,919,29,64,59392,-91.58930989000002,0.0531764030456543,0.09765625,0.0003,280,92.55382505655288,-0.009504755079979077,0.009327786,-1.0614843651652337,18.77992057800293,0.2
412.69,918,30,66,61440,-90.46879541,0.4709622859954834,0.037255859375,0.0003,290,94.22720248103141,-0.0029340607092308347,0.0065083997,-0.9507506730034947,27.206846237182617,0.2
433.65,906,31,70,63488,-85.41228244000001,0.2564968466758728,0.179150390625,0.0003,300,136.32421254515648,-0.010619563247746554,0.01166451,-1.1131642702966928,33.44740676879883,0.2
451.52,899,32,72,65536,-81.83716886,0.43738603591918945,0.0958984375,0.0003,310,111.00195201635361,-0.0067949500757094935,0.008375226,-1.0253751421347261,20.213937759399414,0.2
469.41,879,33,76,67584,-78.60691818000001,0.5838848352432251,0.123291015625,0.0003,320,57.622664496302605,-0.009398666436754865,0.011372521,-1.080407907254994,6.493369102478027,0.2
