time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates
0,1,2048,-188.82983013043483,2273,88.47826086956522,,,,,,,,,,
2,2,4096,-187.44249606666668,1699,90.17777777777778,-1.3826804436743259,1615.8116801261901,338.2326965332031,0.018701171875,7.748603820800781e-05,-0.006485525557945948,0.007392944,0.2,0.0003,10
3,3,6144,-173.8627375,1589,92.3030303030303,-1.3668833509087563,1224.130666923523,422.477294921875,0.063916015625,-0.02541971206665039,-0.01023703832324827,0.011286621,0.2,0.0003,20
5,4,8192,-171.0297361904762,1533,96.04761904761905,-1.3537911131978035,926.2551923751831,330.8346252441406,0.044140625,-0.0018769502639770508,-0.01013447703589918,0.007749904,0.2,0.0003,30
6,5,10240,-169.59759107,1504,98.62,-1.3435076024383306,769.7049366950989,821.9525146484375,0.1091796875,-0.05517983436584473,-0.006750604798435233,0.010753818,0.2,0.0003,40
8,6,12288,-160.95473787,1483,103.65,-1.3277051791548728,670.3215266227722,228.7208709716797,0.047998046875,-0.0009742975234985352,-0.0038434069625509436,0.009176508,0.2,0.0003,50
9,7,14336,-160.57245946999998,1456,110.6,-1.2973749935626984,586.5937041282654,302.74951171875,0.04580078125,-0.0003396272659301758,-0.0038010680276784115,0.010897351,0.2,0.0003,60
11,8,16384,-155.64888115,1443,115.71,-1.302670731768012,446.65188522338866,148.57327270507812,0.0783203125,-0.0013102293014526367,-0.00619377930124756,0.0062935045,0.2,0.0003,70
12,9,18432,-154.44328370999997,1427,118.65,-1.26703220307827,575.8876693248749,251.44264221191406,0.07392578125,-0.0007872581481933594,-0.004138210262317444,0.010808614,0.2,0.0003,80
14,10,20480,-152.72459127000002,1421,121.21,-1.2730999194085597,495.9010932207108,235.05010986328125,0.12001953125,-0.003274202346801758,-0.011643480304337572,0.011550104,0.2,0.0003,90
15,11,22528,-151.30151042,1413,128.69,-1.2449120908975602,344.0714749097824,126.7778549194336,0.041064453125,-0.0001405477523803711,-0.006149268758599646,0.009273473,0.2,0.0003,100
17,12,24576,-145.04574525,1392,133.03,-1.2311693012714386,450.82955451011657,147.79383850097656,0.073486328125,-1.9431114196777344e-05,-0.008222445461433381,0.009460531,0.2,0.0003,110
19,13,26624,-145.34578909,1347,145.09,-1.1856612004339695,427.8548171520233,172.29820251464844,0.071923828125,0.000276029109954834,-0.006125949244596996,0.006472097,0.2,0.0003,120
21,14,28672,-141.20575719,1343,148.46,-1.2347776129841805,706.459625005722,139.19467163085938,0.01533203125,-0.0046803951263427734,-0.0061294645114685405,0.0037982948,0.2,0.0003,130
22,15,30720,-139.66036207,1338,152.79,-1.1871540818363429,580.4966985464096,141.70672607421875,0.0013671875,-0.3609883785247803,-0.0027844941861985715,0.0014627103,0.2,0.0003,140
24,16,32768,-138.23569148,1335,156.34,-1.1770915005356073,616.0253750324249,445.271484375,0.0001953125,0.12829476594924927,-0.0018250218679895624,0.00063837285,0.2,0.0003,150
26,17,34816,-133.80124781,1331,163.68,-1.1586065962910652,368.4779100656509,66.38261413574219,0.001513671875,0.17849892377853394,-0.0015073530019435565,0.0031651345,0.2,0.0003,160
