time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
22528,-132.82698353,21,145.75,11,1059,-0.004918785125482827,1.015085220336914,-2.8680961832404135,0.0006530284881591797,111.5804443359375,0.0044682343,100,0.038525390625,512.1534927129745,0.0003,0.2
24576,-130.18592980999998,25,158.6,12,964,-0.00660713675461011,1.0160423517227173,-2.8675412364304065,0.03423863649368286,149.50425720214844,0.0057178917,110,0.043310546875,280.65071592330935,0.0003,0.2
26624,-129.292459,29,169.6,13,899,-0.003151254006661475,1.0131587982177734,-2.865771592408419,0.07962936162948608,135.64813232421875,0.0036326256,120,0.0138671875,274.5773089647293,0.0003,0.2
28672,-123.57424953,34,187.32,14,836,-0.0040034304307482674,1.0095202922821045,-2.8601657137274743,0.2055124044418335,349.5411071777344,0.0044328864,130,0.015673828125,174.36496364474297,0.0003,0.2
30720,-122.42799895999998,36,205.01,15,833,-0.005173130915500224,1.0177537202835083,-2.8646036557853223,0.6611768305301666,18.40523338317871,0.006998418,140,0.05185546875,57.44331820309162,0.0003,0.2
32768,-116.93154378000001,40,225.41,16,805,-0.0036730443469423337,1.017005205154419,-2.8717202812433245,0.14456987380981445,295.0299987792969,0.0037583318,150,0.01259765625,376.72677888870237,0.0003,0.2
34816,-116.73519923000002,45,243.34,17,769,-0.002384023218473885,1.0231881141662598,-2.87523375749588,0.47518622875213623,36.531776428222656,0.004133225,160,0.035693359375,149.55124367475509,0.0003,0.2
36864,-112.45803735999999,49,260.88,18,743,-0.009950953494990245,1.0148401260375977,-2.876810047775507,0.6409845054149628,17.660888671875,0.0079487385,170,0.086083984375,84.65165052711964,0.0003,0.2
38912,-110.50760829999999,53,277.48,19,730,-0.007611563424143241,0.9970664381980896,-2.849714997410774,0.6886813342571259,18.23798370361328,0.00895738,180,0.064794921875,100.51616325378419,0.0003,0.2
40960,-106.50404343,56,288.69,20,722,-0.006409639489720576,0.9922682642936707,-2.8237578004598616,0.3105136752128601,94.88288116455078,0.008077856,190,0.062939453125,255.75531858205795,0.0003,0.2
43008,-107.03914923999999,60,307.18,21,707,-0.007716737463488244,0.9886475801467896,-2.8155767403542997,0.5277675986289978,41.834415435791016,0.007655995,200,0.0546875,153.9827236533165,0.0003,0.2
45056,-104.1794393,65,325.17,22,689,-0.005613350897328928,0.9874042868614197,-2.810324542224407,0.6787890791893005,15.658135414123535,0.0057875514,210,0.054248046875,104.66290053129197,0.0003,0.2
47104,-101.19238037000001,69,342.85,23,679,-0.00520699332410004,0.9731242060661316,-2.7948885299265385,0.7114580869674683,384.00543212890625,0.007156849,220,0.07490234375,63.425072422623636,0.0003,0.2
49152,-97.26539052,72,360.43,24,678,-0.006816476413223427,0.9580248594284058,-2.7634878531098366,0.8075290471315384,22.431594848632812,0.005898816,230,0.061376953125,53.973840680718425,0.0003,0.2
51200,-90.58041894999998,76,380.26,25,667,-0.009219832261442207,0.9349442720413208,-2.7195924751460554,0.8898949101567268,6.616584777832031,0.013737875,240,0.13818359375,34.09879704862833,0.0003,0.2
53248,-93.54812300999998,81,393.05,26,654,-0.006238888032385148,0.927298903465271,-2.6890649758279324,0.5707478523254395,118.26970672607422,0.0062972046,250,0.062255859375,156.87675681114197,0.0003,0.2
55296,-87.88412050999999,86,411.17,27,635,-0.00493795476941159,0.9230462312698364,-2.675855381041765,0.7667878419160843,32.788795471191406,0.0059891306,260,0.047265625,67.44631283581256,0.0003,0.2
57344,-88.72427832000001,90,428.11,28,633,-0.0026922977205686037,0.9235140681266785,-2.669625571370125,0.8211797177791595,9.891805648803711,0.0039109387,270,0.046240234375,53.3902352258563,0.0003,0.2
59392,-83.14729587000002,95,445.88,29,623,-0.007808433580066776,0.9176404476165771,-2.6636186316609383,0.7077124714851379,27.894939422607422,0.0065894932,280,0.084326171875,121.01780897974967,0.0003,0.2
61440,-79.17945454999999,100,463.75,30,613,-0.007250540114182513,0.9263355135917664,-2.6718232817947865,0.8322791457176208,9.343238830566406,0.006735745,290,0.080859375,34.934521299600604,0.0003,0.2
63488,-81.50749522,103,478.06,31,611,-0.005008177721902029,0.9122893810272217,-2.662301967293024,0.7373529970645905,4.37841796875,0.008479363,300,0.0978515625,52.490571829676625,0.0003,0.2
65536,-77.73828429999999,107,495.32,32,608,-0.00427470015201834,0.9152911901473999,-2.648980637639761,0.49462634325027466,127.68928527832031,0.008023264,310,0.063427734375,184.1164787530899,0.0003,0.2
67584,-72.91426862,111,521.52,33,606,-0.0035527729167370127,0.8999942541122437,-2.635602904856205,0.849444180727005,4.746341705322266,0.00677889,320,0.063720703125,38.01465690806508,0.0003,0.2
69632,-70.79481597,115,535.63,34,604,-0.005829016953066457,0.8769923448562622,-2.5908404402434826,0.8038631230592728,3.837345838546753,0.0069374572,330,0.0646484375,60.067013658583164,0.0003,0.2
71680,-68.64426506,120,549.52,35,595,-0.0048802252422319725,0.8717765808105469,-2.5644547820091246,0.7221064567565918,72.56021881103516,0.006654494,340,0.04697265625,86.33139049112796,0.0003,0.2
73728,-65.73964916,125,566.88,36,588,-0.004469880608303356,0.8675245642662048,-2.5583747036755087,0.7744687795639038,298.82684326171875,0.007871976,350,0.063037109375,73.15019702613354,0.0003,0.2
75776,-63.96148768999999,130,583.72,37,579,-0.0017727910540997981,0.8511180281639099,-2.532745740562677,0.8009664118289948,3.2765181064605713,0.011010705,360,0.058544921875,28.55302861779928,0.0003,0.2
77824,-61.14805655000001,135,600.59,38,573,-0.007203563546499936,0.8303329944610596,-2.4883324921131136,0.8618602305650711,201.23960876464844,0.008556463,370,0.1044921875,29.990722696483136,0.0003,0.2
79872,-59.885192849999996,140,620.38,39,569,-0.005932603550900239,0.8225218057632446,-2.4512082375586033,0.7690895050764084,8.538313865661621,0.009695352,380,0.09208984375,53.74905374646187,0.0003,0.2
81920,-57.264114070000005,144,634.99,40,567,-0.0047273783115088005,0.8146785497665405,-2.4332727886736394,0.6634613275527954,14.166123390197754,0.0052447077,390,0.04482421875,112.4162496060133,0.0003,0.2
83968,-52.78934230000001,148,656.52,41,564,-0.0031389030824357177,0.8104839324951172,-2.4187300339341165,0.8649303615093231,5.53656005859375,0.006262565,400,0.05498046875,50.3989616855979,0.0003,0.2
86016,-48.52406875,153,669.77,42,560,-0.003304274186666589,0.804147481918335,-2.4075077556073667,0.4746438264846802,395.7860107421875,0.0060185697,410,0.046728515625,169.56688544154167,0.0003,0.2
88064,-46.12631726000001,157,687.16,43,558,-0.0016225163999479264,0.8012203574180603,-2.3947323463857173,0.7336800694465637,53.15998458862305,0.006577379,420,0.07216796875,49.52922281473875,0.0003,0.2
90112,-45.66764588,162,696.6,44,554,-0.004694051363912877,0.7991054058074951,-2.3907073967158796,0.7652093023061752,3.479964017868042,0.0056636827,430,0.084130859375,40.77770660370588,0.0003,0.2
92160,-41.76517225,166,712.63,45,553,-0.003129925419125357,0.8004059791564941,-2.389903301000595,0.7395590543746948,6.437384605407715,0.005778697,440,0.059375,72.31495018526911,0.0003,0.2
94208,-41.20947808,171,716.66,46,549,-0.005382839730009437,0.7842217683792114,-2.370998164266348,0.770920917391777,2.127013921737671,0.008619897,450,0.100634765625,42.10720661915839,0.0003,0.2
96256,-35.90402961,177,733.37,47,542,-0.004392240427114303,0.777819037437439,-2.339028859883547,0.6540896892547607,73.58721160888672,0.0064630075,460,0.0873046875,81.67441235631705,0.0003,0.2
98304,-34.78863132,182,749.37,48,538,-0.002553669635744882,0.7734245657920837,-2.3301909998059274,0.7554371803998947,7.751763820648193,0.006381008,470,0.077587890625,58.9887062959373,0.0003,0.2
100352,-32.32886462,186,765.51,49,537,-0.0006624485802603885,0.7673820853233337,-2.318700785934925,0.5750343203544617,36.46258544921875,0.0043300358,480,0.056396484375,71.21848166584968,0.0003,0.2
102400,-30.748797890000002,190,768.71,50,536,-0.0035914108462748117,0.7666548490524292,-2.3072934679687025,0.5503023266792297,3.5938611030578613,0.013284866,490,0.11318359375,104.1731947734952,0.0003,0.2
104448,-28.080679539999995,195,783.83,51,533,-0.004148740026721498,0.7622034549713135,-2.298956171423197,0.7235728204250336,22.79640769958496,0.010857038,500,0.1048828125,81.1412932023406,0.0003,0.2
106496,-23.29326724,199,774.72,52,534,-0.0017068231289158575,0.7526825070381165,-2.2814333371818067,0.8203114420175552,1.718555212020874,0.012872443,510,0.085986328125,37.2632729427889,0.0003,0.2
