time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates
2048,0,1,2166,-135.2354817272727,92.4090909090909,,,,,,,,,,
4096,2,2,1620,-160.22694939534884,94.6046511627907,-1.3849262684583663,0.0037139154,1365.41796875,0.0003,0.00126953125,0.002089262008666992,0.2,1603.383932685852,-0.0026201252032478804,10
6144,4,3,1510,-166.29060364062502,94.640625,-1.383306559547782,0.0045914557,674.9874267578125,0.0003,0.01630859375,-0.0012894868850708008,0.2,1770.3899383544922,-0.005428991842200049,20
8192,6,4,1318,-166.82222239473688,95.36842105263158,-1.3783550508320332,0.00655511,329.8798828125,0.0003,0.031787109375,-0.003319382667541504,0.2,1051.8840054512025,-0.006555087985907449,30
10240,7,5,1306,-162.8070340515464,104.76288659793815,-1.3659374061971903,0.014008515,159.40127563476562,0.0003,0.112353515625,0.0513991117477417,0.2,531.7897261142731,-0.009783282499120105,40
12288,9,6,1301,-164.6045489,106.14,-1.359811244532466,0.010168811,353.44293212890625,0.0003,0.0515625,0.01094585657119751,0.2,1211.336989593506,-0.010323312180116773,50
14336,11,7,1295,-160.59866414,108.2,-1.3350453928112984,0.010494351,146.88783264160156,0.0003,0.09326171875,-0.002350330352783203,0.2,475.7690423965454,-0.007982336075656349,60
16384,13,8,1194,-158.41724379,119.8,-1.2966219399124383,0.013262404,164.61190795898438,0.0003,0.16416015625,-0.0011619329452514648,0.2,305.91878452301023,-0.012511722117778845,70
18432,15,9,1163,-153.01492541999997,131.46,-1.311286213621497,0.0044087926,478.9713134765625,0.0003,0.010400390625,0.15424305200576782,0.2,420.12025756835936,-0.003992140539776301,80
20480,17,10,1170,-148.49579247,136.25,-1.3008276898413897,0.006176899,274.11053466796875,0.0003,0.009326171875,0.1862471103668213,0.2,242.90691297054292,-0.005879820363406907,90
22528,19,11,1171,-148.40812541999998,135.63,-1.1834634996950626,0.012370445,162.595458984375,0.0003,0.029638671875,-0.023111701011657715,0.2,512.2497137069702,-0.004522766629816033,100
24576,20,12,1171,-139.06372698000004,145.29,-1.1814231399446726,0.006919789,613.55810546875,0.0003,0.0322265625,-0.2553427219390869,0.2,496.8314804077148,-0.005094679120520596,110
26624,23,13,1113,-138.40883677,160.45,-1.1397932346910238,0.0114946775,501.4035949707031,0.0003,0.056787109375,0.03337448835372925,0.2,466.8508218288422,-0.005037231431924738,120
28672,26,14,1101,-136.68561057999997,173.54,-1.2029987949877978,0.008803396,116.59258270263672,0.0003,0.056005859375,0.04031652212142944,0.2,212.3237057209015,-0.006516790893510915,130
30720,27,15,1104,-132.14216578000003,186.47,-1.0698226567357778,0.0065882085,282.8988952636719,0.0003,0.03857421875,0.04289323091506958,0.2,477.56060376167295,-0.006315531967265997,140
32768,30,16,1073,-129.62802734000002,200.2,-1.0969234809279442,0.009928737,328.1123046875,0.0003,0.1060546875,0.02375614643096924,0.2,994.8955262184143,-0.007398723650840111,150
34816,32,17,1081,-121.06063556999999,210.62,-1.1921226773411036,0.007953988,403.66314697265625,0.0003,0.0693359375,0.041839599609375,0.2,919.343114566803,-0.009651288395980373,160
36864,34,18,1072,-114.77498059999998,219.97,-1.0850524310022593,0.009327712,94.18885803222656,0.0003,0.0658203125,0.09839069843292236,0.2,331.1797637939453,-0.008484405829221942,170
38912,36,19,1060,-115.65862986999998,229.84,-1.1354044985026122,0.013695271,116.21842956542969,0.0003,0.08466796875,0.09248942136764526,0.2,244.24026746749877,-0.008739651346695609,180
40960,39,20,1049,-111.83382761000001,244.36,-1.1287696044892073,0.008364278,96.95438385009766,0.0003,0.08212890625,0.13147598505020142,0.2,345.7241743326187,-0.01130234340816969,190
43008,40,21,1055,-109.25840414,245.19,-1.1235280271619559,0.010097347,40.05121994018555,0.0003,0.06826171875,0.14390254020690918,0.2,250.48783090114594,-0.009145565889775753,200
45056,43,22,1040,-109.83914909,259.94,-1.032972378283739,0.004812183,206.472900390625,0.0003,0.021533203125,0.2804826498031616,0.2,520.5268446445465,-0.005129438880976523,210
47104,45,23,1028,-105.90317333000002,271.33,-1.061854524537921,0.013701819,36.86444854736328,0.0003,0.085498046875,0.49374228715896606,0.2,200.36562585830688,-0.009572415809816447,220
49152,48,24,1023,-104.71192880999999,288.67,-1.0211856853216887,0.007927007,31.27568817138672,0.0003,0.040185546875,0.47062790393829346,0.2,262.42601231336596,-0.004476010195503477,230
51200,50,25,1015,-101.37797372000001,302.09,-0.9963958654552698,0.008329709,137.58822631835938,0.0003,0.07138671875,0.25048428773880005,0.2,364.9571494340897,-0.008591613969474565,240
53248,53,26,1000,-100.49053110999999,315.6,-0.9831203553825617,0.013687484,134.11126708984375,0.0003,0.105224609375,0.3810963034629822,0.2,205.57316275835038,-0.008408053315361031,250
55296,56,27,986,-95.63516414999998,333.38,-0.9968737505376339,0.0059303707,48.140769958496094,0.0003,0.078466796875,0.3483504056930542,0.2,129.9723527431488,-0.005666987334552687,260
57344,58,28,981,-96.34812332,347.16,-0.939346451126039,0.00804558,13.83296012878418,0.0003,0.07490234375,0.22084689140319824,0.2,164.719348436594,-0.009297304440406152,270
59392,61,29,968,-95.4455933,362.66,-0.987230128608644,0.006644739,50.02686309814453,0.0003,0.07412109375,0.261111319065094,0.2,169.9910139322281,-0.007154321926645934,280
61440,64,30,957,-91.0728534,374.33,-0.9292311357334256,0.0063336417,47.25266647338867,0.0003,0.082177734375,0.409462034702301,0.2,195.70901602506638,-0.009125510072772158,290
63488,67,31,937,-90.53619107,389.9,-0.9799613675102592,0.00884884,44.001953125,0.0003,0.106787109375,0.45599836111068726,0.2,150.98313182592392,-0.01148005067880149,300
65536,72,32,907,-87.56452060000001,407.56,-0.9618909627199173,0.007173451,18.340662002563477,0.0003,0.067333984375,0.7089263796806335,0.2,52.90756043791771,-0.004194588982500136,310
67584,75,33,891,-85.94513108999999,425.64,-0.915512104332447,0.0070780423,12.732884407043457,0.0003,0.08564453125,0.7068955302238464,0.2,63.421624614298345,-0.006514771216461668,320
69632,79,34,874,-83.85025583000001,433.82,-0.990250520221889,0.005492769,47.737491607666016,0.0003,0.050048828125,0.46091634035110474,0.2,93.58865208029746,-0.004949789623060497,330
71680,82,35,867,-81.50139598000003,449.68,-1.0367786109447479,0.012063103,9.805720329284668,0.0003,0.13837890625,0.5005738735198975,0.2,45.90788143873215,-0.008889384041685844,340
73728,85,36,864,-79.43015364000001,465.45,-0.9550832379609346,0.0106401285,6.727099418640137,0.0003,0.095263671875,0.7546556144952774,0.2,55.172026959061625,-0.006988891640503425,350
75776,88,37,856,-75.59788638,479.22,-0.9256518289446831,0.009258714,7.5189971923828125,0.0003,0.088134765625,0.7761406004428864,0.2,62.227666237950324,-0.007417228099802742,360
77824,92,38,841,-71.8267456,491.29,-0.8133342735469341,0.017653057,10.995104789733887,0.0003,0.077978515625,0.6421388387680054,0.2,76.23452628403902,-0.008157397163449787,370
79872,95,39,834,-70.62235841,506.04,-0.9346756970509886,0.006799651,3.990192413330078,0.0003,0.055078125,0.7185329794883728,0.2,57.66180336326361,-0.0038814135114080273,380
81920,99,40,826,-65.83823089,519.5,-0.9426763152703643,0.0071106097,14.413262367248535,0.0003,0.068896484375,0.7220706045627594,0.2,70.85050348490476,-0.0005912920969421975,390
83968,102,41,816,-64.91871771,533.67,-0.9278677182272077,0.007414491,4.799559593200684,0.0003,0.070361328125,0.731962651014328,0.2,45.84586893618107,-0.004482272282621125,400
86016,107,42,802,-63.582795309999995,550.74,-0.8581576764583587,0.0049871374,3.5696563720703125,0.0003,0.068505859375,0.8598707616329193,0.2,39.61553813740611,-0.0038547752585145643,410
88064,110,43,797,-60.52560276000001,564.62,-0.8779248889535666,0.0064937314,1.9744458198547363,0.0003,0.072509765625,0.8446397930383682,0.2,27.256646464765073,-0.004491103967302479,420
90112,113,44,794,-63.204707320000004,571.24,-0.8425845051184296,0.004912815,13.218928337097168,0.0003,0.025732421875,0.570667564868927,0.2,134.81621701419354,-0.004248588752852811,430
92160,116,45,791,-55.966961809999994,593.85,-0.8136077631264925,0.0044247014,12.287703514099121,0.0003,0.035595703125,0.8290570080280304,0.2,41.40355584770441,-0.003156640291126678,440
94208,119,46,786,-56.69647839,609.1,-0.8385345110669732,0.017073145,8.383211135864258,0.0003,0.053076171875,0.8009616732597351,0.2,48.23606620132923,-0.004928877928614383,450
96256,122,47,785,-54.92268204,619.4,-0.7668863279744983,0.04085613,6.002988338470459,0.0003,0.066455078125,0.7651631832122803,0.2,82.4644912339747,-0.007607890167855657,460
98304,125,48,782,-48.61437086,636.96,-0.7997729264199733,0.010850586,188.388916015625,0.0003,0.02724609375,0.46311289072036743,0.2,192.2910424411297,-0.0059112850598467045,470
100352,128,49,781,-48.22780572999999,650.02,-0.7294573618099094,0.0058220685,3.983558177947998,0.0003,0.05439453125,0.6879507005214691,0.2,121.37814177572727,-0.0029523358682126853,480
102400,131,50,780,-45.54801684,661.62,-0.8314231032505631,0.00726653,10.672798156738281,0.0003,0.04072265625,0.7123070657253265,0.2,95.36802489757538,-0.00278210287578986,490
104448,134,51,779,-39.898710609999995,669.72,-0.7795828906819224,0.009006407,6.291933536529541,0.0003,0.072607421875,0.7036746740341187,0.2,137.43717122823,-0.0034694726808083944,500
106496,136,52,777,-34.100222689999995,679.04,-0.6992826832458376,0.0074073505,62.0499382019043,0.0003,0.040673828125,0.5636033713817596,0.2,176.02238662838937,-0.0036673956412414553,510
108544,140,53,773,-25.41007272,692.92,-0.9895619450137019,0.0056625875,76.87032318115234,0.0003,0.03779296875,0.49270927906036377,0.2,145.72721222788095,-0.005557186973965145,520
110592,143,54,771,-20.509878760000003,697.59,-0.7934352587908506,0.0068011596,90.94902038574219,0.0003,0.065283203125,0.389692485332489,0.2,184.1033414274454,-0.0030665905265777837,530
112640,145,55,772,-18.67633131,706.35,-0.7919474028050899,0.007294339,6.268031120300293,0.0003,0.040478515625,0.39691275358200073,0.2,160.8998522937298,-0.0008833151492581237,540
114688,148,56,772,-14.118664920000004,717.68,-0.8249545887112617,0.005516363,33.16326904296875,0.0003,0.041748046875,0.39623624086380005,0.2,197.49516959488392,-0.005519124884813209,550
116736,150,57,773,-10.827270420000001,733.21,-0.7770971694961191,0.0034914897,46.132076263427734,0.0003,0.042333984375,0.6439031958580017,0.2,135.10581663250923,-0.0014579576654796256,560
118784,154,58,770,-5.749575420000001,734.87,-0.8282932283356785,0.005266791,16.06450843811035,0.0003,0.058251953125,0.443827748298645,0.2,163.25773879289628,-0.003849497488045017,570
120832,157,59,767,-4.455686110000003,730.79,-0.7712323557585478,0.0033866926,12.15678882598877,0.0003,0.031787109375,0.5593897104263306,0.2,102.60697104334831,-0.0006778403498174157,580
122880,160,60,767,4.616365279999999,742.77,-0.7175185039639473,0.0041059228,72.09186553955078,0.0003,0.040283203125,0.4813362956047058,0.2,139.25306238532067,-0.002894234269115259,590
124928,162,61,768,7.0059473799999985,751.99,-0.6991374706849456,0.008030929,46.265750885009766,0.0003,0.062158203125,0.5827140808105469,0.2,84.78561084270477,-0.005325998982152668,600
126976,164,62,770,7.182029739999997,747.26,-0.6679642042145133,0.0059662648,20.645294189453125,0.0003,0.063134765625,0.4364364743232727,0.2,150.32743059545754,-0.0011123447697173106,610
129024,167,63,771,10.844727279999999,749.53,-0.7673080068081617,0.005522343,92.03729248046875,0.0003,0.059619140625,0.4446331262588501,0.2,212.4235001385212,-0.006934259362606099,620
131072,169,64,771,14.60288141,750.61,-0.7997902955859899,0.002868464,191.62179565429688,0.0003,0.017626953125,0.6333441734313965,0.2,186.0028780579567,-0.0020139227373874745,630
133120,172,65,770,19.544697199999998,748.86,-0.8532387303188443,0.003602629,56.572853088378906,0.0003,0.0400390625,0.3640819787979126,0.2,256.5875437319279,-0.0023970507507328877,640
135168,175,66,771,22.48556437,751.65,-0.8416156847029924,0.0043043424,39.84259033203125,0.0003,0.028125,0.5001148283481598,0.2,133.4620351433754,-0.0021394927622168324,650
137216,177,67,771,25.339398380000002,750.11,-0.7920748667791486,0.0058354475,33.972251892089844,0.0003,0.03681640625,0.5973022282123566,0.2,147.771412140131,-0.0032056295887741724,660
139264,180,68,771,28.68190161,732.91,-0.8274370826780796,0.0077190613,32.115013122558594,0.0003,0.11923828125,0.5171719789505005,0.2,99.98353688567877,-0.0021025672685937025,670
