rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates
-180.99251348,2325,80.28,2048,0,1,,,,,,,,,,
-174.55250886363635,1709,92.54545454545455,4096,2,2,389.8254089355469,-0.008068776753498241,0.2,-0.008832454681396484,-1.380507917702198,0.010010707,0.0003,1133.6609274864197,0.029931640625,10
-169.46351482539683,1602,95.47619047619048,6144,3,3,410.7677307128906,-0.007774667086778209,0.2,0.005058348178863525,-1.3655656423419713,0.008917561,0.0003,842.7109937667847,0.040625,20
-164.21816072839508,1558,100.01234567901234,8192,5,4,342.2765197753906,-0.005101682725216961,0.2,-0.011878609657287598,-1.3591308426111937,0.009631406,0.0003,1378.6537198066712,0.042236328125,30
-162.14076386,1515,101.43,10240,6,5,137.45211791992188,-0.013090300962358015,0.2,-0.002779722213745117,-1.3453656703233718,0.012016756,0.0003,750.0820453166962,0.094580078125,40
-151.36748511,1497,106.99,12288,8,6,334.9007263183594,-0.010333282109058928,0.2,-0.0014548301696777344,-1.2920520350337028,0.009943521,0.0003,593.4540697574615,0.1427734375,50
-148.32867125,1479,113.59,14336,9,7,472.18084716796875,-0.005503297897666926,0.2,-0.015576720237731934,-1.2551207173615695,0.015426157,0.0003,891.2315650463104,0.114990234375,60
-149.00942911,1458,117.42,16384,11,8,258.3238220214844,-0.01028743746719556,0.2,-0.0005341768264770508,-1.2245986811816691,0.009497428,0.0003,603.2376774787903,0.17666015625,70
-139.44163850000004,1442,124.42,18432,12,9,450.0373229980469,-0.006751000590156764,0.2,-0.00019562244415283203,-1.2293140135705471,0.01301183,0.0003,605.6073628425598,0.056201171875,80
-140.27063951,1425,129.51,20480,14,10,387.5380859375,-0.003640338807599619,0.2,-0.0024139881134033203,-1.1525068286806346,0.0049290713,0.0003,816.3211894035339,0.054638671875,90
-141.85312332,1400,138.4,22528,16,11,352.9610595703125,-0.0064509235737205016,0.2,-4.5299530029296875e-06,-1.1527828834950924,0.0071816193,0.0003,842.3352853298187,0.081494140625,100
-135.81159516000002,1388,146.52,24576,17,12,191.2809295654297,-0.007467898468894419,0.2,-0.00018024444580078125,-1.1692505050450563,0.0076819663,0.0003,597.6939297199249,0.068115234375,110
-133.10116911,1372,155.86,26624,19,13,291.842529296875,-0.006186770414933563,0.2,1.5437602996826172e-05,-1.149908782914281,0.012434788,0.0003,666.19951171875,0.101513671875,120
-136.89088800000002,1366,163.2,28672,20,14,364.7117004394531,-0.005436059959902195,0.2,-1.3470649719238281e-05,-1.1726754058152438,0.006230361,0.0003,438.2562690258026,0.0373046875,130
-132.30584948999999,1298,173.66,30720,23,15,214.58570861816406,-0.01195015161356423,0.2,-2.8133392333984375e-05,-1.0912971422076225,0.010947661,0.0003,394.50370049476624,0.149755859375,140
-128.90430256,1261,188.72,32768,25,16,91.01900482177734,-0.0010090163934364682,0.2,0.000684201717376709,-1.230858003348112,0.0010642753,0.0003,320.92975225448606,0.0,150
-127.85669989,1194,199.96,34816,29,17,67.85861206054688,-0.010417067326488904,0.2,0.0072893500328063965,-1.1685059938579798,0.00775014,0.0003,274.5301122188568,0.080126953125,160
-127.91819513999997,1179,207.13,36864,31,18,23.12127113342285,-0.007850246835732832,0.2,0.12588578462600708,-1.192231346294284,0.010805969,0.0003,144.6252686560154,0.066552734375,170
-120.89063880999998,1169,224.58,38912,33,19,110.49215698242188,-0.004475453283521347,0.2,0.2630597949028015,-1.1302657753229142,0.005757734,0.0003,265.4757141828537,0.0244140625,180
-120.39953466000001,1154,235.7,40960,35,20,122.52010345458984,-0.0033851451153168455,0.2,-0.08325076103210449,-1.0925930447876453,0.008370374,0.0003,282.4042499780655,0.02041015625,190
-122.37087417,1148,244.18,43008,37,21,102.76776885986328,-0.008848845971078845,0.2,0.07422518730163574,-1.0710049372166395,0.010369038,0.0003,425.5677734375,0.095263671875,200
-115.6820182,1095,254.0,45056,41,22,113.36236572265625,-0.0033805418948759324,0.2,0.09512835741043091,-1.0339099099859594,0.0043223826,0.0003,415.3268813610077,0.02099609375,210
-117.42804679,1090,271.46,47104,43,23,35.71617126464844,-0.00647341748845065,0.2,0.5961170494556427,-1.2328548964112997,0.0048999786,0.0003,110.35462151765823,0.0330078125,220
