rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl
-161.14517525,2287,0,2048,83.91666666666667,1,,,,,,,,,,
-159.3019361956522,1698,2,4096,88.56521739130434,2,-1.3842849776148796,-0.0013957023620605469,10,490.62615966796875,1557.067476081848,0.015771484375,0.2,0.0003,-0.0056175315505242905,0.0051813694
-167.13878766666667,1556,3,6144,88.34782608695652,3,-1.377310087159276,-0.01473534107208252,20,726.1390380859375,1560.7433586120605,0.016162109375,0.2,0.0003,-0.003607877758622635,0.005934888
-170.12688606666666,1495,5,8192,90.22222222222223,4,-1.3640453778207302,-0.001634359359741211,30,148.43775939941406,682.1967665195465,0.049853515625,0.2,0.0003,-0.007367765074013733,0.008691899
-169.86055181999993,1461,7,10240,92.61,5,-1.3590421337634324,-0.019026517868041992,40,166.62721252441406,879.6465538978576,0.04111328125,0.2,0.0003,-0.008429695904487744,0.00635517
-174.24500795,1442,8,12288,93.18,6,-1.3414468370378017,-0.0020294189453125,50,340.1178894042969,590.9817901611328,0.109619140625,0.2,0.0003,-0.009588012257881928,0.009175489
-173.26484882,1433,10,14336,95.92,7,-1.3386902011930943,-0.00044143199920654297,60,133.99879455566406,430.9199709892273,0.02001953125,0.2,0.0003,-0.0016704034416761715,0.005212592
-168.02634241000004,1419,11,16384,99.55,8,-1.29135530218482,-0.010224580764770508,70,298.7405700683594,484.7548924922943,0.154150390625,0.2,0.0003,-0.007846998136665206,0.012575971
-164.61198936,1411,13,18432,105.25,9,-1.286023334786296,0.004609167575836182,80,424.1930236816406,557.9310586929321,0.077734375,0.2,0.0003,-0.00995938058476895,0.0118227415
-157.72317654,1403,14,20480,112.36,10,-1.2497794896364212,-0.011058568954467773,90,189.3828887939453,480.44603261947634,0.163525390625,0.2,0.0003,-0.00843782531155739,0.014253348
-152.12296263999997,1395,16,22528,119.11,11,-1.2028617743402719,-0.044804930686950684,100,326.32269287109375,906.2530340194702,0.069091796875,0.2,0.0003,-0.003061920883192215,0.012072506
-146.5768442,1384,17,24576,128.33,12,-1.1382400818169116,-0.002021312713623047,110,238.54473876953125,408.73140411376954,0.102392578125,0.2,0.0003,-0.007157435153203551,0.014642559
-140.06836265,1373,19,26624,136.47,13,-1.0946783794090151,-0.0002422332763671875,120,117.23818969726562,325.4809507846832,0.080810546875,0.2,0.0003,-0.007732363967079436,0.013343465
-137.21188501,1321,21,28672,144.79,14,-1.1039642080664636,-2.372264862060547e-05,130,169.5821990966797,370.62557497024534,0.148095703125,0.2,0.0003,-0.010316389962099493,0.012471139
-134.35197068,1306,23,30720,163.67,15,-1.1931555848568678,0.0013309717178344727,140,81.97727966308594,310.4623420715332,0.00595703125,0.2,0.0003,-0.0018999787127540913,0.004941772
-128.44855485,1303,25,32768,172.04,16,-1.1632661264389754,-0.0017055273056030273,150,1624.9801025390625,774.6767952442169,0.020654296875,0.2,0.0003,-0.002433564916282194,0.0038156728
-126.47679921000001,1282,27,34816,183.45,17,-1.0954173311591149,-1.4662742614746094e-05,160,301.2450256347656,644.2832370281219,0.03525390625,0.2,0.0003,-0.005445057494216599,0.007441908
-123.06896796000001,1233,29,36864,197.22,18,-1.1525694031268359,0.0009945034980773926,170,110.21407318115234,263.66370689868927,0.08203125,0.2,0.0003,-0.004890161965158768,0.009211609
-119.69485166,1200,32,38912,212.0,19,-1.1323886059224606,-0.11682260036468506,180,427.5804443359375,414.85346229076384,0.025830078125,0.2,0.0003,-0.003490833210889832,0.0075024795
-115.81976335000002,1149,35,40960,223.97,20,-1.1686069581657648,0.004912734031677246,190,209.41123962402344,638.508293056488,0.033740234375,0.2,0.0003,-0.006929639570807921,0.00771756
-112.43541115999999,1134,37,43008,239.88,21,-1.2008432939648628,0.06525284051895142,200,72.88324737548828,206.5263810992241,0.04287109375,0.2,0.0003,-0.005786530824843794,0.009752735
-114.14778958,1121,40,45056,244.71,22,-1.1133718758821487,0.1447938084602356,210,109.99681854248047,247.7534341454506,0.01142578125,0.2,0.0003,-0.0036531808676954825,0.0051094173
-107.46979879,1102,42,47104,266.49,23,-1.1215946067124605,0.21094602346420288,220,136.53445434570312,268.0250970363617,0.0033203125,0.2,0.0003,-0.0025264923635404555,0.002830022
-108.31105662,1102,44,49152,277.03,24,-1.167620525881648,0.2046186923980713,230,95.17571258544922,162.55367074012756,0.02900390625,0.2,0.0003,-0.005352293881878722,0.0066115553
-106.86857680000001,1076,47,51200,286.07,25,-0.9923775827512145,0.0874665379524231,240,200.12205505371094,531.3422913312912,0.009619140625,0.2,0.0003,-0.004863741941517219,0.005029059
-102.41345719000003,1036,51,53248,303.09,26,-1.1778948135674,0.4180161952972412,250,45.98765563964844,142.25568803548813,0.032861328125,0.2,0.0003,-0.008184968485875289,0.00766373
-100.94050530000003,1019,54,55296,325.67,27,-1.248592183366418,0.6745656430721283,260,16.585100173950195,58.438748276233675,0.070654296875,0.2,0.0003,-0.008491468599822838,0.009402184
-97.036224,1001,57,57344,342.53,28,-1.1124412901699543,0.39595305919647217,270,65.27821350097656,152.3886460661888,0.04931640625,0.2,0.0003,-0.005681050355633488,0.0062047746
-96.36754904000001,991,59,59392,356.38,29,-1.1883487164974214,0.611022025346756,280,9.929304122924805,112.67835907936096,0.076513671875,0.2,0.0003,-0.004589978307922138,0.008445138
