time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
1246,29,-129.88397902000003,36864,18,203.58,-1.1375245209783316,0.0003,0.01083984375,0.24247443675994873,0.2,348.2752517700195,0.0078088455,-0.006096051117492607,130.93423461914062,170
1231,31,-126.48344632,38912,19,206.92,-1.223903901875019,0.0003,0.0119140625,0.53666952252388,0.2,203.18349236249924,0.0064312406,-0.004280886492779246,38.171451568603516,180
1228,33,-123.09895085,40960,20,222.5,-1.182760263979435,0.0003,0.05419921875,0.5131511092185974,0.2,237.5228040456772,0.0077243363,-0.0071648752680630425,124.63092803955078,190
1227,35,-121.37036502999999,43008,21,227.78,-1.1336715690791608,0.0003,0.057177734375,0.1433141827583313,0.2,533.1779282093048,0.006997319,-0.005589268611947773,149.98263549804688,200
1219,36,-120.96515527,45056,22,237.81,-1.0762694977223872,0.0003,0.039501953125,0.4215121269226074,0.2,272.7621873021126,0.009597085,-0.006373636068747146,33.870548248291016,210
1177,40,-119.3781964,47104,23,251.76,-1.0580092923715712,0.0003,0.048046875,0.559249222278595,0.2,200.78890099525452,0.00628932,-0.008429375966079533,61.00101089477539,220
1144,42,-118.02217026,49152,24,265.18,-1.1078468170017004,0.0003,0.09990234375,0.7571434378623962,0.2,153.18174897432328,0.008737089,-0.012004619345680112,43.3073844909668,230
1111,46,-112.20221145,51200,25,283.26,-1.1639664646238088,0.0003,0.01953125,0.7762387990951538,0.2,100.22485799789429,0.0036044642,-0.0022955031890887767,83.44680786132812,240
1097,48,-111.17472178000001,53248,26,298.37,-1.0660582464188337,0.0003,0.12734375,0.8486445546150208,0.2,71.52701398730278,0.012630343,-0.012931748832488665,16.737199783325195,250
1086,50,-112.81413455000002,55296,27,302.17,-1.145359742641449,0.0003,0.1103515625,0.6802655458450317,0.2,179.07602242231368,0.011294281,-0.008948724265792407,27.20880889892578,260
1055,54,-106.60854266,57344,28,318.53,-1.0922002710402012,0.0003,0.06552734375,0.6478895246982574,0.2,164.47307733297347,0.008872438,-0.006657224123773631,142.42990112304688,270
1028,57,-106.32418924000001,59392,29,333.23,-1.1074039716273547,0.0003,0.0703125,0.345345139503479,0.2,155.410181081295,0.01059342,-0.0041545009400579145,99.7280044555664,280
1010,60,-103.28076435999999,61440,30,344.19,-1.0672072852030396,0.0003,0.137255859375,0.6388498544692993,0.2,66.38936443328858,0.010560431,-0.014244730345671997,16.211069107055664,290
997,63,-102.18498579000001,63488,31,363.01,-1.0211254239082337,0.0003,0.057421875,0.5678592026233673,0.2,143.30319102406503,0.008300046,-0.004864512006315635,22.044370651245117,300
965,67,-99.62058548,65536,32,377.53,-1.1096705984324218,0.0003,0.058642578125,0.5998699963092804,0.2,114.59416251778603,0.00568841,-0.0037552551861153916,15.253162384033203,310
953,70,-97.36137124000001,67584,33,393.66,-1.0548232389613985,0.0003,0.07021484375,0.7167783081531525,0.2,80.67318266928196,0.0072939117,-0.0056587239596410654,30.149023056030273,320
927,75,-94.96005476,69632,34,397.65,-0.8619208479300141,0.0003,0.096240234375,0.8157979547977448,0.2,64.22157348394394,0.012526718,-0.004996272010612301,15.220844268798828,330
925,77,-90.13690654000001,71680,35,415.47,-1.061844415962696,0.0003,0.088134765625,0.555272787809372,0.2,86.2837648242712,0.0071423883,-0.002612705485080369,79.96427917480469,340
906,81,-86.70601653000001,73728,36,431.27,-0.9693304903805255,0.0003,0.07724609375,0.5851982831954956,0.2,129.2289995610714,0.008566015,-0.0052611871637054716,29.24068260192871,350
901,84,-82.40715575999998,75776,37,449.54,-0.9961771383881569,0.0003,0.0630859375,0.8316171765327454,0.2,37.03307030797005,0.00657429,-0.0035442248750769067,8.156168937683105,360
893,87,-79.88303425,77824,38,461.55,-0.9426703471690416,0.0003,0.0314453125,0.4308512210845947,0.2,212.06677505373955,0.0056237406,-0.0036942562059266494,218.74566650390625,370
886,90,-77.99435548000001,79872,39,476.76,-1.0005205238237977,0.0003,0.020263671875,0.5410996973514557,0.2,143.59824897050856,0.00377279,-0.0017594192839169409,35.786033630371094,380
