time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/std
805,-112.93052748000002,236.68,34816,17,43,0.029845058917999268,129.38078167438508,0.0068276976,0.0003,0.049853515625,-2.856893212348223,-0.00698554574046284,0.2,38.80534362792969,160,1.0075794458389282
774,-110.8742104,256.06,36864,18,47,0.24637526273727417,116.08727266192436,0.0070237783,0.0003,0.073046875,-2.8562411047518252,-0.006311130696849432,0.2,17.518770217895508,170,1.01155424118042
758,-106.18983805999999,266.54,38912,19,51,0.40888720750808716,91.65522123575211,0.0030572116,0.0003,0.018017578125,-2.8518063329160213,-0.00207353416190017,0.2,118.95289611816406,180,1.0020532608032227
743,-106.51579654999999,281.59,40960,20,55,0.4818558096885681,85.52601523399353,0.0047002314,0.0003,0.03154296875,-2.836505877226591,-0.0037547257692494896,0.2,22.41570281982422,190,0.996212899684906
735,-102.32381724999999,302.25,43008,21,58,0.49529898166656494,122.3188459932804,0.0050151753,0.0003,0.053564453125,-2.8297031305730345,-0.004302914350409992,0.2,482.73443603515625,200,0.9985165596008301
700,-99.83586251000003,319.08,45056,22,64,0.5184133946895599,137.257666605711,0.0069136554,0.0003,0.05771484375,-2.830095938593149,-0.007518645566597116,0.2,28.83084487915039,210,0.9961205124855042
681,-97.15295975,335.51,47104,23,69,0.7623713314533234,53.77287466526032,0.008986934,0.0003,0.089599609375,-2.821201552450657,-0.007487129094442935,0.2,15.565773963928223,220,0.9925429821014404
663,-95.11415799000001,354.67,49152,24,74,0.5727218389511108,97.58117249011994,0.005147987,0.0003,0.05498046875,-2.8056485570967196,-0.0032011573057388887,0.2,21.19915199279785,230,0.9817793369293213
647,-94.88360887,371.47,51200,25,79,0.3699953556060791,145.29840185642243,0.008049494,0.0003,0.0751953125,-2.7918575160205363,-0.00607894317508908,0.2,56.743534088134766,240,0.9767146110534668
648,-95.77505242999997,385.01,53248,26,82,0.32527756690979004,117.37323771715164,0.0048981896,0.0003,0.06572265625,-2.764972046017647,-0.00431311326829018,0.2,131.17283630371094,250,0.9581495523452759
649,-94.20947768999999,390.27,55296,27,85,0.009786546230316162,253.56682063937188,0.007402299,0.0003,0.06083984375,-2.7449445210397245,-0.0012322991977271158,0.2,63.18555450439453,260,0.9548745155334473
640,-92.9104663,407.34,57344,28,89,0.21718966960906982,283.98374577760694,0.005730808,0.0003,0.062353515625,-2.7396569952368734,-0.0038049794879043476,0.2,37.20847702026367,270,0.9517099857330322
632,-90.47216957,422.34,59392,29,93,0.3499443531036377,92.65100612938404,0.010316118,0.0003,0.0806640625,-2.725839449465275,-0.00566641213154071,0.2,41.38413619995117,280,0.941313624382019
625,-87.99583383999999,438.41,61440,30,98,0.44211024045944214,137.7056418120861,0.016810164,0.0003,0.101220703125,-2.716728311032057,-0.004868920423905365,0.2,73.0627670288086,290,0.9459044933319092
618,-85.79029706,455.34,63488,31,102,0.671869307756424,53.244884493947026,0.010123589,0.0003,0.110107421875,-2.7226985611021517,-0.008710700699157314,0.2,10.028379440307617,300,0.9454677104949951
606,-83.68762419000001,472.08,65536,32,108,0.7500752508640289,66.62985474467277,0.004242576,0.0003,0.046484375,-2.7222513265907766,-0.002265365031780675,0.2,15.565508842468262,310,0.9472790956497192
603,-81.23905644,489.47,67584,33,111,0.8474426120519638,28.024105606973173,0.007820961,0.0003,0.119091796875,-2.7104919597506525,-0.009553327191679273,0.2,7.50506591796875,320,0.9352483153343201
594,-80.88121398999999,501.84,69632,34,117,0.04405856132507324,74.73938861191273,0.0077280896,0.0003,0.08017578125,-2.6874783359467984,-0.0027036653293180278,0.2,14.009370803833008,330,0.9237486124038696
589,-78.63863091999998,524.99,71680,35,121,0.285068154335022,93.77294443845749,0.005352468,0.0003,0.04267578125,-2.6679942406713963,-0.0025185952719766645,0.2,11.38617992401123,340,0.9175446033477783
581,-74.40460676,542.58,73728,36,126,0.3132535219192505,70.72919180095195,0.0063482537,0.0003,0.08935546875,-2.6468684382736685,-0.004098386181431124,0.2,9.54897403717041,350,0.9064841866493225
576,-76.97764205,553.96,75776,37,131,0.6886709630489349,38.7140104085207,0.008281995,0.0003,0.067919921875,-2.6220451042056085,-0.004075402677699458,0.2,7.328433990478516,360,0.891760528087616
571,-73.0959444,568.12,77824,38,136,0.15201705694198608,131.07852337956427,0.0052784015,0.0003,0.04091796875,-2.614246927201748,-0.0019004953988769556,0.2,21.853574752807617,370,0.9004307985305786
562,-71.50428849999999,584.35,79872,39,141,0.4188506007194519,65.32037436962128,0.006301653,0.0003,0.062109375,-2.626566578447819,-0.007050939431064762,0.2,10.959005355834961,380,0.8995027542114258
558,-69.01392206999999,599.04,81920,40,146,0.36995255947113037,113.7207902610302,0.0071928627,0.0003,0.073486328125,-2.6152474522590636,-0.005897857918898808,0.2,16.35968589782715,390,0.8917008638381958
555,-68.06850888999999,614.59,83968,41,151,0.20505386590957642,83.52401259839534,0.004270947,0.0003,0.044482421875,-2.5942948944866657,-0.006169118495381554,0.2,7.785258769989014,400,0.8839457035064697
546,-64.57447225000001,631.55,86016,42,157,0.4431040287017822,49.91947222352028,0.013379792,0.0003,0.101416015625,-2.5645098224282266,-0.005861021942109801,0.2,3.3871312141418457,410,0.8650134801864624
543,-62.45407422000001,645.99,88064,43,161,0.5528346002101898,32.309971728920935,0.008193096,0.0003,0.07421875,-2.529707410931587,-0.0027368674302124417,0.2,2.9100263118743896,420,0.8530621528625488
539,-60.82274044000002,661.21,90112,44,166,0.4364771842956543,72.58801937699317,0.0052578477,0.0003,0.044189453125,-2.52573376968503,-0.0007960689756146167,0.2,7.7729949951171875,430,0.8578433990478516
534,-57.03736436000001,678.1,92160,45,172,0.5361123979091644,78.55920300483703,0.010198853,0.0003,0.096923828125,-2.5077812641859056,-0.0069500575664278585,0.2,2.4916529655456543,440,0.8387923240661621
530,-54.90907857,695.13,94208,46,177,0.7550511807203293,36.40460016541183,0.007713413,0.0003,0.066796875,-2.4825412318110467,-0.0033695548539981247,0.2,3.667680263519287,450,0.8374354243278503
533,-50.125441050000006,714.35,96256,47,180,0.7679975628852844,41.12659263312817,0.008206994,0.0003,0.099365234375,-2.48514626249671,-0.004894815515581285,0.2,1.525394082069397,460,0.8403409719467163
530,-46.434040380000006,728.65,98304,48,185,0.29808878898620605,137.43580247461796,0.005551828,0.0003,0.0609375,-2.4836445957422257,-0.0035136025151587093,0.2,12.253087997436523,470,0.8349138498306274
529,-40.45706944,747.57,100352,49,189,0.5908904671669006,73.68314691781998,0.014481023,0.0003,0.076171875,-2.4611739993095396,-0.00416592211513489,0.2,33.65025329589844,480,0.8230761289596558
525,-39.1360163,763.39,102400,50,194,0.4994087815284729,84.74560135304928,0.0060571823,0.0003,0.06845703125,-2.4462711811065674,-0.0009469765151152387,0.2,20.063457489013672,490,0.8237772583961487
522,-38.11924013,779.49,104448,51,200,0.7868552505970001,34.72040490657091,0.005608501,0.0003,0.07529296875,-2.4472257986664774,-0.0013334720642887987,0.2,0.9904025793075562,500,0.8237777352333069
522,-34.2142396,795.58,106496,52,203,0.7740722149610519,46.74041375163942,0.008503729,0.0003,0.061474609375,-2.4108851492404937,-0.0015733879088656976,0.2,3.056596517562866,510,0.7994555234909058
522,-31.96589343,810.23,108544,53,207,0.742352157831192,45.36489292830229,0.0068969293,0.0003,0.105224609375,-2.378297456353903,-0.007613677812332753,0.2,2.2605578899383545,520,0.7917799949645996
519,-33.31074741,817.2,110592,54,212,0.840787336230278,29.499101530387996,0.0050666677,0.0003,0.05234375,-2.35065535902977,0.0002754592293058522,0.2,1.6515295505523682,530,0.7806344032287598
520,-29.852318400000005,831.08,112640,55,216,0.8277716785669327,30.923639657720923,0.005550539,0.0003,0.075146484375,-2.3385344997048376,-0.0034682926714594943,0.2,1.1332297325134277,540,0.7785865068435669
518,-27.70751569,835.72,114688,56,221,0.8414489179849625,40.872099798638374,0.005302053,0.0003,0.0796875,-2.322800502181053,-0.002440156927332282,0.2,0.8669580221176147,550,0.7691174149513245
517,-28.600795630000004,835.72,116736,57,225,0.7280873358249664,61.999643044173716,0.00609714,0.0003,0.042626953125,-2.306753341853619,-0.004656740131758852,0.2,5.191269397735596,560,0.7651791572570801
513,-28.13278628,835.72,118784,58,231,0.7716113775968552,35.03914053738117,0.0068200086,0.0003,0.074951171875,-2.289235248416662,-0.003879605545080267,0.2,5.889151573181152,570,0.7569544911384583
