rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates
88.78260869565217,1,2275,0,-170.28538000000003,2048,,,,,,,,,,
90.47727272727273,2,1694,2,-161.39605774999998,4096,0.2,-0.0059653520584106445,461.16241455078125,0.005952347,-0.006453107824199833,-1.3827886633574962,1437.3153593063355,0.0154296875,0.0003,10
92.33333333333333,3,1595,3,-158.05828260606057,6144,0.2,-0.004599809646606445,399.23126220703125,0.008617101,-0.005625815302482806,-1.3664107602089643,1096.137245464325,0.020947265625,0.0003,20
95.97647058823529,4,1520,5,-158.29692483529413,8192,0.2,-0.006243586540222168,391.1317443847656,0.012612219,-0.00878701978654135,-1.340038038790226,683.1835021018982,0.078173828125,0.0003,30
99.79,5,1484,6,-154.66693122,10240,0.2,-0.004276633262634277,385.1515197753906,0.009528873,-0.00879327998845838,-1.322985712811351,862.2316470146179,0.063525390625,0.0003,40
103.62,6,1469,8,-151.19961255,12288,0.2,-0.00311279296875,249.8888397216797,0.01075309,-0.006171387308859267,-1.2936184905469417,642.4283187389374,0.114013671875,0.0003,50
107.93,7,1458,9,-146.48011082000002,14336,0.2,-0.006805419921875,210.49050903320312,0.016887903,-0.009398406922264258,-1.268820121511817,631.3242929935456,0.135986328125,0.0003,60
110.59,8,1444,11,-146.05287752,16384,0.2,3.3915042877197266e-05,189.5618438720703,0.007764364,-0.006153980853559915,-1.2638921689242124,422.8433822154999,0.05869140625,0.0003,70
115.45,9,1435,12,-143.88720448000004,18432,0.2,-2.7894973754882812e-05,191.6383514404297,0.012761761,-0.010584033188933972,-1.2104646276682616,451.880709195137,0.086376953125,0.0003,80
119.85,10,1367,14,-139.92649546,20480,0.2,-0.00015032291412353516,218.8625030517578,0.010490838,-0.007546098534658085,-1.1650872439146043,486.1855737686157,0.068798828125,0.0003,90
140.67,11,1286,17,-137.36412736,22528,0.2,0.0007801055908203125,226.46087646484375,0.009091068,-0.006025706593936775,-1.2019819401204586,258.0661593914032,0.0681640625,0.0003,100
149.44,12,1285,19,-134.18514727000002,24576,0.2,0.0027996301651000977,494.98907470703125,0.0062279953,-0.004890047883964144,-1.1958366893231869,368.10953094959257,0.0130859375,0.0003,110
162.76,13,1234,21,-131.36596986,26624,0.2,-0.010978341102600098,119.94558715820312,0.0045449436,-0.0033742184707080012,-1.0646899357438087,359.00203399658204,0.01396484375,0.0003,120
176.63,14,1190,24,-127.94987102,28672,0.2,0.24872714281082153,85.63739776611328,0.0071783564,-0.007086971787066432,-1.147525417432189,232.0940002799034,0.03076171875,0.0003,130
189.31,15,1183,25,-127.08802668999999,30720,0.2,0.22585880756378174,202.76773071289062,0.0034671735,-0.002565783508180175,-1.1193739715963602,275.34627430438996,0.003662109375,0.0003,140
198.09,16,1171,27,-123.25536020999999,32768,0.2,0.24354922771453857,131.2064666748047,0.0053994264,-0.004207574574684259,-1.0640856854617595,352.8645491361618,0.01767578125,0.0003,150
210.54,17,1151,30,-124.55766636,34816,0.2,0.2319498062133789,137.36883544921875,0.00503446,-0.005528336537827272,-1.086180492118001,277.58741089105604,0.032958984375,0.0003,160
229.73,18,1149,32,-124.37118750999998,36864,0.2,0.1874282956123352,122.97613525390625,0.0061550755,-0.004580496299604419,-1.1069170139729976,282.25080461502074,0.012939453125,0.0003,170
241.84,19,1115,34,-120.31713046,38912,0.2,0.27676528692245483,116.04017639160156,0.004501475,-0.005976211898814654,-1.0159855073317885,363.93877201080323,0.01748046875,0.0003,180
261.02,20,1090,37,-117.12011294,40960,0.2,0.585613876581192,35.538570404052734,0.0066064126,-0.007295063800847856,-1.119784190878272,116.41696139574051,0.033349609375,0.0003,190
274.69,21,1059,40,-115.3099585,43008,0.2,0.6180121898651123,19.392730712890625,0.007465828,-0.008000133861787617,-1.094403264671564,112.33597294688225,0.06494140625,0.0003,200
292.28,22,1020,44,-112.01367277999998,45056,0.2,0.6636939644813538,26.9870662689209,0.005393848,-0.004443492420978146,-1.057633150741458,94.15387402772903,0.056103515625,0.0003,210
310.33,23,1000,47,-107.96383978,47104,0.2,0.7399565875530243,9.414128303527832,0.0110735055,-0.005563898724358296,-1.1220996785908937,69.98878153860569,0.09541015625,0.0003,220
328.09,24,962,51,-105.16596154000001,49152,0.2,0.752698540687561,12.090607643127441,0.006570086,-0.004064429914433276,-0.966339654289186,78.56682008206845,0.0541015625,0.0003,230
354.65,25,934,54,-101.65864141999998,51200,0.2,0.701249748468399,3.765848159790039,0.0136480145,-0.007491017167194513,-1.0643879443407058,48.10138534605503,0.08017578125,0.0003,240
372.69,26,913,58,-99.61397596,53248,0.2,0.7536042034626007,5.541051387786865,0.013707707,-0.006392251464421861,-0.9623067948967219,67.34572022259235,0.138720703125,0.0003,250
388.37,27,898,61,-96.74020745,55296,0.2,0.3194568157196045,10.335958480834961,0.010095429,-0.006150781977339648,-1.0723881117999554,51.70018205344677,0.0888671875,0.0003,260
405.59,28,897,63,-93.58653765999999,57344,0.2,0.2573277950286865,13.541420936584473,0.004492375,-0.0037894351728027685,-0.9645303949713707,123.17433773875237,0.0416015625,0.0003,270
423.07,29,873,67,-91.03338774,59392,0.2,0.8021945655345917,7.358826160430908,0.0071534766,-0.006918688963924069,-0.9430870044976473,41.309900511801246,0.081005859375,0.0003,280
