time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
26,273.83,47,53248,1112,-121.04549488999999,0.2,-0.00629693348746514,250,0.0003,0.08427734375,262.22280900478364,51.33472442626953,0.4596206545829773,-1.055343380756676,0.008264528
27,285.99,49,55296,1106,-117.56953644000001,0.2,-0.006410727940965444,260,0.0003,0.0580078125,217.10524150133134,68.29144287109375,0.34761273860931396,-1.1213725574314595,0.0067944685
28,291.05,52,57344,1093,-119.09935924000001,0.2,-0.007967905870464165,270,0.0003,0.087353515625,178.87613931894302,50.763282775878906,0.3534950613975525,-1.0312433537095784,0.0101735825
29,300.09,55,59392,1076,-116.75748835,0.2,-0.005728573949454585,280,0.0003,0.06044921875,154.45090132951736,26.4019775390625,0.5352576375007629,-1.0033884443342687,0.0055603744
30,318.76,58,61440,1054,-114.17330211000001,0.2,-0.0028929769265232607,290,0.0003,0.026123046875,215.6574008345604,98.50740051269531,0.5598014891147614,-1.0844987209886312,0.005660178
31,334.2,61,63488,1036,-113.34144470999999,0.2,-0.01106242254463723,300,0.0003,0.159521484375,86.42751405835152,17.982126235961914,0.7576609700918198,-1.1744594700634479,0.01185585
32,343.85,63,65536,1024,-108.67705971000001,0.2,-0.009068891522474587,310,0.0003,0.094482421875,74.3434255182743,11.7287015914917,0.724206417798996,-0.9317406291142106,0.009497726
33,359.52,68,67584,992,-103.7244734,0.2,-0.006390762935916427,320,0.0003,0.06748046875,74.99990557432174,12.128555297851562,0.7928956598043442,-1.1352238357067108,0.009894323
34,377.95,71,69632,976,-104.82822657999999,0.2,-0.007509313548507634,330,0.0003,0.085400390625,58.982750937342644,12.175344467163086,0.8240114599466324,-1.1443677514791488,0.007898258
35,394.47,74,71680,957,-99.90075115000002,0.2,-0.006186500543844886,340,0.0003,0.113818359375,167.92978934645652,33.433712005615234,0.3933284282684326,-1.0047568205744029,0.007821393
36,404.23,78,73728,939,-98.44860621999999,0.2,-0.005178880432504229,350,0.0003,0.048486328125,61.9173732727766,17.628185272216797,0.7046364545822144,-0.9997967654839158,0.0070238197
37,419.52,82,75776,920,-96.76346002999999,0.2,-0.009521453341585584,360,0.0003,0.10322265625,54.87865883111954,9.792959213256836,0.5413451194763184,-1.0750589925795793,0.010710457
38,443.13,86,77824,903,-95.31558466999999,0.2,-0.0032975476104184056,370,0.0003,0.104541015625,43.776534558832644,88.39862060546875,0.8829403072595596,-1.0464299889281392,0.009333148
39,459.07,89,79872,897,-91.93165002000002,0.2,-0.00813773177942494,380,0.0003,0.1267578125,65.00910121500492,6.110674858093262,0.6147455275058746,-1.0357643870636821,0.009763158
40,475.24,91,81920,895,-87.85573583,0.2,-0.005595786910271272,390,0.0003,0.066455078125,25.500450814515354,5.005904197692871,0.7746200859546661,-0.9260641511529684,0.00886805
41,490.53,95,83968,883,-86.83256086000002,0.2,-0.009467744669746026,400,0.0003,0.17998046875,33.78419367522001,154.48916625976562,0.8516956865787506,-0.8844708200544119,0.015116675
42,505.83,98,86016,870,-85.55169329000002,0.2,-0.00941274497890845,410,0.0003,0.1392578125,32.04489247649908,1.9036439657211304,0.6835329532623291,-1.0481221297755838,0.012772087
43,522.28,103,88064,853,-80.73783275000001,0.2,-0.007570556764403591,420,0.0003,0.100830078125,24.962422473356128,2.0636065006256104,0.6671711206436157,-1.0093734428286552,0.0065070363
44,537.89,106,90112,844,-78.61696931,0.2,-0.015255133513710462,430,0.0003,0.175830078125,19.286600723862648,2.1497626304626465,0.7742805629968643,-1.0336867669597267,0.013509022
45,552.45,110,92160,837,-75.69315744,0.2,-0.004528149771067547,440,0.0003,0.04951171875,40.562691040709616,1.4039421081542969,0.7851957231760025,-1.0141186701133846,0.006631634
46,569.26,113,94208,829,-74.94572466999999,0.2,-0.010083995436434633,450,0.0003,0.147216796875,33.4799180187285,0.7614471316337585,0.8309205919504166,-0.972118828073144,0.011433697
47,571.57,116,96256,822,-76.58500196,0.2,-0.006769738106231671,460,0.0003,0.16171875,35.47061363663524,2.11053204536438,0.8168055713176727,-0.9724903834983707,0.013700202
48,584.61,120,98304,817,-71.27930031,0.2,-0.0015025367159978487,470,0.0003,0.00908203125,70.79453644528985,25.933534622192383,0.6878364086151123,-0.8758548814803362,0.002493674
49,607.16,123,100352,815,-70.34944918,0.2,-0.006065628454234684,480,0.0003,0.064892578125,39.79069729615003,1.2902601957321167,0.841338649392128,-0.8294661542400718,0.0074940454
50,623.36,126,102400,811,-66.37513600999998,0.2,-0.004923539362062001,490,0.0003,0.10732421875,57.23254537088796,4.87040901184082,0.8324628174304962,-0.8696695836260915,0.010379426
51,636.93,129,104448,806,-63.061454749999996,0.2,-0.00038679478457197546,500,0.0003,0.052490234375,46.837650847435,1.970565676689148,0.8464240580797195,-0.8600489649921655,0.0030518272
52,648.15,132,106496,803,-65.09068796,0.2,-0.0021778970389277675,510,0.0003,0.00546875,128.8173994988203,10.260246276855469,0.5421923696994781,-0.9000064011663198,0.003261954
53,661.5,135,108544,798,-62.07314242,0.2,-0.002394357560115168,520,0.0003,0.021826171875,44.236845292150974,2.1128435134887695,0.8155919462442398,-0.8910583039745689,0.0047446955
54,675.69,139,110592,794,-57.21414935000001,0.2,-0.003176058417375316,530,0.0003,0.042822265625,73.33570602163672,13.603161811828613,0.8575168699026108,-0.9449755508452654,0.0063293837
55,688.06,142,112640,790,-54.346425229999994,0.2,-0.003580801634234376,540,0.0003,0.08896484375,52.575881858170035,3.9461188316345215,0.8102437406778336,-0.9082959907129406,0.008101968
56,703.1,146,114688,783,-49.957663049999994,0.2,-0.0020283216872485355,550,0.0003,0.053564453125,139.50728694200515,59.76662063598633,0.5466504991054535,-0.9041718289256095,0.007304007
57,719.2,149,116736,779,-46.94558629,0.2,-0.0035605370554549153,560,0.0003,0.083251953125,44.00263381134719,5.410062789916992,0.8441141694784164,-0.7865230921655894,0.0077111665
58,728.97,153,118784,776,-48.22556425999999,0.2,-0.004228711847827071,570,0.0003,0.08359375,43.862412221543494,1.8587034940719604,0.8590885549783707,-0.8230095449835062,0.01597412
59,739.02,156,120832,771,-44.929618579999996,0.2,-0.0011117887061118381,580,0.0003,0.030615234375,113.75764995291829,17.945003509521484,0.7415818870067596,-0.7649744920432567,0.0028310907
60,752.18,159,122880,768,-42.77924939000001,0.2,-0.001434683446859708,590,0.0003,0.059423828125,97.53649373576044,8.946064949035645,0.7125036716461182,-0.7730728579685092,0.0062527405
61,760.62,163,124928,765,-37.898780529999996,0.2,-0.0025863463612040504,600,0.0003,0.054296875,96.14441512450576,3.0528173446655273,0.7368244528770447,-0.6899563582614064,0.0058686933
62,771.26,165,126976,765,-35.763417239999995,0.2,-0.0008688908517797244,610,0.0003,0.05576171875,91.97754748128355,10.497502326965332,0.7575013488531113,-0.7319567319005728,0.004760174
63,777.78,168,129024,764,-32.166854400000005,0.2,-0.002820848792543984,620,0.0003,0.03017578125,129.67519525736571,34.43418502807617,0.6848584711551666,-0.7809386000037193,0.005098209
64,785.41,171,131072,762,-29.02510460000001,0.2,-0.0022547073029272726,630,0.0003,0.041064453125,118.1219495639205,28.49915313720703,0.742411732673645,-0.735913478769362,0.0073041623
65,783.49,174,133120,762,-26.4859927,0.2,-0.002123987957384088,640,0.0003,0.030029296875,136.83926473408937,8.09870719909668,0.7000943422317505,-0.7461124340072274,0.004791067
66,795.4,177,135168,763,-19.78550797,0.2,-0.002017746702040313,650,0.0003,0.05380859375,135.85844345316292,19.57884979248047,0.4739460349082947,-0.914531316049397,0.006942647
