rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/clip_fraction
-155.57531804761908,2048,0,2201,96.0,1,,,,,,,,,,
-161.40332202272725,4096,2,1702,91.31818181818181,2,0.2,-1.3811906892806292,1616.6680980682372,-0.00874022703646915,-0.007180213928222656,0.009684183,10,776.7069091796875,0.0003,0.039306640625
-171.89080928333334,6144,4,1502,92.01666666666667,3,0.2,-1.3751448418945074,1261.4077974319457,-0.008115753311722073,-0.0006706714630126953,0.010659944,20,692.2037353515625,0.0003,0.0599609375
-167.21785037499998,8192,5,1368,101.7625,4,0.2,-1.3683725599199534,639.2900019645691,-0.004922451727907173,0.040255069732666016,0.0052087866,30,124.76748657226562,0.0003,0.02900390625
-168.38308689000002,10240,7,1372,100.42,5,0.2,-1.3654510423541069,556.689166879654,-0.006235193333122879,0.09889984130859375,0.006903272,40,323.4423828125,0.0003,0.05556640625
-173.18023974,12288,8,1374,101.77,6,0.2,-1.3647222843021154,511.9830080032349,-0.004178340455837315,-0.04775428771972656,0.011553779,50,225.615966796875,0.0003,0.047509765625
-173.12678398999998,14336,10,1375,104.14,7,0.2,-1.360627068951726,668.2353523254394,-0.002337671781424433,-0.048372507095336914,0.0024276972,60,380.0628662109375,0.0003,0.001025390625
-167.57295172,16384,11,1375,98.51,8,0.2,-1.3456309359520673,327.9608459472656,-0.008005654071166646,-0.0007905960083007812,0.011000565,70,178.8686981201172,0.0003,0.09677734375
-165.55640637,18432,13,1374,102.43,9,0.2,-1.3308594927191735,537.7763062953949,-0.006022824333194876,-0.007981061935424805,0.0074563753,80,220.07119750976562,0.0003,0.075830078125
-167.04938064,20480,14,1372,104.91,10,0.2,-1.3017872985452414,468.1215524673462,-0.011489884287584573,-0.04661095142364502,0.011384307,90,345.53009033203125,0.0003,0.20146484375
