rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
694.69,51,104448,-26.783596919999994,796,131,274.9748840332031,0.48183465003967285,0.0003,0.02939453125,0.2,-0.0025634130975959123,231.27310599088668,-0.6897602323442698,0.0046148472,500
700.54,52,106496,-20.65023293,790,134,81.03079223632812,0.5023013949394226,0.0003,0.007666015625,0.2,-0.0010795319540193304,191.93040184974672,-0.7893588514998555,0.0024237628,510
715.19,53,108544,-16.173239860000002,789,137,240.24234008789062,0.45276135206222534,0.0003,0.059619140625,0.2,-0.0028789827181753937,96.50078354477883,-0.7762047879397869,0.0070773615,520
719.07,54,110592,-12.997974380000006,788,140,6.5925612449646,0.16465342044830322,0.0003,0.04345703125,0.2,-0.002517581914071343,177.09350622594357,-0.8819663861766458,0.0063088946,530
714.82,55,112640,-8.466948220000004,787,143,57.93440628051758,0.17108112573623657,0.0003,0.012060546875,0.2,-0.003758058061794145,241.53494755327702,-0.8282985392957926,0.0032879917,540
728.73,56,114688,-5.832277030000001,783,146,15.588674545288086,0.5826255679130554,0.0003,0.058642578125,0.2,-0.001486175524041755,74.38580843806267,-0.8283558540046215,0.0047712717,550
734.37,57,116736,0.9267503099999985,781,149,13.279752731323242,0.5505669713020325,0.0003,0.036669921875,0.2,-0.00020928721933159976,129.00529236644508,-0.729698396474123,0.003503924,560
735.38,58,118784,2.671418129999998,778,152,20.148895263671875,0.6869800090789795,0.0003,0.036669921875,0.2,-0.002733714740679716,121.20233828574419,-0.810919169522822,0.0049438467,570
733.43,59,120832,2.1402425399999983,780,154,12.086785316467285,0.671754002571106,0.0003,0.061962890625,0.2,-0.0018939065041195136,68.16507567465305,-0.8918940052390099,0.008763893,580
742.02,60,122880,7.1099872699999995,782,157,54.889404296875,0.17654496431350708,0.0003,0.028271484375,0.2,-0.0031548335566185413,235.28397793620826,-0.8200616689398885,0.0059165563,590
750.1,61,124928,12.534821070000003,782,159,14.853193283081055,0.4046514630317688,0.0003,0.04228515625,0.2,-0.0037985152946930613,241.93582552075387,-0.7473622508347034,0.0057166144,600
747.11,62,126976,16.475492270000004,780,162,22.12749671936035,0.5509856045246124,0.0003,0.08251953125,0.2,-0.002120685324916849,132.7851212501526,-0.8254730496555567,0.0058339024,610
740.43,63,129024,22.180085199999997,781,165,19.368844985961914,0.41099005937576294,0.0003,0.014208984375,0.2,-0.0005657830140989972,191.58347868025302,-0.8175777757540346,0.0018484455,620
743.22,64,131072,24.901431159999998,779,168,68.85450744628906,0.4794802665710449,0.0003,0.02529296875,0.2,-0.004276199747982901,194.05351034998893,-0.7638694724068046,0.004830622,630
747.47,65,133120,27.718473070000005,780,170,12.281044960021973,0.7254503667354584,0.0003,0.043701171875,0.2,-0.002487134152761428,73.07287695556879,-0.7143968947231769,0.006643801,640
738.64,66,135168,34.023217710000004,778,173,20.540428161621094,0.4057310223579407,0.0003,0.069580078125,0.2,-0.004827230394585058,171.62069554328917,-0.7836097862571478,0.012606109,650
729.06,67,137216,34.2990786,777,176,32.9865608215332,0.563747763633728,0.0003,0.07080078125,0.2,-0.0015731629478977992,119.79436742067337,-0.7905727153643965,0.005426432,660
715.49,68,139264,37.33303761,777,179,16.032384872436523,0.5640832483768463,0.0003,0.045947265625,0.2,-0.0014990424086136045,156.34990101754664,-0.8318267822265625,0.004939205,670
698.11,69,141312,39.75510599,777,181,323.576416015625,0.5766200125217438,0.0003,0.041748046875,0.2,-0.0024173399950086607,98.09500726461411,-0.7004782382398844,0.0034019132,680
670.54,70,143360,39.3731727,778,184,47.7465934753418,0.32576262950897217,0.0003,0.079345703125,0.2,-0.0052001756354002285,179.34510679841043,-0.8705634102225304,0.0081712585,690
657.3,71,145408,42.5065507,777,186,105.75946044921875,0.552402138710022,0.0003,0.0478515625,0.2,-0.006117131445353152,211.1827436566353,-0.7454554479569196,0.0036715474,700
641.47,72,147456,44.92146218,778,189,8.500551223754883,0.7067953944206238,0.0003,0.06201171875,0.2,-0.0002441824646666646,78.5061478547752,-0.7834310907870531,0.0066921073,710
626.11,73,149504,44.45423081,779,191,12.259631156921387,0.6789129972457886,0.0003,0.045947265625,0.2,-0.0015163801959715783,139.97181081473826,-0.7127190364524723,0.0038355496,720
620.17,74,151552,44.17130189999999,776,195,88.32516479492188,0.7542372196912766,0.0003,0.04130859375,0.2,-0.0033853417189675383,116.10404523909092,-0.8070459086447954,0.003376644,730
602.57,75,153600,38.4124024,777,197,8.486176490783691,0.5644944310188293,0.0003,0.036181640625,0.2,-0.0027930532676691657,140.36804392188787,-0.740583878569305,0.002996591,740
598.11,76,155648,41.09341224999999,777,200,6.820878505706787,0.055355846881866455,0.0003,0.002001953125,0.2,-0.0004397365049953805,267.4718989551067,-0.7755313202738762,0.0014288956,750
590.25,77,157696,37.81940523,777,202,91.47139739990234,0.4352269172668457,0.0003,0.10341796875,0.2,-0.001824996459981776,137.17811203897,-0.8608698781579733,0.0066956077,760
582.62,78,159744,38.52273149,778,205,24.72704315185547,0.5806956589221954,0.0003,0.07841796875,0.2,-0.003895826977895922,225.40055964887142,-0.6784134276211262,0.0076358765,770
580.11,79,161792,36.15847925,779,207,72.68452453613281,0.5327944755554199,0.0003,0.005908203125,0.2,-0.0012192200862045865,143.09255447387696,-0.7202521817758679,0.002392958,780
578.25,80,163840,32.58679839999999,780,209,204.69386291503906,0.5753149688243866,0.0003,0.034423828125,0.2,-0.0018466165092831943,245.2580706715584,-0.8000903593376278,0.0047630942,790
577.58,81,165888,32.20606691,780,212,20.12767791748047,0.6996889114379883,0.0003,0.066650390625,0.2,-0.0003844568280328531,160.51092028319835,-0.769480499997735,0.008501492,800
579.55,82,167936,34.80178723,779,215,4.048585414886475,0.606076180934906,0.0003,0.100146484375,0.2,-0.0005724138405639678,54.540869215130805,-0.7361297389492393,0.008942092,810
580.93,83,169984,34.759252499999995,778,218,7.911279678344727,0.7027837634086609,0.0003,0.07431640625,0.2,-0.00424377955860109,141.56957282721996,-0.837365142442286,0.0073458888,820
575.01,84,172032,36.04802483,774,222,11.864029884338379,0.6753121316432953,0.0003,0.100390625,0.2,-0.0033431531184760386,75.97906310409307,-0.8761115334928036,0.008219441,830
577.69,85,174080,39.60753093,774,224,13.992732048034668,0.7150388658046722,0.0003,0.051171875,0.2,-0.003445332436240278,73.77986453175545,-0.7686138151213526,0.0063602235,840
571.54,86,176128,37.112284530000004,775,227,1.8307921886444092,0.6556161940097809,0.0003,0.053759765625,0.2,-0.0029636400868184865,76.4838311702013,-0.8158244417980314,0.0055639967,850
574.67,87,178176,44.381054649999996,775,229,8.822696685791016,0.5792891085147858,0.0003,0.043359375,0.2,-0.0015594782642438076,163.3444323733449,-0.8223194370046258,0.0048726453,860
576.78,88,180224,44.21247492,774,232,11.4487886428833,0.6007231175899506,0.0003,0.079541015625,0.2,-0.006210661651857663,77.99896056354046,-0.801652305200696,0.009720642,870
576.41,89,182272,42.41632519000001,775,235,282.8547668457031,0.17910784482955933,0.0003,0.040576171875,0.2,-0.001591495312823099,181.62486902475356,-0.7188325813040137,0.0028585016,880
575.88,90,184320,41.555539550000006,773,238,39.54783248901367,0.3209415078163147,0.0003,0.033349609375,0.2,-0.001959762068509008,241.78898927867414,-0.7829813400283456,0.007399669,890
576.84,91,186368,44.028230609999994,774,240,12.513862609863281,0.44450944662094116,0.0003,0.047900390625,0.2,-0.0027153491137141827,132.83444686532022,-0.744053865596652,0.0065683383,900
574.46,92,188416,41.44276559000001,773,243,12.79520034790039,0.5158093571662903,0.0003,0.07578125,0.2,-0.0027989549373160115,103.00848186761141,-0.8142057040706276,0.005154387,910
571.94,93,190464,43.224231960000004,772,246,16.800100326538086,0.5074777603149414,0.0003,0.084814453125,0.2,-0.0018825454651960171,140.705721783638,-0.8450687222182751,0.0056517217,920
574.41,94,192512,41.198289130000006,770,249,50.222740173339844,0.6680546998977661,0.0003,0.05849609375,0.2,-0.0012856154960900312,124.34976647198201,-0.8218168888241053,0.0022294198,930
572.7,95,194560,43.04529044,769,252,170.02728271484375,0.3941844701766968,0.0003,0.06025390625,0.2,-0.0013613739371066912,194.19134443104267,-0.7684238847345114,0.004363372,940
577.52,96,196608,43.06154851999999,768,255,5.590635776519775,0.7050101459026337,0.0003,0.068310546875,0.2,-0.0028291534290474374,73.3224693223834,-0.7912396226078272,0.008482774,950
582.51,97,198656,40.16712393999999,767,258,7.192312717437744,0.6747789680957794,0.0003,0.04052734375,0.2,-0.0011666607468214351,64.94946383982897,-0.809252018481493,0.0043439567,960
586.97,98,200704,40.3425252,767,261,104.64551544189453,0.10696905851364136,0.0003,0.04130859375,0.2,-0.0028890485475130843,149.74210331216455,-0.7846334395930171,0.009473578,970
