time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates
56,156,734,-38.38459552999999,114688,796.85,0.079833984375,25.013314118236302,-0.004604244775691768,0.007728354,1.432119607925415,0.2,0.0003,0.7740676552057266,-0.9261837130412459,550
57,160,729,-34.424237479999995,116736,810.98,0.094287109375,28.85119561627507,-0.0035091201512841507,0.010306333,2.3162779808044434,0.2,0.0003,0.7647392153739929,-0.9199640667065978,560
58,163,728,-32.50683765,118784,825.82,0.06220703125,32.736274195834994,-0.003670100226008799,0.0055658324,1.8191076517105103,0.2,0.0003,0.7414774298667908,-0.8980797626078129,570
59,167,723,-29.140865630000008,120832,838.98,0.050048828125,39.55363941527903,-0.0020751454125274905,0.0065133064,2.676245927810669,0.2,0.0003,0.715322345495224,-0.8340593436732888,580
60,170,719,-32.91930609,122880,844.41,0.065380859375,29.16280990280211,-0.0025584941657143647,0.004411388,1.7596828937530518,0.2,0.0003,0.6905967891216278,-0.9005970919504762,590
61,173,718,-29.283847819999995,124928,850.08,0.02705078125,86.78362378254533,-0.0007013085101789329,0.0022847806,11.703508377075195,0.2,0.0003,0.4404211640357971,-0.9140131218358875,600
62,177,716,-25.523786949999998,126976,863.41,0.03388671875,139.23467294871807,-0.001869759640612756,0.0031182207,7.556053638458252,0.2,0.0003,0.4385976195335388,-0.8716602105647325,610
63,180,715,-22.806314139999998,129024,878.42,0.031201171875,69.60986321493984,2.8943685174454002e-05,0.004155748,17.820316314697266,0.2,0.0003,0.4163091778755188,-0.816414681263268,620
64,183,713,-25.58289951,131072,878.42,0.04541015625,59.48978957869112,-0.0015953880494635087,0.0049278564,8.38370418548584,0.2,0.0003,0.5577863454818726,-0.8227275606244803,630
65,187,710,-25.088693700000004,133120,882.69,0.040478515625,17.81874421145767,-0.001848636551585514,0.0061232187,3.40714168548584,0.2,0.0003,0.7153675556182861,-0.8812238244339824,640
66,191,704,-21.293305150000005,135168,886.95,0.021142578125,71.24010576233267,-0.0003010107593581779,0.002898415,38.676788330078125,0.2,0.0003,0.6464081406593323,-0.905892962962389,650
67,195,703,-20.152194780000006,137216,896.95,0.047265625,103.00120906084776,-0.0024683802603249205,0.0035080116,4.438823223114014,0.2,0.0003,0.18517369031906128,-0.8462551202625036,660
68,199,697,-17.20185282,139264,901.11,0.031494140625,131.91476891487838,-0.0014888476536725648,0.0030942708,6.264138221740723,0.2,0.0003,0.12909138202667236,-0.839255404472351,670
69,203,693,-12.447159360000002,141312,904.81,0.069140625,61.76015887632966,-0.007204851061396766,0.010862033,2.54335355758667,0.2,0.0003,0.14864110946655273,-0.8373972862958908,680
70,207,692,-11.77768395,143360,896.07,0.015869140625,130.03846384882928,-0.0020986025610909564,0.0024565326,71.30308532714844,0.2,0.0003,0.08380216360092163,-0.81194261983037,690
71,209,693,-15.054626330000001,145408,892.81,0.046630859375,152.97351235598325,-0.004356303671374917,0.011256634,5.501228332519531,0.2,0.0003,0.20321112871170044,-0.8700516242533922,700
72,212,692,-8.680982299999997,147456,895.78,0.017333984375,183.73722676038741,-0.0008012064601643943,0.00466487,129.16873168945312,0.2,0.0003,0.2986268401145935,-0.899437453970313,710
73,215,692,-4.290380099999999,149504,898.29,0.079443359375,99.39396020844579,-0.0014262419816077454,0.005479047,38.17961502075195,0.2,0.0003,-0.06866109371185303,-0.8366358660161495,720
74,220,688,-2.776335449999998,151552,892.88,0.04638671875,64.15102604702115,-0.0012416120796842733,0.0043458547,23.728229522705078,0.2,0.0003,0.41958606243133545,-0.7453701101243496,730
75,223,688,1.2099586299999998,153600,898.07,0.0650390625,85.62690787538887,-0.0029519427567720412,0.0057768663,55.87757873535156,0.2,0.0003,0.47353458404541016,-0.8043662633746862,740
76,226,686,1.51362205,155648,892.4,0.072607421875,60.43939232602715,-0.002649575108807767,0.0063550156,40.2381706237793,0.2,0.0003,0.4755866527557373,-0.7499792529270053,750
77,229,687,1.60654464,157696,893.33,0.023876953125,156.91230649054052,-0.003246110877080355,0.0055158995,12.73140811920166,0.2,0.0003,0.14500945806503296,-0.6807414464652538,760
78,232,686,4.4923611900000004,159744,891.13,0.042919921875,211.82137494981288,-0.001927745374996448,0.0039613917,14.036890029907227,0.2,0.0003,0.31322717666625977,-0.8381122650578618,770
79,235,686,7.0940166699999985,161792,896.31,0.08359375,149.37021388709545,-0.00149730667071708,0.0050621177,26.31651496887207,0.2,0.0003,0.1936061978340149,-0.8687952360138297,780
80,238,687,8.058923170000002,163840,892.2,0.0701171875,53.51326465010643,-0.0006276221298321616,0.006832947,28.055559158325195,0.2,0.0003,0.6635227799415588,-0.7876914793625474,790
81,241,688,11.441022660000002,165888,880.89,0.050830078125,139.0829557776451,-0.0017248277516046073,0.0044902023,65.27080535888672,0.2,0.0003,0.5208170115947723,-0.7795377988368273,800
82,243,688,10.924560679999999,167936,868.09,0.04091796875,97.71496688574553,-0.0024421863414318067,0.0045861695,29.605972290039062,0.2,0.0003,0.6357051730155945,-0.8253975823521614,810
83,246,689,9.34102513,169984,856.57,0.015576171875,193.50519228577613,-0.001683386630975292,0.0019035583,177.7552032470703,0.2,0.0003,0.5170031487941742,-0.7785910403355956,820
84,249,690,10.581755200000002,172032,852.94,0.043701171875,129.0213008105755,-0.0022388921250239948,0.0072975927,28.682973861694336,0.2,0.0003,0.7152159214019775,-0.8479848189279438,830
85,252,690,12.68340798,174080,842.74,0.048095703125,82.12574428468943,-0.0029991611838340758,0.003946376,121.95521545410156,0.2,0.0003,0.8130052536725998,-0.7274757213890553,840
86,254,690,13.106590380000002,176128,834.56,0.058740234375,161.1697532981634,-0.002992911880573956,0.0056786495,181.25628662109375,0.2,0.0003,0.5660322606563568,-0.7759947750717402,850
87,257,690,14.576234900000001,178176,823.81,0.067431640625,152.53478900790213,-0.0024225448180004603,0.0081484215,26.14912223815918,0.2,0.0003,0.3541126251220703,-0.7201340332627296,860
88,260,692,15.851605020000001,180224,814.24,0.033203125,170.78262513428928,-0.0014639817631177721,0.0030378979,19.005977630615234,0.2,0.0003,0.2689605951309204,-0.7460513008758426,870
89,263,692,20.04399402,182272,804.05,0.072607421875,150.75936337411403,-0.004089187663339544,0.0057685985,204.715576171875,0.2,0.0003,0.29273033142089844,-0.7595472743734717,880
90,265,693,22.304159069999997,184320,793.82,0.03935546875,92.51846391707659,-0.0010205647615293856,0.0044134757,21.573312759399414,0.2,0.0003,0.4270365238189697,-0.8014095501974225,890
91,268,692,21.926376279999996,186368,780.45,0.15439453125,90.13408044353127,-0.0030913880920707014,0.015355385,19.314504623413086,0.2,0.0003,0.586540549993515,-0.8135169595479965,900
92,271,693,19.05029717,188416,769.13,0.093505859375,163.01545908749102,-0.002978919803717872,0.00891032,102.88536071777344,0.2,0.0003,0.4152899384498596,-0.8179619757458567,910
93,274,694,24.109628209999997,190464,757.01,0.09111328125,155.13443302363157,-0.0037096821382874624,0.009785544,10.999722480773926,0.2,0.0003,0.5699439644813538,-0.716388650238514,920
94,277,692,23.740259979999998,192512,757.01,0.06796875,79.10931143090129,-0.0025890056320349688,0.008662226,11.162274360656738,0.2,0.0003,0.4555373787879944,-0.7936532951891422,930
95,280,693,25.082172369999995,194560,737.09,0.0646484375,36.270146726071836,-0.0008174332804628647,0.0055382885,1.3855310678482056,0.2,0.0003,0.3665089011192322,-0.6890282897278667,940
96,283,693,30.010371589999995,196608,723.57,0.050439453125,125.59699116647243,-0.002764348738855915,0.0049240366,59.65304183959961,0.2,0.0003,0.5657390356063843,-0.7888908902183175,950
97,286,694,26.584655870000002,198656,706.18,0.0712890625,145.96076373904944,-0.002174796508734289,0.0073462683,102.10110473632812,0.2,0.0003,0.6031199991703033,-0.7531680790707469,960
98,288,695,27.50070974,200704,689.39,0.01435546875,218.3997266381979,-0.0019183546952262986,0.001346377,35.146141052246094,0.2,0.0003,0.30586469173431396,-0.7729662284255028,970
99,290,697,26.507459690000005,202752,681.45,0.03125,232.84199305772782,-0.00597142518927285,0.0062677595,93.7000503540039,0.2,0.0003,0.4076266884803772,-0.788614003919065,980
100,294,695,28.78153324,204800,680.98,0.030810546875,182.3591549694538,-0.0006091554299928248,0.0032519274,157.13072204589844,0.2,0.0003,0.43211787939071655,-0.799833875335753,990
101,297,696,25.771442699999998,206848,668.36,0.017333984375,61.623790067434314,-0.0013700867842999288,0.0030767089,38.21873474121094,0.2,0.0003,0.49237507581710815,-0.6677279019728303,1000
102,299,697,23.2266784,208896,663.82,0.053271484375,203.89386282265187,-0.0026165339259023312,0.0035798857,42.22820281982422,0.2,0.0003,0.4779968857765198,-0.753739264421165,1010
103,301,698,24.98990831,210944,658.78,0.061474609375,189.73225533366204,-0.0023247705274116017,0.0058745043,48.84423828125,0.2,0.0003,0.5547519624233246,-0.7463521044701338,1020
104,304,700,21.814280650000004,212992,657.92,0.055078125,119.35417963415384,-0.002275360755447764,0.0054375664,22.133960723876953,0.2,0.0003,0.7409206926822662,-0.7099440451711416,1030
105,306,700,17.989826930000003,215040,651.83,0.064990234375,150.4955244228244,-0.005094495187950088,0.005985986,5.168857097625732,0.2,0.0003,0.621511697769165,-0.7523494832217693,1040
106,310,698,18.594247610000004,217088,648.9,0.05263671875,142.43895617425443,-0.0037665887615730754,0.004698773,69.51373291015625,0.2,0.0003,0.42833882570266724,-0.6885487778112293,1050
107,313,698,19.07965435,219136,651.78,0.04169921875,83.22494033873082,-0.00306410613557091,0.0050989613,71.23491668701172,0.2,0.0003,0.7208843529224396,-0.6581004275009036,1060
108,316,698,20.532742430000003,221184,646.51,0.0849609375,84.18770394399762,-0.0019694594491738828,0.0043058842,2.0175178050994873,0.2,0.0003,0.6960680484771729,-0.7704054795205593,1070
109,319,698,26.76097654,223232,647.1,0.057275390625,120.55529742538928,-0.0018823849502950906,0.0036999576,15.315101623535156,0.2,0.0003,0.5646967589855194,-0.6780553793534636,1080
110,322,698,23.602898419999995,225280,636.99,0.059814453125,88.86826929599047,-0.001701599488296779,0.005219031,12.37228775024414,0.2,0.0003,0.5372077524662018,-0.7642174704000354,1090
111,325,698,23.468057849999994,227328,637.73,0.040576171875,212.7554804340005,-0.0018404643546091394,0.0034674874,186.36575317382812,0.2,0.0003,0.279293417930603,-0.7762849366292357,1100
112,328,698,23.054007559999995,229376,636.52,0.074462890625,132.22640460580587,-0.0026625611026247498,0.009727143,213.76788330078125,0.2,0.0003,0.5808723568916321,-0.8011433152481914,1110
113,330,699,24.721054219999996,231424,634.03,0.042333984375,139.8604981392622,-0.0010125678360054734,0.00667216,13.923307418823242,0.2,0.0003,0.44384074211120605,-0.7812013549730181,1120
114,333,699,29.850345469999997,233472,636.3,0.04423828125,174.99349604845048,-0.0019543606886145426,0.0037031276,17.790708541870117,0.2,0.0003,0.504298210144043,-0.7199407808482647,1130
115,336,699,32.13326482,235520,633.03,0.0458984375,90.53134050816297,-0.0033026593817339746,0.004378869,7.456851482391357,0.2,0.0003,0.6380898952484131,-0.6571496022865176,1140
116,339,699,30.555294760000002,237568,636.14,0.0533203125,82.3162260055542,-0.0005889701533305924,0.0034335032,8.418766975402832,0.2,0.0003,0.6982391774654388,-0.7049540998414159,1150
117,342,699,31.4756808,239616,633.88,0.060888671875,94.19858572036028,-0.003413675147749018,0.004337046,14.225680351257324,0.2,0.0003,0.6036750674247742,-0.6455074057914316,1160
118,345,698,33.5340151,241664,636.98,0.03603515625,103.01113473325968,-0.0005822900409839348,0.005722006,45.8877067565918,0.2,0.0003,0.4170263409614563,-0.7033470407128334,1170
119,348,698,32.209730809999996,243712,636.0,0.042724609375,114.9047918640077,-0.0019103782302408944,0.005536837,60.493927001953125,0.2,0.0003,0.5332571864128113,-0.6658456120640039,1180
120,351,698,31.891445259999998,245760,633.69,0.04755859375,88.67110001146793,-0.000528589058376383,0.0023255744,5.249646186828613,0.2,0.0003,0.7401146590709686,-0.6964707065373659,1190
121,354,699,29.932360969999994,247808,628.52,0.108837890625,82.01439357697964,-0.0009867909604508896,0.007915711,5.69842004776001,0.2,0.0003,0.6129196286201477,-0.7767700664699078,1200
122,356,700,35.439939439999996,249856,626.62,0.059375,164.71170654296876,-0.0029798402421874924,0.0063549876,42.762359619140625,0.2,0.0003,0.44747138023376465,-0.8068602867424488,1210
123,359,701,36.53363867,251904,625.37,0.074755859375,95.87653947025538,-0.0029797609164234017,0.00681924,12.937261581420898,0.2,0.0003,0.6909296214580536,-0.7396426413208246,1220
1,1,1066,-113.52333333333333,2048,473.3333333333333,0.030810546875,117.94860607683658,-0.0035658232231071453,0.004121012,59.235374450683594,0.2,0.0003,0.4299393892288208,-0.6223719963803888,1230
2,4,922,-29.511250000000004,4096,498.125,0.087451171875,127.61779907345772,-0.004455775993119459,0.008393833,12.857690811157227,0.2,0.0003,0.420024573802948,-0.7384782396256924,1240
3,6,922,-43.554166666666674,6144,490.0,0.07353515625,45.15844854414463,-0.002376161802385468,0.008276921,13.024859428405762,0.2,0.0003,0.5457515120506287,-0.709895133599639,1250
