time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate
159744,757,826.86,-1.6170782699999995,210,78,0.004649448,173.63335338681935,-0.9270915167406202,29.200273513793945,0.040087890625,-0.0028665939018537754,0.2,0.4660392999649048,770,0.0003
161792,755,826.86,-2.134693649999999,214,79,0.01268764,77.98364898487925,-0.8687909342348575,6.032087326049805,0.09501953125,-0.0017888288406538778,0.2,0.6879697144031525,780,0.0003
163840,753,820.25,-3.23342873,217,80,0.011104457,30.788168099150063,-0.9704804051667452,2.696444034576416,0.126318359375,-0.0031400421299622393,0.2,0.8794007748365402,790,0.0003
165888,754,811.74,-3.523790989999999,219,81,0.0053917747,74.64175246655941,-0.7745933193713427,22.426589965820312,0.056103515625,-0.0015650184868718497,0.2,0.7852847725152969,800,0.0003
167936,751,817.46,-0.3180013400000001,223,82,0.006496,131.85860460847616,-0.852477009780705,29.70846939086914,0.057958984375,-0.0033690280786686346,0.2,0.6724443137645721,810,0.0003
169984,751,813.21,-0.33790620999999943,226,83,0.0061120316,80.117693798244,-0.8644552646204829,7.184356212615967,0.055517578125,-0.0010760684504930395,0.2,0.786811575293541,820,0.0003
172032,751,803.14,1.5279166200000003,228,84,0.0064664297,128.1861363992095,-0.9345136215910316,28.965988159179688,0.02412109375,-0.0008989743844722397,0.2,0.7246800065040588,830,0.0003
174080,751,796.49,0.7576556600000001,231,85,0.0068479404,157.44721913188695,-0.8054358564317227,408.5742492675781,0.019580078125,-0.001628408931719605,0.2,0.662921130657196,840,0.0003
176128,752,786.97,-0.9889284100000002,234,86,0.003934093,106.69006000161171,-0.8918249238282442,68.65865325927734,0.043017578125,-0.001985762560434523,0.2,0.7750735580921173,850,0.0003
178176,752,775.75,-2.26443649,236,87,0.0021231528,171.88165790438651,-0.8981704413890839,31.736597061157227,0.03310546875,-0.0012146897624916164,0.2,0.6698175370693207,860,0.0003
180224,753,772.59,1.0606088500000008,239,88,0.012290669,132.89823156148196,-0.8765068696811795,61.03721237182617,0.125048828125,-0.004600673550521605,0.2,0.6471719741821289,870,0.0003
182272,752,770.2,0.14397396000000115,242,89,0.0069677997,164.40862988382577,-0.8985013090074062,72.15777587890625,0.051953125,-0.0006923265762452501,0.2,0.6902098953723907,880,0.0003
184320,752,766.74,-1.2161407699999998,245,90,0.0070057143,71.29264077544212,-0.819986142963171,10.663370132446289,0.102734375,-0.0013536057122109924,0.2,0.6816831231117249,890,0.0003
186368,748,766.93,1.1309315400000015,248,91,0.0038643656,125.21882514357567,-0.7541524115949869,34.737579345703125,0.029052734375,-0.0006687910296022892,0.2,0.5750970542430878,900,0.0003
188416,747,755.35,-1.968321439999999,251,92,0.012024406,87.39507341980934,-0.8568996995687485,1.7318633794784546,0.141845703125,-0.0021571915793174414,0.2,0.7301519513130188,910,0.0003
190464,747,739.72,-1.6101248900000003,254,93,0.0067527983,115.56156617552043,-0.8971445629373193,47.65441131591797,0.041845703125,-0.00041196907877747433,0.2,0.7195099890232086,920,0.0003
192512,749,723.31,-6.736126329999999,256,94,0.002857095,151.96334540843964,-0.8736712945625186,92.2275161743164,0.036181640625,-0.0012529551320767495,0.2,0.5446211993694305,930,0.0003
194560,749,717.63,-8.103351339999998,259,95,0.004735429,155.02204057276248,-0.9348767720162868,191.28782653808594,0.044970703125,-0.003258614354126621,0.2,0.6952111124992371,940,0.0003
196608,744,728.72,-4.466848679999997,264,96,0.0068150973,102.44985904097557,-0.8936362788081169,37.906402587890625,0.053466796875,-0.0032744267085945467,0.2,0.7810360342264175,950,0.0003
198656,744,712.29,-1.678078119999999,266,97,0.008565825,34.3704884994775,-0.8232174729928374,4.463006019592285,0.1216796875,-0.0013906106149079278,0.2,0.9103894457221031,960,0.0003
200704,744,707.82,-0.9333015299999983,269,98,0.006255254,236.46745538711548,-0.7890290020033717,44.286441802978516,0.05400390625,-0.0017412872482964303,0.2,0.61159548163414,970,0.0003
202752,744,703.88,-4.248891569999998,272,99,0.004557331,67.78799550533294,-0.7374520154669881,3.046396017074585,0.047998046875,-0.0014938446642190685,0.2,0.8471361100673676,980,0.0003
204800,745,685.56,-3.9757068300000014,274,100,0.007501475,148.96502676308154,-0.8727491138502955,108.8162841796875,0.0708984375,-0.0016584399811108597,0.2,0.7237163484096527,990,0.0003
206848,747,666.15,-10.368928810000002,276,101,0.0044002337,222.3348016679287,-0.8193154623731971,24.3826904296875,0.040673828125,-0.0008074918965576217,0.2,0.6681414246559143,1000,0.0003
208896,745,662.57,-7.661802200000002,280,102,0.0046463395,152.4954113781452,-0.8857871603220702,31.880413055419922,0.02509765625,-0.0027469943364849315,0.2,0.7815226167440414,1010,0.0003
210944,745,658.5,-9.986928990000001,283,103,0.0035545635,114.48512275516987,-0.7653776200488209,27.402753829956055,0.0271484375,-0.0016173880496353377,0.2,0.7481522858142853,1020,0.0003
212992,743,649.15,-13.654173409999999,286,104,0.007412609,114.83610070347785,-0.8735786907374858,129.63975524902344,0.083544921875,-0.0005369684360630345,0.2,0.6814282536506653,1030,0.0003
215040,743,647.14,-14.128692680000002,289,105,0.0132904,75.24892496466637,-0.8906836556270719,11.832427024841309,0.115380859375,-0.0021374819603806826,0.2,0.8548253774642944,1040,0.0003
217088,741,643.66,-15.45024872,292,106,0.013262037,156.26935722231866,-0.754584488645196,34.09703063964844,0.09150390625,-0.0044905420530994885,0.2,0.6500151455402374,1050,0.0003
219136,739,639.93,-13.88270177,296,107,0.013653471,67.53467451483012,-0.8917747342959046,2.5083563327789307,0.147998046875,-0.0057098323766695104,0.2,0.824821338057518,1060,0.0003
221184,737,643.61,-13.764391920000003,299,108,0.004713149,88.20944051742553,-0.8556014481931925,6.99445915222168,0.053515625,-0.0019162433221936227,0.2,0.7164057791233063,1070,0.0003
223232,738,631.75,-17.705992669999997,302,109,0.0037583485,83.15449038743972,-0.8901384878903628,31.168941497802734,0.045849609375,-0.000615126833145041,0.2,0.7960450947284698,1080,0.0003
225280,738,625.18,-15.972087469999996,305,110,0.0035869097,152.2523673415184,-0.9350032966583968,160.0966796875,0.032470703125,-0.0012493551199440843,0.2,0.7898605465888977,1090,0.0003
227328,739,622.73,-19.78322686,307,111,0.009538304,128.82615576535463,-0.8266120197251439,55.25896453857422,0.032763671875,-0.0011814051125838888,0.2,0.741786539554596,1100,0.0003
229376,739,610.21,-22.189956280000004,310,112,0.0038021586,85.80951454639435,-0.920043726824224,37.22772216796875,0.05712890625,-0.0019140474265441298,0.2,0.8565940260887146,1110,0.0003
231424,740,604.13,-23.56936803,312,113,0.006558304,109.19388181865216,-0.8624475227668882,45.47539138793945,0.02978515625,-0.0008172383553755935,0.2,0.8080895394086838,1120,0.0003
233472,740,609.49,-24.838206809999996,315,114,0.004756015,107.29514778256416,-0.8872901795431971,30.533946990966797,0.05009765625,-0.000278962052470888,0.2,0.8377176076173782,1130,0.0003
235520,740,611.57,-24.606932269999998,318,115,0.008878688,77.50006805211305,-0.8744573930278421,30.006467819213867,0.10400390625,-0.006369869623449631,0.2,0.8647047430276871,1140,0.0003
237568,741,614.49,-26.83619962,320,116,0.018036216,85.0274675220251,-0.852455398440361,14.741253852844238,0.097119140625,-0.003424584421009058,0.2,0.7275793850421906,1150,0.0003
239616,740,622.15,-27.504511609999998,323,117,0.0060574855,134.80371962487698,-0.8318033250048756,10.373836517333984,0.05166015625,-0.003194774903749931,0.2,0.7737214863300323,1160,0.0003
241664,739,629.33,-25.91376573,326,118,0.0057649803,67.50856836736202,-0.9010946800932288,17.66381072998047,0.0892578125,-0.002530978986033006,0.2,0.781169980764389,1170,0.0003
243712,738,640.89,-25.493622449999997,330,119,0.0052794423,64.66829020380973,-0.8345664521679282,4.689164638519287,0.05361328125,-0.00010698303158278577,0.2,0.825052335858345,1180,0.0003
245760,736,636.96,-24.632632890000004,333,120,0.009147562,32.04794477075338,-0.8597326515242457,4.060052394866943,0.06328125,-0.0017112255984102376,0.2,0.9147319123148918,1190,0.0003
247808,737,637.14,-22.19747972,336,121,0.0074606407,66.47775935381651,-0.8609253760427237,10.519046783447266,0.083056640625,-0.0023358348320471124,0.2,0.6902652978897095,1200,0.0003
249856,737,635.31,-21.730022130000002,339,122,0.00210724,87.3318903028965,-0.8036125615239144,108.58219146728516,0.01328125,-0.0012806409045879263,0.2,0.721483588218689,1210,0.0003
251904,738,629.39,-22.7269215,341,123,0.002843659,117.60503944158555,-0.7460518717765808,57.16354751586914,0.040283203125,-0.0017063401952327694,0.2,0.533217191696167,1220,0.0003
2048,807,1000.0,-117.765,2,1,0.007113237,183.68384526371955,-0.8691365970298648,132.36074829101562,0.050830078125,-0.0026382595777249664,0.2,0.64787957072258,1230,0.0003
4096,636,952.25,-102.125,6,2,0.007128896,10.336939642578363,-0.91293351855129,1.8194258213043213,0.103466796875,-0.005405515815073159,0.2,0.887083038687706,1240,0.0003
6144,676,763.25,-94.61875,9,3,0.00800371,17.63523909561336,-0.8467478882521391,1.3543102741241455,0.068994140625,-0.0004558231416012859,0.2,0.7340334951877594,1250,0.0003
8192,708,693.0909090909091,-120.71363636363635,11,4,0.003209255,132.63457889705896,-0.7047749446704984,36.46393966674805,0.028955078125,-0.002003064345626626,0.2,0.3156808018684387,1260,0.0003
10240,699,678.8666666666667,-121.44999999999999,14,5,0.005282057,50.71016185209155,-0.9096512898802758,37.90850830078125,0.0388671875,-0.0008127084947773255,0.2,0.6180560886859894,1270,0.0003
12288,686,681.7222222222222,-119.01833333333333,17,6,0.0033416264,94.71227393895387,-0.7834574054926634,41.26823043823242,0.033544921875,-0.0006142700214695652,0.2,0.43119871616363525,1280,0.0003
14336,708,646.5,-121.83909090909091,20,7,0.0117108645,61.65210820771754,-0.875008306093514,29.780363082885742,0.1005859375,-0.0016327124463714426,0.2,0.5052044689655304,1290,0.0003
16384,715,640.76,-114.57639999999999,22,8,0.0047373767,71.88735787570477,-0.8161292232573032,51.492286682128906,0.06962890625,-0.0029570074402727187,0.2,0.5104136765003204,1300,0.0003
18432,702,636.7142857142857,-119.37428571428572,26,9,0.0024624986,100.08628612235188,-0.8495676293969154,79.75210571289062,0.027294921875,-0.0019505270902300254,0.2,0.2649807333946228,1310,0.0003
20480,704,649.5806451612904,-118.35483870967742,29,10,0.008956742,53.12034288570285,-0.8976829566061497,0.9226128458976746,0.093115234375,-0.003059780864714412,0.2,0.39613157510757446,1320,0.0003
22528,707,645.7352941176471,-122.20735294117648,31,11,0.010906766,37.385469707474115,-0.8299618314951658,42.028709411621094,0.0482421875,-2.863956615328789e-06,0.2,0.7633956074714661,1330,0.0003
24576,691,655.6666666666666,-119.76194444444445,35,12,0.008762969,23.210567634552717,-0.868645484931767,5.978357791900635,0.12998046875,-0.0011212102050194516,0.2,0.7099410891532898,1340,0.0003
26624,679,676.4871794871794,-119.53076923076922,39,13,0.016535651,18.110085840057582,-0.8802080571651458,1.5924714803695679,0.120703125,-0.004638429280021228,0.2,0.8527420163154602,1350,0.0003
