rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss
-175.3604726190476,1,2780,0,94.76190476190476,2048,,,,,,,,,,
-189.62698985000003,1,2374,0,96.95,2048,0.0003,0.0011195540428161621,576.5006713867188,1325.7958826065064,0.2,-0.007056359546550084,0.01953125,0.005001004,10,-1.383665693923831
